 ,Area,X,Y,Perim.,BX,BY,Width,Height,Circ.,Feret,FeretX,FeretY,FeretAngle,MinFeret,AR,Round,Solidity
1,156,779.397,230.808,70.669,768,223,24,15,0.393,25.298,768,224,161.565,12.470,2.341,0.427,0.664
2,141,602.840,249.528,76.083,594,238,17,22,0.306,23.770,594,260,67.751,14.437,1.591,0.629,0.576
3,285,774.844,249.823,73.497,765,238,19,24,0.663,25.554,770,262,59.421,16.547,1.687,0.593,0.852
4,148,621.743,294.243,78.426,618,280,11,28,0.302,28.160,619,308,83.884,11.000,3.560,0.281,0.639
5,49,917.602,296.643,25.799,913,293,9,8,0.925,10.296,913,299,29.055,7.071,1.460,0.685,0.883
6,59,487.856,345.127,27.799,483,341,10,8,0.959,10.770,483,343,158.199,7.906,1.397,0.716,0.887
7,56,528.161,356.696,26.971,523,353,10,7,0.967,10.770,523,355,158.199,7.000,1.517,0.659,0.911
8,63,934.405,357.722,32.042,929,354,11,8,0.771,12.083,929,361,24.444,8.000,1.580,0.633,0.840
9,28,946.786,363.393,18.728,944,360,5,7,1.000,7.616,946,367,66.801,5.000,1.375,0.727,0.918
10,64,885.906,368.906,28.385,881,365,10,8,0.998,10.770,881,371,21.801,8.000,1.220,0.820,0.928
11,69,963.935,377.341,30.385,959,373,10,9,0.939,12.207,959,381,34.992,8.485,1.488,0.672,0.920
12,49,755.153,382.337,24.728,751,379,8,7,1.000,9.434,751,380,147.995,7.000,1.199,0.834,0.942
13,65,450.331,402.177,29.213,445,398,11,8,0.957,11.705,445,400,160.017,8.000,1.402,0.713,0.915
14,74,927.743,403.541,35.698,923,398,11,11,0.730,12.530,923,407,28.610,9.604,1.418,0.705,0.818
15,64,673.906,413.141,28.385,669,409,10,8,0.998,10.440,669,412,163.301,8.000,1.202,0.832,0.928
16,54,923.778,433.574,27.556,920,429,8,9,0.894,10.296,921,438,60.945,7.906,1.336,0.748,0.885
17,56,479.000,442.000,26.142,475,438,8,8,1.000,10.000,475,445,36.870,8.000,1.148,0.871,0.949
18,99,550.449,456.722,39.456,543,452,15,10,0.799,15.297,543,454,168.690,10.000,1.664,0.601,0.868
19,43,539.244,460.640,23.314,536,457,7,7,0.994,8.602,537,457,125.538,7.000,1.025,0.975,0.945
20,91,617.797,470.082,35.799,612,464,11,11,0.892,12.207,616,464,124.992,11.000,1.057,0.946,0.910
21,74,862.649,473.378,37.456,856,469,13,8,0.663,13.601,856,471,162.897,8.000,1.762,0.568,0.846
22,29,373.328,568.638,25.213,371,564,5,9,0.573,9.487,372,564,108.435,5.000,2.107,0.475,0.744
23,38,352.132,570.132,28.385,350,565,5,11,0.593,11.402,350,576,74.745,5.000,2.453,0.408,0.817
24,50,780.400,573.120,24.728,777,569,7,8,1.000,9.434,778,569,122.005,7.000,1.158,0.864,0.952
