 ,Area,X,Y,Perim.,BX,BY,Width,Height,Circ.,Feret,FeretX,FeretY,FeretAngle,MinFeret,AR,Round,Solidity
1,62,666.355,96.387,28.971,662,92,9,9,0.928,10.296,664,92,119.055,8.974,1.067,0.938,0.892
2,34,563.235,104.765,24.385,559,100,8,8,0.719,9.434,559,107,32.005,5.657,1.894,0.528,0.773
3,433,522.932,134.380,119.681,509,119,24,33,0.380,34.205,520,119,105.255,22.981,1.718,0.582,0.750
4,34,480.735,135.029,24.142,476,131,8,7,0.733,10.000,476,137,36.870,6.091,1.884,0.531,0.782
5,48,591.354,137.917,30.627,588,133,7,10,0.643,11.180,588,143,63.435,7.000,1.726,0.579,0.807
6,147,780.650,141.738,57.012,772,134,17,17,0.568,20.000,773,135,126.870,10.607,2.159,0.463,0.808
7,80,622.000,145.000,31.799,617,140,10,10,0.994,11.662,617,148,30.964,9.839,1.179,0.848,0.930
8,94,721.330,147.596,40.042,713,143,15,9,0.737,15.297,713,149,11.310,9.000,1.724,0.580,0.847
9,32,713.531,159.781,28.971,709,155,7,9,0.479,10.296,711,164,60.945,6.715,1.898,0.527,0.660
10,72,774.944,162.375,30.385,771,157,8,11,0.980,11.705,773,168,70.017,8.000,1.363,0.734,0.935
11,77,640.461,168.201,31.799,635,163,10,10,0.957,11.662,638,163,120.964,9.839,1.180,0.847,0.922
12,60,742.967,177.167,27.556,739,173,8,9,0.993,10.817,739,173,123.690,8.000,1.232,0.812,0.945
13,56,554.732,182.107,33.213,550,178,9,8,0.638,10.296,550,184,29.055,8.000,1.227,0.815,0.868
14,39,525.141,185.192,32.627,520,181,9,9,0.460,10.000,520,183,143.130,7.600,1.468,0.681,0.645
15,61,832.057,185.746,32.385,828,181,8,10,0.731,10.817,829,181,123.690,8.000,1.385,0.722,0.871
16,82,665.634,191.585,32.385,661,186,9,11,0.983,12.530,663,186,118.610,9.000,1.320,0.758,0.943
17,35,700.643,192.986,33.456,697,189,7,8,0.393,8.944,698,189,116.565,7.000,1.244,0.804,0.686
18,62,676.339,196.919,35.799,672,192,8,10,0.608,11.402,672,193,127.875,8.000,1.373,0.728,0.855
