 ,Area,X,Y,Perim.,BX,BY,Width,Height,Circ.,Feret,FeretX,FeretY,FeretAngle,MinFeret,AR,Round,Solidity
1,49,640.929,114.561,24.728,637,111,8,7,1.000,10.000,637,118,36.870,7.000,1.267,0.789,0.951
2,51,535.088,126.284,31.213,530,123,10,7,0.658,10.440,530,124,163.301,7.000,1.517,0.659,0.843
3,41,520.963,130.085,24.142,517,127,8,7,0.884,10.000,517,133,36.870,6.261,1.589,0.629,0.891
4,54,636.444,140.444,26.142,632,137,9,7,0.993,10.296,632,138,150.945,7.000,1.304,0.767,0.939
5,26,650.462,146.462,18.142,647,144,7,5,0.993,7.280,647,147,15.945,5.000,1.263,0.791,0.867
6,537,738.152,168.967,148.066,727,148,26,37,0.308,39.825,731,149,118.496,25.504,1.816,0.551,0.740
7,32,713.781,152.844,20.142,711,149,6,7,0.991,7.810,711,156,39.806,6.000,1.188,0.842,0.901
8,43,685.477,164.360,23.556,682,160,7,8,0.974,10.000,683,160,126.870,7.000,1.482,0.675,0.905
9,196,683.260,188.668,72.912,676,178,15,23,0.463,25.942,678,201,62.447,12.923,2.254,0.444,0.752
10,42,600.405,193.476,22.971,596,190,8,7,1.000,8.944,596,192,153.435,7.000,1.222,0.818,0.903
11,43,804.779,194.058,23.556,801,190,7,8,0.974,8.944,803,190,116.565,7.000,1.209,0.827,0.896
12,35,425.614,201.814,22.385,422,198,7,8,0.878,8.246,425,206,75.964,7.000,1.103,0.907,0.833
13,72,540.722,208.722,48.627,536,203,9,12,0.383,13.892,536,203,120.256,9.000,1.373,0.728,0.754
14,31,670.210,209.435,20.142,667,206,6,7,0.960,7.616,669,213,66.801,6.000,1.194,0.838,0.873
15,32,723.625,229.844,20.971,721,226,6,8,0.914,8.246,723,234,75.964,6.000,1.435,0.697,0.853
16,36,599.722,230.417,21.556,596,227,7,7,0.974,8.062,598,234,60.255,7.000,1.125,0.889,0.878
17,37,557.770,244.419,22.385,554,241,8,7,0.928,8.944,554,247,26.565,6.957,1.308,0.765,0.841
18,50,610.140,247.140,24.971,606,243,8,8,1.000,9.434,608,243,122.005,8.000,1.209,0.827,0.901
19,50,593.580,248.300,25.556,590,244,7,9,0.962,9.849,592,253,66.038,7.000,1.255,0.797,0.909
20,126,647.452,255.040,71.497,641,244,12,25,0.310,25.710,643,269,76.504,10.340,3.211,0.311,0.628
21,39,844.115,250.064,22.728,841,246,6,8,0.949,9.434,842,254,57.995,6.000,1.451,0.689,0.918
22,37,933.473,250.905,21.556,930,247,7,7,1.000,9.220,930,248,139.399,6.364,1.406,0.711,0.902
23,39,387.833,260.962,22.971,384,257,8,7,0.929,8.544,384,263,20.556,7.000,1.148,0.871,0.867
24,40,559.200,261.800,22.385,556,258,7,8,1.000,8.544,557,258,110.556,7.000,1.155,0.866,0.879
25,41,943.061,263.305,24.142,939,260,8,7,0.884,10.000,939,261,143.130,6.934,1.491,0.671,0.882
26,33,629.318,288.530,20.142,626,285,6,7,1.000,7.616,628,285,113.199,6.000,1.213,0.825,0.904
27,652,858.742,304.218,123.095,839,288,39,32,0.541,41.110,839,296,161.565,27.400,1.531,0.653,0.808
28,308,728.412,306.753,88.811,719,292,20,28,0.491,29.732,720,292,109.654,19.307,1.527,0.655,0.773
29,65,832.700,296.869,30.971,827,293,11,8,0.852,12.530,827,300,28.610,8.000,1.602,0.624,0.890
30,56,802.143,297.607,34.627,795,294,13,8,0.587,13.601,795,296,162.897,7.417,2.250,0.445,0.742
