 ,Area,X,Y,Perim.,BX,BY,Width,Height,Circ.,Feret,FeretX,FeretY,FeretAngle,MinFeret,AR,Round,Solidity
1,89,731.601,261.983,38.042,726,255,10,14,0.773,15.652,729,269,63.435,9.527,1.863,0.537,0.873
2,85,857.041,289.535,50.770,851,282,14,16,0.414,20.000,851,298,53.130,8.072,3.313,0.302,0.680
3,40,631.675,286.925,22.971,628,283,7,8,0.953,9.220,628,284,130.601,6.708,1.417,0.706,0.870
4,37,866.554,293.149,29.213,862,289,8,10,0.545,10.440,865,289,106.699,6.957,1.581,0.633,0.655
5,36,859.167,301.889,21.556,855,299,8,6,0.974,8.544,855,303,20.556,6.000,1.229,0.814,0.889
6,58,960.500,326.828,31.213,955,323,11,8,0.748,11.402,956,323,142.125,7.727,1.601,0.625,0.817
7,39,488.321,355.167,23.799,484,351,8,8,0.865,10.000,486,351,126.870,5.657,1.821,0.549,0.867
8,47,484.181,372.436,24.142,480,369,8,7,1.000,9.220,481,369,130.601,7.000,1.198,0.835,0.922
9,60,830.867,379.717,26.971,827,375,8,9,1.000,10.817,828,375,123.690,8.000,1.267,0.789,0.938
10,99,671.662,381.682,38.284,666,376,13,12,0.849,13.928,666,378,158.962,11.800,1.120,0.893,0.857
11,99,453.742,382.783,54.527,443,377,17,13,0.418,20.809,443,378,144.782,10.243,2.359,0.424,0.664
12,31,448.403,385.306,20.728,445,382,7,6,0.907,7.810,445,388,39.806,6.000,1.125,0.889,0.873
13,45,761.656,392.567,24.142,758,389,8,7,0.970,8.602,759,389,125.538,7.000,1.032,0.969,0.909
14,120,758.950,405.567,67.012,752,398,13,16,0.336,17.464,755,398,113.629,12.438,1.177,0.850,0.700
15,66,872.076,422.106,28.971,868,417,8,10,0.988,10.770,870,427,68.199,8.000,1.225,0.816,0.930
16,38,418.263,482.132,29.799,414,478,9,10,0.538,12.042,415,479,131.634,7.273,1.942,0.515,0.673
17,443,926.416,503.003,123.054,911,488,27,30,0.368,36.401,911,489,127.185,24.042,1.409,0.710,0.730
18,43,767.407,498.826,23.799,763,495,9,7,0.954,9.849,763,501,23.962,6.957,1.486,0.673,0.869
19,28,464.143,499.179,19.314,461,496,6,6,0.943,7.810,461,501,39.806,6.000,1.322,0.756,0.889
20,69,702.616,506.152,30.627,697,502,11,9,0.924,11.402,697,505,164.745,9.000,1.248,0.801,0.890
21,43,461.337,507.779,22.971,458,504,7,8,1.000,8.602,459,504,125.538,7.000,1.091,0.917,0.896
22,35,941.671,512.129,22.485,939,508,5,8,0.870,9.434,939,516,57.995,5.000,1.791,0.558,0.933
23,70,471.571,516.329,32.385,468,510,7,13,0.839,13.601,470,510,107.103,7.000,1.929,0.518,0.915
24,161,451.171,522.034,74.426,441,511,20,21,0.365,23.324,442,531,59.036,14.197,2.058,0.486,0.629
25,28,441.321,519.393,18.728,439,516,5,7,1.000,7.616,440,523,66.801,5.000,1.391,0.719,0.903
26,30,1034.033,523.033,18.728,1031,520,6,6,1.000,7.211,1032,520,123.690,6.000,1.107,0.904,0.909
27,31,708.919,525.468,20.142,706,522,6,7,0.960,8.062,707,529,60.255,6.000,1.374,0.728,0.873
28,35,529.500,538.414,21.556,526,535,7,7,0.947,9.220,526,541,40.601,5.657,1.664,0.601,0.897
29,99,1060.146,559.753,47.698,1053,552,14,13,0.547,15.652,1053,564,26.565,10.521,1.599,0.625,0.759
30,71,546.739,575.261,41.698,540,570,14,10,0.513,16.643,540,570,147.265,7.906,2.462,0.406,0.736
31,50,766.660,575.620,25.556,762,572,9,7,0.962,10.296,762,578,29.055,7.000,1.489,0.672,0.917
32,39,617.756,593.167,23.799,613,590,9,7,0.865,10.296,613,591,150.945,5.814,1.835,0.545,0.848
33,556,675.664,621.059,146.752,658,608,36,26,0.324,39.825,658,614,151.504,25.491,1.681,0.595,0.753
34,37,368.635,615.851,22.971,365,612,7,8,0.881,8.944,367,612,116.565,6.957,1.434,0.698,0.841
35,51,1112.990,618.775,26.142,1109,615,8,8,0.938,10.000,1110,615,126.870,8.000,1.226,0.815,0.911
36,53,667.915,636.123,30.385,664,632,8,10,0.721,10.440,666,642,73.301,8.000,1.175,0.851,0.815
37,42,968.881,635.738,23.556,965,632,8,7,0.951,9.434,965,638,32.005,7.000,1.313,0.762,0.884
38,100,816.010,642.350,47.113,809,635,15,15,0.566,19.849,810,635,130.914,8.485,3.035,0.330,0.760
39,68,975.691,646.779,34.870,970,642,12,9,0.703,12.166,970,644,170.538,8.379,1.572,0.636,0.814
40,28,834.214,654.607,21.556,831,651,6,8,0.757,8.944,832,651,116.565,4.919,2.082,0.480,0.824
41,101,415.708,660.668,46.870,409,652,12,16,0.578,16.125,414,652,97.125,11.030,1.527,0.655,0.735
42,56,794.179,655.661,26.971,789,652,10,7,0.967,10.440,789,655,163.301,7.000,1.340,0.746,0.911
43,66,766.000,666.000,28.971,761,662,10,8,0.988,10.770,761,664,158.199,8.000,1.268,0.789,0.930
44,30,592.000,668.000,20.385,588,665,8,6,0.907,8.944,588,666,153.435,4.992,1.987,0.503,0.833
45,48,683.938,673.958,33.556,681,667,8,12,0.536,12.806,681,667,128.660,8.000,1.536,0.651,0.701
46,26,807.923,713.346,18.485,805,711,6,5,0.956,7.810,805,716,39.806,5.000,1.423,0.703,0.929
47,93,878.027,728.349,34.042,873,722,10,12,1.000,13.000,876,722,112.620,10.000,1.226,0.816,0.930
48,40,465.525,769.650,26.385,462,764,7,10,0.722,11.180,463,774,63.435,6.364,1.871,0.534,0.808
49,75,481.153,769.127,40.042,474,764,12,12,0.588,13.601,474,767,143.973,10.607,1.297,0.771,0.718
50,76,1006.592,769.895,31.556,1002,765,9,10,0.959,11.662,1004,775,59.036,9.000,1.184,0.845,0.933
51,97,531.479,774.222,35.799,526,769,11,11,0.951,12.806,527,769,128.660,11.000,1.105,0.905,0.924
