 ,Area,X,Y,Perim.,BX,BY,Width,Height,Circ.,Feret,FeretX,FeretY,FeretAngle,MinFeret,AR,Round,Solidity
1,66,787.818,136.636,39.213,783,132,10,9,0.539,12.207,783,132,145.008,9.000,1.255,0.797,0.825
2,71,797.810,154.951,36.042,792,150,11,9,0.687,12.083,792,158,24.444,9.000,1.140,0.877,0.845
3,95,711.468,164.984,56.527,701,159,20,10,0.374,20.248,701,167,20.225,9.135,3.205,0.312,0.631
4,48,781.583,169.604,30.385,777,165,8,9,0.653,11.402,778,165,127.875,7.589,1.645,0.608,0.787
5,96,408.479,192.490,57.799,406,179,5,26,0.361,26.173,407,179,96.582,5.000,5.916,0.169,0.853
6,53,542.953,183.745,31.213,538,180,10,9,0.684,10.817,538,180,123.690,8.944,1.298,0.770,0.785
7,44,730.955,187.000,28.385,727,183,7,9,0.686,10.000,727,183,126.870,7.000,1.483,0.675,0.793
8,64,879.766,188.812,34.870,875,183,9,11,0.661,12.207,875,184,124.992,8.768,1.483,0.674,0.780
9,54,654.426,197.296,39.113,651,191,7,15,0.444,15.133,652,191,97.595,7.000,2.421,0.413,0.688
10,30,430.233,218.400,22.142,427,214,6,8,0.769,8.944,427,222,63.435,5.376,1.837,0.544,0.800
11,53,702.047,243.745,30.385,697,240,9,8,0.721,10.817,697,241,146.310,8.000,1.371,0.729,0.848
12,57,910.675,253.728,36.870,905,249,11,10,0.527,12.042,907,249,131.634,7.778,1.731,0.578,0.726
13,67,887.560,258.560,34.627,882,254,11,9,0.702,11.705,882,256,160.017,8.854,1.351,0.740,0.838
14,67,598.619,262.336,37.213,594,257,9,11,0.608,12.530,595,257,118.610,8.878,1.520,0.658,0.770
15,29,490.810,264.741,22.971,487,261,7,8,0.691,9.220,487,262,130.601,5.657,1.968,0.508,0.707
16,35,338.757,269.129,22.728,336,265,6,8,0.851,8.944,336,273,63.435,6.000,1.527,0.655,0.864
17,30,428.600,274.100,24.385,424,270,8,7,0.634,9.434,424,275,32.005,6.261,1.754,0.570,0.706
18,28,878.536,295.929,18.728,876,293,6,6,1.000,7.211,876,293,123.690,6.000,1.146,0.872,0.903
19,70,898.000,302.743,40.870,893,296,10,12,0.527,12.369,897,296,104.036,9.475,1.349,0.741,0.795
20,101,845.876,304.995,57.598,839,298,12,16,0.383,17.889,842,298,116.565,11.974,1.422,0.703,0.711
21,228,433.526,312.535,74.083,426,300,15,26,0.522,26.306,431,326,81.254,14.868,2.161,0.463,0.760
22,82,805.280,307.098,44.870,797,302,15,13,0.512,19.849,797,302,139.086,8.066,2.891,0.346,0.729
23,53,884.274,318.028,34.042,879,313,10,9,0.575,11.180,879,321,26.565,8.854,1.219,0.821,0.768
24,60,454.317,328.750,43.314,452,319,4,20,0.402,20.224,453,319,98.531,4.000,5.683,0.176,0.870
25,152,601.868,332.691,60.669,593,325,19,15,0.519,19.647,593,328,165.256,13.755,1.663,0.601,0.751
26,61,686.598,335.467,37.213,682,331,9,9,0.554,10.817,682,339,33.690,9.000,1.054,0.948,0.819
27,75,586.700,336.820,39.456,581,332,11,10,0.605,12.207,582,332,124.992,10.000,1.144,0.874,0.789
28,138,798.297,345.594,65.841,793,336,11,23,0.400,23.537,796,359,77.735,11.000,2.961,0.338,0.685
29,32,343.969,349.094,28.971,340,344,7,8,0.479,8.944,341,352,63.435,7.000,1.238,0.808,0.711
