 ,Area,X,Y,Perim.,BX,BY,Width,Height,Circ.,Feret,FeretX,FeretY,FeretAngle,MinFeret,AR,Round,Solidity
1,45,536.011,118.856,24.971,532,115,8,8,0.907,9.434,532,116,147.995,7.452,1.308,0.765,0.865
2,41,672.378,140.354,22.728,669,137,7,7,0.997,9.220,669,137,139.399,7.000,1.212,0.825,0.932
3,364,844.187,167.549,112.953,833,155,24,26,0.359,30.529,835,155,121.608,19.799,1.475,0.678,0.796
4,37,451.581,163.122,22.971,447,160,9,6,0.881,9.849,447,165,23.962,5.814,1.849,0.541,0.860
5,28,450.571,171.714,20.142,447,169,7,6,0.867,8.602,447,174,35.538,5.270,1.745,0.573,0.848
6,29,429.155,173.948,24.728,426,170,6,7,0.596,8.602,427,177,54.462,6.000,1.364,0.733,0.795
7,115,417.317,198.465,50.770,411,191,13,17,0.561,17.464,414,191,103.241,12.442,1.295,0.772,0.762
8,38,470.026,204.184,22.971,466,201,8,7,0.905,8.602,466,202,144.462,7.000,1.253,0.798,0.854
9,156,597.660,210.891,54.042,592,202,11,18,0.671,19.313,595,220,68.749,11.000,1.630,0.613,0.876
10,88,702.545,221.750,42.042,696,215,13,13,0.626,16.279,696,227,42.510,9.184,2.299,0.435,0.762
11,33,622.652,220.621,20.728,620,217,6,7,0.965,8.062,621,217,119.745,6.000,1.320,0.758,0.892
12,28,652.321,220.357,19.314,650,217,5,7,0.943,7.810,650,217,129.806,5.000,1.351,0.740,0.903
13,35,886.243,224.357,22.385,883,220,7,8,0.878,9.434,884,220,122.005,5.657,1.844,0.542,0.824
14,33,596.924,233.924,19.899,594,231,6,6,1.000,7.810,594,231,129.806,6.000,1.071,0.934,0.957
15,75,741.287,241.113,35.213,735,237,13,9,0.760,14.765,735,237,151.699,7.747,2.107,0.475,0.843
16,185,727.792,252.435,79.497,721,239,15,25,0.368,25.318,725,264,80.910,15.000,1.989,0.503,0.730
17,30,712.033,262.933,19.556,709,260,7,6,0.986,8.062,709,260,150.255,5.657,1.372,0.729,0.896
18,40,466.950,267.725,22.971,463,264,8,7,0.953,8.944,463,270,26.565,7.000,1.292,0.774,0.860
19,42,814.952,267.786,23.799,811,264,8,8,0.932,8.544,814,272,69.444,7.603,1.090,0.918,0.857
20,42,404.595,268.500,22.971,401,265,8,7,1.000,8.602,401,271,35.538,7.000,1.192,0.839,0.903
21,30,476.200,276.833,19.556,473,273,6,7,0.986,7.280,476,273,105.945,6.000,1.071,0.934,0.870
22,40,782.875,280.900,24.142,780,277,6,8,0.862,8.944,781,277,116.565,6.000,1.458,0.686,0.879
23,45,628.811,287.033,25.556,625,283,8,8,0.866,10.630,625,290,41.186,7.071,1.620,0.617,0.874
24,26,812.615,293.577,18.142,809,291,7,5,0.993,8.062,809,292,150.255,4.919,1.749,0.572,0.881
25,42,965.024,297.405,25.556,962,292,6,10,0.808,10.198,965,292,101.310,6.000,1.684,0.594,0.866
26,33,946.106,306.348,27.213,943,302,7,8,0.560,9.220,944,303,130.601,6.864,1.356,0.738,0.702
27,30,602.867,306.867,18.728,600,304,6,6,1.000,7.211,600,309,33.690,6.000,1.116,0.896,0.923
28,26,885.577,319.615,18.728,883,316,5,7,0.932,8.062,884,316,119.745,4.919,1.749,0.572,0.881
29,38,418.579,320.447,22.142,415,317,7,7,0.974,8.602,416,324,54.462,6.708,1.246,0.803,0.894
30,26,744.500,321.000,17.314,742,318,5,6,1.000,6.708,743,318,116.565,5.000,1.184,0.845,0.929
31,45,330.367,324.833,23.556,327,321,7,8,1.000,9.434,328,329,57.995,7.000,1.329,0.753,0.928
32,41,322.598,326.768,24.971,319,322,7,9,0.826,9.487,321,331,71.565,7.000,1.431,0.699,0.812
33,25,835.260,325.300,17.314,832,323,6,5,1.000,6.708,832,324,153.435,5.000,1.177,0.849,0.926
34,33,670.924,327.530,20.142,668,324,6,7,1.000,8.062,669,324,119.745,6.000,1.344,0.744,0.904
35,315,422.046,355.595,88.569,408,346,29,20,0.505,30.364,408,349,162.759,15.875,1.836,0.545,0.842
36,25,844.940,349.060,20.142,842,346,6,7,0.774,8.602,843,353,54.462,5.200,1.855,0.539,0.781
37,45,940.144,353.167,23.556,937,349,7,8,1.000,8.944,938,349,116.565,7.000,1.175,0.851,0.928
38,36,445.806,355.056,21.314,442,352,7,6,0.996,8.602,442,357,35.538,6.000,1.226,0.816,0.935
39,65,801.177,359.762,29.556,797,355,9,9,0.935,10.817,798,364,56.310,9.000,1.094,0.914,0.915
40,40,846.175,358.625,22.971,842,355,8,7,0.953,8.602,842,360,35.538,7.000,1.241,0.806,0.879
41,25,333.940,362.180,17.556,331,359,6,6,1.000,6.708,331,364,26.565,5.657,1.185,0.844,0.862
42,32,909.938,363.656,20.142,907,360,6,7,0.991,8.062,908,367,60.255,6.000,1.234,0.811,0.889
43,36,952.889,367.889,21.556,950,364,6,8,0.974,8.944,951,372,63.435,6.000,1.458,0.686,0.900
44,27,840.241,372.944,19.314,837,370,6,6,0.910,8.485,837,370,135.000,5.367,1.629,0.614,0.900
45,30,389.300,388.233,19.314,386,385,6,6,1.000,7.211,388,385,123.690,6.000,1.081,0.925,0.923
46,438,950.977,396.505,130.853,936,385,34,24,0.321,35.468,937,387,158.499,23.776,1.478,0.677,0.742
47,25,341.060,392.100,20.142,338,388,6,7,0.774,7.616,339,395,66.801,6.000,1.322,0.757,0.769
48,239,719.467,406.220,90.468,709,395,21,25,0.367,26.571,711,395,109.799,18.610,1.628,0.614,0.690
49,33,501.500,408.591,30.971,498,402,6,13,0.432,13.928,498,415,68.962,4.310,4.324,0.231,0.688
50,99,462.742,412.803,50.527,455,405,15,15,0.487,20.518,455,405,133.025,7.778,3.261,0.307,0.764
51,43,489.244,408.733,33.799,482,406,14,6,0.473,14.866,482,412,19.654,5.009,3.825,0.261,0.729
52,30,806.100,414.167,20.728,803,411,6,7,0.877,8.062,804,418,60.255,6.000,1.331,0.751,0.845
53,25,750.020,419.380,19.556,747,416,6,7,0.821,7.616,749,423,66.801,6.000,1.302,0.768,0.781
54,32,416.750,422.469,25.799,414,418,6,8,0.604,8.544,416,418,110.556,6.000,1.489,0.671,0.771
55,28,721.964,428.464,22.142,719,425,6,7,0.718,8.602,720,432,54.462,5.883,1.512,0.662,0.789
56,36,622.889,436.500,21.314,620,433,6,7,0.996,8.602,620,433,125.538,6.000,1.303,0.768,0.935
57,382,409.236,453.738,107.539,398,436,21,32,0.415,32.249,401,465,60.255,19.220,1.721,0.581,0.794
58,47,382.989,445.074,25.314,379,442,8,7,0.922,10.000,379,442,143.130,7.000,1.291,0.775,0.922
59,27,765.500,446.722,18.142,762,444,7,5,1.000,7.280,762,446,164.055,5.000,1.337,0.748,0.900
60,31,840.629,451.984,20.142,837,449,7,6,0.960,7.810,838,455,39.806,6.000,1.089,0.918,0.861
61,30,864.167,452.733,22.385,861,449,7,7,0.752,8.062,863,449,119.745,6.708,1.290,0.775,0.789
62,38,780.053,461.237,21.556,776,458,8,6,1.000,8.544,776,460,159.444,6.000,1.319,0.758,0.905
63,44,364.341,462.727,25.556,360,459,8,7,0.847,9.220,361,466,40.601,7.000,1.150,0.869,0.880
64,124,500.476,468.702,41.213,495,462,11,14,0.917,15.232,498,476,66.801,11.000,1.307,0.765,0.929
65,86,434.581,476.326,46.770,428,468,13,15,0.494,17.205,429,469,125.538,8.090,2.607,0.384,0.748
66,72,700.250,474.819,33.456,695,469,10,11,0.808,11.705,698,480,70.017,9.806,1.120,0.893,0.852
