 ,Area,X,Y,Perim.,BX,BY,Width,Height,Circ.,Feret,FeretX,FeretY,FeretAngle,MinFeret,AR,Round,Solidity
1,36,755.778,208.528,33.213,752,205,8,7,0.410,9.434,752,211,32.005,7.000,1.307,0.765,0.699
2,141,762.145,231.138,65.355,755,220,13,20,0.415,23.324,755,220,120.964,10.956,2.131,0.469,0.760
3,56,814.929,224.839,26.385,811,220,8,9,1.000,10.000,811,228,36.870,8.000,1.142,0.875,0.911
4,43,863.453,237.523,32.042,859,233,9,8,0.526,9.220,859,236,167.471,8.000,1.222,0.818,0.761
5,77,885.500,290.448,31.799,881,285,9,11,0.957,12.083,883,285,114.444,9.000,1.334,0.750,0.917
6,55,469.136,294.645,26.385,465,290,8,9,0.993,9.849,467,299,66.038,8.000,1.217,0.822,0.909
7,30,845.733,308.300,24.627,841,305,9,8,0.622,11.402,841,305,142.125,4.664,2.948,0.339,0.750
8,65,910.838,311.885,28.385,906,308,10,8,1.000,10.770,906,314,21.801,8.000,1.231,0.812,0.935
9,67,458.933,318.187,29.556,455,313,8,10,0.964,11.180,456,323,63.435,8.000,1.286,0.778,0.931
10,81,919.796,318.722,32.042,914,314,11,10,0.991,11.705,914,317,160.017,10.000,1.157,0.864,0.910
11,48,937.792,337.417,36.870,933,333,9,9,0.444,9.849,933,335,156.038,8.944,1.141,0.876,0.744
12,60,750.767,367.533,28.142,747,363,8,9,0.952,10.817,748,372,56.310,8.000,1.241,0.805,0.923
13,625,483.780,413.953,150.267,466,394,34,35,0.348,42.438,468,429,55.561,30.029,1.446,0.692,0.765
14,76,936.395,399.000,30.971,932,394,9,10,0.996,11.180,934,394,116.565,9.000,1.133,0.883,0.938
15,66,531.030,407.894,29.556,527,403,8,10,0.949,11.314,527,404,135.000,8.000,1.202,0.832,0.917
16,59,655.856,407.415,27.556,652,403,8,9,0.976,10.000,652,404,143.130,8.000,1.107,0.903,0.922
17,38,464.579,412.395,28.971,461,408,7,9,0.569,10.296,461,408,119.055,7.000,1.277,0.783,0.738
18,54,728.870,413.019,26.142,725,409,8,8,0.993,10.000,726,417,53.130,8.000,1.148,0.871,0.931
19,115,829.717,427.265,65.841,818,419,21,17,0.333,24.187,818,419,150.255,10.561,2.716,0.368,0.599
20,27,1067.130,423.907,23.799,1064,420,7,9,0.599,11.402,1064,420,127.875,4.919,2.714,0.368,0.730
21,28,821.786,427.036,28.385,817,424,10,6,0.437,11.180,817,424,153.435,6.000,2.363,0.423,0.609
22,39,369.679,435.064,36.870,366,431,8,9,0.361,9.487,369,440,71.565,7.778,1.253,0.798,0.690
23,36,473.444,435.694,33.213,471,431,7,10,0.410,10.770,471,441,68.199,7.000,1.859,0.538,0.626
24,41,582.622,453.622,30.142,579,450,7,7,0.567,9.220,579,457,40.601,7.000,1.094,0.914,0.882
25,57,797.623,464.921,27.213,794,460,8,10,0.967,10.198,796,460,101.310,8.000,1.177,0.850,0.884
26,69,738.543,466.152,29.213,734,461,9,10,1.000,10.817,734,469,33.690,9.000,1.188,0.842,0.914
27,25,986.820,466.340,20.142,984,463,6,7,0.774,8.062,985,470,60.255,5.014,1.841,0.543,0.769
28,71,557.275,472.035,35.698,552,466,10,13,0.700,13.601,557,466,107.103,9.387,1.466,0.682,0.789
29,46,391.870,481.022,39.355,387,476,9,10,0.373,10.440,390,476,106.699,8.485,1.152,0.868,0.687
30,40,877.200,486.275,30.385,874,482,7,8,0.544,9.434,875,490,57.995,7.000,1.255,0.797,0.800
31,47,525.883,497.415,35.456,522,493,8,9,0.470,9.849,524,502,66.038,8.000,1.255,0.797,0.777
32,169,409.902,506.204,62.669,401,498,20,17,0.541,23.324,401,512,30.964,12.021,2.025,0.494,0.801
33,102,775.569,509.167,52.770,771,500,10,16,0.460,16.763,774,500,107.354,10.000,1.854,0.539,0.773
34,64,340.531,545.547,48.527,335,540,10,12,0.342,12.806,335,550,38.660,9.803,1.147,0.872,0.656
35,59,784.178,550.602,28.385,779,547,10,8,0.920,10.770,779,552,21.801,8.000,1.289,0.776,0.894
36,177,620.681,567.805,53.355,613,559,16,18,0.781,21.260,614,560,131.186,12.481,1.971,0.507,0.876
37,41,652.354,562.915,32.042,648,559,8,8,0.502,8.944,651,559,116.565,8.000,1.085,0.921,0.774
38,34,633.353,567.147,24.142,631,562,5,10,0.733,10.440,632,572,73.301,4.768,2.487,0.402,0.840
39,65,1035.669,576.069,29.213,1031,571,9,10,0.957,10.440,1034,581,73.301,9.000,1.064,0.939,0.897
40,127,731.484,580.327,64.770,724,572,14,19,0.380,19.416,733,591,78.111,13.520,1.256,0.796,0.661
41,59,910.161,586.466,41.698,904,579,11,12,0.426,13.601,905,590,53.973,9.192,1.609,0.621,0.631
42,28,916.929,588.821,28.971,914,582,5,12,0.419,12.649,914,594,71.565,4.427,3.319,0.301,0.691
43,48,755.125,588.229,24.971,751,584,8,8,0.967,10.000,751,591,36.870,7.589,1.284,0.779,0.889
44,68,720.265,591.471,52.527,715,586,10,12,0.310,13.416,718,586,116.565,10.000,1.306,0.766,0.657
45,136,351.235,600.022,46.870,344,592,14,15,0.778,17.804,344,606,51.843,11.557,1.627,0.615,0.863
46,56,1145.696,608.732,34.627,1142,604,8,10,0.587,10.817,1144,614,56.310,8.000,1.338,0.747,0.800
47,70,817.400,609.900,30.385,813,605,9,10,0.953,11.662,814,605,120.964,8.944,1.274,0.785,0.915
48,90,355.189,619.944,35.213,350,614,10,12,0.912,13.416,352,614,116.565,10.000,1.256,0.796,0.905
49,36,1135.639,616.306,26.728,1130,614,11,5,0.633,12.083,1130,619,24.444,4.511,3.098,0.323,0.847
50,67,658.172,619.575,29.213,653,615,10,9,0.987,10.817,654,616,146.310,8.944,1.203,0.831,0.899
51,134,692.463,623.030,69.255,682,615,16,18,0.351,18.682,690,633,74.476,14.828,1.525,0.656,0.647
52,95,1134.384,624.521,52.284,1129,619,14,13,0.437,18.439,1129,632,40.601,10.733,1.764,0.567,0.766
53,27,684.056,635.722,25.799,681,632,6,7,0.510,8.062,682,639,60.255,6.000,1.535,0.651,0.740
