 ,Area,X,Y,Perim.,BX,BY,Width,Height,Circ.,Feret,FeretX,FeretY,FeretAngle,MinFeret,AR,Round,Solidity
1,63,603.357,79.913,35.456,598,76,12,8,0.630,13.416,598,77,153.435,8.000,1.637,0.611,0.797
2,53,725.708,102.104,31.213,721,97,9,11,0.684,12.530,722,97,118.610,7.778,1.796,0.557,0.785
3,27,492.870,105.426,21.314,489,102,7,6,0.747,9.220,489,108,40.601,5.400,1.969,0.508,0.794
4,51,594.618,113.324,25.556,590,110,9,7,0.981,10.296,590,111,150.945,7.000,1.362,0.734,0.927
5,38,794.105,118.105,26.971,790,114,9,7,0.656,10.817,790,115,146.310,6.261,1.999,0.500,0.784
6,41,527.451,123.183,22.971,524,119,7,8,0.976,8.944,526,119,116.565,6.957,1.277,0.783,0.872
7,49,680.378,137.173,34.870,677,131,8,11,0.506,11.402,680,131,105.255,7.906,1.690,0.592,0.700
8,26,704.538,139.000,22.385,702,135,6,7,0.652,7.616,703,142,66.801,6.000,1.328,0.753,0.743
9,67,552.366,153.261,29.799,548,148,9,10,0.948,11.180,549,158,63.435,8.875,1.242,0.805,0.905
10,52,534.750,153.000,26.385,530,149,9,8,0.939,10.000,531,150,143.130,7.778,1.271,0.787,0.889
11,68,817.118,156.206,29.799,812,152,11,8,0.962,11.402,812,159,15.255,8.000,1.307,0.765,0.925
12,78,422.949,176.077,34.627,419,170,8,12,0.817,13.416,419,170,116.565,8.000,1.538,0.650,0.907
13,31,551.403,173.790,20.142,548,171,7,6,0.960,8.062,548,176,29.745,5.814,1.465,0.683,0.886
14,26,386.692,175.308,25.556,383,172,7,6,0.500,8.062,383,177,29.745,6.000,1.345,0.744,0.722
15,32,678.719,193.844,25.556,676,190,6,8,0.616,8.944,677,198,63.435,6.000,1.634,0.612,0.810
16,142,373.430,203.056,57.841,365,195,16,17,0.533,19.209,365,197,128.660,13.435,1.373,0.728,0.778
17,49,408.378,215.480,26.142,404,212,9,7,0.901,10.000,404,218,36.870,7.000,1.263,0.792,0.891
18,90,386.433,220.156,40.042,379,215,15,10,0.705,15.811,379,217,161.565,8.538,2.250,0.444,0.793
19,42,776.333,223.524,24.971,773,220,7,8,0.846,9.434,773,220,122.005,7.000,1.246,0.802,0.894
20,37,736.230,227.905,22.627,732,224,8,8,0.908,8.944,732,226,153.435,6.364,1.417,0.706,0.822
21,50,629.100,229.780,24.971,625,226,8,8,1.000,9.434,626,226,122.005,7.778,1.140,0.877,0.917
22,39,836.756,235.526,29.799,833,232,8,7,0.552,8.944,833,234,153.435,7.000,1.040,0.962,0.765
23,28,939.964,236.000,21.556,937,233,6,6,0.757,7.810,938,233,129.806,6.000,1.254,0.797,0.848
24,49,394.316,239.908,25.799,391,235,7,10,0.925,10.440,393,235,106.699,7.000,1.456,0.687,0.883
25,60,486.300,242.783,45.113,482,237,10,11,0.370,12.042,483,238,131.634,9.191,1.489,0.671,0.690
26,44,470.864,247.477,36.284,466,243,9,10,0.420,11.402,467,243,127.875,7.200,1.964,0.509,0.698
27,2885,388.825,283.525,274.877,354,247,65,76,0.480,83.217,373,249,122.735,55.154,1.483,0.675,0.835
28,31,834.081,251.048,25.799,831,247,6,8,0.585,8.246,834,247,104.036,6.000,1.361,0.735,0.747
29,50,489.720,258.200,26.385,486,253,7,10,0.903,10.770,488,253,111.801,6.957,1.629,0.614,0.885
30,49,514.357,258.010,25.556,510,254,8,8,0.943,9.434,510,260,32.005,7.906,1.173,0.852,0.899
31,76,844.474,266.000,32.385,840,261,9,11,0.911,11.662,841,271,59.036,9.000,1.198,0.835,0.899
32,37,854.392,265.743,28.385,851,262,8,7,0.577,8.944,851,264,153.435,7.000,1.076,0.929,0.763
33,49,706.071,278.949,24.971,702,275,8,8,0.988,10.000,703,283,53.130,7.071,1.353,0.739,0.916
34,59,951.127,280.432,27.556,947,276,8,9,0.976,10.817,948,276,123.690,8.000,1.281,0.781,0.929
35,33,343.652,292.318,34.627,338,289,12,6,0.346,13.416,338,289,153.435,5.578,2.827,0.354,0.641
36,50,798.600,296.620,26.385,795,292,7,9,0.903,10.000,795,300,53.130,7.000,1.349,0.741,0.909
37,66,790.879,309.242,29.213,787,304,8,11,0.972,11.180,789,304,100.305,8.000,1.267,0.790,0.917
38,40,675.200,315.825,22.971,672,312,7,8,0.953,8.602,672,319,54.462,7.000,1.175,0.851,0.879
