 ,Area,X,Y,Perim.,BX,BY,Width,Height,Circ.,Feret,FeretX,FeretY,FeretAngle,MinFeret,AR,Round,Solidity
1,101,679.520,202.054,36.042,674,196,11,12,0.977,12.649,678,196,108.435,11.000,1.090,0.918,0.914
2,204,664.676,213.402,74.326,655,204,22,17,0.464,23.770,655,209,157.751,16.918,1.684,0.594,0.760
3,26,613.346,233.000,22.728,611,228,5,9,0.633,9.849,612,228,113.962,4.025,2.744,0.364,0.825
4,67,339.351,458.246,28.627,335,453,9,10,1.000,11.180,337,453,116.565,8.485,1.275,0.784,0.918
5,152,1084.467,502.329,55.355,1076,496,17,14,0.623,17.804,1079,509,38.157,13.804,1.322,0.756,0.806
6,56,861.554,504.554,27.314,858,500,7,9,0.943,10.296,859,500,119.055,7.000,1.316,0.760,0.941
7,49,1134.071,509.459,25.799,1130,505,8,9,0.925,9.849,1132,514,66.038,7.778,1.190,0.841,0.867
8,114,1089.684,514.842,42.870,1082,509,15,11,0.779,16.155,1082,512,158.199,10.607,1.713,0.584,0.874
9,52,1078.769,529.423,26.971,1074,526,9,8,0.898,10.817,1074,526,146.310,7.778,1.360,0.735,0.897
10,64,853.906,534.234,28.385,850,529,8,10,0.998,10.440,853,529,106.699,8.000,1.197,0.836,0.928
11,35,890.614,532.186,20.971,887,529,7,7,1.000,8.062,888,529,119.745,6.364,1.259,0.794,0.886
12,59,882.924,536.381,29.213,877,532,10,9,0.869,10.770,877,536,158.199,8.497,1.186,0.843,0.874
13,97,1037.036,540.139,35.213,1031,535,12,10,0.983,13.416,1031,537,153.435,10.000,1.232,0.811,0.928
14,81,640.698,543.451,33.213,635,539,12,9,0.923,12.649,635,546,18.435,9.000,1.410,0.709,0.910
15,36,590.000,567.667,20.728,587,564,6,7,1.000,7.810,587,565,129.806,6.000,1.099,0.910,0.923
16,97,999.799,571.830,35.799,994,567,12,10,0.951,12.806,995,576,38.660,10.000,1.210,0.827,0.919
17,57,516.026,571.658,28.142,511,568,10,7,0.904,11.180,511,574,26.565,7.000,1.633,0.613,0.912
18,86,526.302,579.116,46.284,520,572,12,13,0.504,15.000,522,584,53.130,11.384,1.351,0.740,0.702
19,46,593.630,576.348,24.385,590,572,8,8,0.972,8.602,591,573,125.538,8.000,1.044,0.958,0.876
20,36,516.000,581.000,20.971,513,577,6,8,1.000,8.246,515,577,104.036,6.000,1.254,0.798,0.900
21,64,579.469,613.219,28.385,575,609,9,9,0.998,10.817,575,616,33.690,9.000,1.169,0.856,0.914
22,109,880.601,621.784,38.627,875,616,12,12,0.918,13.601,876,627,53.973,11.628,1.149,0.870,0.916
23,92,1018.793,631.228,35.213,1013,626,11,11,0.932,12.728,1014,627,135.000,11.000,1.072,0.933,0.902
24,102,931.569,661.990,47.941,924,656,15,13,0.558,17.000,924,659,151.928,10.494,1.963,0.509,0.788
25,71,845.697,705.697,30.971,841,701,9,10,0.930,11.662,842,701,120.964,8.944,1.264,0.791,0.916
26,85,539.300,742.394,33.799,534,737,10,11,0.935,12.806,535,747,51.340,9.839,1.307,0.765,0.919
27,125,444.700,780.188,40.870,438,774,14,12,0.940,14.560,438,783,15.945,12.000,1.195,0.837,0.912
28,79,724.778,788.424,36.627,720,783,11,11,0.740,13.038,720,783,122.471,10.286,1.287,0.777,0.823
29,32,366.656,788.562,19.556,364,785,6,7,1.000,7.616,365,785,113.199,6.000,1.163,0.860,0.889
30,27,746.944,804.648,27.556,745,799,5,11,0.447,12.083,745,799,114.444,4.447,3.562,0.281,0.667
31,57,718.167,897.553,27.556,714,893,8,9,0.943,10.296,716,893,119.055,8.000,1.263,0.792,0.905
32,29,498.121,940.086,31.213,496,934,6,11,0.374,11.705,497,945,70.017,5.640,2.495,0.401,0.569
33,43,758.942,990.663,22.971,755,987,8,7,1.000,8.602,757,987,125.538,7.000,1.153,0.867,0.896
