 ,Area,X,Y,Perim.,BX,BY,Width,Height,Circ.,Feret,FeretX,FeretY,FeretAngle,MinFeret,AR,Round,Solidity
1,41,598.671,216.305,31.213,595,212,8,8,0.529,10.000,595,219,36.870,7.761,1.311,0.763,0.759
2,48,734.979,235.542,30.042,730,231,10,10,0.668,12.806,730,240,38.660,6.102,2.474,0.404,0.800
3,40,538.600,238.075,33.213,535,234,8,8,0.456,9.434,535,241,32.005,7.649,1.387,0.721,0.748
4,56,596.161,250.321,26.728,592,246,8,8,0.985,10.000,594,246,126.870,8.000,1.020,0.980,0.941
5,351,611.312,264.360,121.196,599,253,26,26,0.300,27.459,600,257,146.889,24.764,1.125,0.889,0.719
6,68,733.265,265.529,28.971,729,261,9,9,1.000,10.817,730,261,123.690,9.000,1.142,0.876,0.944
7,73,559.144,279.062,30.627,554,274,10,10,0.978,11.180,557,274,116.565,9.707,1.142,0.875,0.890
8,233,609.230,288.491,74.569,599,279,20,20,0.527,24.207,601,280,128.290,14.849,1.835,0.545,0.834
9,26,602.038,294.654,19.556,599,291,6,7,0.854,8.602,600,291,125.538,4.715,2.061,0.485,0.839
10,82,608.073,309.183,37.113,602,303,12,12,0.748,12.649,605,303,108.435,10.733,1.032,0.969,0.796
11,78,489.026,310.551,33.213,484,305,10,11,0.889,12.207,484,314,34.992,9.285,1.430,0.699,0.867
12,74,471.595,341.473,31.213,467,336,9,11,0.954,11.705,470,336,109.983,9.000,1.200,0.833,0.908
13,51,877.402,340.088,31.213,873,336,9,8,0.658,9.487,873,339,161.565,8.000,1.109,0.902,0.829
14,42,1035.452,351.571,22.728,1032,348,7,7,1.000,8.602,1033,348,125.538,7.000,1.137,0.880,0.933
15,47,461.670,355.117,35.698,457,350,9,10,0.463,10.198,461,350,101.310,8.485,1.172,0.853,0.712
16,238,780.433,364.029,93.740,769,354,21,24,0.340,24.166,772,356,114.444,19.328,1.253,0.798,0.694
17,43,690.360,360.686,31.799,686,357,8,8,0.534,9.434,688,357,122.005,7.778,1.221,0.819,0.804
18,65,717.900,365.731,37.113,713,360,11,10,0.593,12.530,713,361,151.390,8.944,1.392,0.718,0.788
19,66,1024.864,373.030,30.142,1020,369,10,8,0.913,11.314,1021,377,45.000,8.000,1.218,0.821,0.917
20,58,419.259,374.931,28.385,415,371,9,8,0.905,10.817,415,378,33.690,8.000,1.147,0.872,0.892
21,199,578.952,382.314,73.497,568,373,22,17,0.463,22.361,568,383,169.695,16.977,1.128,0.886,0.757
22,63,832.675,395.230,28.627,828,391,10,9,0.966,10.440,828,393,163.301,8.854,1.176,0.850,0.881
23,81,1067.673,402.377,33.799,1062,397,11,10,0.891,12.207,1064,407,55.008,9.944,1.176,0.851,0.890
24,76,463.908,415.184,31.799,458,411,11,9,0.944,11.705,458,416,19.983,9.000,1.224,0.817,0.916
25,71,1038.810,416.176,30.627,1034,411,10,10,0.951,11.402,1034,419,37.875,9.192,1.249,0.801,0.887
26,58,510.086,420.397,26.971,506,416,8,9,1.000,9.849,508,416,113.962,8.000,1.120,0.893,0.921
27,37,495.446,423.284,30.627,492,419,7,8,0.496,9.220,492,426,40.601,7.000,1.429,0.700,0.747
28,56,803.196,425.321,26.385,799,421,8,9,1.000,9.849,801,421,113.962,8.000,1.176,0.850,0.918
29,77,702.708,430.097,32.042,697,425,11,10,0.942,11.662,700,425,120.964,9.839,1.174,0.852,0.890
30,54,839.611,430.333,27.213,835,426,9,9,0.916,9.487,839,435,71.565,8.485,1.088,0.919,0.864
31,35,452.814,432.329,27.799,447,429,11,7,0.569,11.402,447,431,164.745,5.659,2.109,0.474,0.722
32,64,490.875,436.469,43.941,486,431,10,11,0.417,11.705,490,431,109.983,10.000,1.159,0.863,0.715
33,199,777.093,456.334,65.012,769,447,16,19,0.592,19.925,775,466,72.474,15.839,1.347,0.742,0.827
34,25,765.740,452.340,22.971,763,448,6,8,0.595,9.434,764,456,57.995,5.590,1.815,0.551,0.685
35,62,806.806,466.532,29.213,803,461,8,11,0.913,11.180,806,461,100.305,8.000,1.362,0.734,0.892
36,30,814.667,479.100,25.314,813,474,4,11,0.588,11.180,814,485,79.695,4.000,3.228,0.310,0.833
37,59,1095.805,480.686,39.698,1090,474,12,14,0.470,18.439,1090,488,49.399,5.657,4.134,0.242,0.733
38,42,419.905,483.119,26.971,417,479,7,8,0.726,9.434,417,487,57.995,7.000,1.354,0.739,0.848
39,78,1124.603,484.462,31.799,1119,480,11,9,0.969,12.083,1119,482,155.556,9.000,1.315,0.760,0.912
40,42,430.429,485.357,30.385,427,482,8,8,0.572,9.434,427,488,32.005,8.000,1.212,0.825,0.785
41,35,1019.243,485.557,27.799,1016,482,7,7,0.569,8.602,1017,482,125.538,7.000,1.254,0.798,0.787
42,41,1098.646,486.915,28.385,1094,483,9,9,0.639,11.314,1094,492,45.000,7.374,1.566,0.638,0.719
43,63,812.278,494.246,42.870,808,486,8,14,0.431,14.318,808,499,65.225,8.000,1.831,0.546,0.741
44,142,923.908,499.451,48.527,917,493,15,13,0.758,16.155,917,503,21.801,13.000,1.172,0.853,0.879
45,57,1025.623,506.675,38.870,1020,502,10,9,0.474,11.314,1022,502,135.000,8.731,1.054,0.949,0.760
46,56,744.732,509.250,26.971,741,505,8,9,0.967,9.849,742,505,113.962,8.000,1.143,0.875,0.903
47,30,1132.800,512.133,24.385,1130,508,6,8,0.634,8.944,1131,516,63.435,5.687,1.761,0.568,0.732
48,74,505.770,515.297,31.799,501,510,9,11,0.920,12.530,503,510,118.610,8.944,1.425,0.702,0.914
49,35,356.443,517.700,29.799,353,514,7,8,0.495,9.220,353,521,40.601,6.548,1.438,0.695,0.729
50,28,621.964,518.429,19.314,618,516,7,5,0.943,7.616,618,519,23.199,5.000,1.304,0.767,0.918
51,45,393.767,520.922,29.799,390,517,8,8,0.637,8.944,392,517,116.565,7.906,1.177,0.850,0.826
52,95,762.837,528.384,60.669,755,520,15,16,0.324,16.279,762,520,100.620,12.888,1.063,0.941,0.609
53,49,699.806,525.153,25.556,696,521,8,8,0.943,9.434,697,529,57.995,8.000,1.179,0.848,0.891
54,27,515.241,524.981,24.385,512,522,8,7,0.571,10.000,512,529,36.870,5.547,2.095,0.477,0.675
55,90,858.267,528.411,34.627,853,522,10,12,0.943,13.416,855,534,63.435,9.839,1.386,0.721,0.923
