 ,Area,X,Y,Perim.,BX,BY,Width,Height,Circ.,Feret,FeretX,FeretY,FeretAngle,MinFeret,AR,Round,Solidity
1,65,671.100,65.177,46.284,665,60,12,10,0.381,14.213,665,60,140.711,9.758,1.680,0.595,0.691
2,25,682.940,72.380,25.799,680,69,7,6,0.472,8.062,680,70,150.255,6.000,1.332,0.751,0.676
3,184,665.875,143.277,80.426,652,137,25,17,0.357,28.178,652,139,152.526,14.758,2.463,0.406,0.614
4,58,868.983,146.207,27.799,864,142,10,8,0.943,10.440,864,145,163.301,8.000,1.175,0.851,0.892
5,57,838.395,147.570,35.213,834,143,9,9,0.578,10.817,834,145,146.310,8.825,1.136,0.880,0.832
6,279,722.858,161.522,75.355,713,149,18,24,0.617,25.554,717,171,59.421,18.000,1.390,0.719,0.865
7,48,822.479,158.083,36.870,818,154,9,8,0.444,9.487,818,159,18.435,8.000,1.119,0.893,0.780
8,31,723.016,190.500,28.385,720,186,7,10,0.484,11.662,721,196,59.036,5.367,2.608,0.383,0.674
9,50,596.000,196.500,25.314,592,193,8,7,0.981,9.434,592,194,147.995,7.000,1.186,0.843,0.943
10,50,677.000,205.620,24.728,673,202,8,7,1.000,9.434,673,203,147.995,7.000,1.168,0.856,0.943
11,60,830.367,221.767,27.799,826,217,9,9,0.976,10.000,827,218,126.870,8.944,1.077,0.928,0.889
12,29,706.500,228.707,18.728,704,225,5,7,1.000,7.280,706,225,105.945,5.000,1.266,0.790,0.906
13,28,575.071,251.286,20.142,573,247,5,8,0.867,8.544,573,247,110.556,5.000,1.584,0.631,0.875
14,25,574.620,259.020,18.971,571,256,7,6,0.873,7.616,571,258,156.801,5.367,1.598,0.626,0.806
15,46,527.935,267.696,24.728,525,263,6,9,0.945,9.487,527,263,108.435,6.000,1.390,0.720,0.920
16,35,698.671,267.729,27.213,695,264,8,7,0.594,8.544,695,266,159.444,6.957,1.154,0.866,0.769
17,58,653.931,272.966,34.870,649,268,10,10,0.599,12.207,649,271,145.008,9.192,1.451,0.689,0.744
18,41,491.378,284.451,37.698,487,279,9,11,0.363,11.180,491,279,100.305,7.778,1.251,0.799,0.631
19,43,745.802,284.081,32.627,742,280,8,8,0.508,9.434,744,280,122.005,7.906,1.200,0.834,0.789
20,67,521.366,291.037,29.213,517,286,9,10,0.987,11.180,519,286,116.565,8.854,1.271,0.787,0.899
21,63,667.532,292.770,32.042,661,288,11,9,0.771,11.705,661,294,19.983,9.000,1.275,0.784,0.834
22,47,770.138,293.543,25.799,766,289,8,9,0.887,9.849,768,289,113.962,7.155,1.366,0.732,0.855
23,38,733.763,293.921,30.042,730,290,7,8,0.529,9.434,732,290,122.005,7.000,1.323,0.756,0.792
24,67,424.769,298.873,49.941,418,293,13,12,0.338,14.213,419,302,39.289,10.286,1.721,0.581,0.641
25,37,975.419,300.743,33.213,972,297,7,8,0.421,9.220,972,298,130.601,7.000,1.090,0.918,0.733
26,33,739.136,308.773,22.971,736,305,7,8,0.786,8.602,736,306,144.462,6.548,1.356,0.737,0.786
27,89,737.871,322.837,54.426,732,314,12,16,0.378,16.492,739,314,104.036,11.708,1.279,0.782,0.652
28,42,445.929,318.262,28.385,442,315,8,7,0.655,9.434,442,316,147.995,7.000,1.244,0.804,0.832
29,48,496.104,320.271,24.728,492,317,8,7,0.986,9.434,492,318,147.995,7.000,1.198,0.835,0.932
30,50,648.420,325.720,25.556,645,321,7,9,0.962,9.849,646,330,66.038,7.000,1.328,0.753,0.909
31,107,883.435,329.248,49.113,877,323,12,16,0.557,17.088,880,323,110.556,11.752,1.530,0.654,0.754
32,53,861.708,330.745,26.627,858,326,8,10,0.939,10.440,860,326,106.699,8.000,1.249,0.801,0.862
33,118,708.000,336.619,41.456,702,330,12,13,0.863,14.318,705,343,65.225,12.000,1.122,0.891,0.897
34,44,433.591,336.636,30.627,430,332,8,9,0.589,9.220,433,332,102.529,8.000,1.179,0.848,0.739
35,47,619.926,355.521,25.556,616,352,8,7,0.904,9.434,616,358,32.005,7.000,1.180,0.848,0.913
36,44,845.432,359.591,30.627,841,355,9,10,0.589,10.817,843,364,56.310,8.272,1.308,0.765,0.710
37,41,555.037,359.500,23.314,551,356,7,7,0.948,8.602,553,356,125.538,7.000,1.105,0.905,0.932
38,195,384.751,371.382,65.841,373,362,21,17,0.565,21.932,374,368,155.772,16.340,1.430,0.699,0.751
39,49,356.010,368.582,24.971,352,365,8,8,0.988,9.434,352,366,147.995,7.778,1.194,0.838,0.907
40,53,810.840,368.896,26.385,806,365,9,8,0.957,10.000,807,372,36.870,8.000,1.181,0.847,0.883
41,47,657.117,384.202,23.799,653,380,8,8,1.000,9.434,655,380,122.005,7.071,1.332,0.751,0.904
42,43,611.988,388.267,31.213,608,384,8,8,0.555,9.434,608,390,32.005,8.000,1.038,0.964,0.768
43,25,818.820,396.780,20.971,816,393,6,7,0.714,7.616,818,393,113.199,6.000,1.313,0.761,0.746
44,43,781.360,398.895,24.385,778,394,7,9,0.909,9.220,781,394,102.529,7.000,1.254,0.797,0.878
45,139,863.522,406.147,57.598,853,399,20,14,0.527,20.881,853,407,16.699,10.714,2.489,0.402,0.722
46,36,737.639,404.167,28.042,734,400,7,8,0.575,8.944,736,408,63.435,7.000,1.331,0.752,0.783
47,137,448.755,409.777,66.669,441,402,15,15,0.387,17.029,444,402,130.236,14.513,1.190,0.840,0.753
48,33,527.197,406.348,25.799,524,402,7,9,0.623,9.487,525,411,71.565,6.412,1.857,0.539,0.695
49,26,619.308,405.577,28.627,615,402,8,9,0.399,11.314,615,403,135.000,6.146,2.303,0.434,0.536
50,106,495.377,426.217,37.799,490,420,10,13,0.932,14.318,493,433,65.225,10.000,1.355,0.738,0.938
51,40,320.900,426.825,31.213,316,422,8,9,0.516,10.000,316,429,36.870,7.778,1.450,0.690,0.684
52,40,751.575,426.500,28.042,748,422,7,9,0.639,9.487,751,422,108.435,7.000,1.369,0.730,0.792
53,44,579.864,433.955,24.385,576,430,8,8,0.930,9.434,577,438,57.995,7.071,1.261,0.793,0.871
54,54,790.889,434.204,26.385,787,430,8,9,0.975,9.487,789,430,108.435,8.000,1.135,0.881,0.900
55,65,835.300,438.654,29.213,831,434,9,10,0.957,11.180,833,444,63.435,8.485,1.323,0.756,0.903
56,40,692.075,439.850,22.385,689,436,7,8,1.000,8.544,690,436,110.556,7.000,1.167,0.857,0.899
57,38,409.579,444.579,31.213,406,441,8,7,0.490,8.944,406,447,26.565,7.000,1.089,0.918,0.768
58,515,649.675,470.100,111.296,634,456,36,28,0.522,40.000,635,459,143.130,19.230,2.371,0.422,0.853
59,48,489.292,464.792,25.556,486,460,7,9,0.924,9.849,487,469,66.038,7.000,1.361,0.735,0.889
60,28,678.429,467.714,24.385,675,464,7,7,0.592,7.616,677,471,66.801,6.934,1.154,0.867,0.727
61,29,387.638,469.017,28.385,385,466,7,7,0.452,8.062,385,466,119.745,7.000,1.206,0.829,0.699
62,56,833.607,479.071,26.971,830,474,7,10,0.967,10.440,832,474,106.699,7.000,1.432,0.698,0.918
63,214,341.084,485.678,77.497,330,475,24,23,0.448,26.833,330,476,153.435,16.000,2.415,0.414,0.694
64,29,991.293,485.638,23.899,989,480,4,10,0.638,10.440,989,490,73.301,4.000,2.845,0.351,0.866
65,53,507.783,484.689,28.385,503,481,11,7,0.827,11.705,503,483,160.017,7.000,1.663,0.601,0.862
66,112,299.366,500.839,58.184,292,495,16,15,0.416,17.804,294,507,38.157,14.255,1.280,0.781,0.661
67,40,613.525,500.825,22.142,610,497,7,7,1.000,8.062,610,499,150.255,7.000,1.055,0.948,0.920
68,42,871.762,522.190,24.142,868,519,8,7,0.906,8.944,868,524,26.565,7.000,1.168,0.856,0.875
69,29,351.224,532.776,22.142,347,530,8,5,0.743,8.944,347,534,26.565,4.903,1.985,0.504,0.841
70,29,714.672,534.431,22.971,712,531,6,7,0.691,7.810,712,532,129.806,6.000,1.242,0.805,0.784
71,44,615.273,538.932,24.971,612,535,7,8,0.887,9.434,613,543,57.995,7.000,1.309,0.764,0.880
72,48,679.167,539.667,30.627,674,535,11,9,0.643,12.083,674,539,155.556,8.004,1.294,0.773,0.762
73,52,349.000,560.000,24.971,345,556,8,8,1.000,8.944,347,556,116.565,8.000,1.000,1.000,0.929
74,35,537.071,563.700,26.142,534,560,7,7,0.644,9.220,534,567,49.399,6.957,1.257,0.796,0.824
75,227,772.553,569.570,90.811,762,560,21,22,0.346,23.259,762,565,154.537,16.664,1.503,0.665,0.716
76,71,318.458,569.049,31.213,314,563,9,11,0.916,12.083,317,563,114.444,8.497,1.430,0.699,0.904
77,49,417.071,572.561,24.728,413,569,8,7,1.000,10.000,413,570,143.130,7.000,1.267,0.789,0.951
78,458,446.491,589.354,124.610,433,573,27,31,0.371,33.615,443,573,112.751,21.954,1.536,0.651,0.762
79,49,765.724,579.806,39.698,761,575,10,10,0.391,12.207,761,575,145.008,8.485,1.453,0.688,0.690
80,39,829.756,581.192,28.627,826,577,8,8,0.598,8.944,826,580,153.435,8.000,1.057,0.946,0.757
81,44,743.386,585.045,29.799,740,581,8,8,0.623,10.000,741,581,126.870,7.778,1.232,0.812,0.807
82,629,387.002,605.506,149.095,369,590,37,28,0.356,38.601,369,602,163.443,27.738,1.587,0.630,0.763
83,45,899.967,596.700,38.042,897,590,8,12,0.391,12.166,898,590,99.462,8.000,1.660,0.602,0.643
84,47,740.840,595.266,24.627,737,591,8,9,0.974,9.487,739,591,108.435,7.778,1.154,0.866,0.862
85,44,815.659,596.477,27.213,812,592,8,8,0.747,9.434,813,600,57.995,7.778,1.144,0.874,0.830
86,219,646.473,605.724,77.740,636,598,20,16,0.455,21.954,636,602,149.931,16.000,1.256,0.796,0.817
87,50,732.760,601.960,36.042,728,598,9,9,0.484,11.402,728,599,142.125,8.731,1.290,0.775,0.752
88,66,895.621,611.273,29.799,891,607,10,9,0.934,10.817,892,607,123.690,9.000,1.159,0.863,0.898
89,39,604.218,615.910,25.556,600,613,9,6,0.750,9.434,600,618,32.005,6.000,1.381,0.724,0.839
90,42,559.619,618.643,23.556,556,615,8,7,0.951,8.602,557,615,125.538,7.000,1.113,0.898,0.894
91,52,747.115,618.981,26.142,743,615,8,8,0.956,10.630,743,622,41.186,7.778,1.396,0.716,0.929
92,48,630.208,627.875,24.971,626,624,8,8,0.967,9.434,628,624,122.005,7.778,1.156,0.865,0.897
93,67,911.291,630.963,34.870,906,625,10,11,0.692,12.207,908,625,124.992,9.800,1.215,0.823,0.788
94,74,481.257,635.919,44.770,475,631,13,12,0.464,16.279,475,642,42.510,9.153,2.001,0.500,0.692
95,39,704.346,638.423,22.142,701,635,7,7,1.000,8.602,702,635,125.538,7.000,1.138,0.879,0.907
96,31,803.016,657.984,22.971,800,654,7,8,0.738,9.434,801,662,57.995,5.367,2.046,0.489,0.765
97,35,750.414,660.986,25.799,747,657,7,8,0.661,8.246,749,665,75.964,7.000,1.131,0.884,0.787
98,371,785.187,672.185,120.853,775,658,22,28,0.319,28.178,780,658,117.474,22.000,1.164,0.859,0.765
99,32,853.812,665.344,22.385,850,662,7,7,0.803,7.810,851,668,39.806,6.364,1.261,0.793,0.831
100,43,656.640,670.337,23.556,653,667,8,7,0.974,8.602,654,667,125.538,7.000,1.061,0.942,0.896
101,28,905.286,670.786,19.556,902,668,7,6,0.920,8.062,902,673,29.745,5.270,1.675,0.597,0.848
102,49,401.724,673.214,25.799,398,669,8,9,0.925,9.849,399,669,113.962,7.603,1.286,0.778,0.875
103,37,715.527,682.743,31.213,712,679,7,9,0.477,9.487,714,679,108.435,7.000,1.120,0.893,0.712
104,51,781.225,693.696,33.456,777,689,9,10,0.573,11.402,778,699,52.125,7.778,1.603,0.624,0.756
105,25,707.620,707.740,24.142,705,705,6,7,0.539,7.616,707,712,66.801,6.000,1.291,0.774,0.725
106,52,758.500,714.942,40.870,754,711,10,10,0.391,12.728,755,721,45.000,7.950,1.744,0.574,0.712
107,48,625.896,716.104,29.799,622,712,8,8,0.679,10.000,622,720,53.130,8.000,1.142,0.876,0.850
108,47,570.564,716.819,24.728,567,713,7,8,0.966,9.220,568,713,130.601,7.000,1.198,0.835,0.922
109,90,678.256,723.811,37.456,673,718,11,13,0.806,13.601,678,731,72.897,10.505,1.300,0.769,0.833
110,67,690.993,726.590,47.941,685,722,13,10,0.366,13.928,685,723,158.962,10.000,1.177,0.849,0.667
111,44,465.205,728.977,32.870,461,724,8,11,0.512,11.705,462,724,109.983,7.845,1.528,0.655,0.698
112,30,516.700,727.967,24.971,513,725,7,6,0.605,8.062,513,726,150.255,6.000,1.241,0.806,0.789
113,65,496.485,742.392,30.042,492,737,9,11,0.905,11.402,495,737,105.255,8.854,1.263,0.792,0.861
