 ,Area,X,Y,Perim.,BX,BY,Width,Height,Circ.,Feret,FeretX,FeretY,FeretAngle,MinFeret,AR,Round,Solidity
1,40,683.400,107.675,22.728,680,104,7,7,0.973,9.899,680,104,135.000,6.957,1.440,0.694,0.920
2,377,812.988,155.927,96.468,802,140,21,29,0.509,29.614,810,140,101.689,20.741,1.588,0.630,0.815
3,52,834.000,155.731,25.799,829,152,10,7,0.982,10.198,829,155,168.690,7.000,1.331,0.751,0.912
4,217,445.228,168.228,83.640,432,157,24,19,0.390,26.249,434,176,40.365,15.953,1.900,0.526,0.710
5,40,592.550,167.950,22.971,589,164,7,8,0.953,8.602,590,164,125.538,7.000,1.141,0.876,0.860
6,43,703.500,169.500,23.314,700,166,7,7,0.994,9.899,700,166,135.000,7.000,1.319,0.758,0.956
7,39,794.038,171.808,23.799,790,168,8,7,0.865,8.544,790,173,20.556,7.000,1.239,0.807,0.848
8,223,662.836,195.872,77.154,653,188,22,17,0.471,23.409,653,201,19.983,16.971,1.323,0.756,0.795
9,42,894.833,197.786,29.799,889,194,11,7,0.594,12.083,889,195,155.556,5.632,2.602,0.384,0.743
10,84,633.893,201.655,39.456,629,196,10,12,0.678,13.892,631,196,120.256,10.000,1.520,0.658,0.800
11,41,652.695,208.915,22.385,649,205,8,7,1.000,8.544,649,207,159.444,7.000,1.210,0.827,0.891
12,25,627.940,210.460,20.971,625,207,6,7,0.714,7.616,627,207,113.199,6.000,1.308,0.764,0.746
13,43,708.477,210.430,23.556,704,207,8,7,0.974,9.220,705,213,40.601,7.000,1.251,0.799,0.915
14,48,575.188,212.354,24.971,571,208,8,8,0.967,9.434,571,215,32.005,7.778,1.231,0.812,0.897
15,49,740.500,214.357,25.556,737,210,7,9,0.943,10.000,737,218,53.130,7.000,1.389,0.720,0.907
16,77,443.591,215.994,32.971,438,211,10,10,0.890,11.662,438,214,149.036,10.000,1.112,0.900,0.906
17,44,836.682,224.750,24.971,833,220,7,9,0.887,9.849,835,229,66.038,7.000,1.364,0.733,0.863
18,42,726.643,226.000,22.971,723,222,7,8,1.000,8.544,725,222,110.556,7.000,1.187,0.842,0.894
19,37,565.878,232.392,23.799,562,228,8,8,0.821,8.544,562,234,20.556,6.800,1.255,0.797,0.796
20,51,647.461,241.402,25.556,643,238,9,7,0.981,9.849,643,239,156.038,7.000,1.304,0.767,0.919
21,91,764.214,255.654,44.870,760,247,8,17,0.568,17.464,763,247,103.241,7.442,2.723,0.367,0.802
22,30,556.867,258.867,18.728,554,256,6,6,1.000,7.211,554,261,33.690,6.000,1.116,0.896,0.923
23,36,600.833,265.417,21.556,597,262,8,6,0.974,8.544,597,264,159.444,6.000,1.361,0.735,0.900
24,42,630.571,273.452,22.142,627,270,7,7,1.000,8.602,628,270,125.538,7.000,1.137,0.880,0.933
25,35,671.871,284.186,21.556,668,281,8,6,0.947,8.544,668,286,20.556,6.000,1.296,0.771,0.875
26,26,502.577,310.962,19.556,500,307,6,7,0.854,8.602,500,307,125.538,4.950,1.849,0.541,0.825
27,56,484.286,318.000,28.385,481,312,7,11,0.873,11.180,484,312,100.305,7.000,1.545,0.647,0.882
28,44,606.568,327.909,23.556,603,324,7,8,0.996,8.944,605,332,63.435,7.000,1.197,0.835,0.907
29,38,947.132,331.421,22.728,944,328,7,7,0.924,9.220,944,328,130.601,6.934,1.312,0.762,0.894
30,52,381.231,338.115,25.799,377,334,9,8,0.982,9.487,377,336,161.565,7.906,1.212,0.825,0.881
31,37,793.365,343.419,21.556,790,340,7,7,1.000,8.602,790,346,35.538,6.364,1.393,0.718,0.902
