 ,Area,X,Y,Perim.,BX,BY,Width,Height,Circ.,Feret,FeretX,FeretY,FeretAngle,MinFeret,AR,Round,Solidity
1,36,738.056,119.167,22.385,735,115,7,8,0.903,8.602,736,115,125.538,6.364,1.443,0.693,0.847
2,228,557.338,129.439,71.255,549,119,18,21,0.564,21.840,554,140,74.055,15.495,1.441,0.694,0.841
3,327,838.063,167.313,84.083,827,152,22,25,0.581,28.178,828,177,62.526,21.766,1.261,0.793,0.836
4,65,635.623,163.377,29.556,631,159,9,9,0.935,10.817,632,159,123.690,8.854,1.163,0.860,0.915
5,48,513.583,176.833,26.971,508,173,10,7,0.829,10.440,508,178,16.699,7.000,1.430,0.699,0.857
6,51,877.186,180.284,27.213,873,176,9,8,0.865,9.220,874,177,130.601,8.000,1.077,0.928,0.864
7,56,855.304,183.446,27.213,851,179,9,9,0.950,9.487,854,179,108.435,8.485,1.073,0.932,0.882
8,51,889.500,198.108,26.385,885,194,9,8,0.921,9.487,885,197,161.565,8.000,1.181,0.847,0.872
9,53,833.557,202.142,26.385,829,198,9,8,0.957,9.487,829,201,161.565,8.000,1.137,0.880,0.891
10,47,914.904,204.883,41.598,908,198,14,15,0.341,20.518,908,198,133.025,4.243,6.814,0.147,0.667
11,54,820.426,207.481,26.385,816,203,8,9,0.975,10.296,818,203,119.055,8.000,1.275,0.784,0.893
12,57,542.956,207.904,27.213,538,204,10,8,0.967,10.770,538,210,21.801,8.000,1.361,0.734,0.891
13,45,622.033,207.367,24.142,618,204,8,7,0.970,9.220,619,204,130.601,7.000,1.233,0.811,0.909
14,60,698.000,220.717,28.627,693,216,10,9,0.920,10.296,695,225,60.945,8.485,1.191,0.840,0.876
15,67,441.246,221.560,29.213,436,217,10,9,0.987,10.770,436,220,158.199,9.000,1.142,0.876,0.912
16,60,424.167,224.017,34.870,420,218,8,13,0.620,13.601,423,231,72.897,6.957,2.172,0.460,0.795
17,85,377.476,237.865,40.284,370,233,13,10,0.658,13.928,370,235,158.962,10.000,1.368,0.731,0.810
18,26,660.423,238.692,22.485,659,234,3,10,0.646,10.198,659,234,101.310,3.000,3.110,0.322,0.929
19,49,741.153,250.724,25.556,737,247,8,8,0.943,10.000,738,247,126.870,7.603,1.358,0.736,0.899
20,43,517.430,255.988,22.971,514,252,7,8,1.000,8.944,515,252,116.565,7.000,1.181,0.847,0.896
21,54,693.130,266.981,26.142,689,263,8,8,0.993,10.000,690,271,53.130,8.000,1.148,0.871,0.931
22,62,888.468,267.968,28.627,884,263,9,10,0.951,10.817,885,272,56.310,7.778,1.341,0.746,0.899
23,26,644.000,266.500,17.314,641,264,6,5,1.000,6.708,641,265,153.435,5.000,1.184,0.845,0.929
24,45,480.367,271.767,24.385,476,268,8,8,0.951,8.602,477,269,125.538,8.000,1.023,0.977,0.865
25,61,805.418,272.156,27.556,801,268,9,8,1.000,10.296,801,275,29.055,8.000,1.168,0.856,0.938
26,51,895.971,273.873,26.971,892,270,8,8,0.881,10.000,892,271,143.130,8.000,1.142,0.876,0.895
27,58,396.776,275.121,34.870,391,271,11,8,0.599,11.402,391,276,15.255,8.000,1.444,0.693,0.795
28,104,453.260,279.769,42.284,449,272,10,16,0.731,16.492,451,288,75.964,10.000,1.867,0.536,0.849
29,46,884.543,278.804,24.385,880,275,8,8,0.972,9.434,882,275,122.005,7.071,1.330,0.752,0.902
30,47,670.926,279.521,24.142,667,276,8,7,1.000,9.434,667,277,147.995,7.000,1.228,0.814,0.931
31,58,784.138,287.724,26.971,780,283,8,9,1.000,10.296,782,283,119.055,8.000,1.199,0.834,0.913
32,56,727.304,301.589,26.385,723,297,8,9,1.000,10.000,724,298,126.870,8.000,1.211,0.825,0.911
33,32,407.562,301.500,20.971,404,298,7,7,0.914,7.616,406,298,113.199,6.656,1.161,0.861,0.831
34,67,429.440,303.963,29.213,425,299,9,10,0.987,11.180,427,299,116.565,8.944,1.242,0.805,0.899
35,57,531.816,304.763,27.556,528,300,8,9,0.943,10.630,528,301,131.186,8.000,1.205,0.830,0.912
36,43,947.756,317.198,24.142,944,314,8,7,0.927,8.944,944,315,153.435,7.000,1.113,0.899,0.887
37,52,679.846,325.788,25.556,676,322,8,8,1.000,10.000,676,329,36.870,7.778,1.286,0.778,0.929
38,45,699.767,328.856,23.556,696,325,8,7,1.000,9.220,697,325,130.601,7.000,1.234,0.810,0.918
39,48,902.312,338.542,26.142,899,334,7,9,0.883,10.296,900,343,60.945,7.000,1.492,0.670,0.881
40,27,787.426,343.907,17.899,785,341,5,6,1.000,7.211,785,341,123.690,5.000,1.210,0.826,0.947
41,54,586.241,364.648,26.385,582,360,8,9,0.975,10.296,584,360,119.055,7.778,1.322,0.756,0.908
42,50,333.340,373.580,25.556,330,369,7,9,0.962,9.849,331,378,66.038,7.000,1.327,0.754,0.909
43,30,483.967,373.633,20.385,481,370,6,7,0.907,7.616,483,370,113.199,6.000,1.257,0.796,0.845
44,29,712.914,374.293,20.385,710,371,6,7,0.877,7.616,712,378,66.801,6.000,1.326,0.754,0.841
45,43,676.686,375.360,24.142,673,372,8,7,0.927,8.602,673,373,144.462,7.000,1.037,0.964,0.887
46,48,914.979,379.229,34.042,911,375,8,9,0.521,10.296,913,384,60.945,8.000,1.270,0.787,0.756
47,32,999.469,382.531,26.142,995,379,9,6,0.588,10.817,995,385,33.690,4.919,2.388,0.419,0.800
48,58,332.483,386.741,27.556,328,383,9,8,0.960,10.296,328,389,29.055,8.000,1.161,0.861,0.913
49,26,714.846,389.615,17.899,712,387,6,5,1.000,7.810,712,387,140.194,5.000,1.392,0.719,0.945
50,42,904.452,390.571,22.971,901,387,7,8,1.000,8.944,902,387,116.565,7.000,1.172,0.853,0.894
51,117,386.697,394.457,46.527,380,388,15,12,0.679,16.553,380,391,154.983,11.778,1.562,0.640,0.812
52,41,804.549,400.354,22.728,801,397,7,7,0.997,9.220,801,403,40.601,7.000,1.298,0.770,0.932
53,47,819.351,401.500,24.971,815,398,9,7,0.947,9.849,815,399,156.038,7.000,1.329,0.753,0.895
54,74,296.446,414.162,34.627,292,409,11,10,0.776,11.705,292,412,160.017,10.000,1.164,0.859,0.855
55,134,415.948,418.343,55.941,408,410,16,16,0.538,20.000,408,412,143.130,10.755,2.229,0.449,0.777
56,231,356.634,421.327,62.184,347,414,21,15,0.751,22.825,348,428,28.811,15.000,1.421,0.704,0.882
57,26,885.038,419.462,18.971,882,416,6,7,0.908,8.062,883,423,60.255,4.950,1.815,0.551,0.825
58,46,597.196,422.000,24.142,593,419,9,6,0.992,9.487,593,420,161.565,6.000,1.435,0.697,0.939
59,35,657.329,421.814,20.728,654,419,7,6,1.000,8.062,654,424,29.745,6.000,1.245,0.803,0.921
60,50,335.340,424.000,24.971,331,420,8,8,1.000,9.434,333,420,122.005,7.778,1.159,0.863,0.917
61,25,811.980,424.340,20.728,810,421,5,7,0.731,7.616,810,421,113.199,5.000,1.676,0.597,0.820
62,44,895.023,426.386,24.971,891,422,7,9,0.887,10.296,893,422,119.055,6.641,1.650,0.606,0.889
63,425,708.439,435.060,110.610,696,423,27,30,0.437,34.670,700,453,56.768,21.070,1.610,0.621,0.754
64,38,926.737,430.947,22.728,924,427,6,8,0.924,9.434,924,427,122.005,6.000,1.600,0.625,0.905
65,52,458.115,431.885,25.556,454,428,8,8,1.000,9.434,454,434,32.005,8.000,1.142,0.876,0.920
66,48,468.000,434.375,24.728,464,431,8,7,0.986,9.434,464,432,147.995,7.000,1.157,0.865,0.932
67,53,375.594,443.443,27.799,372,438,8,10,0.862,10.440,374,448,73.301,8.000,1.190,0.840,0.855
68,156,499.321,466.032,46.284,493,458,12,17,0.915,17.464,497,458,103.241,12.000,1.402,0.713,0.926
69,73,978.130,468.240,34.627,971,464,12,10,0.765,13.892,971,465,149.744,8.485,1.696,0.589,0.854
70,57,419.412,479.237,28.627,415,474,9,10,0.874,10.440,418,484,73.301,8.485,1.234,0.811,0.851
71,88,565.239,483.420,45.113,559,477,13,13,0.543,15.811,559,489,34.695,9.055,2.103,0.476,0.769
72,34,757.235,482.500,20.142,754,479,6,7,1.000,7.616,756,479,113.199,6.000,1.156,0.865,0.919
73,46,952.696,486.217,24.142,949,482,7,8,0.992,9.434,950,490,57.995,7.000,1.263,0.791,0.929
74,35,504.071,488.786,20.971,501,485,6,8,1.000,8.602,502,485,125.538,6.000,1.388,0.720,0.886
75,29,365.121,492.534,27.799,362,489,7,7,0.472,8.062,362,490,150.255,7.000,1.302,0.768,0.707
76,57,385.395,499.518,27.213,381,495,9,9,0.967,10.296,383,495,119.055,8.050,1.262,0.793,0.884
77,38,679.474,498.684,22.971,675,495,8,7,0.905,9.434,675,501,32.005,6.364,1.528,0.654,0.864
78,78,566.987,503.077,52.184,559,498,15,10,0.360,15.524,559,505,14.931,9.979,1.914,0.522,0.661
79,58,395.034,512.810,27.799,391,508,8,9,0.943,10.630,391,516,41.186,8.000,1.223,0.818,0.913
80,37,556.122,511.041,21.556,552,508,8,6,1.000,8.602,553,514,35.538,6.000,1.264,0.791,0.892
81,29,871.362,518.052,25.556,868,515,8,7,0.558,9.220,869,522,40.601,6.791,1.516,0.660,0.667
82,36,674.194,520.861,21.556,671,517,6,8,0.974,8.944,672,517,116.565,6.000,1.435,0.697,0.900
83,98,400.724,536.776,44.870,396,529,9,17,0.612,17.263,398,529,100.008,8.434,2.447,0.409,0.807
84,36,524.667,545.722,20.971,521,542,7,7,1.000,8.062,521,544,150.255,6.708,1.189,0.841,0.878
85,31,594.790,545.210,19.314,592,542,6,6,1.000,7.211,593,542,123.690,6.000,1.034,0.967,0.939
86,36,551.139,555.917,28.728,544,554,13,4,0.548,13.153,544,555,171.254,4.000,3.725,0.268,0.818
87,85,590.759,579.076,43.355,585,571,11,16,0.568,16.763,589,587,72.646,9.387,2.088,0.479,0.736
88,112,803.295,586.527,53.355,795,578,17,16,0.494,22.023,795,593,39.472,8.356,3.095,0.323,0.742
89,37,887.095,582.257,22.142,884,579,7,7,0.948,8.602,884,585,35.538,7.000,1.132,0.883,0.871
90,41,729.500,590.500,22.142,726,587,7,7,1.000,8.602,727,587,125.538,7.000,1.193,0.838,0.932
91,99,740.288,597.086,38.627,735,592,12,11,0.834,13.892,735,602,30.256,11.000,1.212,0.825,0.896
92,52,969.981,597.038,32.042,965,593,10,9,0.636,11.662,965,600,30.964,7.778,1.538,0.650,0.770
93,53,420.840,601.142,29.799,417,597,8,8,0.750,10.630,418,597,131.186,8.000,1.178,0.849,0.869
94,63,345.421,611.103,29.799,341,606,9,10,0.892,11.180,343,616,63.435,8.497,1.344,0.744,0.875
95,46,548.239,610.522,24.385,545,606,7,9,0.972,9.487,546,606,108.435,7.000,1.352,0.739,0.885
96,39,888.321,609.038,23.314,885,606,7,7,0.902,9.220,885,612,40.601,7.000,1.217,0.822,0.897
97,62,952.597,609.919,28.142,948,606,9,8,0.984,10.817,948,607,146.310,8.000,1.229,0.814,0.939
98,42,893.643,619.310,24.971,890,616,8,7,0.846,9.434,890,622,32.005,7.000,1.389,0.720,0.884
99,40,529.000,623.925,23.556,526,620,7,8,0.906,8.602,527,620,125.538,7.000,1.208,0.828,0.870
100,463,692.075,641.697,125.782,679,624,28,31,0.368,31.780,686,624,102.724,26.619,1.102,0.907,0.752
101,49,820.500,633.398,24.971,817,629,7,9,0.988,9.487,819,629,108.435,7.000,1.228,0.814,0.899
