 ,Area,X,Y,Perim.,BX,BY,Width,Height,Circ.,Feret,FeretX,FeretY,FeretAngle,MinFeret,AR,Round,Solidity
1,81,671.846,96.994,50.184,663,92,15,10,0.404,15.297,663,95,168.690,9.414,1.556,0.643,0.701
2,69,695.500,104.181,52.485,694,92,3,25,0.315,25.020,695,92,92.291,3.000,7.869,0.127,0.958
3,42,713.143,121.714,31.213,708,118,9,8,0.542,10.296,708,119,150.945,7.985,1.320,0.758,0.724
4,53,816.726,137.613,28.385,812,133,9,9,0.827,11.314,812,134,135.000,7.799,1.414,0.707,0.822
5,36,745.722,141.861,24.385,742,138,7,8,0.761,9.434,742,138,122.005,6.791,1.406,0.711,0.791
6,71,452.021,156.937,47.314,450,146,4,22,0.399,22.091,451,146,95.194,4.000,5.564,0.180,0.904
7,69,514.094,150.993,36.627,508,147,11,9,0.646,12.207,508,148,145.008,9.000,1.280,0.781,0.821
8,58,798.845,162.517,35.213,793,158,10,9,0.588,10.817,795,158,123.690,9.000,1.107,0.904,0.768
9,57,706.009,165.711,41.456,701,160,12,10,0.417,13.892,701,162,149.744,9.803,1.400,0.714,0.655
10,158,737.114,167.696,71.012,725,160,22,19,0.394,22.204,725,169,7.765,16.706,1.124,0.890,0.605
11,27,813.944,163.981,19.314,811,161,6,6,0.910,7.810,811,167,39.806,5.578,1.409,0.710,0.871
12,195,648.310,186.500,84.912,635,176,25,18,0.340,25.179,635,186,173.157,15.970,2.007,0.498,0.626
13,61,799.615,186.402,29.456,794,182,11,9,0.883,11.402,794,188,15.255,8.200,1.397,0.716,0.847
14,42,541.357,192.929,27.799,537,189,8,8,0.683,9.434,539,189,122.005,7.000,1.480,0.676,0.824
15,31,770.081,199.500,22.971,767,196,6,7,0.738,8.485,767,196,135.000,6.000,1.318,0.759,0.805
16,45,882.744,202.411,26.971,879,198,7,9,0.777,9.849,880,198,113.962,7.000,1.552,0.644,0.826
17,59,757.602,209.754,34.627,753,205,12,10,0.618,12.649,753,206,161.565,9.363,1.323,0.756,0.747
18,36,804.806,224.972,22.385,801,221,7,8,0.903,9.434,802,221,122.005,6.002,1.760,0.568,0.847
19,71,934.415,253.993,30.385,930,249,9,10,0.966,11.180,932,259,63.435,9.000,1.186,0.843,0.916
20,38,917.053,263.921,28.385,912,261,9,7,0.593,10.296,912,261,150.945,7.000,1.607,0.622,0.745
21,133,482.816,272.470,53.113,477,264,12,19,0.592,20.248,480,264,110.225,10.850,1.922,0.520,0.794
22,56,819.446,267.571,32.627,814,264,10,8,0.661,10.770,814,266,158.199,8.000,1.385,0.722,0.830
23,41,799.232,273.402,22.728,796,270,7,7,0.997,8.602,797,277,54.462,7.000,1.097,0.911,0.921
24,52,564.500,275.615,34.627,560,271,9,9,0.545,10.296,560,273,150.945,8.485,1.274,0.785,0.806
25,41,553.622,278.866,27.799,548,275,10,8,0.667,10.770,548,277,158.199,7.071,1.796,0.557,0.739
26,82,332.939,291.256,57.799,330,277,6,26,0.308,26.173,331,277,96.582,6.000,5.271,0.190,0.701
27,66,651.667,283.045,38.042,647,277,10,11,0.573,13.601,649,277,126.027,9.430,1.651,0.606,0.767
28,54,933.000,281.000,26.142,929,277,8,8,0.993,10.000,929,284,36.870,8.000,1.217,0.822,0.931
29,32,544.000,282.875,22.971,541,279,6,8,0.762,8.544,542,279,110.556,5.687,1.686,0.593,0.800
30,56,395.750,287.232,32.385,390,283,10,9,0.671,11.662,390,285,149.036,8.277,1.610,0.621,0.772
31,35,518.386,293.186,28.627,515,289,7,8,0.537,9.434,516,289,122.005,7.000,1.479,0.676,0.729
