 ,Area,X,Y,Perim.,BX,BY,Width,Height,Circ.,Feret,FeretX,FeretY,FeretAngle,MinFeret,AR,Round,Solidity
1,165,598.882,70.027,61.255,589,61,17,19,0.553,22.672,589,64,138.576,12.728,2.063,0.485,0.815
2,956,481.202,137.773,146.811,464,107,34,48,0.557,50.695,473,154,67.989,34.000,1.169,0.855,0.827
3,524,645.616,149.901,117.539,631,138,34,25,0.477,35.440,631,141,163.610,24.350,1.576,0.635,0.826
4,73,492.555,170.966,49.456,489,161,7,21,0.375,21.095,491,161,95.440,7.000,3.238,0.309,0.702
5,29,636.362,200.086,22.971,632,197,8,6,0.691,8.944,632,199,153.435,5.754,1.820,0.550,0.753
6,44,903.409,206.432,28.971,899,203,8,8,0.659,10.630,899,203,131.186,7.071,1.603,0.624,0.830
7,47,812.543,254.074,24.142,809,250,7,8,1.000,9.220,809,251,130.601,7.000,1.175,0.851,0.931
8,50,643.900,269.120,30.627,640,264,7,10,0.670,10.770,642,264,111.801,7.000,1.817,0.550,0.813
9,43,669.267,277.291,23.556,665,274,8,7,0.974,9.434,665,275,147.995,7.000,1.379,0.725,0.905
10,1176,330.355,303.020,175.865,313,276,36,51,0.478,53.488,324,276,110.807,35.693,1.515,0.660,0.851
11,28,610.929,281.857,20.142,608,279,7,6,0.867,8.602,608,285,35.538,5.600,1.684,0.594,0.836
12,47,829.926,287.330,24.142,826,284,8,7,1.000,8.944,826,285,153.435,7.000,1.121,0.892,0.931
13,40,363.725,291.825,23.213,360,288,8,8,0.933,8.544,362,288,110.556,7.071,1.072,0.933,0.842
14,84,306.667,327.762,56.669,301,320,11,16,0.329,17.088,303,320,110.556,9.944,1.581,0.632,0.669
15,53,972.896,347.236,26.385,969,343,8,9,0.957,10.296,970,343,119.055,7.778,1.319,0.758,0.898
16,697,956.674,373.306,166.066,937,357,44,30,0.318,50.120,937,358,151.390,25.662,1.903,0.526,0.763
17,99,306.601,370.045,39.113,300,363,13,13,0.813,13.601,300,369,162.897,11.314,1.266,0.790,0.839
18,42,985.452,371.000,22.385,982,367,7,8,1.000,8.246,984,367,104.036,7.000,1.045,0.957,0.894
19,34,634.147,372.559,20.728,631,369,6,7,0.994,8.602,632,369,125.538,6.000,1.417,0.706,0.919
20,29,402.259,394.569,22.971,399,391,7,7,0.691,8.062,399,392,150.255,6.261,1.425,0.702,0.744
21,30,1004.467,398.400,22.142,1000,396,9,5,0.769,9.849,1000,400,23.962,5.000,1.975,0.506,0.870
22,38,301.868,406.447,23.556,298,403,7,7,0.861,8.602,299,410,54.462,7.000,1.122,0.892,0.874
23,112,495.411,425.812,40.627,491,418,9,16,0.853,16.279,494,434,79.380,9.000,1.779,0.562,0.922
24,55,567.464,443.955,26.971,563,440,9,8,0.950,10.000,564,440,126.870,7.906,1.273,0.786,0.894
25,33,730.106,460.015,22.971,727,456,7,7,0.786,7.616,729,456,113.199,6.934,1.123,0.890,0.846
26,53,991.632,484.387,34.728,989,476,5,15,0.552,15.297,989,491,78.690,5.000,3.242,0.308,0.862
27,25,698.660,516.780,18.142,696,514,6,6,0.954,7.071,697,520,45.000,6.000,1.150,0.870,0.820
28,55,333.300,549.082,46.527,328,543,11,11,0.319,13.038,330,554,57.529,9.600,1.388,0.720,0.611
29,25,857.140,556.940,24.385,854,553,6,7,0.528,8.062,856,553,119.745,6.000,1.466,0.682,0.704
30,44,677.727,563.159,23.799,674,559,8,8,0.976,9.220,674,566,40.601,7.071,1.221,0.819,0.871
31,34,765.471,605.206,21.314,762,602,7,6,0.941,8.485,762,608,45.000,6.000,1.220,0.819,0.907
32,47,947.457,610.138,24.385,943,606,8,8,0.993,9.434,945,606,122.005,7.778,1.151,0.869,0.895
33,54,579.593,619.204,26.971,575,616,10,7,0.933,10.440,575,617,163.301,7.000,1.380,0.725,0.908
34,43,508.849,641.128,27.799,505,637,8,8,0.699,8.944,505,639,153.435,7.603,1.042,0.959,0.827
35,80,557.375,676.663,47.941,552,670,11,14,0.437,14.560,553,670,105.945,10.672,1.442,0.694,0.705
36,263,704.648,686.914,81.640,696,675,17,26,0.496,26.173,704,701,83.418,15.815,1.768,0.566,0.797
37,31,412.952,696.887,23.799,409,694,7,7,0.688,8.602,409,695,144.462,6.364,1.478,0.676,0.805
38,97,484.057,736.655,51.456,478,729,10,20,0.460,21.190,480,729,109.290,8.944,2.642,0.378,0.738
