 ,Area,X,Y,Perim.,BX,BY,Width,Height,Circ.,Feret,FeretX,FeretY,FeretAngle,MinFeret,AR,Round,Solidity
1,38,645.000,139.500,21.314,642,136,6,7,1.000,8.062,643,136,119.745,6.000,1.159,0.863,0.950
2,39,613.372,145.449,22.971,609,142,8,7,0.929,8.602,610,148,35.538,7.000,1.209,0.827,0.848
3,34,511.382,155.500,20.971,508,152,7,7,0.972,7.616,510,152,113.199,6.934,1.110,0.901,0.861
4,45,707.322,163.456,24.385,703,160,9,7,0.951,9.849,703,161,156.038,7.000,1.338,0.747,0.891
5,36,613.028,163.667,22.971,609,161,8,6,0.857,8.944,609,161,153.435,6.000,1.496,0.668,0.857
6,47,687.840,172.862,24.385,684,169,8,8,0.993,8.944,684,175,26.565,7.603,1.163,0.860,0.895
7,51,433.049,182.049,25.556,429,178,8,8,0.981,10.000,429,185,36.870,7.778,1.341,0.746,0.919
8,152,667.763,207.020,69.497,656,200,23,13,0.395,23.770,656,204,165.379,9.764,2.902,0.345,0.764
9,66,734.439,215.909,30.385,730,210,8,11,0.898,12.083,732,221,65.556,8.000,1.521,0.657,0.910
10,28,713.571,223.893,20.142,711,220,5,8,0.867,8.544,712,228,69.444,5.000,1.791,0.558,0.848
11,42,429.738,233.738,23.556,426,230,7,8,0.951,8.944,428,230,116.565,7.000,1.166,0.858,0.894
12,65,522.408,235.285,30.385,518,230,9,10,0.885,12.207,518,240,55.008,8.485,1.507,0.664,0.897
13,31,641.952,239.403,20.728,638,237,8,5,0.907,8.544,638,238,159.444,5.000,1.743,0.574,0.886
14,41,716.280,254.305,22.971,712,251,8,7,0.976,9.434,712,252,147.995,6.656,1.500,0.667,0.882
15,37,444.527,262.959,22.142,440,260,8,6,0.948,8.544,440,262,159.444,6.000,1.225,0.816,0.881
16,55,414.700,270.536,27.213,410,266,9,9,0.933,9.487,413,266,108.435,8.485,1.018,0.982,0.873
17,29,513.017,276.983,19.556,510,274,7,6,0.953,8.062,510,280,29.745,5.657,1.435,0.697,0.879
18,51,728.735,286.480,25.799,725,282,8,9,0.963,10.296,726,282,119.055,7.071,1.444,0.692,0.903
19,39,936.962,290.910,22.142,934,287,6,8,1.000,8.602,935,287,125.538,6.000,1.311,0.763,0.918
20,57,372.237,299.307,28.971,368,294,8,10,0.853,11.662,369,304,59.036,7.589,1.594,0.627,0.877
21,35,611.300,310.357,22.385,608,306,7,8,0.878,8.944,609,314,63.435,6.261,1.539,0.650,0.833
