 ,Area,X,Y,Perim.,BX,BY,Width,Height,Circ.,Feret,FeretX,FeretY,FeretAngle,MinFeret,AR,Round,Solidity
1,73,601.692,99.226,30.385,597,94,9,10,0.994,11.180,599,104,63.435,9.000,1.146,0.873,0.930
2,120,568.225,103.892,69.497,556,97,22,14,0.312,22.361,556,107,10.305,13.641,1.892,0.529,0.588
3,42,729.524,105.095,32.870,725,101,9,8,0.488,9.849,725,103,156.038,7.428,1.545,0.647,0.730
4,73,722.295,125.651,32.627,718,120,9,12,0.862,13.416,719,132,63.435,8.485,1.672,0.598,0.885
5,32,538.344,131.312,20.971,534,128,8,6,0.914,8.544,534,133,20.556,6.000,1.520,0.658,0.842
6,56,565.179,151.732,40.627,560,148,10,8,0.426,10.770,560,150,158.199,8.000,1.308,0.764,0.783
7,59,740.856,154.551,27.213,736,150,9,9,1.000,9.849,736,156,23.962,9.000,1.040,0.961,0.894
8,58,777.897,156.414,34.385,773,153,10,8,0.616,11.180,773,154,153.435,8.000,1.296,0.772,0.811
9,49,591.745,159.582,37.456,587,156,9,9,0.439,10.296,587,162,29.055,9.000,1.105,0.905,0.731
10,72,623.972,165.611,30.385,620,160,8,11,0.980,11.402,623,160,105.255,8.000,1.289,0.776,0.923
11,66,533.773,169.318,29.213,529,164,9,10,0.972,10.817,529,172,33.690,9.000,1.131,0.884,0.898
12,188,790.803,177.261,76.083,783,168,18,19,0.408,22.672,785,168,131.424,14.444,1.725,0.580,0.746
13,68,478.647,174.971,36.870,474,170,9,11,0.629,11.402,476,170,105.255,9.000,1.223,0.818,0.829
14,28,646.821,173.250,25.799,643,170,7,8,0.529,8.544,644,170,110.556,6.641,1.447,0.691,0.659
15,48,863.667,180.146,32.870,859,176,9,9,0.558,9.849,859,178,156.038,8.485,1.231,0.812,0.768
16,58,644.172,184.655,33.213,640,180,8,10,0.661,10.770,642,190,68.199,8.000,1.268,0.789,0.853
17,38,806.632,183.263,28.142,802,180,8,8,0.603,9.434,802,185,32.005,8.000,1.307,0.765,0.745
18,29,448.431,184.293,22.142,445,181,6,8,0.743,9.434,445,181,122.005,5.400,1.999,0.500,0.806
19,82,731.195,190.512,32.627,726,185,10,11,0.968,11.402,728,195,52.125,10.000,1.068,0.936,0.901
20,162,714.728,195.938,69.255,706,188,16,17,0.424,19.209,707,192,141.340,15.811,1.104,0.906,0.755
21,55,885.809,192.355,33.456,881,188,9,9,0.617,10.817,883,188,123.690,7.778,1.461,0.685,0.840
22,202,565.515,196.500,62.669,557,189,19,17,0.646,20.125,558,202,26.565,16.816,1.212,0.825,0.842
23,54,457.685,193.907,34.042,452,190,10,9,0.586,11.402,454,190,127.875,8.403,1.487,0.672,0.750
