 ,Area,X,Y,Perim.,BX,BY,Width,Height,Circ.,Feret,FeretX,FeretY,FeretAngle,MinFeret,AR,Round,Solidity
1,48,763.125,229.062,24.385,759,225,8,8,1.000,8.944,759,227,153.435,8.000,1.066,0.938,0.889
2,29,873.845,252.569,30.385,870,247,7,12,0.395,13.892,870,259,59.744,3.674,4.651,0.215,0.682
3,74,642.770,253.176,30.627,638,248,10,10,0.991,11.662,640,248,120.964,9.192,1.265,0.790,0.908
4,65,734.315,254.023,28.971,730,249,8,10,0.973,11.180,732,259,63.435,8.000,1.321,0.757,0.929
5,104,800.000,263.154,42.627,792,258,16,10,0.719,17.889,792,267,26.565,8.326,2.422,0.413,0.878
6,76,925.447,298.868,33.213,920,294,11,10,0.866,12.806,921,294,128.660,8.875,1.521,0.657,0.889
7,40,797.775,354.275,26.142,795,349,6,10,0.736,10.198,796,349,101.310,6.000,1.790,0.559,0.816
8,93,606.005,372.640,54.527,599,366,14,13,0.393,17.029,600,379,40.236,10.607,1.957,0.511,0.713
9,57,1023.711,379.781,27.799,1018,376,11,7,0.927,11.180,1018,381,10.305,7.000,1.499,0.667,0.891
10,85,685.324,388.582,46.627,680,382,10,15,0.491,16.553,681,397,64.983,9.864,1.735,0.576,0.708
11,90,764.400,387.622,34.042,759,382,11,11,0.976,12.083,759,385,155.556,10.733,1.088,0.919,0.909
12,68,1061.118,387.059,29.799,1056,383,11,8,0.962,11.402,1056,385,164.745,8.000,1.283,0.779,0.919
13,63,897.690,394.103,28.385,893,390,10,8,0.983,10.440,893,392,163.301,8.000,1.170,0.855,0.920
14,48,445.917,398.792,25.556,442,394,7,9,0.924,9.487,445,403,71.565,7.000,1.235,0.809,0.897
15,64,719.875,414.234,27.799,716,409,8,10,1.000,10.770,718,409,111.801,8.000,1.207,0.828,0.928
16,40,603.650,419.350,22.728,600,416,7,7,0.973,9.899,600,416,135.000,6.364,1.486,0.673,0.941
17,75,711.460,424.047,30.385,706,420,11,8,1.000,11.705,706,422,160.017,8.000,1.359,0.736,0.943
18,77,758.266,435.253,51.698,753,429,11,12,0.362,13.601,756,429,126.027,10.914,1.052,0.950,0.703
19,46,504.022,450.913,30.971,501,445,7,11,0.603,12.530,501,445,118.610,6.412,2.445,0.409,0.754
20,255,1040.884,469.575,81.497,1032,457,18,25,0.482,28.178,1036,457,117.474,16.138,1.858,0.538,0.774
21,40,1027.625,469.700,23.556,1023,466,8,7,0.906,10.000,1023,472,36.870,6.364,1.562,0.640,0.899
22,89,857.455,472.815,34.627,851,468,12,10,0.933,13.000,851,475,22.620,10.000,1.234,0.811,0.908
23,53,715.840,476.858,26.971,712,472,8,9,0.916,11.402,712,472,127.875,7.761,1.559,0.642,0.898
24,52,434.942,486.096,26.971,431,482,8,9,0.898,10.000,432,482,126.870,7.906,1.227,0.815,0.874
25,33,823.439,495.712,20.728,821,492,5,8,0.965,8.246,822,492,104.036,5.000,1.474,0.679,0.917
26,50,1055.360,497.480,27.799,1051,493,9,9,0.813,11.402,1051,501,37.875,7.000,1.850,0.541,0.847
27,54,528.444,497.648,26.142,524,494,9,7,0.993,10.296,524,495,150.945,7.000,1.345,0.743,0.931
28,61,697.861,499.648,28.385,693,496,10,8,0.951,10.770,693,502,21.801,8.000,1.350,0.741,0.904
29,125,1053.644,509.908,69.255,1047,502,14,15,0.328,18.601,1048,502,126.254,12.965,1.318,0.759,0.751
30,35,756.814,512.329,20.728,754,509,6,7,1.000,8.062,755,516,60.255,6.000,1.245,0.803,0.921
31,95,572.763,516.921,61.740,564,510,16,14,0.313,16.553,564,519,25.017,10.286,1.592,0.628,0.662
32,66,1111.485,518.364,30.142,1106,515,11,7,0.913,12.083,1106,521,24.444,7.000,1.622,0.616,0.936
33,43,824.081,521.360,24.142,821,517,6,9,0.927,9.487,823,526,71.565,6.000,1.459,0.685,0.905
34,62,836.048,527.097,27.799,831,523,10,8,1.000,11.180,831,525,153.435,8.000,1.354,0.738,0.919
35,97,1107.448,528.552,50.870,1098,524,18,9,0.471,18.248,1098,527,170.538,9.000,2.385,0.419,0.695
36,98,1102.694,541.102,50.284,1098,532,10,18,0.487,19.698,1099,550,66.038,8.308,2.976,0.336,0.754
37,63,696.024,539.786,28.142,692,535,8,9,1.000,10.296,693,544,60.945,8.000,1.092,0.916,0.947
38,50,451.100,546.800,28.385,446,543,9,9,0.780,11.402,446,543,127.875,7.814,1.512,0.662,0.813
39,53,471.613,546.406,26.142,467,543,9,7,0.975,10.296,467,544,150.945,7.000,1.343,0.745,0.922
40,63,584.071,575.468,28.142,579,572,10,7,1.000,11.180,579,573,153.435,7.000,1.436,0.696,0.955
41,45,854.278,581.633,24.385,850,578,9,7,0.951,10.296,850,579,150.945,6.364,1.637,0.611,0.909
42,28,708.179,590.393,19.314,706,587,5,7,0.943,8.062,706,594,60.255,5.000,1.617,0.619,0.903
43,41,503.207,593.280,25.314,501,588,5,10,0.804,10.770,501,588,111.801,5.000,2.175,0.460,0.921
44,25,484.380,596.860,18.728,482,593,5,7,0.896,7.616,483,593,113.199,5.000,1.565,0.639,0.847
45,75,649.500,602.113,31.213,644,597,10,10,0.967,11.180,647,607,63.435,9.839,1.128,0.887,0.915
46,51,716.520,603.324,25.556,712,600,9,7,0.981,9.849,712,605,23.962,7.000,1.294,0.773,0.919
47,56,682.018,610.393,26.385,678,606,8,9,1.000,10.000,678,613,36.870,8.000,1.211,0.825,0.911
48,45,753.833,629.722,24.142,750,626,8,7,0.970,9.220,751,626,130.601,7.000,1.075,0.930,0.900
49,41,596.402,631.817,28.627,591,629,11,6,0.629,11.402,591,629,164.745,6.000,2.003,0.499,0.739
50,69,544.428,647.109,29.213,540,642,9,10,1.000,10.817,540,650,33.690,9.000,1.186,0.843,0.914
51,40,773.450,646.575,21.556,770,643,7,7,1.000,8.602,770,649,35.538,7.000,1.149,0.870,0.920
52,52,829.462,649.692,25.556,826,645,7,9,1.000,10.000,826,646,126.870,7.000,1.304,0.767,0.920
53,69,826.457,659.442,29.799,821,655,10,9,0.976,10.440,821,659,163.301,9.000,1.054,0.949,0.914
54,124,729.000,667.145,68.426,723,658,13,18,0.333,19.313,724,676,68.749,11.877,1.854,0.539,0.672
55,43,616.988,661.779,24.142,612,659,9,6,0.927,9.487,612,661,161.565,6.000,1.480,0.676,0.915
56,36,1074.889,665.472,22.728,1070,663,9,5,0.876,9.849,1070,664,156.038,5.000,1.918,0.521,0.900
57,73,881.459,673.007,32.042,876,668,11,10,0.894,12.042,877,669,138.366,9.153,1.331,0.752,0.864
58,65,1049.746,676.762,29.556,1046,672,8,10,0.935,10.817,1047,672,123.690,8.000,1.261,0.793,0.915
59,68,991.147,686.912,33.799,987,682,9,11,0.748,12.530,989,693,61.390,9.000,1.373,0.728,0.819
60,100,1052.110,691.670,35.456,1046,686,12,11,1.000,13.416,1046,689,153.435,10.607,1.216,0.822,0.926
61,63,694.786,694.754,28.142,691,690,8,9,1.000,10.817,692,690,123.690,8.000,1.192,0.839,0.955
62,54,367.537,705.444,26.142,363,702,9,7,0.993,10.296,363,703,150.945,7.000,1.356,0.738,0.939
63,52,636.942,716.481,26.385,633,712,8,9,0.939,10.000,633,720,36.870,7.778,1.273,0.785,0.889
64,50,1114.140,736.680,26.385,1109,733,10,7,0.903,10.770,1109,739,21.801,7.000,1.609,0.621,0.901
65,37,456.122,745.068,22.142,453,741,6,8,0.948,9.434,454,749,57.995,6.000,1.619,0.618,0.914
66,26,449.962,756.615,19.314,447,753,5,7,0.876,8.062,448,760,60.255,5.000,1.704,0.587,0.881
67,38,457.763,761.000,24.971,454,757,8,8,0.766,10.630,454,764,41.186,6.345,2.086,0.479,0.817
68,61,570.303,782.254,30.627,566,777,9,10,0.817,10.770,568,777,111.801,9.000,1.124,0.890,0.847
69,57,786.833,782.623,27.556,783,778,8,9,0.943,10.296,784,787,60.945,8.000,1.231,0.812,0.905
70,52,655.615,783.673,25.556,652,779,7,9,1.000,10.296,653,788,60.945,7.000,1.380,0.725,0.937
71,26,503.269,786.000,17.556,500,783,6,6,1.000,6.708,502,783,116.565,5.814,1.121,0.892,0.867
72,56,1010.107,787.804,26.971,1005,784,10,7,0.967,10.770,1005,786,158.199,7.000,1.534,0.652,0.911
73,55,629.500,789.500,26.142,625,786,9,7,1.000,10.296,625,792,29.055,7.000,1.314,0.761,0.948
74,36,1045.222,790.694,22.142,1041,788,9,5,0.923,9.487,1041,789,161.565,5.000,1.721,0.581,0.900
75,75,511.007,792.580,40.042,505,789,14,8,0.588,15.652,505,796,26.565,8.000,2.096,0.477,0.815
76,57,378.447,801.307,28.385,374,797,9,9,0.889,11.314,374,805,45.000,7.778,1.441,0.694,0.884
77,56,1006.536,800.679,31.213,1001,797,11,8,0.722,12.530,1001,799,151.390,7.354,1.851,0.540,0.806
78,139,966.608,824.917,49.698,959,817,16,15,0.707,19.209,960,830,38.660,11.800,1.709,0.585,0.825
79,72,443.208,833.361,30.385,438,829,10,9,0.980,10.817,440,829,123.690,9.000,1.060,0.944,0.923
80,37,478.365,832.527,22.142,475,829,7,7,0.948,9.220,475,836,40.601,6.364,1.530,0.654,0.902
81,28,740.429,832.929,33.071,732,832,16,2,0.322,16.031,732,832,176.424,2.000,7.358,0.136,0.933
82,146,736.370,848.432,61.941,729,840,16,17,0.478,20.000,729,855,36.870,12.021,2.059,0.486,0.753
83,97,602.923,863.985,45.113,597,856,12,16,0.599,16.763,601,856,107.354,8.497,2.265,0.441,0.764
84,80,674.225,862.525,31.799,670,857,9,11,0.994,11.705,672,857,109.983,9.000,1.220,0.819,0.936
85,80,859.500,862.000,32.042,854,857,11,10,0.979,11.705,854,860,160.017,10.000,1.121,0.892,0.899
86,72,985.889,871.278,30.627,981,866,10,10,0.965,11.662,981,868,149.036,9.192,1.294,0.773,0.894
87,53,603.274,879.613,28.627,599,875,9,10,0.813,11.402,599,883,37.875,7.071,1.856,0.539,0.815
88,32,636.312,887.219,21.556,632,884,8,6,0.865,8.602,633,890,35.538,5.578,1.637,0.611,0.831
89,63,844.468,892.690,28.385,840,888,9,9,0.983,10.817,840,896,33.690,8.485,1.287,0.777,0.920
90,50,608.240,903.980,25.799,605,899,7,10,0.944,10.198,607,899,101.310,7.000,1.452,0.689,0.877
91,26,890.269,908.269,26.627,888,903,5,10,0.461,10.198,889,903,101.310,4.603,2.588,0.386,0.650
92,44,799.136,921.932,26.142,796,917,6,10,0.809,10.440,797,917,106.699,5.754,1.968,0.508,0.863
93,79,527.057,932.006,31.799,522,927,10,10,0.982,11.662,522,935,30.964,9.803,1.195,0.837,0.924
94,70,786.114,948.086,29.556,781,944,10,8,1.000,11.180,781,946,153.435,8.000,1.241,0.806,0.952
