 ,Area,X,Y,Perim.,BX,BY,Width,Height,Circ.,Feret,FeretX,FeretY,FeretAngle,MinFeret,AR,Round,Solidity
1,366,651.615,112.975,122.510,638,99,28,29,0.306,35.228,642,99,124.592,19.200,1.824,0.548,0.726
2,52,679.865,105.096,32.042,675,101,10,8,0.636,10.770,675,103,158.199,7.906,1.493,0.670,0.812
3,66,558.409,111.258,28.385,554,107,9,9,1.000,10.817,554,114,33.690,9.000,1.134,0.882,0.930
4,28,707.107,117.964,22.971,704,114,7,7,0.667,8.062,706,114,119.745,5.657,1.488,0.672,0.789
5,33,540.864,132.258,27.213,537,129,8,7,0.560,8.602,539,129,125.538,7.000,1.144,0.874,0.733
6,55,669.773,137.009,26.971,666,133,8,9,0.950,9.487,667,133,108.435,8.000,1.082,0.924,0.902
7,154,656.623,141.442,53.698,648,134,16,14,0.671,18.028,648,146,33.690,14.000,1.296,0.772,0.835
8,60,605.983,146.100,27.799,601,142,10,8,0.976,11.180,601,144,153.435,8.000,1.396,0.716,0.902
9,113,818.261,148.111,53.113,810,143,17,11,0.503,17.720,810,145,163.610,10.955,1.578,0.634,0.796
10,46,474.043,147.674,24.971,470,144,8,8,0.927,9.434,471,144,122.005,7.778,1.114,0.898,0.876
11,33,678.470,150.258,24.142,676,146,6,9,0.711,10.296,676,155,60.945,5.367,2.266,0.441,0.795
12,140,525.336,158.793,57.355,515,152,19,13,0.535,20.248,515,162,20.225,11.180,2.255,0.444,0.771
13,50,749.020,162.300,25.799,745,158,8,9,0.944,9.487,747,167,71.565,7.906,1.217,0.821,0.862
14,76,420.816,170.066,31.213,416,165,10,10,0.980,11.662,418,165,120.964,9.391,1.226,0.816,0.910
15,81,522.019,175.006,32.385,517,170,10,10,0.971,11.402,518,171,142.125,10.000,1.046,0.956,0.915
16,89,556.062,184.489,33.799,550,180,12,9,0.979,13.000,550,182,157.380,9.000,1.314,0.761,0.942
17,44,412.818,192.500,24.142,409,189,8,7,0.949,9.220,409,195,40.601,7.000,1.088,0.919,0.898
18,32,624.969,206.219,26.385,622,203,7,7,0.578,8.062,623,203,119.745,7.000,1.184,0.845,0.762
