 ,Area,X,Y,Perim.,BX,BY,Width,Height,Circ.,Feret,FeretX,FeretY,FeretAngle,MinFeret,AR,Round,Solidity
1,55,528.282,91.809,30.385,524,87,8,9,0.749,10.000,525,88,126.870,8.000,1.060,0.944,0.866
2,97,516.500,110.655,45.355,509,104,14,12,0.593,14.560,509,113,15.945,11.714,1.367,0.732,0.761
3,45,810.967,114.167,27.799,807,109,8,9,0.732,9.849,810,109,113.962,7.071,1.423,0.703,0.826
4,73,560.596,124.295,31.213,555,120,11,9,0.942,11.402,555,126,15.255,9.000,1.176,0.850,0.901
5,69,886.746,169.022,49.314,885,158,4,23,0.357,23.195,885,181,82.569,4.000,6.507,0.154,0.879
6,29,1004.638,398.948,21.314,1000,397,9,4,0.802,9.487,1000,400,18.435,4.000,2.130,0.470,0.921
7,135,495.463,426.270,42.042,490,419,11,15,0.960,15.811,493,434,71.565,11.000,1.364,0.733,0.941
8,40,739.425,427.225,22.142,736,424,7,7,1.000,8.062,737,424,119.745,7.000,1.036,0.965,0.920
9,51,800.441,448.794,33.213,794,445,11,8,0.581,11.705,794,447,160.017,8.000,1.231,0.812,0.761
10,54,991.222,486.352,33.556,988,479,6,14,0.603,14.866,988,493,70.346,5.336,3.008,0.332,0.850
11,72,974.486,497.889,30.385,970,493,9,10,0.980,10.817,970,501,33.690,9.000,1.128,0.887,0.923
12,31,962.532,518.081,28.042,959,514,7,8,0.495,8.944,960,514,116.565,7.000,1.300,0.769,0.689
13,36,965.222,528.250,27.799,962,524,7,8,0.585,8.602,963,524,125.538,7.000,1.216,0.823,0.766
14,49,764.765,565.765,25.556,761,562,8,8,0.943,9.434,762,562,122.005,8.000,1.156,0.865,0.891
15,31,925.629,578.016,22.971,922,574,7,7,0.738,8.602,922,580,35.538,5.814,1.601,0.625,0.795
16,44,845.773,584.841,28.627,841,581,9,8,0.675,9.487,841,585,18.435,8.000,1.196,0.836,0.772
17,45,573.011,622.722,24.971,569,619,8,7,0.907,8.944,569,621,153.435,7.000,1.147,0.872,0.900
18,37,843.014,640.338,34.042,837,637,11,8,0.401,11.705,837,641,19.983,7.593,1.689,0.592,0.627
19,54,720.278,644.370,44.485,709,643,21,3,0.343,21.213,709,643,171.870,3.000,7.283,0.137,0.923
20,31,649.306,666.694,22.385,646,663,6,7,0.777,8.062,647,670,60.255,6.000,1.433,0.698,0.827
21,43,800.151,682.198,23.556,797,678,7,8,0.974,8.602,798,678,125.538,7.000,1.073,0.932,0.887
