 ,Area,X,Y,Perim.,BX,BY,Width,Height,Circ.,Feret,FeretX,FeretY,FeretAngle,MinFeret,AR,Round,Solidity
1,46,760.609,232.152,25.213,756,228,9,8,0.909,10.817,756,229,146.310,6.364,1.744,0.573,0.868
2,214,619.963,277.780,66.770,614,264,11,27,0.603,27.166,621,264,96.340,11.000,2.384,0.419,0.873
3,39,680.885,313.833,23.314,677,311,8,6,0.902,10.000,677,317,36.870,6.000,1.662,0.602,0.929
4,63,469.071,328.183,28.971,465,324,9,9,0.943,11.402,466,333,52.125,8.485,1.316,0.760,0.920
5,126,828.619,400.714,65.255,818,392,19,19,0.372,24.759,818,392,133.363,9.611,3.246,0.308,0.676
6,46,884.870,399.391,23.556,881,396,8,7,1.000,8.944,881,397,153.435,7.000,1.153,0.867,0.929
7,109,460.849,413.243,43.698,454,408,15,11,0.717,17.000,454,408,151.928,9.454,1.914,0.523,0.862
8,96,691.479,433.531,45.355,683,428,15,11,0.586,15.811,683,431,161.565,11.000,1.230,0.813,0.765
9,104,704.231,434.462,41.456,698,429,12,12,0.760,14.866,698,429,132.274,11.384,1.157,0.864,0.870
10,63,1027.690,432.897,28.385,1023,429,10,8,0.983,10.440,1023,435,16.699,8.000,1.170,0.855,0.920
11,35,1003.757,443.071,21.899,1000,440,7,6,0.917,8.602,1000,446,35.538,6.000,1.085,0.922,0.909
12,94,335.298,452.213,35.213,330,447,11,11,0.953,13.038,330,456,32.471,10.733,1.202,0.832,0.917
13,121,402.599,468.417,39.456,396,462,13,12,0.977,13.928,396,466,158.962,12.000,1.113,0.899,0.927
14,599,744.250,496.981,93.740,729,483,28,30,0.857,33.302,731,487,131.348,25.400,1.300,0.769,0.942
15,133,1152.876,524.177,51.698,1146,518,15,15,0.625,18.439,1147,531,40.601,12.606,1.612,0.620,0.821
16,118,716.127,545.746,54.770,708,539,15,15,0.494,17.493,713,554,59.036,13.339,1.138,0.879,0.724
17,40,591.000,583.500,22.971,587,580,8,7,0.953,8.062,589,580,119.745,7.000,1.039,0.962,0.870
18,124,310.137,591.879,40.870,304,585,12,14,0.933,14.765,306,598,61.699,12.000,1.212,0.825,0.922
19,186,1079.532,601.925,53.355,1070,594,19,15,0.821,20.000,1072,596,143.130,13.313,1.611,0.621,0.888
20,48,753.958,603.812,25.556,751,599,6,10,0.924,10.198,752,599,101.310,6.000,1.533,0.652,0.914
21,36,1054.111,604.944,21.556,1050,602,8,6,0.974,8.544,1050,606,20.556,6.000,1.320,0.758,0.889
22,49,626.357,617.112,26.971,621,613,10,7,0.846,10.817,621,620,33.690,7.000,1.470,0.680,0.875
23,54,625.722,624.148,31.213,621,621,11,7,0.697,12.530,621,627,28.610,7.000,1.815,0.551,0.837
24,48,936.646,652.042,24.971,933,648,8,8,0.967,9.220,933,655,40.601,8.000,1.063,0.941,0.881
25,27,1167.870,654.981,19.899,1164,653,8,4,0.857,8.944,1164,657,26.565,4.000,2.085,0.480,0.931
26,47,823.266,689.947,24.385,819,686,8,8,0.993,8.602,820,687,125.538,7.778,1.040,0.961,0.895
27,71,1091.345,741.204,30.627,1086,736,10,10,0.951,10.770,1089,746,68.199,9.839,1.074,0.931,0.899
28,80,972.212,743.112,34.971,966,739,12,9,0.822,13.416,966,745,26.565,8.728,1.629,0.614,0.894
29,73,390.678,745.308,31.799,386,740,9,11,0.907,11.662,387,750,59.036,8.944,1.286,0.778,0.896
30,294,979.105,798.323,108.711,964,785,31,25,0.313,34.886,964,792,152.700,14.547,3.195,0.313,0.698
31,41,359.793,794.890,23.556,356,791,7,8,0.928,8.944,358,799,63.435,7.000,1.299,0.770,0.872
32,73,578.541,806.322,32.385,574,801,9,11,0.875,13.038,575,801,122.471,8.050,1.642,0.609,0.901
33,149,980.124,812.232,55.355,971,804,19,16,0.611,22.804,971,804,142.125,10.633,2.541,0.393,0.799
34,42,564.738,810.595,22.971,561,807,7,8,1.000,8.544,564,815,69.444,7.000,1.065,0.939,0.903
35,55,972.518,818.427,27.213,968,814,9,9,0.933,10.817,969,814,123.690,7.071,1.500,0.667,0.894
36,76,965.421,843.803,30.971,961,839,9,10,0.996,11.662,963,849,59.036,9.000,1.149,0.870,0.944
37,39,416.423,843.372,22.728,413,840,7,7,0.949,9.899,413,847,45.000,6.364,1.544,0.648,0.929
38,87,640.109,850.155,33.456,635,844,10,12,0.977,12.369,639,844,104.036,9.899,1.219,0.821,0.911
39,78,394.769,850.885,34.971,391,845,8,12,0.801,13.038,391,845,122.471,8.000,1.659,0.603,0.897
40,90,1044.811,890.311,34.627,1039,885,12,10,0.943,12.806,1040,886,141.340,10.000,1.276,0.784,0.909
41,166,435.108,896.102,51.113,427,889,17,15,0.798,18.385,427,891,157.620,12.932,1.565,0.639,0.871
42,84,866.393,894.357,32.385,862,889,9,11,1.000,12.083,864,900,65.556,9.000,1.213,0.825,0.949
43,31,932.468,948.984,27.456,928,945,9,8,0.517,10.296,928,945,150.945,6.957,1.829,0.547,0.639
44,33,924.742,951.621,26.971,920,948,9,7,0.570,11.402,920,948,142.125,5.367,2.603,0.384,0.725
45,39,941.577,953.731,33.456,937,949,10,9,0.438,11.180,937,957,26.565,8.485,1.401,0.714,0.614
