 ,Area,X,Y,Perim.,BX,BY,Width,Height,Circ.,Feret,FeretX,FeretY,FeretAngle,MinFeret,AR,Round,Solidity
1,79,683.234,188.576,32.627,678,183,10,11,0.933,12.083,681,194,65.556,9.803,1.237,0.808,0.898
2,50,791.460,218.280,24.971,787,215,9,7,1.000,9.849,787,220,23.962,7.000,1.318,0.759,0.926
3,28,630.357,223.750,20.728,627,221,7,6,0.819,9.220,627,227,40.601,5.400,1.993,0.502,0.848
4,38,844.474,233.237,29.213,840,229,9,7,0.560,9.849,840,236,23.962,7.000,1.291,0.775,0.776
5,32,569.000,249.500,20.142,566,246,6,7,0.991,7.810,566,247,140.194,6.000,1.149,0.871,0.889
6,119,741.601,278.340,55.113,736,271,15,19,0.492,21.954,739,290,59.931,10.667,2.324,0.430,0.715
7,47,755.436,275.947,24.142,752,272,7,8,1.000,9.434,753,272,122.005,7.000,1.198,0.834,0.931
8,45,714.633,280.522,31.456,711,275,8,11,0.572,13.038,711,275,122.471,6.656,2.290,0.437,0.744
9,78,861.333,283.538,48.770,854,277,16,12,0.412,17.088,854,277,159.444,10.436,1.967,0.508,0.605
10,87,913.052,298.477,33.799,908,293,10,11,0.957,12.530,910,304,61.390,10.000,1.202,0.832,0.921
11,64,583.625,298.391,28.971,579,294,9,9,0.958,11.402,580,294,127.875,8.485,1.399,0.715,0.921
12,55,695.973,309.191,26.142,692,305,8,8,1.000,10.000,692,306,143.130,8.000,1.102,0.908,0.932
13,67,599.575,317.948,29.213,595,313,10,9,0.987,11.180,595,315,153.435,8.944,1.262,0.792,0.912
14,57,457.482,334.921,26.971,454,330,7,10,0.985,10.440,456,340,73.301,7.000,1.339,0.747,0.927
15,41,880.915,360.061,22.728,877,357,8,6,0.997,9.434,877,363,32.005,6.000,1.419,0.705,0.943
16,50,826.260,383.040,25.799,822,379,9,8,0.944,10.296,822,386,29.055,7.071,1.490,0.671,0.893
17,49,735.949,405.071,25.556,732,401,8,8,0.943,9.434,733,409,57.995,8.000,1.164,0.859,0.891
18,51,376.520,421.422,25.556,372,418,9,7,0.981,9.487,372,420,161.565,7.000,1.212,0.825,0.919
19,97,707.428,424.644,35.213,702,419,11,11,0.983,12.530,702,428,28.610,11.000,1.105,0.905,0.933
20,33,600.803,438.742,21.314,598,435,6,7,0.913,8.602,599,435,125.538,6.000,1.433,0.698,0.904
21,57,1079.026,452.939,27.799,1074,449,10,8,0.927,10.198,1074,452,168.690,8.000,1.214,0.823,0.884
22,25,1072.460,471.500,20.142,1068,469,8,5,0.774,8.246,1068,471,165.964,5.000,1.655,0.604,0.806
23,86,694.000,476.314,33.213,689,471,10,11,0.980,12.083,692,482,65.556,10.000,1.122,0.891,0.925
24,251,691.181,504.400,98.225,683,491,18,26,0.327,27.514,687,491,109.093,17.959,1.666,0.600,0.707
25,95,923.289,511.689,35.213,918,506,11,11,0.963,12.530,920,517,61.390,11.000,1.109,0.902,0.922
26,73,939.774,517.884,34.042,933,513,12,10,0.792,13.416,933,515,153.435,8.485,1.616,0.619,0.830
27,77,1124.175,526.487,49.113,1119,519,12,13,0.401,14.765,1120,532,61.699,9.899,1.628,0.614,0.675
28,28,934.000,542.714,21.314,931,538,5,8,0.775,8.944,932,546,63.435,5.000,1.767,0.566,0.836
29,196,364.148,551.500,84.083,347,542,32,17,0.348,32.757,347,551,12.339,14.067,2.712,0.369,0.588
30,53,994.575,572.179,26.728,991,568,7,9,0.932,10.296,992,568,119.055,7.000,1.324,0.755,0.922
31,42,625.833,580.071,30.627,622,574,9,11,0.563,14.213,622,574,129.289,5.456,3.118,0.321,0.743
32,77,547.682,583.513,31.213,543,578,9,11,0.993,11.402,546,578,105.255,9.000,1.196,0.836,0.917
33,26,999.500,582.000,17.314,997,579,5,6,1.000,6.708,998,579,116.565,5.000,1.184,0.845,0.929
34,134,583.806,599.843,57.355,578,589,11,21,0.512,21.840,581,610,74.055,9.870,2.799,0.357,0.766
35,29,573.983,605.086,18.728,571,602,6,6,1.000,8.485,571,602,135.000,5.657,1.507,0.664,0.921
36,96,759.354,620.719,35.213,754,615,11,11,0.973,12.806,755,616,128.660,10.607,1.144,0.874,0.932
37,54,649.352,643.704,33.213,645,638,10,11,0.615,14.866,645,638,132.274,5.936,2.775,0.360,0.824
38,55,373.155,645.118,30.042,369,640,9,10,0.766,11.662,371,650,59.036,7.778,1.627,0.615,0.827
39,51,964.951,648.794,30.627,960,644,9,10,0.683,12.207,960,654,55.008,7.778,1.635,0.612,0.779
40,78,754.487,669.077,32.042,749,664,11,10,0.955,12.207,749,666,145.008,9.192,1.307,0.765,0.897
41,36,908.528,668.194,20.971,905,665,7,7,1.000,8.062,906,665,119.745,6.364,1.233,0.811,0.900
42,74,774.892,674.649,40.870,771,668,9,14,0.557,15.232,772,682,66.801,8.193,2.314,0.432,0.747
43,162,355.852,710.333,76.912,344,699,21,19,0.344,27.019,344,699,141.009,15.200,1.807,0.554,0.624
44,86,701.581,709.651,33.799,696,705,11,10,0.946,12.806,697,714,38.660,9.899,1.277,0.783,0.925
45,70,915.929,718.071,41.698,911,711,10,14,0.506,15.232,913,711,113.199,7.950,2.451,0.408,0.690
46,65,934.838,717.146,29.213,930,712,9,10,0.957,11.180,932,722,63.435,8.485,1.318,0.758,0.903
47,25,949.740,716.220,17.899,947,714,6,5,0.981,7.211,947,718,33.690,5.000,1.206,0.829,0.926
48,85,1038.547,729.971,33.799,1033,725,11,10,0.935,12.207,1035,725,124.992,10.000,1.158,0.863,0.914
49,268,812.701,758.328,97.054,804,741,17,32,0.358,32.985,812,741,104.036,15.482,2.553,0.392,0.695
50,27,1052.981,780.093,17.556,1050,777,6,6,1.000,7.211,1051,777,123.690,5.657,1.316,0.760,0.885
51,72,630.667,791.028,30.385,626,786,9,10,0.980,11.662,628,786,120.964,9.000,1.282,0.780,0.929
52,29,855.431,798.569,23.799,852,794,7,9,0.643,10.817,853,803,56.310,4.630,2.989,0.335,0.753
53,76,997.500,807.000,30.971,993,802,9,10,0.996,11.180,995,802,116.565,9.000,1.140,0.877,0.938
54,71,613.232,812.937,37.456,608,806,10,12,0.636,13.892,610,818,59.744,8.944,1.570,0.637,0.798
55,278,563.788,819.691,103.397,551,807,24,25,0.327,28.320,554,813,137.862,23.358,1.246,0.802,0.647
56,70,412.529,828.886,32.627,407,824,10,11,0.826,12.083,409,824,114.444,8.806,1.485,0.673,0.828
57,27,564.278,830.315,26.385,559,827,9,7,0.487,11.402,559,827,142.125,5.121,2.938,0.340,0.667
58,72,555.569,833.208,45.698,550,828,13,10,0.433,14.765,550,830,151.699,9.391,1.784,0.560,0.713
59,34,456.912,835.176,20.728,454,832,6,7,0.994,7.810,454,838,39.806,6.000,1.104,0.906,0.907
60,112,806.054,869.420,37.799,800,864,12,11,0.985,13.892,800,866,149.744,11.000,1.174,0.852,0.949
61,92,541.000,894.293,38.385,537,887,8,14,0.785,14.560,539,887,105.945,8.000,1.813,0.552,0.893
62,45,668.878,900.567,38.627,662,897,13,7,0.379,13.601,662,902,17.103,6.708,2.336,0.428,0.692
63,82,789.695,936.463,32.971,785,931,9,11,0.948,12.530,787,931,118.610,9.000,1.290,0.775,0.932
64,219,875.486,952.646,57.598,866,944,19,18,0.830,20.616,866,949,157.166,13.987,1.524,0.656,0.890
65,602,731.267,977.953,110.610,718,959,29,36,0.618,36.497,728,959,99.462,28.179,1.354,0.739,0.829
66,28,745.821,974.071,18.728,743,971,6,6,1.000,7.211,744,971,123.690,6.000,1.220,0.820,0.889
