 ,Area,X,Y,Perim.,BX,BY,Width,Height,Circ.,Feret,FeretX,FeretY,FeretAngle,MinFeret,AR,Round,Solidity
1,93,717.339,145.898,35.456,712,140,11,12,0.930,12.806,713,151,38.660,10.286,1.227,0.815,0.894
2,80,803.625,145.625,32.971,799,140,9,11,0.925,12.083,801,151,65.556,9.000,1.290,0.775,0.914
3,73,702.527,180.226,30.385,698,175,9,10,0.994,11.180,700,185,63.435,9.000,1.111,0.900,0.930
4,67,544.157,202.709,39.213,540,198,9,10,0.548,11.662,542,208,59.036,9.000,1.125,0.889,0.843
5,179,765.209,206.606,84.083,757,198,17,17,0.318,21.260,758,215,48.814,17.000,1.032,0.969,0.715
6,84,825.214,203.988,34.042,820,198,10,12,0.911,12.806,821,199,128.660,9.839,1.311,0.763,0.889
7,38,965.500,206.316,30.485,964,199,3,14,0.514,14.142,964,213,81.870,3.000,4.420,0.226,0.950
8,79,802.677,231.892,31.799,798,227,10,10,0.982,12.042,799,227,131.634,9.899,1.201,0.833,0.919
9,82,522.841,235.463,33.213,518,230,10,11,0.934,12.207,520,230,124.992,9.391,1.298,0.770,0.901
10,67,1005.634,251.500,44.284,1001,245,10,11,0.429,12.083,1004,245,114.444,9.839,1.251,0.799,0.779
11,52,901.346,252.519,26.142,898,248,7,9,0.956,9.849,899,248,113.962,7.000,1.284,0.779,0.920
12,36,748.917,256.028,25.799,744,252,9,8,0.680,11.402,744,260,37.875,5.622,2.529,0.395,0.783
13,153,431.892,285.650,58.770,423,276,17,17,0.557,18.028,426,291,56.310,14.920,1.329,0.753,0.723
14,73,450.760,281.130,31.213,446,276,10,10,0.942,11.402,447,277,127.875,9.192,1.202,0.832,0.901
15,81,1052.105,288.265,31.799,1047,283,10,10,1.000,12.207,1047,285,145.008,9.899,1.208,0.828,0.931
16,45,517.633,291.322,39.213,514,287,8,9,0.368,10.296,515,296,60.945,8.000,1.152,0.868,0.703
17,32,423.312,293.000,24.385,419,289,8,8,0.676,9.434,420,289,122.005,6.364,1.871,0.534,0.703
18,64,621.719,296.672,28.385,617,292,9,9,0.998,10.296,619,301,60.945,9.000,1.073,0.932,0.921
19,39,412.833,303.551,23.556,409,300,8,7,0.883,9.434,409,300,147.995,6.791,1.347,0.742,0.857
20,68,521.324,318.574,29.799,517,314,9,10,0.962,10.817,518,314,123.690,9.000,1.176,0.850,0.913
21,59,407.839,322.331,45.456,403,318,10,9,0.359,11.402,404,318,127.875,9.000,1.038,0.963,0.756
22,26,394.731,341.846,20.142,391,338,6,7,0.805,8.485,391,344,45.000,5.657,1.518,0.659,0.812
23,78,387.231,347.538,38.870,380,344,14,8,0.649,15.232,380,345,156.801,7.814,2.175,0.460,0.825
24,49,410.398,367.276,42.870,403,362,16,9,0.335,17.464,403,363,156.371,6.624,3.372,0.297,0.587
25,40,382.800,376.025,31.456,379,372,8,9,0.508,9.487,381,372,108.435,7.155,1.347,0.743,0.734
26,47,529.074,376.053,35.213,525,372,8,8,0.476,10.000,525,374,143.130,8.000,1.059,0.944,0.797
27,68,716.882,380.088,29.556,712,376,10,8,0.978,11.180,712,383,26.565,8.000,1.296,0.772,0.938
28,84,1032.857,383.821,32.385,1028,379,10,10,1.000,11.662,1028,387,30.964,10.000,1.082,0.924,0.944
29,65,625.700,390.608,28.385,621,386,9,9,1.000,10.296,623,395,60.945,9.000,1.059,0.944,0.929
30,66,379.818,392.015,29.799,376,387,8,11,0.934,11.402,378,387,105.255,8.000,1.375,0.727,0.904
31,67,1040.679,411.515,29.213,1036,407,10,9,0.987,10.440,1036,409,163.301,9.000,1.103,0.907,0.899
