 ,Area,X,Y,Perim.,BX,BY,Width,Height,Circ.,Feret,FeretX,FeretY,FeretAngle,MinFeret,AR,Round,Solidity
1,30,621.133,141.200,24.142,617,138,9,6,0.647,10.817,617,138,146.310,4.608,2.616,0.382,0.800
2,83,736.452,146.741,33.213,731,142,11,10,0.946,11.662,731,149,30.964,10.000,1.112,0.899,0.907
3,49,616.276,150.378,37.456,611,146,11,10,0.439,12.806,612,156,51.340,8.404,1.811,0.552,0.620
4,69,744.051,159.486,31.799,740,155,9,10,0.857,12.042,740,165,41.634,9.000,1.147,0.872,0.896
5,54,857.333,189.722,41.456,853,185,9,9,0.395,10.817,853,193,33.690,8.974,1.126,0.888,0.755
6,97,713.881,191.954,61.598,704,186,18,15,0.321,18.439,705,187,130.601,13.435,1.418,0.705,0.602
7,25,791.460,190.900,29.556,785,188,13,5,0.360,13.601,785,193,17.103,3.795,5.189,0.193,0.610
8,36,899.778,205.806,30.971,897,201,6,11,0.472,12.083,898,212,65.556,6.000,2.668,0.375,0.686
9,77,653.825,206.396,31.799,648,202,11,9,0.957,11.705,648,205,160.017,9.000,1.209,0.827,0.911
10,138,886.688,208.891,60.426,877,202,19,12,0.475,19.647,877,208,165.256,12.000,1.824,0.548,0.746
11,33,1022.015,234.288,29.213,1016,231,11,8,0.486,13.601,1016,231,143.973,4.759,3.768,0.265,0.695
12,43,709.779,236.500,39.213,704,233,10,8,0.351,10.817,704,234,146.310,8.000,1.248,0.801,0.642
13,33,1018.833,238.197,32.042,1013,233,12,9,0.404,14.422,1013,234,146.310,4.160,4.382,0.228,0.673
14,67,1005.739,251.530,29.556,1001,247,9,9,0.964,10.630,1003,247,131.186,9.000,1.067,0.937,0.924
15,80,485.375,260.387,32.385,481,255,9,11,0.959,12.083,483,266,65.556,9.000,1.277,0.783,0.925
16,63,798.452,265.675,38.627,794,261,10,9,0.531,11.662,794,263,149.036,9.000,1.218,0.821,0.813
17,41,1018.573,272.646,37.213,1014,269,9,8,0.372,10.000,1014,270,143.130,8.000,1.204,0.830,0.672
18,32,951.938,276.031,34.627,949,272,7,8,0.335,9.434,950,280,57.995,7.000,1.332,0.751,0.646
19,165,849.973,304.276,55.113,842,297,16,15,0.683,19.209,843,311,38.660,13.416,1.627,0.615,0.864
20,79,607.918,306.867,32.385,603,302,10,10,0.947,12.806,603,311,38.660,9.192,1.422,0.703,0.929
21,250,795.520,344.372,60.770,786,335,19,19,0.851,22.672,787,352,41.424,16.263,1.404,0.712,0.912
22,68,770.809,351.118,29.556,767,346,8,10,0.978,11.180,768,356,63.435,8.000,1.278,0.782,0.938
23,69,950.442,352.457,29.213,946,347,9,10,1.000,10.440,950,347,106.699,9.000,1.054,0.949,0.914
24,59,526.517,354.364,28.385,522,350,9,9,0.920,10.296,524,350,119.055,9.000,1.102,0.907,0.881
25,75,780.060,357.687,30.971,775,353,10,9,0.983,11.402,777,353,127.875,9.000,1.172,0.853,0.938
26,37,834.527,363.932,34.485,833,356,3,16,0.391,16.279,833,356,100.620,3.000,6.042,0.165,0.871
27,87,878.523,365.132,44.042,872,360,15,10,0.564,15.811,872,363,161.565,9.803,1.754,0.570,0.763
28,66,918.879,363.894,29.556,914,360,10,8,0.949,10.817,914,366,33.690,8.000,1.200,0.833,0.923
29,72,1041.528,370.903,30.385,1037,366,9,10,0.980,10.817,1039,366,123.690,9.000,1.094,0.914,0.911
30,42,681.905,371.000,34.284,677,367,9,8,0.449,9.220,677,371,167.471,8.000,1.163,0.860,0.724
31,85,777.347,388.712,42.527,772,380,11,14,0.591,14.318,776,380,102.095,10.733,1.261,0.793,0.762
32,83,790.307,384.693,33.213,785,380,11,10,0.946,11.705,785,382,160.017,10.000,1.127,0.887,0.907
33,60,805.000,384.500,26.971,801,380,8,9,1.000,9.849,803,380,113.962,8.000,1.111,0.900,0.938
34,78,697.013,389.244,54.527,692,381,8,18,0.330,18.111,695,381,96.340,8.000,2.629,0.380,0.670
35,73,1039.267,386.130,30.385,1035,381,9,10,0.994,11.180,1037,381,116.565,9.000,1.156,0.865,0.930
36,140,915.943,389.907,56.770,909,383,15,13,0.546,16.401,912,383,127.569,12.854,1.170,0.855,0.838
37,37,868.851,387.554,29.799,865,384,8,8,0.524,8.944,867,392,63.435,7.906,1.120,0.893,0.712
38,78,1000.603,392.385,32.042,996,387,10,11,0.955,11.402,997,397,52.125,9.899,1.151,0.869,0.891
39,39,808.987,395.808,38.527,805,391,9,9,0.330,9.487,805,398,18.435,8.485,1.023,0.978,0.629
40,87,436.121,397.305,33.799,430,393,12,9,0.957,13.038,431,401,32.471,9.000,1.381,0.724,0.926
41,126,821.357,405.008,70.326,815,393,13,22,0.320,23.770,818,415,67.751,11.264,3.026,0.330,0.590
42,34,355.265,398.794,24.971,352,394,8,8,0.685,10.630,353,394,131.186,5.657,2.136,0.468,0.800
43,106,367.226,406.434,59.598,360,399,14,15,0.375,18.439,360,413,40.601,10.400,2.136,0.468,0.719
44,66,1050.924,403.500,28.728,1047,399,8,9,1.000,10.630,1048,399,131.186,8.000,1.100,0.909,0.957
45,31,828.242,404.468,23.556,825,400,6,9,0.702,10.296,826,409,60.945,4.919,2.458,0.407,0.795
46,55,351.464,405.355,35.698,346,401,12,8,0.542,12.369,346,405,165.964,8.000,1.572,0.636,0.724
47,551,362.152,433.945,126.024,349,410,29,42,0.436,42.190,354,410,95.440,27.052,1.389,0.720,0.729
48,75,435.340,418.913,32.627,430,414,10,10,0.885,12.042,431,423,41.634,9.192,1.283,0.780,0.904
49,43,816.058,419.733,29.799,812,417,10,7,0.609,10.440,812,417,163.301,7.000,1.689,0.592,0.789
50,83,887.645,429.078,33.213,882,424,11,10,0.946,12.207,884,434,55.008,9.899,1.225,0.817,0.912
51,54,989.111,429.981,26.142,985,426,8,8,0.993,9.434,985,428,147.995,8.000,1.001,0.999,0.931
52,68,761.603,435.603,49.698,753,431,15,8,0.346,16.155,753,438,21.801,8.000,2.292,0.436,0.727
53,82,1036.134,442.988,32.385,1031,438,10,10,0.983,11.662,1033,448,59.036,10.000,1.081,0.925,0.932
54,67,862.933,449.022,28.971,858,445,10,8,1.000,10.770,858,447,158.199,8.000,1.203,0.831,0.937
55,68,551.338,452.103,29.799,547,447,9,10,0.962,11.180,549,457,63.435,9.000,1.207,0.829,0.907
56,63,899.421,466.611,28.385,895,462,9,9,0.983,10.296,897,462,119.055,8.854,1.155,0.866,0.913
57,878,520.021,489.579,136.853,504,465,31,43,0.589,44.385,512,508,75.651,29.769,1.381,0.724,0.903
58,60,625.583,469.483,28.971,621,465,9,9,0.898,10.630,621,472,41.186,8.731,1.217,0.821,0.882
59,61,796.156,478.402,42.284,790,474,12,10,0.429,12.649,790,479,18.435,9.192,1.379,0.725,0.726
60,96,1140.698,484.188,35.213,1135,479,12,10,0.973,12.649,1135,487,18.435,10.000,1.166,0.857,0.928
61,57,1047.342,485.430,42.870,1043,480,9,10,0.390,10.817,1043,482,146.310,9.000,1.043,0.959,0.740
62,45,891.722,485.900,34.870,888,482,8,9,0.465,9.849,889,482,113.962,8.000,1.126,0.888,0.750
63,71,1118.824,491.430,36.627,1112,487,12,9,0.665,13.000,1112,489,157.380,9.000,1.428,0.700,0.802
64,87,1075.810,501.580,47.941,1069,495,13,12,0.476,14.422,1069,498,146.310,10.607,1.407,0.711,0.753
65,37,1093.770,504.662,36.385,1091,496,5,15,0.351,15.133,1093,496,97.595,4.279,4.625,0.216,0.667
66,118,877.110,506.661,42.627,870,501,15,10,0.816,15.811,870,504,161.565,10.000,1.664,0.601,0.908
67,74,622.932,514.581,41.698,616,508,12,15,0.535,18.028,617,508,123.690,7.211,3.116,0.321,0.736
68,97,895.789,517.253,38.284,890,511,11,12,0.832,13.038,890,515,147.529,11.000,1.178,0.849,0.894
69,63,927.040,515.198,32.627,922,511,10,9,0.744,11.402,923,511,127.875,8.485,1.213,0.824,0.869
70,36,632.694,519.583,26.385,630,516,7,8,0.650,9.434,631,524,57.995,6.871,1.571,0.637,0.766
71,43,1048.942,522.244,35.698,1045,518,9,9,0.424,9.849,1045,520,156.038,8.485,1.041,0.960,0.667
72,122,723.090,531.090,62.770,712,527,24,10,0.389,24.739,712,536,14.036,9.648,3.163,0.316,0.678
73,70,825.457,547.300,30.627,820,542,10,10,0.938,11.402,822,543,127.875,9.192,1.217,0.822,0.892
74,36,409.000,555.861,35.698,404,552,9,9,0.355,9.220,404,555,167.471,8.200,1.140,0.878,0.621
75,54,1118.500,556.648,40.284,1114,552,10,9,0.418,10.440,1114,555,163.301,9.000,1.063,0.941,0.750
76,88,344.716,562.659,56.770,339,556,15,14,0.343,19.209,339,557,141.340,9.899,2.124,0.471,0.682
77,60,883.200,568.883,27.799,879,564,8,10,0.976,10.440,882,564,106.699,8.000,1.193,0.838,0.909
78,211,1136.690,592.543,79.255,1126,581,19,21,0.422,26.249,1127,602,49.635,15.145,2.154,0.464,0.750
79,440,406.623,596.525,101.054,392,585,30,25,0.541,33.615,393,585,149.621,24.470,1.323,0.756,0.805
80,58,787.069,603.328,27.799,782,599,9,9,0.943,10.630,783,600,131.186,8.485,1.255,0.797,0.885
81,66,469.621,605.439,29.213,465,600,9,10,0.972,10.440,469,600,106.699,9.000,1.121,0.892,0.892
82,25,569.100,610.940,20.971,566,608,6,6,0.714,7.211,568,608,123.690,6.000,1.183,0.845,0.781
83,60,1135.383,617.817,42.870,1131,613,9,10,0.410,11.180,1133,613,116.565,9.000,1.113,0.899,0.769
84,74,844.797,623.243,34.042,840,617,9,13,0.802,13.153,845,617,98.746,8.944,1.375,0.727,0.860
85,52,925.154,625.077,39.698,920,621,10,9,0.415,10.440,920,627,16.699,8.944,1.045,0.957,0.732
