 ,Area,X,Y,Perim.,BX,BY,Width,Height,Circ.,Feret,FeretX,FeretY,FeretAngle,MinFeret,AR,Round,Solidity
1,64,743.844,156.141,29.799,740,151,8,10,0.906,11.402,741,161,52.125,8.000,1.246,0.802,0.908
2,30,778.667,155.100,21.556,776,151,6,8,0.811,8.944,777,159,63.435,5.376,1.906,0.525,0.822
3,63,869.135,159.833,28.971,865,155,9,9,0.943,10.817,866,155,123.690,9.000,1.124,0.890,0.900
4,69,627.268,162.109,31.799,623,157,9,11,0.857,12.207,623,167,55.008,9.000,1.388,0.721,0.868
5,60,610.117,168.650,27.799,605,165,10,8,0.976,10.770,605,170,21.801,8.000,1.324,0.755,0.902
6,45,723.433,172.878,36.627,720,168,8,9,0.422,10.000,720,176,36.870,8.000,1.076,0.929,0.744
7,126,795.175,196.032,45.698,787,190,16,12,0.758,17.088,787,192,159.444,11.264,1.744,0.573,0.848
8,98,767.592,201.133,53.598,760,196,16,10,0.429,16.763,760,204,17.354,9.276,2.050,0.488,0.737
9,55,647.755,204.627,31.213,643,201,10,8,0.709,10.198,643,203,168.690,8.000,1.115,0.897,0.840
10,33,646.318,216.712,24.385,643,212,8,8,0.697,10.630,644,212,131.186,4.950,2.318,0.431,0.805
11,81,792.944,220.772,31.799,788,216,10,10,1.000,11.180,790,216,116.565,10.000,1.022,0.979,0.936
12,34,765.265,222.941,32.627,760,220,11,6,0.401,11.180,760,225,10.305,5.883,2.230,0.448,0.660
13,60,870.567,235.733,28.385,866,231,9,9,0.936,10.296,868,240,60.945,8.854,1.154,0.866,0.889
14,50,764.980,236.280,39.456,761,232,9,9,0.404,9.849,763,241,66.038,8.944,1.073,0.932,0.763
15,35,778.443,236.557,29.213,775,233,7,7,0.515,8.602,776,240,54.462,7.000,1.111,0.900,0.778
16,50,690.660,241.820,37.799,687,237,8,9,0.440,10.000,688,237,126.870,8.000,1.037,0.964,0.775
17,66,752.470,246.273,28.971,748,242,9,9,0.988,10.817,748,249,33.690,8.944,1.194,0.838,0.930
18,26,802.077,247.962,20.971,799,244,6,8,0.743,8.944,800,244,116.565,4.800,2.053,0.487,0.800
19,77,502.981,253.279,32.142,498,249,10,9,0.937,12.806,498,257,38.660,9.000,1.294,0.773,0.945
20,57,1026.939,268.851,37.698,1022,264,10,9,0.504,10.440,1022,268,163.301,9.000,1.150,0.869,0.786
21,33,908.288,272.773,32.385,904,270,9,6,0.395,10.000,905,276,36.870,6.000,1.646,0.607,0.695
