 ,Area,X,Y,Perim.,BX,BY,Width,Height,Circ.,Feret,FeretX,FeretY,FeretAngle,MinFeret,AR,Round,Solidity
1,74,734.635,167.122,30.385,730,162,9,10,1.000,11.402,730,170,37.875,9.000,1.170,0.855,0.931
2,63,815.659,167.913,40.284,811,162,10,11,0.488,11.705,815,162,109.983,9.700,1.337,0.748,0.716
3,69,610.181,169.819,31.213,605,165,10,10,0.890,10.817,607,174,56.310,9.803,1.030,0.971,0.873
4,60,848.400,172.367,41.698,844,167,10,10,0.434,11.662,844,169,149.036,9.391,1.277,0.783,0.732
5,142,664.915,183.859,69.598,657,174,15,19,0.368,23.601,658,193,53.616,13.339,2.253,0.444,0.696
6,90,604.033,181.311,34.385,599,176,10,11,0.957,12.530,601,176,118.610,10.000,1.170,0.855,0.928
7,76,800.855,197.526,53.941,794,192,14,11,0.328,14.560,794,194,164.055,11.000,1.315,0.760,0.631
8,81,611.549,218.056,32.627,606,213,11,10,0.956,11.402,606,220,15.255,10.000,1.040,0.962,0.910
9,112,490.170,232.723,38.870,484,227,13,12,0.932,13.928,484,229,158.962,11.180,1.214,0.824,0.907
10,88,605.239,236.773,34.042,600,231,10,12,0.954,12.649,604,243,71.565,9.899,1.275,0.785,0.917
11,37,547.932,268.986,28.971,542,266,10,6,0.554,11.180,542,267,153.435,6.000,2.140,0.467,0.740
12,88,426.125,310.739,33.456,421,305,11,11,0.988,12.083,424,305,114.444,10.607,1.112,0.899,0.903
13,85,339.771,503.535,48.527,332,499,16,12,0.454,16.492,332,504,14.036,9.985,1.960,0.510,0.672
14,75,360.887,539.687,31.213,356,534,9,11,0.967,11.402,359,545,74.745,9.000,1.198,0.834,0.904
15,249,345.034,554.781,101.054,333,543,23,24,0.306,30.000,333,567,53.130,18.582,1.488,0.672,0.677
16,176,571.420,559.932,49.698,565,551,13,18,0.895,18.248,571,551,99.462,13.000,1.269,0.788,0.926
17,29,1099.638,570.603,28.485,1098,565,3,13,0.449,13.153,1098,565,98.746,3.000,4.505,0.222,0.853
18,56,471.589,580.679,35.799,468,576,8,10,0.549,11.402,469,576,127.875,8.000,1.414,0.707,0.747
19,46,480.957,638.674,35.456,477,635,9,9,0.460,9.849,478,635,113.962,8.800,1.173,0.852,0.719
20,74,560.838,667.811,31.213,556,663,10,10,0.954,10.817,558,663,123.690,9.839,1.076,0.929,0.902
21,275,539.125,682.805,93.397,530,672,21,22,0.396,26.870,530,694,45.000,19.677,1.357,0.737,0.779
22,40,523.650,695.000,25.314,521,690,5,10,0.784,11.180,521,700,63.435,5.000,2.189,0.457,0.909
23,89,1109.567,695.624,34.627,1104,690,11,11,0.933,12.207,1105,700,34.992,10.286,1.161,0.862,0.908
24,32,531.750,700.125,23.556,528,697,8,7,0.725,10.630,528,704,41.186,5.310,2.395,0.417,0.790
25,47,430.777,703.691,31.456,426,700,10,8,0.597,10.770,426,707,21.801,7.891,1.469,0.681,0.723
26,79,551.943,729.601,31.799,547,725,10,10,0.982,11.180,547,732,26.565,10.000,1.035,0.966,0.924
27,65,615.223,733.638,40.627,610,729,10,9,0.495,12.207,610,730,145.008,9.000,1.219,0.820,0.798
28,81,623.265,745.414,55.113,618,734,9,20,0.335,20.616,618,754,75.964,8.515,3.211,0.311,0.600
29,67,418.396,750.888,29.213,414,746,9,10,0.987,10.817,416,746,123.690,9.000,1.180,0.848,0.899
30,83,759.187,777.018,32.627,754,771,10,11,0.980,11.705,756,782,70.017,10.000,1.113,0.899,0.912
31,89,817.511,780.545,34.627,812,775,11,11,0.933,12.083,815,786,65.556,11.000,1.062,0.941,0.899
32,100,838.450,787.220,56.770,830,780,15,15,0.390,16.553,835,780,115.017,12.676,1.124,0.889,0.643
33,78,988.090,788.910,31.799,983,784,10,10,0.969,11.402,984,793,37.875,9.839,1.136,0.880,0.918
34,50,847.580,793.400,36.870,843,787,8,12,0.462,12.166,848,799,80.538,8.000,1.739,0.575,0.690
35,49,693.969,798.520,36.042,690,794,8,9,0.474,10.296,692,803,60.945,8.000,1.251,0.799,0.748
36,26,672.769,802.615,20.728,670,799,7,6,0.760,8.602,670,799,144.462,5.400,1.723,0.580,0.825
37,55,700.500,818.118,47.698,696,813,10,10,0.304,11.402,696,821,37.875,9.839,1.067,0.937,0.655
38,87,582.374,828.948,33.799,577,824,11,10,0.957,12.207,577,832,34.992,10.000,1.189,0.841,0.921
39,140,884.700,846.136,46.870,878,839,13,15,0.801,17.205,880,839,125.538,11.686,1.565,0.639,0.881
40,27,564.056,848.833,19.314,561,846,6,6,0.910,7.810,561,846,129.806,5.376,1.412,0.708,0.871
41,67,574.037,862.784,40.527,569,857,11,12,0.513,13.038,569,866,32.471,8.404,1.753,0.570,0.720
42,75,587.393,877.180,31.213,582,872,10,10,0.967,10.817,584,873,123.690,10.000,1.054,0.949,0.898
