 ,Area,X,Y,Perim.,BX,BY,Width,Height,Circ.,Feret,FeretX,FeretY,FeretAngle,MinFeret,AR,Round,Solidity
1,76,725.526,102.500,33.698,721,97,11,11,0.841,12.530,721,106,28.610,9.192,1.243,0.805,0.869
2,53,653.840,122.085,27.213,649,118,10,8,0.899,10.440,649,124,16.699,7.906,1.284,0.779,0.862
3,48,596.875,130.875,36.042,592,127,9,8,0.464,9.487,592,130,161.565,8.000,1.067,0.937,0.780
4,45,782.589,141.456,24.385,779,137,7,9,0.951,9.487,781,137,108.435,7.000,1.320,0.757,0.882
5,64,734.266,141.969,28.385,729,138,10,8,0.998,11.180,729,140,153.435,8.000,1.271,0.787,0.921
6,55,522.627,143.100,26.385,518,139,9,8,0.993,9.487,518,142,161.565,8.000,1.106,0.904,0.909
7,54,489.981,145.889,26.142,486,142,8,8,0.993,9.434,486,143,147.995,8.000,1.001,0.999,0.931
8,114,484.184,156.658,56.770,477,147,14,19,0.445,21.095,479,147,121.430,8.682,3.057,0.327,0.740
9,40,537.400,153.850,29.213,533,150,8,8,0.589,8.944,533,152,153.435,8.000,1.127,0.887,0.762
10,42,836.119,156.571,26.385,832,153,8,8,0.758,10.000,833,153,126.870,7.071,1.618,0.618,0.816
11,39,619.859,160.628,30.385,616,157,7,8,0.531,8.944,618,165,63.435,7.000,1.246,0.802,0.772
12,44,652.159,167.955,26.385,648,164,8,8,0.794,8.944,648,166,153.435,7.906,1.070,0.935,0.830
13,43,540.291,169.128,31.213,536,165,8,10,0.555,10.440,538,165,106.699,7.906,1.413,0.708,0.729
14,125,674.820,177.500,66.184,671,165,8,25,0.359,25.495,673,165,101.310,8.000,4.083,0.245,0.648
15,66,452.970,185.076,29.799,448,180,9,10,0.934,11.314,449,189,45.000,8.854,1.279,0.782,0.892
16,48,628.479,187.938,25.799,624,184,9,8,0.906,9.487,624,186,161.565,7.766,1.169,0.855,0.857
17,34,517.941,188.235,24.142,514,185,7,8,0.733,9.434,515,185,122.005,6.247,1.692,0.591,0.791
18,38,756.132,191.132,24.627,752,187,8,8,0.787,8.602,753,188,125.538,7.155,1.278,0.783,0.776
19,45,659.211,192.367,23.556,655,189,8,7,1.000,8.602,656,195,35.538,7.000,1.109,0.901,0.918
20,39,628.244,197.679,27.213,624,194,8,8,0.662,8.602,626,194,125.538,7.488,1.248,0.801,0.772
21,87,610.224,199.420,54.184,602,195,16,10,0.372,16.492,602,198,165.964,9.276,2.037,0.491,0.659
22,56,469.375,212.250,40.527,465,206,10,12,0.428,12.369,467,218,75.964,8.854,1.480,0.676,0.659
23,42,908.143,209.595,24.971,904,206,9,7,0.846,10.296,904,212,29.055,6.306,1.691,0.591,0.840
24,84,863.774,216.238,33.213,859,211,10,11,0.957,12.207,860,221,55.008,9.899,1.217,0.822,0.918
25,126,605.651,223.778,54.426,597,215,16,17,0.535,18.028,601,232,70.560,12.940,1.640,0.610,0.714
26,44,392.545,221.182,27.799,387,218,10,8,0.715,11.180,387,219,153.435,6.656,1.924,0.520,0.786
27,66,828.864,224.758,29.213,824,220,10,9,0.972,11.402,826,220,127.875,8.485,1.355,0.738,0.904
28,48,628.500,231.604,32.627,623,228,10,8,0.567,11.180,623,230,153.435,7.452,1.612,0.620,0.787
29,55,748.427,233.100,26.385,744,229,9,8,0.993,9.487,744,231,161.565,8.000,1.082,0.924,0.894
30,33,464.682,235.167,26.385,460,232,8,8,0.596,10.000,461,232,126.870,6.364,1.753,0.571,0.702
31,70,780.500,238.000,29.799,776,233,9,10,0.991,11.180,778,243,63.435,8.944,1.248,0.802,0.921
32,68,649.897,242.853,30.627,645,238,10,10,0.911,12.042,645,239,138.366,8.485,1.407,0.711,0.877
33,73,397.596,244.404,30.627,393,239,9,11,0.978,11.705,396,239,109.983,9.000,1.301,0.768,0.907
34,110,420.227,248.009,42.627,415,240,10,16,0.761,17.464,417,256,66.371,8.731,2.210,0.452,0.873
35,90,371.700,246.922,34.042,367,241,10,12,0.976,12.649,369,241,108.435,10.000,1.200,0.833,0.914
36,55,692.100,250.100,27.556,688,246,8,9,0.910,10.817,689,246,123.690,8.000,1.330,0.752,0.902
37,73,733.116,250.774,31.213,728,246,11,9,0.942,11.705,728,254,19.983,9.000,1.273,0.785,0.896
38,53,586.142,252.519,32.627,581,248,9,9,0.626,9.849,581,254,23.962,8.944,1.018,0.982,0.809
39,55,517.627,253.845,26.971,514,249,7,10,0.950,10.440,516,249,106.699,7.000,1.404,0.712,0.902
40,67,527.366,258.485,32.627,523,252,8,13,0.791,13.342,526,252,102.995,7.799,1.876,0.533,0.843
41,28,389.607,270.786,22.142,387,267,5,8,0.718,8.944,387,267,116.565,5.000,1.924,0.520,0.812
42,54,441.889,271.037,26.385,437,267,9,8,0.975,10.296,437,269,150.945,8.000,1.274,0.785,0.900
43,106,894.198,271.925,66.326,884,268,21,11,0.303,21.213,884,270,171.870,11.000,2.595,0.385,0.607
44,66,519.864,275.667,34.042,516,269,8,12,0.716,12.369,517,281,75.964,8.000,1.345,0.744,0.863
45,50,754.380,272.800,26.971,750,269,8,9,0.864,9.849,753,278,66.038,8.000,1.126,0.888,0.847
46,65,500.808,276.100,29.213,496,271,9,10,0.957,10.440,500,271,106.699,9.000,1.152,0.868,0.884
47,75,878.633,277.727,37.456,874,272,9,13,0.672,13.342,876,272,102.995,8.202,1.723,0.580,0.820
48,54,449.648,279.370,26.728,446,275,7,9,0.950,10.296,447,275,119.055,7.000,1.389,0.720,0.931
49,52,787.500,285.442,35.799,783,281,8,9,0.510,10.817,785,290,56.310,8.000,1.194,0.837,0.839
50,63,344.944,301.103,35.456,340,296,9,11,0.630,11.402,343,296,105.255,9.000,1.323,0.756,0.803
51,30,596.933,298.833,24.971,593,296,7,7,0.605,7.810,593,297,129.806,6.934,1.159,0.863,0.769
52,38,426.579,306.447,29.799,422,303,8,8,0.538,8.944,422,305,153.435,7.603,1.278,0.782,0.752
53,44,655.455,306.545,35.799,651,303,8,8,0.431,10.000,653,311,53.130,8.000,1.081,0.925,0.786
54,29,693.466,318.983,20.142,690,316,6,7,0.898,8.062,691,316,119.745,6.000,1.470,0.680,0.841
55,40,514.800,323.025,30.627,511,319,7,8,0.536,8.944,513,319,116.565,7.000,1.250,0.800,0.816
56,66,461.227,325.515,29.213,456,321,10,9,0.972,11.180,456,323,153.435,8.944,1.247,0.802,0.898
57,41,472.817,326.476,29.213,469,322,7,9,0.604,9.487,472,322,108.435,7.000,1.408,0.710,0.781
