 ,Area,X,Y,Perim.,BX,BY,Width,Height,Circ.,Feret,FeretX,FeretY,FeretAngle,MinFeret,AR,Round,Solidity
1,42,753.786,185.976,27.213,750,181,7,9,0.713,10.296,752,190,60.945,7.000,1.459,0.685,0.808
2,29,762.397,184.948,22.971,759,181,7,8,0.691,9.220,759,188,40.601,5.657,2.002,0.500,0.734
3,80,787.450,191.637,43.456,783,184,10,14,0.532,14.560,785,198,74.055,9.454,1.801,0.555,0.755
4,79,773.829,193.690,54.184,767,185,11,17,0.338,17.263,773,185,100.008,10.213,2.134,0.469,0.608
5,31,739.790,188.403,20.728,736,186,8,5,0.907,8.944,736,186,153.435,5.000,1.896,0.527,0.886
6,38,802.895,190.974,24.971,799,186,7,9,0.766,9.487,802,186,108.435,6.668,1.669,0.599,0.784
7,50,756.020,194.980,30.971,750,191,12,7,0.655,12.649,750,198,18.435,6.247,2.446,0.409,0.813
8,107,670.547,203.986,37.799,665,198,11,12,0.941,13.892,667,210,59.744,11.000,1.186,0.843,0.926
9,42,891.952,238.000,36.870,886,234,12,8,0.388,12.166,886,239,170.538,8.000,1.441,0.694,0.571
10,34,586.382,252.265,33.456,583,248,9,9,0.382,11.402,583,256,37.875,7.028,1.734,0.577,0.581
11,31,482.629,292.694,28.042,479,289,8,8,0.495,8.602,480,296,35.538,7.000,1.340,0.746,0.646
12,48,829.958,320.812,24.971,826,317,8,8,0.967,8.944,828,317,116.565,8.000,1.090,0.917,0.889
13,111,787.401,326.095,42.284,781,320,15,11,0.780,16.643,782,321,147.265,10.607,1.555,0.643,0.892
14,68,608.338,336.426,41.698,603,332,11,10,0.491,12.806,604,332,128.660,8.875,1.342,0.745,0.800
15,97,891.624,354.696,36.385,887,349,10,12,0.921,13.892,887,349,120.256,10.000,1.328,0.753,0.933
16,54,969.296,356.259,39.456,965,352,9,9,0.436,10.296,965,353,150.945,9.000,1.050,0.952,0.794
17,33,1031.045,357.318,30.385,1023,355,13,6,0.449,13.928,1023,355,158.962,4.919,3.353,0.298,0.695
18,92,608.217,365.783,34.870,602,360,12,11,0.951,12.530,602,364,151.390,10.436,1.196,0.836,0.898
19,69,949.935,366.123,31.213,944,362,11,9,0.890,12.530,944,368,28.610,8.485,1.490,0.671,0.896
20,52,994.269,396.885,39.698,989,392,10,9,0.415,10.440,989,395,163.301,9.000,1.028,0.972,0.717
21,80,918.413,400.363,38.870,913,395,11,10,0.665,12.530,913,403,28.610,9.899,1.203,0.831,0.870
22,42,484.786,399.524,34.971,481,396,8,8,0.432,9.899,481,403,45.000,8.000,1.134,0.882,0.737
23,43,562.477,412.919,22.971,559,409,7,8,1.000,8.544,561,417,69.444,7.000,1.085,0.921,0.905
24,58,541.224,415.586,27.213,537,411,9,9,0.984,10.296,539,411,119.055,8.485,1.246,0.803,0.892
25,53,1047.877,424.632,38.284,1043,418,10,13,0.454,13.928,1045,431,68.962,6.914,2.394,0.418,0.650
26,349,963.047,444.752,110.368,950,433,26,24,0.360,27.857,950,451,21.038,21.644,1.502,0.666,0.720
27,56,1044.357,440.125,34.627,1040,436,10,9,0.587,10.770,1040,443,21.801,9.000,1.213,0.824,0.778
28,52,443.827,454.442,37.799,440,450,8,9,0.457,10.296,442,450,119.055,8.000,1.124,0.890,0.800
29,28,581.107,463.821,20.971,577,460,7,7,0.800,8.062,577,465,29.745,5.657,1.646,0.607,0.778
30,57,928.079,470.921,27.556,924,467,9,8,0.943,10.000,925,475,53.130,8.000,1.070,0.934,0.912
31,62,1094.113,482.710,28.142,1090,478,8,9,0.984,10.296,1092,478,119.055,8.000,1.144,0.874,0.939
32,68,918.015,488.353,29.799,914,483,8,11,0.962,11.402,917,494,74.745,8.000,1.300,0.769,0.919
33,25,401.260,555.580,25.799,398,550,6,10,0.472,10.198,402,550,101.310,5.798,1.741,0.574,0.617
34,38,787.053,568.395,22.142,784,565,7,7,0.974,8.062,785,565,119.745,7.000,1.124,0.890,0.884
35,93,1075.349,573.629,36.870,1069,568,13,11,0.860,13.928,1069,577,21.038,9.391,1.524,0.656,0.886
36,44,793.614,587.750,26.385,790,584,7,8,0.794,9.220,791,591,49.399,7.000,1.051,0.952,0.871
37,45,764.389,591.078,23.556,761,587,7,8,1.000,8.944,762,587,116.565,7.000,1.133,0.883,0.909
38,44,565.841,594.841,31.213,562,591,8,8,0.568,9.434,562,593,147.995,8.000,1.034,0.967,0.772
39,39,473.731,598.064,31.799,470,594,8,8,0.485,9.434,472,602,57.995,7.845,1.247,0.802,0.722
40,62,1101.903,602.065,28.385,1098,597,8,10,0.967,10.440,1100,607,73.301,8.000,1.178,0.849,0.912
41,142,1060.331,608.549,72.083,1052,599,16,19,0.343,21.633,1055,599,123.690,12.522,2.221,0.450,0.660
42,188,678.122,613.697,61.355,670,605,16,17,0.628,19.416,670,620,34.509,15.280,1.270,0.787,0.845
43,41,921.744,609.988,26.385,916,607,11,6,0.740,12.530,916,607,151.390,5.800,2.423,0.413,0.863
44,36,917.722,615.583,26.971,914,611,7,10,0.622,12.207,914,611,124.992,5.199,2.803,0.357,0.783
45,63,705.722,618.833,28.385,702,614,8,10,0.983,10.770,703,614,111.801,8.000,1.261,0.793,0.926
46,52,965.942,648.096,26.385,962,643,8,9,0.939,9.487,965,643,108.435,8.000,1.148,0.871,0.889
47,123,598.020,655.850,54.184,589,648,18,15,0.526,20.809,589,649,144.782,9.427,2.565,0.390,0.764
48,46,953.196,661.913,42.042,949,657,8,9,0.327,10.817,950,666,56.310,8.000,1.242,0.805,0.681
49,63,639.770,679.849,28.385,636,675,8,10,0.983,10.770,638,685,68.199,8.000,1.278,0.782,0.920
50,67,593.619,683.052,30.627,589,678,9,11,0.898,11.402,593,689,74.745,8.497,1.359,0.736,0.882
51,61,390.254,723.566,29.799,386,719,9,9,0.863,10.296,388,728,60.945,9.000,1.109,0.902,0.878
52,47,592.628,729.926,39.113,589,725,8,10,0.386,10.440,592,735,73.301,8.000,1.241,0.806,0.729
53,55,359.973,736.136,43.941,355,729,10,15,0.358,17.205,355,730,125.538,7.140,3.185,0.314,0.588
54,72,1005.389,733.764,30.385,1001,729,9,10,0.980,11.402,1002,729,127.875,9.000,1.219,0.820,0.929
55,42,1042.095,752.357,35.213,1038,748,8,9,0.426,10.000,1039,749,126.870,7.778,1.336,0.748,0.718
56,33,826.197,755.773,29.213,823,751,7,8,0.486,8.944,824,759,63.435,7.000,1.198,0.835,0.710
57,91,400.742,772.225,34.385,395,767,11,10,0.967,12.530,395,770,151.390,10.000,1.142,0.875,0.929
58,34,696.324,777.735,32.042,692,774,8,9,0.416,9.849,694,774,113.962,7.778,1.313,0.762,0.618
59,48,524.250,797.167,38.870,520,793,9,8,0.399,10.817,520,800,33.690,8.000,1.278,0.782,0.762
60,126,941.817,835.937,47.113,936,828,12,17,0.713,18.601,937,844,53.746,10.262,2.127,0.470,0.863
61,78,584.346,852.910,32.385,579,848,11,9,0.935,12.207,579,856,34.992,9.000,1.341,0.746,0.907
62,342,723.269,890.146,90.569,709,881,28,23,0.524,30.083,709,881,158.552,21.042,1.340,0.746,0.804
63,59,674.653,891.941,44.870,670,885,10,15,0.368,15.524,676,900,75.069,8.971,2.048,0.488,0.541
64,36,683.167,890.722,26.627,679,887,10,8,0.638,11.662,679,894,30.964,5.098,2.730,0.366,0.742
65,112,729.625,906.152,53.355,723,897,14,17,0.494,22.023,723,914,50.528,10.607,2.247,0.445,0.720
66,66,665.833,905.970,29.556,662,901,8,10,0.949,10.770,664,911,68.199,8.000,1.223,0.818,0.923
67,84,705.321,927.452,33.799,701,921,9,12,0.924,12.649,704,921,108.435,9.000,1.348,0.742,0.908
68,52,963.327,927.731,36.042,958,923,12,11,0.503,16.279,958,934,42.510,5.622,3.598,0.278,0.727
69,38,663.053,929.526,32.627,659,926,8,8,0.449,9.434,660,926,122.005,7.603,1.245,0.803,0.704
70,56,687.446,935.804,39.456,683,931,9,10,0.452,10.817,685,932,123.690,9.000,1.205,0.830,0.732
71,75,676.833,946.900,31.213,672,942,10,10,0.967,12.207,673,942,124.992,8.485,1.427,0.701,0.926
72,48,682.729,973.542,24.728,679,970,8,7,0.986,9.220,680,970,130.601,7.000,1.083,0.923,0.932
