 ,Area,X,Y,Perim.,BX,BY,Width,Height,Circ.,Feret,FeretX,FeretY,FeretAngle,MinFeret,AR,Round,Solidity
1,52,851.577,270.846,26.971,848,266,7,10,0.898,10.770,849,276,68.199,7.000,1.514,0.660,0.889
2,43,650.174,305.895,24.142,647,301,6,9,0.927,9.487,649,301,108.435,6.000,1.559,0.642,0.905
3,62,1025.290,337.919,39.456,1021,332,8,14,0.500,15.232,1021,332,113.199,7.871,2.282,0.438,0.705
4,26,882.385,339.769,19.556,880,336,5,7,0.854,8.062,880,336,119.745,5.000,1.544,0.648,0.839
5,194,1012.526,351.918,88.569,1001,337,21,25,0.311,28.425,1001,359,50.711,16.436,2.306,0.434,0.595
6,74,1023.811,355.405,38.870,1020,348,8,15,0.615,15.524,1022,363,75.069,7.891,2.293,0.436,0.787
7,62,925.387,352.903,27.556,921,349,9,8,1.000,10.296,921,350,150.945,8.000,1.134,0.882,0.947
8,65,1035.162,354.669,29.213,1030,350,10,9,0.957,11.180,1030,357,26.565,8.854,1.284,0.779,0.890
9,42,432.310,440.000,22.971,429,436,7,8,1.000,8.944,430,436,116.565,7.000,1.301,0.769,0.903
10,55,964.573,460.918,29.799,960,457,9,8,0.778,10.817,960,464,33.690,7.906,1.357,0.737,0.873
11,28,480.000,462.929,19.899,476,461,8,4,0.889,8.544,476,461,159.444,4.000,1.876,0.533,0.933
12,65,881.469,475.485,29.556,877,471,9,9,0.935,10.817,877,479,33.690,9.000,1.115,0.897,0.909
13,43,525.779,481.733,23.556,523,477,6,9,0.974,9.220,525,477,102.529,6.000,1.398,0.715,0.905
14,50,847.300,483.000,26.971,844,479,7,9,0.864,10.296,845,488,60.945,7.000,1.314,0.761,0.901
15,50,702.700,508.400,25.799,699,504,8,9,0.944,10.000,700,504,126.870,7.071,1.409,0.710,0.893
16,63,442.786,549.754,28.142,439,545,8,9,1.000,10.817,440,545,123.690,8.000,1.192,0.839,0.955
17,299,999.483,558.132,66.669,989,548,22,21,0.845,25.807,990,567,35.538,15.556,1.678,0.596,0.921
18,128,1025.648,568.914,47.698,1018,564,16,10,0.707,17.464,1018,573,23.629,10.000,1.845,0.542,0.874
19,32,393.031,604.344,22.142,390,600,6,8,0.820,9.434,390,608,57.995,5.336,1.982,0.504,0.853
20,77,481.422,630.422,36.042,476,625,12,10,0.745,13.892,476,628,149.744,9.617,1.553,0.644,0.851
21,57,1057.711,653.640,32.627,1053,650,10,8,0.673,11.180,1053,650,153.435,8.000,1.265,0.791,0.851
22,44,928.636,664.955,24.728,925,661,7,8,0.904,10.000,925,661,126.870,6.668,1.459,0.685,0.898
23,46,1145.065,667.609,26.385,1142,663,7,9,0.830,10.296,1142,663,119.055,7.000,1.468,0.681,0.860
24,52,440.788,679.000,28.728,437,673,7,10,0.792,10.770,440,673,111.801,7.000,1.439,0.695,0.897
25,30,381.400,690.067,20.142,378,687,7,6,0.929,8.062,378,692,29.745,5.692,1.485,0.673,0.857
26,369,839.196,701.446,117.882,826,691,25,23,0.334,30.480,827,691,131.009,22.465,1.375,0.727,0.774
27,40,388.875,696.150,27.213,385,692,9,8,0.679,9.487,385,697,18.435,7.692,1.342,0.745,0.755
28,148,386.851,706.534,70.669,377,697,20,19,0.372,23.345,380,697,136.736,13.272,2.260,0.443,0.604
29,58,560.690,705.534,27.556,557,701,8,9,0.960,10.296,558,710,60.945,8.000,1.211,0.826,0.913
30,34,396.235,718.735,22.971,393,716,7,7,0.810,8.602,395,723,54.462,7.000,1.212,0.825,0.883
31,39,837.705,726.603,22.971,834,723,7,8,0.929,8.944,836,731,63.435,6.791,1.322,0.756,0.867
32,59,551.636,731.534,28.385,547,727,9,9,0.920,11.402,547,735,37.875,7.778,1.553,0.644,0.894
33,39,1108.013,731.628,22.728,1104,729,8,6,0.949,8.944,1104,729,153.435,6.000,1.397,0.716,0.918
34,51,939.833,741.559,25.314,936,738,8,7,1.000,10.000,936,745,36.870,7.000,1.171,0.854,0.953
35,28,394.536,766.036,20.142,391,763,7,6,0.867,8.602,391,768,35.538,5.367,1.849,0.541,0.848
36,29,372.224,767.845,18.728,369,765,6,6,1.000,7.211,370,765,123.690,6.000,1.161,0.861,0.906
37,33,367.258,775.621,22.728,365,771,5,9,0.803,9.849,365,780,66.038,4.903,2.226,0.449,0.868
38,63,1041.008,796.246,44.284,1036,789,10,13,0.404,14.318,1038,802,65.225,9.803,1.621,0.617,0.636
39,60,792.283,798.183,26.971,788,794,9,8,1.000,10.000,788,801,36.870,8.000,1.112,0.899,0.930
40,58,1048.897,803.276,29.799,1044,798,9,10,0.821,11.402,1045,808,52.125,7.906,1.435,0.697,0.829
41,38,1041.947,810.184,23.799,1038,806,8,8,0.843,10.000,1039,806,126.870,6.102,1.633,0.612,0.809
42,66,770.409,816.788,30.385,765,813,11,8,0.898,11.045,765,816,174.806,8.000,1.232,0.812,0.892
43,40,723.600,843.800,27.799,719,840,10,8,0.650,12.207,719,840,145.008,5.547,2.700,0.370,0.762
44,34,637.353,850.853,27.556,633,845,7,9,0.563,11.402,633,854,52.125,6.859,1.836,0.545,0.747
45,32,725.156,852.938,21.314,723,849,5,8,0.885,8.944,723,849,116.565,5.000,1.734,0.577,0.901
46,63,691.865,859.913,27.799,687,856,10,8,1.000,10.440,687,858,163.301,8.000,1.209,0.827,0.920
47,30,939.767,868.533,20.728,937,865,5,8,0.877,8.544,938,865,110.556,5.000,1.640,0.610,0.896
48,46,447.500,895.826,24.142,443,893,9,6,0.992,9.487,443,894,161.565,6.000,1.455,0.687,0.939
49,56,865.429,951.554,26.728,861,948,9,7,0.985,10.817,861,955,33.690,7.000,1.347,0.743,0.957
50,59,631.093,956.856,27.799,626,953,10,8,0.959,10.440,626,958,16.699,8.000,1.272,0.786,0.901
51,47,911.968,980.160,24.971,908,977,9,7,0.947,9.849,908,977,156.038,7.000,1.304,0.767,0.895
52,67,591.560,992.410,29.799,587,988,10,9,0.948,11.662,587,996,30.964,8.485,1.360,0.735,0.912
