 ,Area,X,Y,Perim.,BX,BY,Width,Height,Circ.,Feret,FeretX,FeretY,FeretAngle,MinFeret,AR,Round,Solidity
1,60,639.400,72.433,29.799,635,68,9,9,0.849,10.296,635,75,29.055,8.944,1.114,0.897,0.882
2,66,669.773,72.409,31.456,664,68,12,9,0.838,12.369,664,74,14.036,8.944,1.306,0.766,0.846
3,131,558.515,82.248,55.355,551,74,15,17,0.537,19.416,553,74,124.509,10.539,2.225,0.449,0.755
4,37,785.986,107.122,23.556,783,103,6,9,0.838,9.487,785,112,71.565,6.000,1.504,0.665,0.860
5,104,541.663,115.952,43.213,536,107,11,15,0.700,15.811,540,107,108.435,11.000,1.553,0.644,0.822
6,45,512.678,145.100,23.556,509,141,7,8,1.000,8.944,511,141,116.565,7.000,1.201,0.832,0.918
7,57,845.763,146.886,27.799,842,142,8,10,0.927,10.770,844,142,111.801,8.000,1.349,0.741,0.884
8,64,697.031,153.344,28.971,693,148,8,10,0.958,11.180,694,158,63.435,8.000,1.324,0.755,0.921
9,30,554.167,161.900,22.385,551,158,7,7,0.752,8.062,551,160,150.255,6.364,1.258,0.795,0.789
10,29,806.741,161.328,20.728,803,158,7,6,0.848,8.602,803,164,35.538,5.657,1.670,0.599,0.829
11,87,540.500,164.971,53.941,534,159,15,11,0.376,16.553,534,160,154.983,10.357,1.490,0.671,0.713
12,35,860.386,166.614,24.385,857,163,7,7,0.740,8.062,859,163,119.745,7.000,1.179,0.848,0.824
13,64,764.922,187.297,28.971,761,182,8,10,0.958,11.180,762,192,63.435,8.000,1.321,0.757,0.921
14,56,604.714,194.696,26.385,600,191,9,8,1.000,9.849,600,193,156.038,8.000,1.186,0.843,0.911
15,27,683.611,206.722,21.556,681,203,6,8,0.730,9.434,682,211,57.995,4.919,2.323,0.431,0.794
16,50,449.400,208.120,24.728,446,204,7,8,1.000,9.434,447,204,122.005,7.000,1.158,0.864,0.952
17,51,604.088,209.167,34.284,600,204,9,10,0.545,10.770,603,204,111.801,8.356,1.395,0.717,0.723
18,64,540.984,211.500,29.213,537,206,8,11,0.942,11.402,539,217,74.745,8.000,1.327,0.754,0.889
19,59,478.517,212.076,27.799,474,208,9,9,0.959,10.817,474,209,146.310,7.778,1.364,0.733,0.908
20,105,475.367,230.538,38.870,468,225,14,11,0.873,14.036,468,230,175.914,11.000,1.170,0.855,0.882
21,68,600.265,233.029,38.042,597,226,8,14,0.590,14.142,597,226,98.130,8.000,1.668,0.600,0.819
22,47,793.883,230.883,24.971,790,227,8,8,0.947,9.220,790,228,139.399,7.906,1.120,0.893,0.870
23,40,936.700,241.500,32.971,933,238,8,7,0.462,9.434,933,239,147.995,7.000,1.037,0.964,0.762
24,35,748.786,243.986,25.556,745,241,7,7,0.673,9.220,746,241,130.601,6.864,1.201,0.833,0.814
25,128,913.234,248.594,42.042,906,243,14,12,0.910,15.811,907,244,145.305,11.884,1.364,0.733,0.924
26,29,702.466,248.810,24.971,700,245,6,8,0.584,8.544,700,245,110.556,6.000,1.190,0.841,0.773
27,34,804.206,248.676,33.556,801,245,7,7,0.379,9.220,801,252,49.399,7.000,1.113,0.898,0.739
28,25,597.420,252.220,25.213,594,249,7,7,0.494,7.616,594,254,23.199,6.364,1.403,0.713,0.667
29,75,820.793,256.273,30.971,816,252,10,9,0.983,11.180,816,259,26.565,9.000,1.127,0.888,0.938
30,78,551.410,257.846,42.527,544,253,14,10,0.542,14.866,544,254,160.346,9.276,1.780,0.562,0.754
31,32,667.000,259.750,21.556,664,256,6,7,0.865,8.602,665,256,125.538,6.000,1.332,0.751,0.877
32,47,557.585,267.330,25.213,554,263,8,9,0.929,9.487,556,263,108.435,7.778,1.175,0.851,0.839
33,32,534.250,282.844,25.799,531,279,7,8,0.604,8.602,532,287,54.462,7.000,1.217,0.822,0.711
34,163,338.347,294.739,57.355,330,285,14,21,0.623,22.847,335,285,113.199,11.163,2.470,0.405,0.840
35,50,322.120,290.240,26.142,318,287,9,7,0.919,10.296,318,287,150.945,7.000,1.283,0.780,0.909
36,29,638.190,299.845,30.627,635,296,6,8,0.388,8.544,637,304,69.444,6.000,1.434,0.697,0.707
37,39,679.808,302.551,25.213,675,298,9,8,0.771,9.220,675,302,167.471,7.340,1.097,0.912,0.804
38,60,820.350,315.317,31.213,816,311,9,9,0.774,11.402,816,318,37.875,8.825,1.228,0.814,0.845
39,44,787.705,317.091,33.556,784,312,7,9,0.491,10.296,785,321,60.945,7.000,1.216,0.822,0.793
40,69,546.500,327.471,31.213,542,322,9,11,0.890,12.083,544,322,114.444,8.497,1.451,0.689,0.873
41,48,725.438,329.062,25.556,722,324,7,9,0.924,9.849,723,333,66.038,7.000,1.258,0.795,0.897
42,66,418.652,330.439,29.799,414,325,9,10,0.934,10.817,416,326,123.690,8.944,1.225,0.817,0.904
43,41,399.427,331.232,32.385,396,327,7,9,0.491,9.487,398,336,71.565,7.000,1.069,0.935,0.759
44,89,816.747,334.657,38.627,811,328,11,12,0.750,13.038,815,329,122.471,11.000,1.041,0.961,0.848
45,152,602.961,344.921,66.083,595,336,16,16,0.437,17.493,596,341,149.036,14.880,1.181,0.847,0.776
