 ,Area,X,Y,Perim.,BX,BY,Width,Height,Circ.,Feret,FeretX,FeretY,FeretAngle,MinFeret,AR,Round,Solidity
1,75,619.753,151.287,30.971,615,147,10,9,0.983,11.180,615,148,153.435,9.000,1.073,0.932,0.938
2,27,664.907,152.056,22.142,660,150,9,5,0.692,10.296,660,150,150.945,4.271,2.841,0.352,0.831
3,28,662.071,155.821,22.142,658,153,9,5,0.718,9.849,658,153,156.038,4.427,2.510,0.398,0.836
4,25,634.140,160.940,19.314,632,157,4,8,0.842,8.544,633,157,110.556,4.000,2.124,0.471,0.893
5,41,684.890,163.476,34.870,681,159,9,8,0.424,9.849,681,166,23.962,7.603,1.272,0.786,0.732
6,216,874.662,189.296,59.841,866,180,19,18,0.758,20.248,866,193,20.225,17.270,1.100,0.909,0.861
7,57,917.307,200.447,27.556,913,196,8,9,0.943,10.000,913,198,143.130,8.000,1.100,0.909,0.912
8,73,507.582,222.897,30.971,503,218,9,10,0.956,12.042,503,227,41.634,9.000,1.307,0.765,0.930
9,68,966.279,226.044,40.627,962,220,9,11,0.518,11.705,965,220,109.983,9.000,1.257,0.795,0.810
10,109,480.665,257.417,55.255,471,250,17,15,0.449,20.248,471,263,32.905,9.300,2.586,0.387,0.717
11,75,563.820,256.967,31.213,559,252,10,10,0.967,11.402,560,253,127.875,9.839,1.106,0.904,0.893
12,33,715.500,257.439,31.799,712,254,7,7,0.410,9.220,712,260,40.601,7.000,1.111,0.900,0.725
13,62,1017.952,259.419,40.870,1013,255,11,9,0.466,11.705,1013,257,160.017,9.000,1.227,0.815,0.770
14,43,457.826,275.895,37.213,454,272,8,8,0.390,9.434,455,272,122.005,8.000,1.195,0.837,0.754
15,25,879.940,280.660,21.556,877,277,6,8,0.676,9.434,878,285,57.995,4.025,2.626,0.381,0.806
16,30,884.500,282.667,22.971,881,278,6,9,0.714,10.296,882,287,60.945,4.472,2.586,0.387,0.833
17,38,898.842,283.605,31.213,895,280,8,7,0.490,8.944,895,281,153.435,7.000,1.287,0.777,0.768
18,50,990.660,290.400,35.698,986,286,9,9,0.493,9.849,986,289,156.038,8.944,1.167,0.857,0.769
19,48,629.958,301.458,36.042,626,297,8,9,0.464,10.296,627,306,60.945,8.000,1.151,0.869,0.793
20,64,408.062,311.531,37.213,403,307,10,9,0.581,12.042,404,307,131.634,8.538,1.161,0.861,0.831
21,51,1064.186,314.049,38.042,1060,310,9,9,0.443,10.630,1061,310,131.186,9.000,1.125,0.889,0.745
22,75,1033.300,316.180,31.799,1028,312,11,9,0.932,11.705,1028,314,160.017,9.000,1.221,0.819,0.909
