 ,Area,X,Y,Perim.,BX,BY,Width,Height,Circ.,Feret,FeretX,FeretY,FeretAngle,MinFeret,AR,Round,Solidity
1,62,660.000,230.968,30.971,656,225,8,11,0.812,13.038,656,236,57.529,7.649,1.883,0.531,0.873
2,51,684.186,230.990,26.142,680,227,8,8,0.938,10.000,681,227,126.870,7.603,1.258,0.795,0.911
3,45,585.189,254.544,24.142,581,251,8,7,0.970,9.220,582,258,40.601,7.000,1.231,0.813,0.909
4,70,650.371,259.629,29.556,646,255,9,9,1.000,11.402,647,255,127.875,9.000,1.205,0.830,0.952
5,26,606.154,279.154,17.556,603,276,6,6,1.000,6.708,605,276,116.565,5.657,1.131,0.884,0.881
6,26,607.346,286.962,17.899,605,284,5,6,1.000,7.211,605,284,123.690,5.000,1.283,0.779,0.929
7,76,732.145,291.724,32.971,727,287,10,10,0.879,12.806,727,288,141.340,9.391,1.315,0.761,0.905
8,111,494.509,322.581,59.841,487,316,15,16,0.390,20.616,488,316,129.094,11.628,1.817,0.550,0.663
9,35,703.186,322.586,20.728,700,319,6,7,1.000,8.062,701,326,60.255,6.000,1.189,0.841,0.921
10,204,909.755,331.485,89.740,900,321,19,21,0.318,26.401,901,321,127.304,15.305,2.157,0.464,0.727
11,93,687.038,357.715,39.456,680,351,13,12,0.751,15.620,682,363,50.194,9.300,1.719,0.582,0.842
12,57,489.061,374.114,26.971,485,370,8,9,0.985,10.000,486,378,53.130,8.000,1.142,0.876,0.919
13,49,956.071,390.969,24.385,952,387,8,8,1.000,8.944,954,387,116.565,8.000,1.089,0.918,0.899
14,32,903.781,406.156,21.556,901,402,6,8,0.865,9.434,901,410,57.995,5.547,1.850,0.541,0.865
15,26,1033.923,407.923,21.556,1030,405,7,6,0.703,8.062,1030,406,150.255,6.000,1.594,0.627,0.754
16,95,993.879,420.932,44.042,986,415,14,11,0.615,16.643,986,426,32.735,10.381,1.767,0.566,0.809
17,163,1014.604,423.242,63.598,1002,415,23,14,0.506,24.166,1002,429,24.444,12.548,2.396,0.417,0.782
18,39,994.756,429.936,28.142,989,427,10,7,0.619,12.207,989,427,145.008,6.202,2.473,0.404,0.743
19,73,826.103,451.144,31.213,821,446,10,10,0.942,11.662,823,456,59.036,9.192,1.258,0.795,0.901
20,32,611.250,458.531,22.971,608,454,7,8,0.762,10.000,609,454,126.870,4.950,2.172,0.460,0.853
21,88,1098.955,459.625,39.213,1093,454,13,11,0.719,15.264,1093,456,148.392,10.087,1.725,0.580,0.811
22,291,1088.338,467.143,72.770,1076,457,26,18,0.691,26.476,1076,466,169.114,17.755,1.717,0.583,0.843
23,75,757.113,479.567,45.941,752,474,11,12,0.447,14.866,753,485,47.726,10.111,1.493,0.670,0.711
24,67,411.381,485.306,29.556,407,481,9,9,0.964,10.630,407,482,138.814,9.000,1.030,0.971,0.924
25,51,1113.676,487.696,25.556,1110,483,7,9,0.981,10.296,1111,492,60.945,7.000,1.432,0.698,0.927
26,42,975.357,493.048,31.456,971,487,9,12,0.533,13.416,972,487,116.565,5.231,3.265,0.306,0.724
