 ,Area,X,Y,Perim.,BX,BY,Width,Height,Circ.,Feret,FeretX,FeretY,FeretAngle,MinFeret,AR,Round,Solidity
1,87,691.362,228.213,37.456,686,222,12,12,0.779,13.892,686,232,30.256,10.047,1.485,0.673,0.806
2,63,688.151,258.119,28.385,684,253,8,10,0.983,10.770,686,263,68.199,8.000,1.255,0.797,0.920
3,60,629.750,298.583,28.385,625,294,9,9,0.936,10.296,625,301,29.055,8.854,1.179,0.848,0.889
4,37,832.554,308.041,22.971,828,305,9,6,0.881,9.849,828,310,23.962,5.814,1.888,0.530,0.871
5,88,990.080,327.193,34.042,985,322,11,11,0.954,11.705,985,324,160.017,11.000,1.043,0.958,0.898
6,32,1019.062,329.406,20.728,1016,326,7,6,0.936,9.220,1016,326,139.399,6.000,1.602,0.624,0.901
7,62,953.968,333.387,28.385,949,329,10,8,0.967,11.180,949,336,26.565,8.000,1.423,0.703,0.905
8,41,925.500,370.305,24.385,922,366,7,9,0.866,9.849,923,366,113.962,6.261,1.737,0.576,0.845
9,29,1055.672,371.672,20.385,1052,368,7,7,0.877,8.062,1052,373,29.745,5.657,1.570,0.637,0.817
10,78,931.885,379.487,32.042,927,374,10,11,0.955,11.180,931,374,100.305,10.000,1.082,0.924,0.886
11,26,604.192,385.385,17.899,601,383,6,5,1.000,7.071,602,388,45.000,5.000,1.147,0.872,0.929
12,57,546.974,395.570,26.385,543,391,8,9,1.000,9.849,545,391,113.962,8.000,1.154,0.867,0.912
13,97,589.490,398.046,44.627,581,393,18,9,0.612,18.682,581,402,15.524,8.056,2.841,0.352,0.812
14,34,529.971,399.912,20.728,526,397,7,6,0.994,7.810,527,402,39.806,6.000,1.084,0.923,0.919
15,49,583.622,406.867,26.142,579,404,10,6,0.901,10.770,579,409,21.801,6.000,1.768,0.565,0.907
16,60,433.733,412.967,28.385,429,409,10,8,0.936,11.662,429,410,149.036,8.000,1.458,0.686,0.902
17,56,1039.196,415.786,26.971,1035,412,9,8,0.967,10.817,1035,419,33.690,7.778,1.427,0.701,0.926
18,70,465.400,446.500,40.284,460,442,13,10,0.542,13.892,461,450,30.256,9.453,1.497,0.668,0.753
19,58,631.793,453.534,26.971,628,449,8,9,1.000,10.296,629,458,60.945,8.000,1.211,0.826,0.928
20,50,654.420,464.480,24.971,650,461,9,7,1.000,9.487,650,466,18.435,7.000,1.209,0.827,0.917
21,32,639.094,479.562,21.556,636,476,7,7,0.865,9.220,636,476,139.399,5.657,1.699,0.588,0.865
22,53,1111.311,487.557,26.142,1108,483,7,9,0.975,10.817,1108,483,123.690,7.000,1.442,0.693,0.930
23,33,822.348,519.348,21.314,820,515,5,8,0.913,8.944,821,515,116.565,5.000,1.723,0.580,0.917
24,76,558.382,520.053,31.556,553,516,11,8,0.959,12.530,553,517,151.390,8.000,1.441,0.694,0.950
25,39,1041.910,534.372,22.728,1039,530,6,8,0.949,9.434,1040,530,122.005,6.000,1.478,0.676,0.929
26,74,1133.243,539.500,30.971,1128,535,10,9,0.969,12.042,1129,535,131.634,9.000,1.249,0.800,0.925
27,43,365.430,541.942,23.556,361,539,9,6,0.974,9.849,361,540,156.038,6.000,1.593,0.628,0.905
28,50,1117.960,546.940,26.385,1114,542,8,9,0.903,10.630,1114,543,131.186,7.649,1.393,0.718,0.870
29,64,1098.125,548.438,28.971,1094,544,9,9,0.958,10.817,1095,553,56.310,9.000,1.146,0.872,0.914
30,51,1083.990,553.265,25.799,1080,549,8,9,0.963,10.000,1081,549,126.870,7.778,1.347,0.743,0.879
31,57,632.640,557.132,30.385,628,553,10,8,0.776,10.817,629,553,146.310,8.000,1.374,0.728,0.844
32,54,572.130,562.037,26.142,568,558,8,8,0.993,10.000,568,565,36.870,8.000,1.202,0.832,0.931
33,55,403.991,563.791,26.385,400,559,8,9,0.993,9.487,403,559,108.435,8.000,1.063,0.941,0.894
34,34,963.059,565.588,34.627,961,559,5,13,0.356,13.153,962,559,98.746,5.000,3.234,0.309,0.642
35,43,718.058,565.058,23.314,715,561,6,8,0.994,8.944,716,561,116.565,6.000,1.340,0.746,0.945
36,28,1141.000,568.107,18.728,1138,565,6,6,1.000,7.810,1138,571,39.806,5.657,1.413,0.708,0.903
37,56,488.214,573.661,28.971,484,569,8,9,0.838,10.296,486,578,60.945,8.000,1.144,0.874,0.875
38,53,1140.104,578.802,40.284,1137,572,8,14,0.410,14.866,1138,586,70.346,8.000,2.324,0.430,0.624
39,53,968.425,585.085,35.556,966,577,5,15,0.527,15.297,968,577,101.310,5.000,3.388,0.295,0.841
40,54,429.185,590.537,26.971,425,586,8,9,0.933,10.296,427,586,119.055,7.761,1.354,0.739,0.893
41,93,964.962,600.790,40.042,960,593,12,13,0.729,15.000,962,593,126.870,10.348,1.460,0.685,0.845
42,103,1100.714,610.500,42.870,1094,604,13,14,0.704,16.401,1095,618,52.431,11.575,1.451,0.689,0.792
43,42,861.905,627.238,24.385,858,623,8,8,0.888,10.000,859,623,126.870,6.364,1.769,0.565,0.848
44,47,665.436,673.053,24.142,662,669,7,8,1.000,9.434,663,677,57.995,7.000,1.198,0.834,0.931
45,27,590.167,700.944,21.314,588,697,4,8,0.747,8.944,588,705,63.435,4.000,2.199,0.455,0.871
46,83,1059.572,703.464,49.355,1053,698,14,11,0.428,15.232,1053,698,156.801,11.000,1.252,0.799,0.706
47,136,1031.824,708.022,55.598,1026,699,13,19,0.553,21.095,1027,718,58.570,11.384,2.315,0.432,0.771
