 ,Area,X,Y,Perim.,BX,BY,Width,Height,Circ.,Feret,FeretX,FeretY,FeretAngle,MinFeret,AR,Round,Solidity
1,44,593.591,110.318,24.728,589,107,9,6,0.904,10.296,589,108,150.945,6.000,1.664,0.601,0.907
2,53,626.802,125.991,26.142,623,122,8,8,0.975,10.000,624,122,126.870,8.000,1.173,0.853,0.922
3,35,673.586,148.443,20.971,670,145,7,7,1.000,7.810,671,151,39.806,7.000,1.045,0.957,0.854
4,32,578.844,156.969,19.899,576,154,6,6,1.000,7.810,576,154,129.806,6.000,1.128,0.886,0.941
5,183,509.303,163.691,72.426,501,155,17,18,0.438,20.809,504,172,54.782,16.028,1.399,0.715,0.780
6,131,595.637,171.912,50.184,588,164,16,15,0.654,18.439,589,165,130.601,11.314,1.982,0.505,0.819
7,32,444.281,171.812,22.971,440,169,8,6,0.762,8.544,440,172,20.556,6.000,1.308,0.764,0.831
8,39,592.654,182.936,22.142,589,180,8,6,1.000,8.544,589,181,159.444,6.000,1.312,0.762,0.918
9,65,631.038,189.469,32.627,627,183,8,12,0.767,12.369,630,183,104.036,7.562,1.701,0.588,0.833
10,47,531.053,190.181,24.971,526,187,10,6,0.947,10.440,526,192,16.699,6.000,1.594,0.627,0.922
11,34,409.735,196.265,24.728,405,193,8,6,0.699,8.944,405,197,26.565,6.000,1.454,0.688,0.850
12,47,463.479,202.521,24.971,459,199,9,7,0.947,10.000,459,200,143.130,7.000,1.399,0.715,0.904
13,26,730.500,214.000,17.314,728,211,5,6,1.000,6.708,729,211,116.565,5.000,1.184,0.845,0.929
14,34,620.000,218.500,20.142,617,215,6,7,1.000,8.062,618,215,119.745,6.000,1.275,0.784,0.919
15,34,603.294,245.412,20.728,600,242,7,6,0.994,8.062,600,243,150.255,6.000,1.302,0.768,0.907
16,486,796.798,253.309,140.409,779,242,35,24,0.310,37.000,779,248,161.075,24.000,1.584,0.631,0.793
17,75,493.980,251.153,44.284,490,243,8,16,0.481,16.492,492,243,104.036,7.318,2.970,0.337,0.714
18,50,885.660,248.580,25.556,882,244,7,9,0.962,9.849,884,244,113.962,7.000,1.327,0.754,0.909
19,212,766.288,254.429,71.841,756,245,20,18,0.516,22.023,756,261,39.472,17.463,1.272,0.786,0.781
20,89,735.983,255.826,48.184,729,249,13,13,0.482,16.401,729,251,142.431,9.762,1.906,0.525,0.745
21,40,671.275,254.200,22.385,668,250,7,8,1.000,8.544,670,250,110.556,7.000,1.208,0.828,0.889
22,29,544.776,254.707,19.556,541,252,7,6,0.953,7.616,541,256,23.199,6.000,1.230,0.813,0.853
23,84,724.012,258.274,48.184,718,252,12,12,0.455,14.422,719,264,56.310,9.899,1.507,0.663,0.774
24,33,587.227,265.439,20.971,584,262,7,7,0.943,8.062,584,263,150.255,6.364,1.220,0.820,0.857
25,184,465.495,273.652,84.569,454,263,20,17,0.323,22.804,454,278,37.875,15.875,1.508,0.663,0.756
26,50,894.300,266.460,26.142,890,263,9,7,0.919,9.899,891,270,45.000,7.000,1.203,0.831,0.901
27,145,780.010,273.886,62.426,770,268,19,14,0.468,19.925,770,275,17.526,14.000,1.234,0.810,0.736
28,38,724.789,276.868,22.142,721,274,8,6,0.974,8.544,721,275,159.444,6.000,1.357,0.737,0.905
29,34,855.765,280.735,22.385,852,277,7,7,0.853,8.485,853,284,45.000,6.364,1.234,0.810,0.850
30,41,932.012,284.915,23.314,929,281,6,8,0.948,10.000,929,281,126.870,6.000,1.470,0.680,0.943
31,138,712.036,299.580,71.740,704,291,17,16,0.337,17.889,710,307,63.435,13.864,1.257,0.796,0.702
32,40,736.275,299.825,22.728,732,297,8,6,0.973,8.944,732,298,153.435,6.000,1.343,0.745,0.920
33,36,784.278,300.389,20.971,781,297,7,7,1.000,8.062,782,297,119.745,6.708,1.211,0.826,0.878
34,39,822.218,301.038,22.971,819,297,7,8,0.929,8.944,820,297,116.565,6.708,1.350,0.741,0.867
35,28,883.607,302.786,19.556,880,300,7,6,0.920,7.616,880,304,23.199,6.000,1.126,0.888,0.836
36,50,686.660,316.980,29.213,683,311,7,11,0.736,11.180,686,311,100.305,7.000,1.746,0.573,0.820
37,46,348.196,318.609,25.556,345,314,7,9,0.885,9.849,346,323,66.038,6.871,1.499,0.667,0.876
38,44,880.068,327.568,23.799,876,324,8,8,0.976,8.544,876,326,159.444,7.778,1.027,0.974,0.880
39,34,448.176,339.765,23.213,444,336,8,7,0.793,8.062,444,340,172.875,7.000,1.084,0.923,0.800
40,47,963.819,340.117,24.385,960,336,8,8,0.993,8.944,960,338,153.435,8.000,1.025,0.975,0.879
41,36,582.333,346.444,22.385,578,343,8,7,0.903,8.246,578,346,165.964,7.000,1.091,0.916,0.857
