 ,Area,X,Y,Perim.,BX,BY,Width,Height,Circ.,Feret,FeretX,FeretY,FeretAngle,MinFeret,AR,Round,Solidity
1,118,795.280,265.864,44.527,788,259,14,15,0.748,17.804,789,260,128.157,9.899,2.031,0.492,0.846
2,28,780.464,282.893,20.971,777,280,7,6,0.800,8.602,777,285,35.538,5.367,1.825,0.548,0.836
3,28,978.536,375.750,18.728,976,372,5,7,1.000,7.616,977,379,66.801,5.000,1.367,0.732,0.903
4,34,473.059,387.912,21.556,470,384,6,8,0.919,8.944,471,384,116.565,6.000,1.578,0.634,0.872
5,52,656.750,404.115,25.556,653,400,8,8,1.000,9.434,654,408,57.995,8.000,1.094,0.914,0.920
6,54,784.056,434.537,26.385,779,431,10,7,0.975,10.440,779,433,163.301,7.000,1.433,0.698,0.900
7,68,807.882,445.397,29.799,803,441,10,9,0.962,10.817,803,448,33.690,9.000,1.175,0.851,0.907
8,63,542.516,503.976,28.971,538,500,9,9,0.943,10.630,539,508,41.186,8.944,1.168,0.856,0.913
9,74,811.946,507.203,30.971,806,503,11,8,0.969,12.083,806,509,24.444,8.000,1.346,0.743,0.937
10,63,906.770,545.452,28.971,902,541,9,9,0.943,10.817,902,548,33.690,8.944,1.220,0.820,0.906
11,39,723.474,556.346,24.142,720,552,7,8,0.841,8.944,722,552,116.565,6.472,1.480,0.676,0.848
12,44,733.955,555.477,26.971,729,552,9,8,0.760,10.817,729,554,146.310,7.374,1.554,0.644,0.807
13,51,861.382,577.480,25.556,857,574,9,7,0.981,9.849,857,580,23.962,7.000,1.301,0.768,0.919
14,45,672.256,601.789,24.971,668,598,8,8,0.907,9.434,670,598,122.005,7.589,1.335,0.749,0.874
15,38,1009.289,651.368,25.556,1005,647,7,9,0.731,9.487,1009,656,71.565,7.000,1.192,0.839,0.800
16,51,988.186,653.794,29.213,984,648,8,11,0.751,12.083,986,648,114.444,7.031,1.790,0.559,0.816
17,119,1002.441,659.878,49.941,993,654,18,11,0.600,18.439,993,659,167.471,11.000,1.822,0.549,0.812
18,58,667.776,701.293,32.627,661,698,13,7,0.685,13.928,661,699,158.962,6.472,2.631,0.380,0.811
19,65,1065.500,705.500,28.385,1061,701,9,9,1.000,10.296,1063,701,119.055,9.000,1.099,0.910,0.915
20,278,712.683,713.011,72.184,704,702,17,23,0.670,24.352,708,725,70.821,16.360,1.446,0.692,0.855
21,52,838.231,750.423,26.971,835,745,7,10,0.898,11.180,836,745,116.565,7.000,1.698,0.589,0.904
22,58,574.776,760.414,27.556,571,756,8,9,0.960,10.296,572,756,119.055,8.000,1.204,0.831,0.913
23,56,970.500,780.321,27.556,966,776,9,8,0.927,10.817,966,778,146.310,8.000,1.263,0.792,0.896
24,36,1075.222,805.250,22.971,1072,801,7,8,0.857,8.944,1074,801,116.565,6.128,1.526,0.655,0.837
25,128,687.242,896.219,47.698,681,888,12,17,0.707,17.464,684,904,66.371,10.786,1.884,0.531,0.839
26,62,585.629,918.032,28.971,582,913,8,10,0.928,11.180,583,913,116.565,8.000,1.429,0.700,0.912
