 ,Area,X,Y,Perim.,BX,BY,Width,Height,Circ.,Feret,FeretX,FeretY,FeretAngle,MinFeret,AR,Round,Solidity
1,42,673.762,251.310,30.042,670,247,8,9,0.585,9.220,673,256,77.471,8.000,1.171,0.854,0.757
2,45,813.700,251.544,31.213,810,248,9,8,0.580,9.849,810,249,156.038,8.000,1.056,0.947,0.776
3,34,882.382,251.971,29.213,879,249,8,7,0.501,8.544,879,250,159.444,7.000,1.194,0.837,0.747
4,32,913.062,298.375,28.627,908,296,11,5,0.491,11.180,908,297,169.695,5.000,2.429,0.412,0.674
5,50,512.820,301.340,25.799,509,297,8,9,0.944,9.849,511,306,66.038,7.600,1.350,0.741,0.870
6,51,841.775,303.520,25.799,838,299,8,9,0.963,9.487,840,299,108.435,8.000,1.192,0.839,0.887
7,34,468.529,303.324,23.213,464,300,9,7,0.793,9.220,464,304,12.529,6.364,1.483,0.674,0.791
8,109,831.326,309.720,45.355,823,303,16,13,0.666,17.205,824,304,144.462,10.607,1.880,0.532,0.801
9,30,629.833,318.400,23.556,627,315,6,7,0.679,8.602,628,322,54.462,6.000,1.483,0.674,0.800
10,36,419.333,352.500,26.385,416,349,7,7,0.650,8.602,417,349,125.538,6.791,1.294,0.773,0.809
11,70,599.357,372.129,45.113,594,366,12,14,0.432,15.811,596,380,55.305,8.232,2.369,0.422,0.700
12,46,634.391,379.130,24.728,631,375,7,8,0.945,9.220,631,376,139.399,7.000,1.050,0.953,0.911
13,45,1031.722,380.544,30.142,1028,377,8,7,0.622,10.000,1028,378,143.130,7.000,1.147,0.872,0.865
14,303,985.853,398.252,99.539,975,386,23,22,0.384,25.060,976,391,151.390,21.000,1.147,0.872,0.796
15,83,659.211,394.151,48.527,655,387,9,15,0.443,16.553,656,402,64.983,8.974,2.155,0.464,0.741
16,128,903.773,407.789,58.426,896,401,15,16,0.471,19.849,897,401,130.914,10.817,1.877,0.533,0.764
17,121,435.269,415.665,60.284,427,408,15,13,0.418,17.692,428,420,42.709,13.000,1.353,0.739,0.720
18,63,617.611,417.643,28.971,614,413,8,10,0.943,10.770,616,423,68.199,8.000,1.276,0.784,0.913
19,74,997.311,419.689,30.385,992,415,10,9,1.000,11.180,992,418,153.435,9.000,1.123,0.891,0.931
20,50,425.300,423.620,31.213,422,418,7,11,0.645,11.402,423,429,74.745,7.000,1.877,0.533,0.781
21,71,594.246,424.204,51.841,587,419,13,11,0.332,13.601,587,423,162.897,11.000,1.177,0.850,0.651
22,34,1042.912,443.941,30.870,1039,440,8,8,0.448,8.602,1041,448,54.462,7.071,1.238,0.808,0.694
23,61,919.730,450.172,28.385,916,445,8,10,0.951,11.180,917,455,63.435,8.000,1.385,0.722,0.910
24,45,388.100,453.678,39.113,382,449,12,10,0.370,13.892,382,452,149.744,8.142,2.164,0.462,0.559
25,87,807.661,458.661,44.870,803,452,10,16,0.543,17.889,804,468,63.435,8.918,2.528,0.396,0.744
26,60,980.717,480.417,29.213,975,476,10,9,0.883,10.817,975,479,146.310,8.497,1.224,0.817,0.863
27,54,349.037,491.944,36.627,345,487,9,9,0.506,10.817,345,495,33.690,8.825,1.197,0.836,0.788
28,53,506.934,493.726,34.284,503,489,8,10,0.567,10.770,505,489,111.801,8.000,1.300,0.769,0.803
29,49,470.765,544.500,34.627,467,540,8,9,0.514,10.000,468,548,53.130,8.000,1.138,0.879,0.784
30,35,843.643,545.757,28.042,840,542,7,8,0.559,9.220,841,549,49.399,7.000,1.313,0.762,0.761
31,52,405.615,555.442,25.556,402,551,7,9,1.000,9.849,404,560,66.038,7.000,1.250,0.800,0.929
32,80,1108.875,556.825,39.698,1101,552,14,9,0.638,15.232,1101,560,23.199,9.000,1.682,0.595,0.816
33,44,534.568,558.114,32.385,531,554,7,8,0.527,9.434,533,554,122.005,7.000,1.164,0.859,0.838
34,44,824.682,558.318,34.042,821,554,8,9,0.477,9.487,823,563,71.565,8.000,1.277,0.783,0.759
35,76,1144.158,563.592,48.870,1138,559,12,9,0.400,13.000,1138,562,157.380,9.000,1.188,0.842,0.784
36,30,1106.900,564.133,21.899,1103,562,9,4,0.786,9.487,1103,566,18.435,4.000,2.212,0.452,0.909
37,50,910.700,576.620,38.627,907,572,8,9,0.421,10.817,908,581,56.310,8.000,1.270,0.787,0.763
38,62,861.742,585.597,41.698,857,580,11,11,0.448,13.038,858,580,122.471,8.875,1.478,0.677,0.717
39,42,1094.738,587.476,33.799,1090,583,9,8,0.462,10.000,1091,584,143.130,8.000,1.075,0.930,0.700
40,42,1119.357,590.429,34.042,1114,584,9,12,0.455,14.422,1114,596,56.310,6.261,2.854,0.350,0.618
41,65,1054.500,593.331,28.971,1050,589,9,9,0.973,10.817,1050,596,33.690,8.944,1.224,0.817,0.922
42,28,858.143,594.929,26.385,855,592,8,7,0.505,8.246,855,596,14.036,7.000,1.283,0.779,0.659
43,27,539.463,598.574,27.799,536,594,7,10,0.439,11.180,538,594,116.565,5.814,2.342,0.427,0.614
44,60,903.000,617.267,27.799,899,612,8,10,0.976,10.440,902,612,106.699,8.000,1.235,0.810,0.909
45,142,1085.556,620.570,73.598,1075,613,20,16,0.329,24.207,1075,629,38.290,11.314,2.587,0.387,0.721
46,99,717.682,622.904,58.426,712,615,13,14,0.364,17.692,713,616,132.709,12.021,1.363,0.734,0.712
47,58,528.500,620.966,40.870,523,616,12,10,0.436,13.000,523,618,157.380,9.615,1.178,0.849,0.655
48,124,922.484,631.774,43.113,916,624,14,14,0.838,14.866,918,638,70.346,12.728,1.188,0.842,0.879
49,37,1082.581,631.149,27.556,1077,628,11,6,0.612,12.083,1077,633,24.444,4.743,3.132,0.319,0.813
50,43,460.988,633.012,24.142,457,629,7,8,0.927,8.602,458,630,125.538,7.000,1.202,0.832,0.887
51,50,915.120,641.100,32.284,911,636,8,11,0.603,12.530,912,636,118.610,7.845,1.691,0.591,0.730
52,29,923.362,643.914,20.728,920,641,7,6,0.848,9.220,920,641,139.399,5.657,1.798,0.556,0.866
53,30,540.733,651.867,29.799,538,648,6,8,0.425,8.544,539,656,69.444,6.000,1.204,0.831,0.723
54,53,945.198,658.198,36.870,941,654,9,9,0.490,10.817,942,654,123.690,8.485,1.191,0.840,0.791
55,39,435.295,661.885,22.385,432,658,7,8,0.978,8.544,434,666,69.444,7.000,1.203,0.831,0.876
56,472,994.364,682.610,133.782,982,667,26,31,0.331,31.257,990,667,97.352,25.691,1.271,0.787,0.782
57,51,675.127,672.069,26.971,671,668,8,9,0.881,10.000,672,676,53.130,7.906,1.241,0.806,0.864
58,27,1128.426,694.426,25.556,1126,690,6,8,0.519,8.944,1128,690,116.565,5.692,1.767,0.566,0.692
59,30,959.633,703.367,30.971,953,700,11,8,0.393,13.601,953,700,143.973,5.966,2.850,0.351,0.588
60,30,986.867,724.133,22.728,982,722,10,4,0.730,10.440,982,722,163.301,4.000,2.815,0.355,0.870
61,42,503.690,731.643,22.728,500,728,7,7,1.000,8.602,500,734,35.538,7.000,1.123,0.890,0.933
62,68,387.471,752.765,48.042,382,748,11,9,0.370,12.083,382,755,24.444,9.000,1.134,0.882,0.791
63,225,898.438,762.322,88.811,882,754,28,18,0.358,30.887,882,755,150.945,14.126,2.384,0.420,0.690
64,103,774.898,764.413,53.698,771,756,8,16,0.449,17.088,772,756,110.556,8.000,2.221,0.450,0.834
65,68,585.765,775.706,29.799,582,770,8,11,0.962,11.705,584,770,109.983,8.000,1.350,0.741,0.907
66,30,696.267,775.567,25.799,691,772,9,8,0.566,11.402,691,772,142.125,5.250,2.843,0.352,0.706
67,37,708.230,782.176,28.971,704,779,8,6,0.554,9.434,704,780,147.995,6.000,1.460,0.685,0.822
68,67,797.694,790.381,29.456,793,785,9,11,0.970,11.402,796,785,105.255,8.854,1.264,0.791,0.887
69,173,1010.650,808.564,63.841,1003,796,16,22,0.533,23.409,1006,796,109.983,12.965,2.024,0.494,0.776
70,101,978.213,805.183,55.113,971,798,13,17,0.418,18.028,978,815,70.560,11.399,1.829,0.547,0.647
71,141,991.649,804.521,71.255,982,798,19,14,0.349,19.235,982,805,8.973,14.000,1.749,0.572,0.691
72,36,949.000,811.472,28.385,946,808,7,8,0.561,8.944,947,808,116.565,7.000,1.305,0.766,0.758
73,31,806.823,832.661,22.142,803,830,8,6,0.795,9.434,803,835,32.005,5.800,1.955,0.511,0.805
74,69,740.659,847.906,30.385,736,843,9,10,0.939,11.662,738,853,59.036,8.854,1.305,0.766,0.908
75,79,1028.639,857.171,41.941,1023,851,12,13,0.564,13.416,1023,859,26.565,10.885,1.405,0.712,0.725
76,224,938.884,868.652,92.569,928,857,21,23,0.328,23.195,936,857,97.431,20.318,1.301,0.768,0.661
77,73,801.979,884.582,31.213,797,880,10,10,0.942,11.662,798,880,120.964,9.192,1.237,0.808,0.907
78,36,727.583,891.028,34.971,721,887,10,10,0.370,13.454,721,887,131.987,7.071,2.024,0.494,0.595
79,86,870.233,928.221,34.042,865,923,11,11,0.933,12.207,867,923,124.992,9.899,1.232,0.812,0.901
80,70,525.686,933.643,40.284,521,929,10,10,0.542,11.180,523,929,116.565,9.899,1.012,0.988,0.828
81,39,596.064,937.962,31.799,592,932,8,12,0.485,14.422,592,944,56.310,4.271,4.064,0.246,0.757
82,27,590.833,938.463,22.142,588,934,5,9,0.692,9.849,589,943,66.038,4.366,2.692,0.372,0.818
