 ,Area,X,Y,Perim.,BX,BY,Width,Height,Circ.,Feret,FeretX,FeretY,FeretAngle,MinFeret,AR,Round,Solidity
1,58,738.810,265.379,27.799,734,261,9,9,0.943,9.487,734,264,161.565,8.944,1.041,0.960,0.885
2,66,725.409,269.303,35.799,720,265,12,9,0.647,12.207,720,273,34.992,8.974,1.387,0.721,0.781
3,52,764.615,343.538,26.142,761,339,7,9,0.956,10.000,761,347,53.130,7.000,1.308,0.764,0.920
4,61,812.434,375.730,28.971,808,371,9,9,0.913,10.817,809,380,56.310,8.497,1.222,0.818,0.897
5,126,777.048,383.135,53.113,769,376,17,14,0.561,19.723,769,377,149.534,10.864,2.205,0.454,0.754
6,161,759.953,386.829,59.355,753,377,16,19,0.574,20.616,756,396,67.166,15.179,1.566,0.639,0.747
7,57,909.728,396.553,27.213,905,392,9,9,0.967,10.817,905,399,33.690,7.778,1.399,0.715,0.891
8,53,582.387,396.858,26.385,578,393,9,8,0.957,10.817,578,400,33.690,7.071,1.539,0.650,0.914
9,59,669.483,406.398,31.799,666,401,8,11,0.733,12.083,668,412,65.556,7.967,1.631,0.613,0.825
10,57,460.535,416.096,31.799,454,413,13,7,0.708,13.928,454,419,21.038,6.791,2.285,0.438,0.838
11,51,1067.735,421.559,26.142,1063,418,9,7,0.938,10.817,1063,424,33.690,7.000,1.534,0.652,0.927
12,68,491.000,432.000,28.971,486,428,10,8,1.000,10.770,486,430,158.199,8.000,1.226,0.816,0.944
13,40,400.725,440.125,22.142,397,437,8,6,1.000,8.602,397,438,144.462,6.000,1.319,0.758,0.920
14,50,569.220,440.320,25.556,565,437,9,7,0.962,10.296,565,443,29.055,7.000,1.415,0.707,0.917
15,254,924.614,452.677,74.083,916,440,19,22,0.582,23.409,924,440,109.983,17.613,1.506,0.664,0.786
16,39,702.372,461.269,26.728,697,459,11,5,0.686,11.705,697,463,19.983,5.000,2.770,0.361,0.857
17,42,414.786,483.810,24.142,412,479,6,9,0.906,9.849,412,488,66.038,6.000,1.587,0.630,0.903
18,61,1099.254,484.320,29.556,1094,481,11,7,0.877,12.083,1094,487,24.444,7.000,1.646,0.608,0.910
19,38,935.842,500.711,22.971,932,497,8,7,0.905,9.434,932,504,32.005,6.261,1.572,0.636,0.874
20,41,604.988,505.280,26.142,602,500,6,10,0.754,10.770,603,510,68.199,5.687,2.159,0.463,0.828
21,61,455.369,521.238,32.627,450,516,10,11,0.720,11.402,455,516,105.255,9.615,1.295,0.772,0.767
22,35,489.871,520.186,21.556,487,516,6,8,0.947,8.944,488,516,116.565,5.814,1.622,0.617,0.886
23,25,451.620,530.180,25.213,448,527,9,6,0.494,9.487,448,529,161.565,6.000,1.884,0.531,0.641
24,79,671.994,532.222,32.627,666,528,12,9,0.933,12.649,666,530,161.565,9.000,1.338,0.748,0.908
25,53,1102.953,537.009,35.799,1095,533,12,9,0.520,13.038,1095,534,147.529,8.944,1.292,0.774,0.707
26,257,996.543,546.850,95.154,979,540,34,19,0.357,34.366,979,549,8.366,18.711,2.110,0.474,0.614
27,192,724.516,566.792,69.941,716,560,19,15,0.493,21.095,716,573,31.430,14.572,1.598,0.626,0.798
28,158,965.905,570.120,57.941,957,561,18,18,0.591,24.083,958,579,48.366,9.899,2.951,0.339,0.802
29,146,413.137,596.185,74.669,404,587,18,17,0.329,23.345,404,587,133.264,12.362,1.757,0.569,0.714
30,177,409.071,612.059,80.326,399,603,17,19,0.345,21.401,402,604,127.405,15.236,1.514,0.660,0.734
31,35,945.443,610.100,25.556,940,607,10,6,0.673,10.440,940,611,16.699,5.060,2.374,0.421,0.795
32,116,949.793,620.172,62.669,941,613,15,18,0.371,18.974,946,613,108.435,12.926,1.824,0.548,0.657
33,39,593.038,622.397,25.314,591,617,4,11,0.765,11.180,592,617,100.305,4.000,2.643,0.378,0.940
34,75,878.980,627.060,31.213,874,622,10,10,0.967,11.314,875,623,135.000,9.839,1.106,0.904,0.898
35,62,910.274,635.274,32.042,905,630,11,10,0.759,13.038,905,632,147.529,7.071,2.104,0.475,0.832
36,49,631.337,636.582,25.556,628,632,7,9,0.943,10.000,629,632,126.870,7.000,1.441,0.694,0.907
37,491,1083.671,649.390,142.167,1067,639,33,23,0.305,34.886,1067,641,152.700,23.000,1.546,0.647,0.757
38,37,1065.365,653.662,22.142,1062,650,7,7,0.948,9.220,1063,650,130.601,6.364,1.500,0.667,0.902
39,27,368.426,709.944,18.485,366,707,5,6,0.993,7.810,366,713,50.194,5.000,1.346,0.743,0.947
40,113,802.447,721.226,44.870,798,714,10,15,0.705,16.553,800,729,64.983,10.000,1.686,0.593,0.837
41,68,734.559,722.368,28.971,730,718,9,9,1.000,11.402,730,719,142.125,9.000,1.206,0.829,0.938
42,73,1108.253,722.760,31.213,1103,718,11,9,0.942,12.207,1103,720,145.008,8.854,1.433,0.698,0.901
43,221,1002.201,733.781,93.640,989,721,25,21,0.317,25.962,989,742,15.642,21.000,1.180,0.847,0.630
44,33,731.045,742.742,22.728,728,739,6,8,0.803,9.434,729,747,57.995,6.000,1.659,0.603,0.846
45,32,759.188,751.938,30.728,752,750,14,4,0.426,14.036,752,752,175.914,3.960,4.246,0.236,0.744
46,154,929.013,765.052,55.598,921,757,16,17,0.626,18.601,922,759,126.254,12.826,1.622,0.616,0.790
47,39,909.628,759.551,40.385,902,758,18,4,0.300,18.111,902,761,6.340,4.000,6.106,0.164,0.650
48,46,362.848,766.174,31.799,360,760,6,12,0.572,12.649,361,772,71.565,6.000,2.382,0.420,0.767
49,32,1014.406,778.625,29.314,1008,777,13,4,0.468,13.342,1008,780,12.995,3.781,4.390,0.228,0.810
50,41,1047.378,792.305,26.385,1043,789,10,7,0.740,11.662,1043,795,30.964,6.261,2.188,0.457,0.812
51,52,992.019,818.212,24.971,988,814,8,8,1.000,9.434,990,814,122.005,8.000,1.135,0.881,0.920
52,46,806.652,821.043,24.971,803,817,7,9,0.927,10.000,804,817,126.870,7.000,1.487,0.672,0.902
53,35,444.357,824.643,22.142,441,821,7,7,0.897,9.220,442,821,130.601,6.364,1.640,0.610,0.875
