 ,Area,X,Y,Perim.,BX,BY,Width,Height,Circ.,Feret,FeretX,FeretY,FeretAngle,MinFeret,AR,Round,Solidity
1,50,670.880,96.280,31.456,666,92,10,8,0.635,10.440,666,95,163.301,7.603,1.469,0.681,0.794
2,42,597.286,99.143,22.971,594,95,7,8,1.000,8.944,595,95,116.565,7.000,1.202,0.832,0.884
3,55,681.318,112.645,27.213,677,108,9,9,0.933,10.296,679,108,119.055,7.778,1.387,0.721,0.873
4,76,605.605,125.368,31.213,600,121,11,9,0.980,11.402,600,124,164.745,9.000,1.142,0.875,0.910
5,48,702.771,134.417,24.971,699,130,8,8,0.967,8.944,699,137,26.565,8.000,1.016,0.984,0.889
6,50,620.240,147.480,25.556,617,143,7,9,0.962,9.849,618,143,113.962,7.000,1.375,0.727,0.917
7,29,818.776,155.845,22.971,815,153,8,5,0.691,8.544,815,154,159.444,5.000,1.866,0.536,0.806
8,60,689.683,169.150,28.971,686,164,8,10,0.898,10.770,688,164,111.801,8.000,1.401,0.714,0.889
9,52,734.981,177.865,26.142,731,174,8,8,0.956,10.000,731,175,143.130,8.000,1.210,0.827,0.912
10,51,796.696,180.716,26.385,793,176,8,9,0.921,10.000,793,184,53.130,7.778,1.203,0.831,0.879
11,54,807.704,190.130,27.556,804,185,7,10,0.894,10.770,806,185,111.801,7.000,1.555,0.643,0.893
12,40,737.425,190.525,22.142,734,187,7,7,1.000,8.602,735,187,125.538,7.000,1.234,0.810,0.920
13,63,574.437,193.008,28.627,570,188,9,10,0.966,11.180,572,188,116.565,7.778,1.426,0.701,0.906
14,44,390.205,205.841,35.213,386,201,8,9,0.446,10.817,387,210,56.310,7.778,1.469,0.681,0.733
15,68,507.426,208.853,50.770,501,203,13,12,0.332,15.264,501,212,31.608,8.460,2.172,0.460,0.663
16,49,481.255,229.684,25.799,477,225,8,9,0.925,9.434,478,226,122.005,7.778,1.203,0.831,0.867
17,54,513.074,230.241,28.385,509,225,8,10,0.842,10.770,511,235,68.199,7.761,1.403,0.713,0.850
18,44,726.455,229.568,22.728,723,226,7,7,1.000,8.602,724,226,125.538,7.000,1.043,0.959,0.946
19,51,548.049,237.578,25.799,544,233,8,9,0.963,9.434,545,234,122.005,7.778,1.178,0.849,0.887
20,35,443.186,240.386,20.971,440,237,7,7,1.000,8.062,440,243,29.745,6.364,1.259,0.794,0.886
21,37,571.905,241.689,21.556,568,238,7,7,1.000,8.062,568,243,29.745,7.000,1.048,0.955,0.881
22,52,653.423,246.827,25.556,649,243,9,7,1.000,9.849,649,245,156.038,7.000,1.299,0.770,0.920
23,115,590.978,268.917,63.113,587,257,9,22,0.363,22.361,588,257,100.305,8.283,3.469,0.288,0.706
24,54,441.889,268.630,27.556,437,265,9,8,0.894,10.296,437,266,150.945,8.000,1.259,0.794,0.893
25,64,373.547,272.672,31.799,369,267,9,10,0.795,12.042,369,276,48.366,9.000,1.225,0.816,0.853
26,50,532.040,279.660,24.971,528,276,8,8,1.000,9.434,529,276,122.005,7.778,1.204,0.831,0.917
27,43,555.035,281.058,24.971,552,277,7,9,0.867,9.487,553,277,108.435,7.000,1.372,0.729,0.860
