 ,Area,X,Y,Perim.,BX,BY,Width,Height,Circ.,Feret,FeretX,FeretY,FeretAngle,MinFeret,AR,Round,Solidity
1,47,832.223,190.649,32.142,825,188,14,5,0.572,14.318,825,192,12.095,4.975,3.319,0.301,0.817
2,53,707.896,192.953,37.213,701,190,15,7,0.481,16.155,701,191,158.199,5.918,3.148,0.318,0.688
3,39,842.115,197.295,23.799,838,194,8,8,0.865,8.944,839,194,116.565,7.000,1.318,0.759,0.839
4,46,703.391,199.196,30.385,697,197,13,5,0.626,13.153,697,197,171.254,5.000,2.613,0.383,0.852
5,30,727.700,202.667,22.728,724,199,8,6,0.730,10.000,724,199,143.130,5.121,2.167,0.461,0.845
6,31,653.339,208.242,22.385,650,204,7,8,0.777,10.630,650,204,131.186,4.243,2.617,0.382,0.873
7,74,627.122,212.608,31.799,622,208,11,9,0.920,11.705,622,216,19.983,9.000,1.266,0.790,0.902
8,38,760.868,220.053,33.799,758,215,7,10,0.418,10.770,760,215,111.801,6.946,1.782,0.561,0.618
9,64,904.984,222.047,44.627,900,218,10,9,0.404,12.042,901,218,138.366,9.000,1.140,0.877,0.790
10,79,646.424,228.690,50.184,638,223,17,12,0.394,17.464,638,224,166.759,10.476,1.861,0.537,0.629
11,61,740.615,257.352,28.385,736,253,10,8,0.951,10.770,736,255,158.199,8.000,1.356,0.737,0.897
12,62,553.629,258.403,42.042,545,255,18,8,0.441,18.682,545,262,15.524,5.808,3.903,0.256,0.734
13,52,863.904,274.038,35.556,860,270,8,8,0.517,10.630,860,277,41.186,8.000,1.044,0.958,0.846
14,74,864.676,291.892,31.213,859,287,11,9,0.954,11.402,859,291,164.745,9.000,1.272,0.786,0.897
15,61,806.566,300.041,27.556,802,296,9,8,1.000,10.296,802,298,150.945,8.000,1.130,0.885,0.938
16,29,422.810,331.155,20.971,420,327,6,8,0.829,9.434,420,327,122.005,4.950,1.893,0.528,0.853
17,57,676.833,334.307,27.556,673,330,8,9,0.943,10.296,674,339,60.945,8.000,1.121,0.892,0.905
18,33,487.712,335.833,25.899,482,334,11,4,0.618,11.402,482,337,15.255,4.000,3.140,0.318,0.868
19,42,416.810,338.500,25.799,412,335,10,7,0.793,11.180,412,336,153.435,6.002,2.219,0.451,0.816
20,31,488.081,340.855,23.899,483,339,10,4,0.682,10.440,483,342,16.699,4.000,2.902,0.345,0.873
21,57,634.816,359.307,28.142,631,355,8,9,0.904,10.296,632,355,119.055,8.000,1.271,0.787,0.898
22,54,614.556,375.963,36.627,610,372,9,8,0.506,10.000,612,372,126.870,8.000,1.038,0.963,0.818
23,26,764.462,376.462,26.728,758,375,12,3,0.457,12.369,758,375,165.964,3.000,3.746,0.267,0.867
24,89,638.803,382.219,34.627,633,377,12,10,0.933,12.806,634,378,141.340,10.000,1.265,0.791,0.899
25,73,657.966,383.966,49.941,651,377,13,12,0.368,13.153,651,383,171.254,11.314,1.215,0.823,0.646
26,69,425.746,381.746,33.213,420,378,13,8,0.786,13.153,420,382,8.746,8.000,1.469,0.681,0.868
27,70,951.586,382.171,46.971,946,378,11,8,0.399,12.530,946,385,28.610,8.000,1.257,0.796,0.838
28,30,521.833,386.500,23.556,517,384,9,6,0.679,10.296,517,385,150.945,5.121,2.469,0.405,0.779
29,31,518.274,391.952,21.556,515,388,7,7,0.838,9.220,516,388,130.601,5.547,1.842,0.543,0.849
30,42,738.262,394.048,26.728,736,388,5,11,0.739,11.180,738,388,100.305,5.000,2.316,0.432,0.884
31,35,707.529,394.614,33.213,704,391,7,8,0.399,9.220,704,397,40.601,7.000,1.198,0.835,0.686
32,41,839.305,397.963,32.042,834,394,10,9,0.502,10.770,834,398,21.801,8.944,1.379,0.725,0.667
33,91,642.731,406.951,61.255,638,399,11,15,0.305,15.811,641,399,108.435,10.915,1.727,0.579,0.679
34,43,467.733,409.198,34.870,464,404,8,10,0.444,10.198,468,404,101.310,7.845,1.400,0.714,0.662
35,59,535.958,411.178,38.627,532,406,9,10,0.497,10.817,534,406,123.690,9.000,1.240,0.806,0.747
36,81,435.290,412.722,32.385,430,408,11,9,0.971,12.207,430,410,145.008,9.000,1.201,0.832,0.926
37,64,632.422,415.266,28.627,628,410,9,10,0.981,10.440,630,420,73.301,8.944,1.138,0.879,0.889
38,35,396.157,415.414,32.042,393,411,8,10,0.428,11.180,395,421,63.435,6.788,2.001,0.500,0.579
39,52,771.596,417.077,39.698,767,412,9,10,0.415,10.770,770,412,111.801,9.000,1.292,0.774,0.712
40,33,648.561,416.652,24.385,645,413,8,8,0.697,10.630,645,421,41.186,5.824,2.154,0.464,0.733
41,53,684.123,419.406,34.284,680,413,9,12,0.567,12.649,682,413,108.435,7.155,2.042,0.490,0.716
42,178,516.483,425.865,70.184,505,416,21,18,0.454,22.204,508,434,54.162,13.817,1.575,0.635,0.695
43,33,875.076,428.379,29.556,868,426,13,5,0.475,13.038,868,428,175.601,4.707,2.954,0.339,0.742
44,78,1026.346,434.346,48.284,1020,430,12,9,0.420,13.038,1021,431,147.529,9.000,1.248,0.801,0.825
45,41,875.427,436.549,31.213,869,433,12,6,0.529,13.000,869,434,157.380,6.000,1.881,0.532,0.713
46,28,721.500,439.929,20.728,717,438,9,4,0.819,9.487,717,438,161.565,4.000,2.409,0.415,0.889
47,97,911.634,445.593,40.870,905,440,12,12,0.730,13.892,910,452,59.744,12.000,1.071,0.934,0.833
48,46,493.217,450.304,36.042,489,446,8,9,0.445,9.899,490,447,135.000,8.000,1.203,0.831,0.742
49,52,471.788,469.135,40.284,467,465,10,9,0.403,10.817,469,465,123.690,9.000,1.010,0.990,0.693
50,124,896.040,477.629,62.770,884,472,22,10,0.395,22.561,884,479,12.804,9.204,3.002,0.333,0.719
51,45,1093.544,481.344,34.627,1090,477,8,9,0.472,10.296,1092,477,119.055,8.000,1.345,0.743,0.714
52,58,1064.534,489.897,42.870,1060,485,10,10,0.397,12.207,1062,495,55.008,9.610,1.305,0.767,0.682
53,87,375.397,492.305,33.213,371,486,9,12,0.991,12.649,374,486,108.435,9.000,1.295,0.772,0.930
54,39,560.885,490.064,28.142,555,488,12,5,0.619,13.000,555,488,157.380,4.713,2.939,0.340,0.848
55,81,1053.549,497.006,32.385,1049,492,9,11,0.971,11.705,1051,492,109.983,9.000,1.188,0.842,0.936
56,143,612.143,503.899,67.012,605,497,18,13,0.400,20.125,605,509,26.565,13.000,1.298,0.771,0.745
57,52,651.135,503.558,34.870,647,499,9,10,0.537,11.402,648,508,52.125,7.906,1.579,0.633,0.722
58,66,1081.258,523.288,47.698,1076,518,11,10,0.365,12.530,1076,526,28.610,10.000,1.115,0.897,0.691
59,34,946.176,534.529,30.385,943,531,7,8,0.463,8.944,944,531,116.565,7.000,1.318,0.759,0.701
60,48,778.438,544.417,31.799,775,540,7,9,0.597,10.296,777,549,60.945,7.000,1.412,0.708,0.821
61,81,428.352,560.870,33.213,423,556,11,10,0.923,12.207,423,558,145.008,9.487,1.237,0.808,0.890
62,54,538.926,569.241,39.456,535,565,9,9,0.436,10.817,536,565,123.690,9.000,1.076,0.929,0.745
63,78,578.705,570.103,31.799,574,565,9,11,0.969,11.705,578,576,70.017,9.000,1.191,0.840,0.929
64,356,717.185,591.011,118.711,704,579,24,28,0.317,30.083,714,607,68.552,22.809,1.298,0.770,0.730
65,30,1004.567,587.933,26.142,1000,586,11,5,0.552,11.705,1000,591,19.983,4.743,2.922,0.342,0.779
66,47,1087.840,616.245,43.698,1083,611,10,10,0.309,11.180,1086,611,116.565,9.487,1.229,0.813,0.595
67,51,1016.422,618.716,45.698,1012,613,11,13,0.307,15.811,1013,613,124.695,8.427,2.156,0.464,0.537
68,74,419.662,626.257,30.971,415,621,9,10,0.969,11.180,418,621,116.565,9.000,1.146,0.872,0.931
69,83,1067.934,628.645,47.456,1062,624,12,10,0.463,13.038,1063,625,147.529,10.000,1.216,0.823,0.810
70,68,1056.794,636.941,49.598,1049,632,14,11,0.347,16.401,1049,633,142.431,10.733,1.396,0.716,0.581
71,28,586.429,646.821,28.385,583,644,7,6,0.437,8.062,583,645,150.255,6.000,1.052,0.951,0.727
72,118,694.364,663.525,50.184,687,657,15,14,0.589,15.297,687,662,168.690,13.200,1.009,0.991,0.766
73,39,806.936,662.603,36.870,803,658,8,9,0.361,10.296,805,667,60.945,8.000,1.370,0.730,0.614
74,56,1002.446,663.804,40.870,998,659,10,10,0.421,10.817,1000,659,123.690,9.487,1.240,0.806,0.696
75,45,1027.744,673.678,35.213,1023,668,11,10,0.456,13.601,1023,668,143.973,7.778,1.886,0.530,0.638
76,26,1017.769,674.769,20.971,1015,671,6,8,0.743,9.434,1015,679,57.995,4.600,2.491,0.401,0.800
77,38,370.237,692.684,34.042,367,687,8,10,0.412,10.817,368,688,123.690,7.589,1.698,0.589,0.585
78,98,1034.745,694.622,45.456,1029,689,13,11,0.596,14.422,1029,698,33.690,10.672,1.240,0.806,0.813
79,45,689.011,704.922,36.042,684,701,9,10,0.435,10.440,686,701,106.699,8.310,1.274,0.785,0.714
80,27,594.093,713.426,26.971,592,708,6,9,0.466,9.849,593,708,113.962,6.000,2.014,0.497,0.667
81,95,840.553,713.679,42.870,831,708,15,11,0.650,16.155,831,716,21.801,11.000,1.412,0.708,0.802
82,104,402.269,719.904,51.012,396,712,13,17,0.502,19.235,398,712,117.897,10.494,2.321,0.431,0.698
83,40,700.075,715.900,31.213,696,712,8,9,0.516,10.000,696,718,36.870,7.845,1.274,0.785,0.696
84,60,381.900,726.233,39.456,377,722,11,9,0.484,12.083,377,724,155.556,9.000,1.459,0.685,0.723
85,77,909.877,730.942,31.799,905,726,10,10,0.957,11.662,907,736,59.036,9.707,1.206,0.829,0.911
86,38,370.421,738.289,26.142,365,736,11,5,0.699,11.402,365,739,15.255,5.000,2.504,0.399,0.864
87,63,1018.643,772.135,39.456,1014,767,10,10,0.509,11.402,1015,776,37.875,9.806,1.211,0.826,0.737
88,63,820.548,778.183,40.527,816,773,10,11,0.482,11.402,820,784,74.745,9.391,1.273,0.785,0.746
89,96,975.969,788.594,35.213,970,784,12,10,0.973,13.000,970,786,157.380,10.000,1.297,0.771,0.923
90,77,589.578,807.162,31.556,585,802,9,10,0.972,12.207,586,812,55.008,9.000,1.255,0.797,0.945
91,30,973.600,820.800,22.142,970,818,8,6,0.769,8.944,970,823,26.565,5.692,1.921,0.521,0.789
92,184,874.462,833.625,77.740,864,824,23,19,0.383,26.907,867,824,138.013,15.652,1.684,0.594,0.651
93,26,951.615,826.769,20.728,947,824,8,5,0.760,8.246,947,827,165.964,5.000,1.641,0.609,0.839
94,66,1000.076,830.970,40.870,996,826,9,11,0.497,12.083,999,837,65.556,9.000,1.383,0.723,0.776
95,60,842.367,837.500,46.527,837,832,10,11,0.348,11.705,840,832,109.983,9.899,1.105,0.905,0.686
96,49,739.296,838.194,38.870,735,834,9,9,0.408,10.296,737,834,119.055,9.000,1.102,0.907,0.715
97,53,1019.462,841.462,34.042,1015,836,10,10,0.575,10.630,1017,837,131.186,8.746,1.406,0.711,0.711
98,38,881.421,846.789,24.385,877,843,9,7,0.803,10.296,877,844,150.945,5.692,1.979,0.505,0.835
99,38,1052.342,850.474,33.213,1049,846,7,9,0.433,10.296,1051,855,60.945,7.000,1.498,0.668,0.655
100,105,878.357,855.157,45.113,870,850,15,11,0.648,15.811,870,854,161.565,10.300,1.693,0.591,0.824
101,65,938.038,870.869,48.042,934,865,9,12,0.354,13.416,936,865,116.565,9.000,1.521,0.657,0.691
102,36,514.806,906.306,24.142,511,903,8,7,0.776,10.000,511,910,36.870,6.200,1.878,0.532,0.809
103,67,839.724,910.097,39.456,835,904,10,11,0.541,12.207,837,905,124.992,9.099,1.445,0.692,0.766
104,111,519.005,914.734,57.012,509,909,18,11,0.429,18.439,509,914,12.529,10.872,1.837,0.544,0.716
105,40,511.525,921.500,25.556,507,918,9,7,0.770,10.817,507,918,146.310,6.008,1.994,0.502,0.816
106,77,771.461,943.669,31.556,767,939,9,10,0.972,11.402,768,939,127.875,9.000,1.089,0.918,0.933
107,99,601.924,958.611,55.598,593,953,16,12,0.402,16.763,593,961,17.354,10.119,1.583,0.632,0.723
108,39,746.756,956.833,30.042,740,953,12,8,0.543,13.000,740,954,157.380,5.757,3.026,0.330,0.703
109,28,741.893,961.607,20.142,739,958,7,6,0.867,9.220,739,958,139.399,5.400,1.800,0.556,0.875
110,63,770.040,968.040,46.870,762,965,16,9,0.360,16.492,762,965,165.964,9.000,2.287,0.437,0.581
111,74,621.892,975.432,49.598,616,969,12,12,0.378,12.530,617,979,28.610,10.607,1.037,0.964,0.692
112,25,875.420,974.460,18.728,872,972,7,5,0.896,8.062,872,977,29.745,4.903,1.716,0.583,0.847
