 ,Area,X,Y,Perim.,BX,BY,Width,Height,Circ.,Feret,FeretX,FeretY,FeretAngle,MinFeret,AR,Round,Solidity
1,27,657.796,67.389,22.142,655,64,6,7,0.692,8.602,656,64,125.538,5.425,1.719,0.582,0.761
2,51,761.010,103.382,29.213,757,98,8,10,0.751,10.440,760,98,106.699,8.000,1.350,0.741,0.829
3,68,635.691,107.735,29.799,631,103,10,9,0.962,11.402,631,111,37.875,8.944,1.261,0.793,0.901
4,51,515.402,112.441,25.799,511,108,8,9,0.963,9.487,514,117,71.565,8.000,1.164,0.859,0.887
5,49,695.582,145.112,36.870,691,141,9,9,0.453,10.817,691,147,33.690,8.321,1.321,0.757,0.766
6,53,673.142,162.858,25.556,669,159,8,8,1.000,10.000,670,159,126.870,7.778,1.260,0.794,0.938
7,69,423.732,170.123,30.627,419,165,10,10,0.924,11.662,419,167,149.036,8.944,1.354,0.739,0.879
8,53,681.632,176.047,26.385,677,172,9,8,0.957,9.220,677,175,167.471,8.000,1.055,0.948,0.891
9,73,399.486,191.336,30.627,394,187,11,9,0.978,11.402,394,193,15.255,9.000,1.201,0.832,0.901
10,58,745.793,193.000,27.799,741,189,9,9,0.943,10.000,743,189,126.870,8.485,1.148,0.871,0.892
11,155,773.797,197.719,59.598,766,189,15,17,0.548,19.209,768,189,128.660,12.821,1.412,0.708,0.805
12,32,411.312,200.219,30.385,408,195,9,9,0.436,11.402,409,195,127.875,6.364,2.318,0.431,0.571
13,179,673.656,206.953,71.255,666,198,16,16,0.443,19.416,666,201,145.491,16.000,1.059,0.944,0.806
14,56,762.589,202.482,26.971,758,199,10,7,0.967,10.770,758,205,21.801,7.000,1.364,0.733,0.926
15,69,844.442,206.674,40.527,840,200,9,12,0.528,12.806,840,201,128.660,9.000,1.421,0.704,0.767
16,66,803.333,222.470,28.971,799,218,9,9,0.988,10.817,799,226,33.690,9.000,1.140,0.877,0.930
17,38,807.763,232.395,29.456,804,228,8,8,0.550,8.544,807,228,110.556,7.778,1.113,0.899,0.752
18,43,953.663,247.500,30.627,950,244,8,8,0.576,9.434,951,244,122.005,7.778,1.140,0.877,0.811
19,64,830.141,255.109,29.556,826,250,8,10,0.921,11.662,827,260,59.036,8.000,1.403,0.713,0.914
20,33,707.833,263.379,21.556,705,259,6,8,0.892,8.544,707,259,110.556,6.000,1.507,0.663,0.835
21,109,754.509,267.491,55.598,748,259,12,17,0.443,18.028,751,276,70.560,11.885,1.971,0.507,0.696
22,65,696.485,281.069,39.941,691,275,11,13,0.512,13.601,695,288,72.897,9.430,1.368,0.731,0.699
23,51,775.598,279.892,30.042,772,275,8,11,0.710,11.180,774,275,100.305,7.428,1.518,0.659,0.810
24,50,688.380,286.840,25.556,685,282,7,9,0.962,9.849,687,282,113.962,7.000,1.284,0.779,0.917
25,51,432.304,287.441,26.142,428,284,9,7,0.938,10.296,428,285,150.945,7.000,1.284,0.779,0.911
26,121,409.467,292.409,41.456,402,287,14,11,0.885,15.811,403,288,145.305,11.000,1.382,0.724,0.924
27,76,317.092,297.579,30.971,312,293,10,9,0.996,11.180,312,300,26.565,9.000,1.110,0.901,0.938
28,81,883.019,355.204,32.627,878,350,11,10,0.956,12.207,879,360,34.992,9.899,1.204,0.831,0.905
29,63,320.754,355.373,40.284,316,351,10,9,0.488,12.207,316,359,34.992,9.000,1.276,0.784,0.783
30,80,318.225,376.000,37.213,313,369,11,12,0.726,13.416,314,381,63.435,10.786,1.069,0.935,0.825
31,126,969.476,382.992,41.456,963,376,13,13,0.921,15.264,963,379,148.392,12.691,1.275,0.784,0.906
32,107,898.612,391.939,40.627,893,385,13,12,0.815,13.928,893,390,158.962,12.000,1.157,0.864,0.895
33,58,984.690,394.638,28.385,981,390,8,9,0.905,10.000,981,391,126.870,8.000,1.185,0.844,0.899
34,71,357.430,395.796,52.527,350,392,15,9,0.323,15.811,350,397,18.435,9.000,1.675,0.597,0.693
35,51,395.637,396.598,25.556,391,393,9,7,0.981,9.849,391,395,156.038,7.000,1.231,0.813,0.919
36,30,920.433,411.933,22.728,918,408,6,7,0.730,8.062,919,408,119.745,6.000,1.396,0.716,0.811
37,48,392.500,418.229,35.456,388,414,9,9,0.480,10.000,389,415,126.870,8.485,1.158,0.863,0.762
