 ,Area,X,Y,Perim.,BX,BY,Width,Height,Circ.,Feret,FeretX,FeretY,FeretAngle,MinFeret,AR,Round,Solidity
1,93,721.027,125.403,52.184,714,118,14,16,0.429,18.358,718,134,60.642,9.899,2.040,0.490,0.671
2,60,626.083,134.967,28.385,622,130,8,10,0.936,10.770,624,130,111.801,8.000,1.361,0.735,0.902
3,87,854.649,135.063,33.213,849,130,11,10,0.991,12.207,850,131,145.008,10.000,1.175,0.851,0.921
4,55,615.373,173.755,26.385,611,170,9,8,0.993,10.000,612,170,126.870,8.000,1.257,0.796,0.902
5,45,912.900,188.189,31.799,910,183,7,12,0.559,12.166,911,183,99.462,6.946,2.296,0.436,0.756
6,63,541.833,244.071,28.385,537,240,10,8,0.983,10.440,537,242,163.301,8.000,1.184,0.845,0.920
7,38,698.921,265.632,38.485,697,257,3,18,0.322,18.111,698,257,96.340,3.000,8.149,0.123,0.826
8,47,752.479,267.415,27.799,749,263,8,9,0.764,9.487,752,272,71.565,8.000,1.166,0.857,0.817
9,51,699.500,297.500,40.485,698,288,3,19,0.391,19.026,699,288,93.013,3.000,5.918,0.169,0.944
10,57,910.219,303.079,39.314,908,294,4,18,0.463,18.111,909,312,83.660,4.000,4.506,0.222,0.891
11,71,577.655,337.148,29.799,573,332,9,10,1.000,10.817,573,340,33.690,9.000,1.038,0.964,0.916
12,35,498.814,352.386,34.485,497,345,3,16,0.370,16.125,498,345,97.125,3.000,5.430,0.184,0.864
13,1591,843.520,418.073,230.735,818,389,52,56,0.376,62.201,820,438,36.501,40.280,1.646,0.607,0.815
14,36,692.556,393.444,22.971,689,390,7,7,0.857,8.602,689,396,35.538,7.000,1.181,0.847,0.847
15,29,1004.190,398.293,20.728,1000,396,8,5,0.848,8.944,1000,400,26.565,5.000,1.917,0.522,0.866
16,37,935.797,401.419,27.213,933,397,6,9,0.628,9.487,935,397,108.435,6.000,1.685,0.594,0.755
17,230,405.091,425.335,85.154,397,411,17,26,0.399,27.313,401,411,113.749,16.709,1.992,0.502,0.747
18,176,497.091,426.665,63.698,490,418,13,22,0.545,23.259,493,419,115.463,13.000,1.455,0.688,0.817
19,36,897.083,434.000,25.556,894,430,6,9,0.693,9.849,896,439,66.038,6.000,1.656,0.604,0.800
20,85,291.971,440.053,46.042,287,431,12,14,0.504,16.125,288,431,119.745,11.314,1.445,0.692,0.726
21,41,542.622,442.134,22.971,539,438,7,8,0.976,8.944,541,446,63.435,7.000,1.213,0.824,0.891
22,91,999.775,462.203,53.355,995,454,12,18,0.402,18.248,998,472,80.538,11.264,2.198,0.455,0.601
23,49,416.888,472.888,24.971,413,469,8,8,0.988,8.944,415,469,116.565,8.000,1.034,0.968,0.899
24,56,911.500,480.000,42.485,910,470,3,20,0.390,20.025,911,470,92.862,3.000,6.348,0.158,0.966
25,27,654.500,512.500,18.142,652,509,5,7,1.000,7.616,653,509,113.199,5.000,1.438,0.695,0.900
26,56,897.304,601.393,26.728,893,598,9,7,0.985,10.296,893,604,29.055,7.000,1.263,0.792,0.949
27,35,487.357,607.757,24.385,484,604,7,7,0.740,8.602,484,610,35.538,7.000,1.038,0.964,0.805
28,32,863.188,608.594,23.556,859,605,7,7,0.725,8.062,859,608,150.255,7.000,1.063,0.941,0.821
29,41,750.354,626.183,22.385,747,622,7,8,1.000,8.544,749,622,110.556,7.000,1.155,0.866,0.901
30,47,439.436,684.585,26.385,435,680,9,8,0.848,9.849,435,687,23.962,7.778,1.207,0.829,0.839
31,45,780.722,697.544,32.042,777,693,8,10,0.551,11.662,778,703,59.036,6.957,2.141,0.467,0.738
32,38,489.132,748.211,24.627,485,745,9,7,0.787,9.487,485,747,161.565,7.000,1.423,0.703,0.792
