 ,Area,X,Y,Perim.,BX,BY,Width,Height,Circ.,Feret,FeretX,FeretY,FeretAngle,MinFeret,AR,Round,Solidity
1,44,792.614,185.318,26.385,789,181,8,8,0.794,10.000,789,181,143.130,7.589,1.356,0.737,0.822
2,85,443.524,332.371,33.213,438,327,11,10,0.968,12.083,438,335,24.444,10.000,1.183,0.845,0.914
3,80,468.050,347.238,37.213,464,341,10,12,0.726,12.369,466,341,104.036,10.000,1.129,0.886,0.851
4,43,641.430,366.384,24.385,638,362,7,9,0.909,10.296,639,371,60.945,6.364,1.713,0.584,0.887
5,57,523.202,369.781,28.385,518,366,10,8,0.889,10.817,519,373,33.690,7.766,1.465,0.683,0.877
6,53,921.802,381.179,26.385,917,377,9,8,0.957,9.487,917,380,161.565,8.000,1.172,0.853,0.891
7,38,968.842,407.079,24.142,964,404,9,6,0.819,10.296,964,409,29.055,5.814,1.829,0.547,0.874
8,34,465.500,408.176,27.799,462,405,8,7,0.553,10.000,462,411,36.870,6.364,1.747,0.573,0.756
9,302,657.791,419.828,81.983,646,409,24,21,0.565,25.000,646,422,16.260,18.961,1.290,0.775,0.822
10,95,546.026,421.216,46.284,539,415,16,12,0.557,18.868,539,425,32.005,8.839,2.157,0.464,0.757
11,28,970.821,420.857,21.314,967,418,7,6,0.775,8.602,967,419,144.462,6.000,1.473,0.679,0.800
12,96,683.000,425.000,35.213,677,420,12,10,0.973,12.806,678,429,38.660,10.000,1.155,0.865,0.923
13,34,1085.118,430.294,22.728,1083,426,5,9,0.827,9.487,1084,435,71.565,5.000,2.107,0.475,0.872
14,26,710.885,443.346,18.142,708,440,6,6,0.993,6.708,710,440,116.565,6.000,1.051,0.951,0.867
15,45,1039.300,477.544,25.899,1034,475,10,5,0.843,10.440,1034,477,163.301,5.000,1.867,0.536,0.947
16,103,1123.607,505.947,36.042,1118,500,11,12,0.996,13.000,1121,500,112.620,11.000,1.069,0.935,0.924
17,63,1109.690,508.817,42.284,1105,503,9,11,0.443,12.728,1105,505,135.000,9.000,1.185,0.844,0.720
18,38,713.421,511.447,21.556,710,508,7,7,1.000,8.062,710,509,150.255,7.000,1.055,0.948,0.905
19,38,951.553,515.684,21.556,948,512,7,7,1.000,8.602,948,518,35.538,7.000,1.231,0.812,0.894
20,31,800.565,520.403,20.142,798,517,6,7,0.960,7.616,799,524,66.801,6.000,1.232,0.811,0.873
21,140,546.414,540.693,55.355,539,531,13,18,0.574,18.439,545,531,102.529,12.333,1.667,0.600,0.802
22,35,1047.100,536.814,22.142,1044,533,6,8,0.897,8.944,1045,533,116.565,6.000,1.540,0.649,0.875
23,172,786.645,562.180,83.983,776,554,18,18,0.306,22.672,777,555,131.424,16.971,1.452,0.689,0.717
24,108,491.676,589.074,37.213,486,583,11,12,0.980,13.038,489,583,122.471,11.000,1.105,0.905,0.939
25,61,927.287,590.270,28.385,923,585,8,10,0.951,10.770,925,595,68.199,8.000,1.273,0.785,0.904
26,25,743.140,620.980,20.728,740,618,8,5,0.731,8.944,740,618,153.435,4.919,2.029,0.493,0.833
27,59,555.534,654.754,29.213,552,649,8,11,0.869,11.705,553,649,109.983,8.000,1.493,0.670,0.868
28,36,811.139,655.250,29.213,807,650,8,9,0.530,9.487,811,650,108.435,8.000,1.084,0.923,0.686
29,129,571.957,672.523,51.598,562,665,18,14,0.609,18.111,562,672,173.660,13.187,1.501,0.666,0.754
30,98,731.184,674.888,36.627,726,669,11,12,0.918,13.038,727,680,57.529,10.733,1.200,0.834,0.907
31,25,793.060,672.860,21.556,791,669,5,8,0.676,8.544,791,669,110.556,5.000,2.033,0.492,0.806
32,61,573.123,692.270,44.627,569,686,8,13,0.385,13.928,571,699,68.962,8.000,2.081,0.481,0.705
33,116,1115.871,702.284,39.456,1109,697,14,11,0.936,14.560,1109,700,164.055,11.000,1.323,0.756,0.917
34,47,867.755,704.032,38.627,862,699,11,10,0.396,12.207,866,709,55.008,9.363,1.300,0.769,0.631
35,38,685.421,708.947,21.556,682,705,7,7,1.000,8.062,682,707,150.255,7.000,1.078,0.928,0.894
36,47,399.053,714.053,24.385,395,710,8,8,0.993,8.944,395,716,26.565,7.778,1.164,0.859,0.895
37,79,358.082,720.513,38.385,353,714,9,13,0.674,14.422,353,726,56.310,8.352,1.826,0.548,0.810
38,47,518.883,720.202,24.385,515,716,8,8,0.993,9.434,515,723,32.005,7.071,1.332,0.751,0.904
39,40,796.250,724.625,24.971,792,721,8,7,0.806,9.899,793,728,45.000,6.641,1.548,0.646,0.860
40,49,360.929,733.480,41.113,357,727,8,14,0.364,14.866,359,741,70.346,6.957,2.479,0.403,0.645
