 ,Area,X,Y,Perim.,BX,BY,Width,Height,Circ.,Feret,FeretX,FeretY,FeretAngle,MinFeret,AR,Round,Solidity
1,38,614.921,102.053,28.385,611,96,8,10,0.593,11.180,614,96,116.565,6.708,1.806,0.554,0.738
2,62,550.081,115.677,28.971,546,111,8,10,0.928,10.817,547,120,56.310,8.000,1.297,0.771,0.905
3,58,594.690,156.483,28.142,591,152,8,9,0.920,11.402,591,152,127.875,8.000,1.365,0.733,0.921
4,49,671.173,155.214,25.314,667,152,8,7,0.961,9.434,667,153,147.995,7.000,1.185,0.844,0.942
5,379,731.893,173.584,121.882,722,157,21,33,0.321,33.377,728,190,81.384,19.093,1.865,0.536,0.754
6,66,708.909,200.667,29.799,704,196,9,10,0.934,11.180,706,196,116.565,8.854,1.266,0.790,0.898
7,184,407.614,209.424,72.184,398,199,18,20,0.444,23.324,400,199,120.964,15.505,1.846,0.542,0.713
8,60,461.517,216.650,27.799,457,212,9,9,0.976,10.630,458,213,131.186,8.485,1.254,0.797,0.896
9,41,794.110,237.110,26.971,790,234,9,6,0.708,9.434,790,239,32.005,6.000,1.305,0.766,0.854
10,47,607.202,244.074,24.728,604,240,7,8,0.966,9.434,605,240,122.005,7.000,1.225,0.816,0.922
11,63,618.738,267.627,28.385,614,263,9,9,0.983,10.817,616,263,123.690,8.485,1.241,0.806,0.920
12,57,461.851,269.202,27.556,457,265,9,8,0.943,10.630,458,273,41.186,8.000,1.302,0.768,0.912
13,45,829.344,269.056,23.556,826,265,7,8,1.000,9.434,827,265,122.005,7.000,1.254,0.797,0.909
14,551,693.658,290.115,147.238,680,272,31,35,0.319,36.139,688,307,75.579,27.243,1.395,0.717,0.758
15,27,713.204,282.167,19.556,710,279,7,6,0.887,7.616,710,284,23.199,6.000,1.278,0.783,0.806
16,154,895.487,296.383,59.355,885,291,22,12,0.549,22.361,885,296,10.305,12.000,1.779,0.562,0.794
17,39,458.526,298.551,30.385,455,295,8,7,0.531,9.434,455,296,147.995,7.000,1.241,0.806,0.796
18,63,332.960,309.722,29.314,329,305,8,9,0.921,11.402,330,305,127.875,8.000,1.240,0.807,0.940
19,45,745.589,313.033,24.971,742,309,7,8,0.907,10.000,743,309,126.870,7.000,1.372,0.729,0.900
20,28,754.500,319.464,22.971,752,316,6,7,0.667,8.602,752,316,125.538,5.821,1.580,0.633,0.789
21,52,388.673,321.981,26.385,385,317,7,10,0.939,10.198,388,327,78.690,7.000,1.303,0.767,0.897
22,55,327.064,322.445,26.971,323,318,8,9,0.950,10.817,324,327,56.310,7.778,1.361,0.735,0.909
23,56,772.357,332.518,27.213,768,328,9,9,0.950,10.000,768,330,143.130,8.485,1.154,0.867,0.868
24,57,383.833,418.623,27.556,380,414,8,9,0.943,10.296,381,423,60.945,8.000,1.231,0.812,0.905
25,37,1004.419,426.959,32.385,1001,421,8,10,0.443,11.662,1002,421,120.964,6.364,2.194,0.456,0.661
26,49,955.071,432.031,24.971,951,428,8,8,0.988,8.944,953,428,116.565,8.000,1.085,0.921,0.899
27,32,866.312,437.938,22.142,863,435,7,6,0.820,8.602,863,436,144.462,6.000,1.190,0.840,0.865
28,71,1001.641,454.218,36.870,997,449,9,12,0.656,13.000,999,461,67.380,9.000,1.511,0.662,0.789
29,56,989.250,468.679,29.799,985,464,8,9,0.792,10.817,987,473,56.310,8.000,1.281,0.781,0.875
30,45,338.544,480.633,24.971,335,476,7,9,0.907,9.220,338,476,102.529,7.000,1.237,0.809,0.874
31,46,424.957,521.783,24.971,421,518,8,7,0.927,8.944,421,520,153.435,7.000,1.137,0.879,0.911
32,182,401.352,529.214,60.426,393,521,18,18,0.626,21.260,395,539,41.186,14.142,1.580,0.633,0.783
33,55,886.245,527.300,27.799,883,522,7,11,0.894,11.180,885,522,100.305,7.000,1.496,0.668,0.887
34,54,911.185,536.574,26.971,907,532,8,9,0.933,10.296,909,541,60.945,8.000,1.270,0.788,0.893
35,47,886.436,551.117,28.385,882,548,9,7,0.733,10.000,882,549,143.130,7.000,1.206,0.829,0.855
36,42,571.286,567.310,23.556,568,563,7,8,0.951,8.944,569,571,63.435,7.000,1.191,0.840,0.875
37,33,655.470,569.076,25.556,652,566,7,6,0.635,8.062,652,571,29.745,6.000,1.165,0.859,0.857
38,53,444.142,587.142,25.556,440,583,8,8,1.000,10.000,440,590,36.870,7.778,1.260,0.794,0.938
39,31,761.629,588.855,27.799,758,585,7,7,0.504,8.485,759,592,45.000,6.364,1.200,0.833,0.775
40,40,823.725,592.150,24.971,820,589,8,7,0.806,9.434,820,595,32.005,7.000,1.346,0.743,0.860
41,54,359.000,604.000,26.142,355,600,8,8,0.993,10.000,355,607,36.870,8.000,1.217,0.822,0.931
42,38,510.816,606.947,23.556,507,604,8,6,0.861,8.944,507,605,153.435,6.000,1.230,0.813,0.884
43,92,712.130,610.924,44.527,705,606,15,9,0.583,15.524,705,613,14.931,9.000,1.827,0.547,0.800
44,76,830.461,620.447,36.870,824,615,13,10,0.703,14.765,824,624,28.301,8.010,2.171,0.461,0.800
45,50,493.280,623.380,26.385,489,620,9,7,0.903,9.849,489,625,23.962,7.000,1.203,0.831,0.893
46,55,871.645,633.518,44.527,866,629,11,9,0.349,11.662,866,635,30.964,8.854,1.160,0.862,0.705
47,56,930.214,640.839,27.799,926,636,8,10,0.911,10.440,929,646,73.301,8.000,1.368,0.731,0.875
48,35,529.386,642.929,22.142,526,640,7,6,0.897,8.062,526,641,150.255,6.000,1.109,0.902,0.886
49,49,619.500,645.602,25.556,616,641,7,9,0.943,9.487,618,650,71.565,7.000,1.228,0.814,0.899
50,575,670.806,657.900,154.409,653,643,34,29,0.303,36.770,653,664,22.380,28.050,1.229,0.814,0.765
51,110,730.173,659.609,51.941,722,654,17,11,0.512,18.788,722,664,25.201,9.535,2.358,0.424,0.746
52,34,770.206,659.176,22.971,767,656,7,7,0.810,8.062,768,656,119.745,7.000,1.095,0.913,0.829
53,38,589.579,672.447,22.142,586,669,7,7,0.974,8.602,587,676,54.462,6.708,1.229,0.814,0.894
54,44,420.273,683.568,24.142,417,680,7,8,0.949,9.220,417,680,139.399,7.000,1.113,0.899,0.907
55,43,561.616,684.384,22.728,558,681,7,7,1.000,8.602,559,681,125.538,7.000,1.088,0.919,0.945
56,49,735.643,685.745,25.799,731,682,9,8,0.925,10.000,732,682,126.870,7.071,1.353,0.739,0.883
57,44,716.295,686.205,24.142,712,683,8,7,0.949,9.434,712,688,32.005,7.000,1.235,0.809,0.907
58,60,405.033,698.883,28.385,400,695,10,8,0.936,10.817,400,701,33.690,8.000,1.323,0.756,0.902
59,56,626.071,709.036,27.213,622,704,8,10,0.950,10.198,625,704,101.310,8.000,1.182,0.846,0.875
60,55,567.445,725.355,26.728,564,721,7,9,0.967,10.296,565,730,60.945,7.000,1.293,0.773,0.940
61,36,747.500,735.917,26.971,744,732,7,8,0.622,10.000,744,740,53.130,6.708,1.667,0.600,0.783
62,127,596.106,756.563,65.941,583,749,19,20,0.367,26.907,583,749,131.987,12.125,2.538,0.394,0.587
63,42,676.952,763.667,33.799,673,760,8,8,0.462,9.220,674,760,139.399,8.000,1.066,0.938,0.771
64,59,518.551,766.059,28.385,515,761,8,10,0.920,10.770,516,771,68.199,8.000,1.229,0.814,0.894
65,29,823.293,763.466,21.556,820,761,8,6,0.784,8.246,820,762,165.964,6.000,1.364,0.733,0.773
66,31,699.274,766.823,27.213,696,763,7,8,0.526,8.944,698,771,63.435,6.791,1.539,0.650,0.697
67,40,751.425,776.450,22.142,748,773,7,7,1.000,8.602,749,773,125.538,7.000,1.149,0.870,0.920
