 ,Area,X,Y,Perim.,BX,BY,Width,Height,Circ.,Feret,FeretX,FeretY,FeretAngle,MinFeret,AR,Round,Solidity
1,38,591.947,66.447,29.213,587,62,10,8,0.560,11.662,587,69,30.964,6.086,2.416,0.414,0.685
2,41,728.695,106.646,26.971,725,103,8,7,0.708,8.944,725,104,153.435,7.000,1.221,0.819,0.837
3,52,682.192,114.731,26.385,678,111,9,8,0.939,9.487,678,113,161.565,8.000,1.179,0.848,0.881
4,34,868.000,151.971,25.314,866,147,4,10,0.667,10.440,867,147,106.699,4.000,2.650,0.377,0.883
5,56,515.250,202.661,32.971,511,198,8,10,0.647,12.207,512,208,55.008,8.000,1.447,0.691,0.818
6,281,664.144,213.400,82.225,654,202,19,24,0.522,25.298,662,202,108.435,18.163,1.432,0.698,0.819
7,67,394.903,243.142,29.213,390,239,10,9,0.987,10.770,390,241,158.199,9.000,1.190,0.841,0.899
8,44,360.182,255.159,28.627,356,251,8,8,0.675,9.220,357,258,40.601,8.000,1.085,0.922,0.807
9,60,646.233,271.233,43.213,641,264,8,17,0.404,18.028,643,264,109.440,7.385,3.303,0.303,0.645
10,25,563.220,292.580,19.556,561,289,5,7,0.821,7.280,563,289,105.945,5.000,1.473,0.679,0.820
11,46,544.283,321.413,24.142,540,318,8,7,0.992,8.944,540,320,153.435,7.000,1.106,0.904,0.920
12,37,708.878,333.689,22.142,706,330,6,8,0.948,8.544,707,330,110.556,6.000,1.306,0.766,0.892
13,68,939.985,343.132,30.385,936,338,8,11,0.926,11.705,939,349,70.017,8.000,1.381,0.724,0.913
14,36,579.028,366.250,22.142,576,362,6,8,0.923,8.944,577,370,63.435,6.000,1.550,0.645,0.889
15,62,520.613,372.097,27.556,516,368,9,8,1.000,10.296,516,370,150.945,8.000,1.134,0.882,0.947
16,213,408.387,385.453,76.083,397,376,22,18,0.462,22.204,397,386,172.235,18.000,1.050,0.952,0.763
17,33,794.652,379.561,20.728,792,376,6,7,0.965,8.062,793,376,119.745,6.000,1.302,0.768,0.892
18,26,1004.731,399.038,19.314,1001,397,8,4,0.876,8.544,1001,401,20.556,4.000,1.974,0.507,0.912
19,37,444.500,416.878,34.728,443,409,3,15,0.386,15.133,444,409,97.595,3.000,5.265,0.190,0.851
20,56,394.304,415.268,27.213,390,411,9,8,0.950,10.296,390,413,150.945,8.000,1.190,0.840,0.896
21,122,495.066,426.902,40.385,490,420,10,14,0.940,15.652,492,434,63.435,10.000,1.447,0.691,0.957
22,257,945.313,444.660,101.296,931,437,31,16,0.315,31.401,931,447,9.162,15.189,2.586,0.387,0.730
23,38,285.447,469.368,29.213,282,465,7,9,0.560,10.817,282,465,123.690,6.668,1.784,0.560,0.745
24,31,991.984,484.661,27.314,990,479,4,12,0.522,12.369,990,491,75.964,3.818,3.782,0.264,0.816
25,40,928.450,484.400,24.971,925,481,7,7,0.806,9.220,926,481,130.601,7.000,1.147,0.872,0.870
26,32,688.812,492.156,20.142,686,489,6,7,0.991,8.062,686,489,119.745,6.000,1.231,0.812,0.901
27,65,314.485,497.731,28.971,310,493,9,9,0.973,11.402,310,494,142.125,8.854,1.275,0.784,0.915
28,30,724.733,502.733,23.556,722,499,6,7,0.679,8.062,723,506,60.255,6.000,1.359,0.736,0.822
29,30,642.700,526.933,21.556,640,523,5,8,0.811,8.544,642,531,69.444,5.000,1.720,0.581,0.857
30,39,469.962,577.218,22.142,467,573,6,8,1.000,8.544,468,581,69.444,6.000,1.257,0.796,0.918
31,43,725.547,613.779,24.142,721,611,9,6,0.927,9.487,721,612,161.565,6.000,1.421,0.704,0.905
32,40,492.950,621.600,23.314,489,618,7,7,0.925,9.220,490,625,49.399,7.000,1.210,0.826,0.909
33,48,892.500,636.000,24.142,889,632,7,8,1.000,9.434,890,632,122.005,7.000,1.219,0.820,0.941
34,71,411.261,697.049,39.698,405,692,13,10,0.566,13.601,405,694,162.897,9.363,1.745,0.573,0.747
35,54,753.685,722.870,27.556,750,718,8,9,0.894,10.296,752,718,119.055,8.000,1.282,0.780,0.893
