 ,Area,X,Y,Perim.,BX,BY,Width,Height,Circ.,Feret,FeretX,FeretY,FeretAngle,MinFeret,AR,Round,Solidity
1,76,676.934,259.250,31.213,672,254,10,10,0.980,11.402,673,255,127.875,9.192,1.184,0.844,0.921
2,44,622.545,282.977,24.971,618,279,8,8,0.887,10.630,619,279,131.186,7.071,1.648,0.607,0.889
3,212,717.986,303.750,71.841,707,295,22,18,0.516,25.554,707,309,30.579,14.487,1.927,0.519,0.778
4,226,701.226,309.208,72.669,693,297,17,24,0.538,24.331,704,321,80.538,16.299,1.535,0.651,0.745
5,68,528.456,352.544,29.556,524,348,9,9,0.978,11.402,525,348,127.875,9.000,1.268,0.789,0.938
6,68,1036.794,364.971,30.385,1032,360,10,9,0.926,11.662,1032,369,30.964,8.944,1.308,0.764,0.919
7,28,556.893,368.321,20.728,554,364,5,8,0.819,8.544,556,364,110.556,5.000,1.765,0.566,0.862
8,30,520.333,372.933,22.142,518,368,5,9,0.769,9.220,519,377,77.471,5.000,1.924,0.520,0.833
9,43,721.151,385.058,24.971,718,380,7,9,0.867,9.849,720,380,113.962,6.934,1.455,0.687,0.878
10,63,843.452,447.119,28.627,839,442,9,10,0.966,10.296,839,450,29.055,9.000,1.088,0.919,0.881
11,29,563.707,456.500,28.385,561,451,6,11,0.452,12.083,562,451,114.444,4.670,3.544,0.282,0.667
12,209,581.361,479.213,93.154,572,467,19,22,0.303,23.087,577,467,107.650,18.578,1.337,0.748,0.652
13,34,371.000,474.853,20.485,368,472,6,6,1.000,7.810,368,472,129.806,6.000,1.004,0.996,0.971
14,32,597.219,484.688,19.556,594,481,6,7,1.000,7.280,597,481,105.945,6.000,1.067,0.937,0.889
15,30,922.033,489.600,26.627,918,484,8,10,0.532,11.662,919,484,120.964,4.529,3.238,0.309,0.714
16,131,912.523,494.790,67.598,904,486,15,17,0.360,19.209,906,488,128.660,12.323,1.707,0.586,0.740
17,56,675.107,498.054,26.971,671,494,9,8,0.967,10.000,671,501,36.870,8.000,1.195,0.837,0.911
18,164,707.793,513.762,78.669,698,503,19,18,0.333,21.471,698,510,152.241,17.441,1.134,0.882,0.656
19,72,700.125,528.278,43.698,694,520,11,16,0.474,18.358,695,520,119.358,7.766,2.800,0.357,0.709
20,47,950.649,535.989,24.971,946,532,9,7,0.947,9.487,946,535,161.565,7.000,1.378,0.725,0.887
21,48,969.938,554.292,26.385,966,550,8,9,0.866,10.000,966,557,36.870,7.603,1.507,0.664,0.828
22,66,419.530,555.379,28.971,415,551,9,9,0.988,10.296,417,551,119.055,9.000,1.029,0.972,0.923
23,54,961.370,559.611,28.627,957,555,9,10,0.828,10.770,960,565,68.199,7.778,1.312,0.762,0.850
24,53,649.387,626.009,29.556,646,620,6,12,0.762,12.369,648,632,75.964,6.000,2.228,0.449,0.876
25,43,549.453,646.872,24.627,545,643,9,8,0.891,9.487,545,649,18.435,6.364,1.472,0.679,0.851
26,179,906.696,654.293,76.083,896,643,21,21,0.389,25.807,898,643,125.538,13.101,2.180,0.459,0.658
27,74,888.446,658.500,47.698,881,651,14,12,0.409,17.205,881,661,35.538,10.804,1.655,0.604,0.635
28,61,834.107,712.861,28.385,830,708,9,9,0.951,10.817,832,708,123.690,8.485,1.237,0.809,0.910
29,45,692.056,724.056,34.385,689,717,7,12,0.478,13.416,689,717,116.565,6.668,2.375,0.421,0.720
30,50,484.860,739.680,34.971,482,732,7,13,0.514,14.765,482,732,118.301,7.000,2.387,0.419,0.800
31,27,687.648,751.426,18.728,685,748,5,7,0.967,8.062,686,755,60.255,5.000,1.632,0.613,0.900
32,46,953.435,755.565,24.971,950,751,7,9,0.927,9.487,952,751,108.435,7.000,1.424,0.702,0.876
33,39,917.064,771.936,22.142,914,768,6,8,1.000,8.944,915,776,63.435,6.000,1.353,0.739,0.918
34,37,822.662,794.554,22.142,819,791,7,7,0.948,8.602,820,791,125.538,6.641,1.284,0.779,0.881
35,42,723.214,884.048,24.971,720,879,6,10,0.846,10.198,722,889,78.690,6.000,1.665,0.600,0.866
36,45,536.967,897.122,24.385,533,893,8,8,0.951,8.602,533,899,35.538,7.906,1.084,0.923,0.857
37,36,957.444,897.667,21.556,954,894,7,7,0.974,9.220,955,894,130.601,6.261,1.547,0.646,0.889
38,53,729.915,922.726,26.385,725,919,10,7,0.957,10.198,725,924,11.310,7.000,1.314,0.761,0.898
39,33,878.258,961.530,21.556,875,958,6,8,0.892,8.944,876,958,116.565,5.657,1.597,0.626,0.892
