 ,Area,X,Y,Perim.,BX,BY,Width,Height,Circ.,Feret,FeretX,FeretY,FeretAngle,MinFeret,AR,Round,Solidity
1,32,648.688,192.750,22.385,645,189,7,7,0.803,8.062,646,196,60.255,6.261,1.336,0.748,0.810
2,52,753.327,201.808,25.799,749,197,8,9,0.982,9.487,751,206,71.565,8.000,1.163,0.860,0.881
3,25,713.940,203.860,18.728,711,200,5,7,0.896,7.280,714,200,105.945,5.000,1.339,0.747,0.893
4,103,683.160,280.879,36.627,678,275,11,12,0.965,13.038,680,275,122.471,11.000,1.167,0.857,0.920
5,28,641.857,279.357,31.556,634,278,14,3,0.353,14.036,634,279,175.914,3.000,4.887,0.205,0.767
6,102,644.725,293.333,59.255,640,282,11,20,0.365,20.396,641,282,101.310,10.443,2.174,0.460,0.699
7,93,842.995,343.059,34.627,837,338,12,10,0.975,12.649,837,341,161.565,10.000,1.241,0.806,0.916
8,64,828.672,346.406,28.385,824,342,9,9,0.998,10.817,824,349,33.690,8.485,1.262,0.792,0.928
9,71,519.965,347.218,29.556,515,343,10,8,1.000,11.180,515,345,153.435,8.000,1.260,0.794,0.953
10,70,1077.600,381.200,29.799,1073,376,9,10,0.991,10.817,1075,386,56.310,9.000,1.158,0.864,0.909
11,42,731.857,424.143,24.142,728,420,7,8,0.906,9.434,729,428,57.995,6.871,1.475,0.678,0.875
12,34,669.265,457.853,20.971,666,454,7,7,0.972,7.616,668,454,113.199,7.000,1.082,0.924,0.872
13,73,776.993,504.116,31.213,772,499,10,10,0.942,11.662,774,499,120.964,9.391,1.290,0.775,0.880
14,38,865.474,512.868,21.899,862,510,7,6,0.996,8.602,862,510,144.462,6.000,1.220,0.820,0.950
15,57,852.570,521.044,26.971,848,517,9,8,0.985,10.630,849,517,131.186,7.778,1.330,0.752,0.927
16,213,408.059,535.340,88.225,397,524,19,25,0.344,26.571,407,524,109.799,17.393,1.768,0.566,0.703
17,57,945.974,560.272,30.142,942,555,9,9,0.788,11.402,942,555,127.875,8.538,1.225,0.816,0.864
18,32,372.000,568.000,19.314,369,565,6,6,1.000,7.211,370,565,123.690,6.000,1.000,1.000,0.941
19,99,542.237,579.581,35.799,537,574,11,11,0.971,12.530,539,585,61.390,11.000,1.048,0.954,0.934
20,38,653.000,590.132,22.142,650,586,6,8,0.974,8.246,652,586,104.036,6.000,1.221,0.819,0.905
21,30,1049.767,596.300,18.728,1047,593,6,6,1.000,7.211,1048,593,123.690,6.000,1.081,0.925,0.923
22,37,656.338,653.581,21.556,653,650,7,7,1.000,7.810,653,656,39.806,7.000,1.028,0.972,0.892
23,84,837.250,658.405,33.213,832,653,10,11,0.957,12.083,835,664,65.556,10.000,1.186,0.843,0.913
24,27,571.278,700.796,18.728,568,698,6,6,0.967,7.071,569,698,135.000,6.000,1.077,0.929,0.871
25,60,410.900,719.717,27.799,406,716,10,8,0.976,10.440,406,718,163.301,8.000,1.210,0.826,0.909
26,33,631.076,725.470,32.627,626,719,9,12,0.390,14.422,626,731,56.310,4.915,3.897,0.257,0.629
27,100,1077.860,762.320,57.012,1071,756,16,16,0.387,17.493,1073,757,120.964,14.142,1.105,0.905,0.571
28,249,393.528,789.070,97.640,379,777,29,21,0.328,30.676,379,786,160.974,16.129,2.232,0.448,0.659
29,68,998.912,821.603,29.799,995,816,8,11,0.962,11.180,998,816,100.305,8.000,1.204,0.831,0.907
30,50,774.380,822.820,25.213,770,819,9,8,0.988,9.220,770,824,12.529,8.000,1.032,0.969,0.877
31,89,539.994,831.702,40.284,534,825,12,13,0.689,16.279,534,825,132.510,9.347,1.860,0.538,0.820
32,31,532.468,836.984,20.142,529,834,7,6,0.960,7.280,529,836,164.055,6.000,1.028,0.973,0.873
33,68,906.353,845.544,28.971,902,841,9,9,1.000,10.817,902,842,146.310,9.000,1.080,0.926,0.932
34,87,660.764,890.293,33.456,656,884,10,12,0.977,12.649,658,896,71.565,9.899,1.263,0.792,0.911
35,60,868.767,895.217,28.385,864,891,9,9,0.936,10.000,866,891,126.870,9.000,1.057,0.946,0.889
36,98,949.969,902.020,35.799,945,896,10,12,0.961,13.416,947,896,116.565,10.000,1.256,0.796,0.933
37,91,645.038,917.203,43.698,639,910,12,13,0.599,13.892,640,922,59.744,11.371,1.204,0.831,0.802
