 ,Area,X,Y,Perim.,BX,BY,Width,Height,Circ.,Feret,FeretX,FeretY,FeretAngle,MinFeret,AR,Round,Solidity
1,62,609.823,77.742,30.627,605,73,10,9,0.831,11.402,606,73,127.875,8.825,1.293,0.773,0.855
2,43,662.593,85.267,26.385,659,81,7,9,0.776,10.817,660,81,123.690,7.000,1.526,0.655,0.827
3,26,516.385,101.038,25.314,515,95,3,11,0.510,11.402,515,95,105.255,3.000,3.870,0.258,0.867
4,41,805.524,115.549,28.627,801,112,9,7,0.629,9.487,801,114,161.565,7.000,1.446,0.692,0.804
5,38,663.868,170.842,24.971,660,167,8,7,0.766,8.602,661,168,144.462,7.000,1.158,0.864,0.817
6,38,494.184,186.053,22.142,491,183,7,7,0.974,8.062,491,183,119.745,7.000,1.006,0.994,0.916
7,33,442.470,189.591,21.556,439,186,7,7,0.892,8.062,439,192,29.745,6.379,1.274,0.785,0.825
8,41,758.549,193.549,26.385,755,189,7,9,0.740,9.487,758,189,108.435,7.000,1.103,0.907,0.812
9,27,744.944,195.056,31.899,737,194,15,2,0.333,15.133,737,196,7.595,2.000,7.489,0.134,0.915
10,36,927.778,203.306,28.042,923,198,9,10,0.575,13.454,923,198,131.987,4.841,3.756,0.266,0.758
11,61,382.566,204.959,26.971,378,201,9,8,1.000,10.296,378,207,29.055,8.000,1.130,0.885,0.938
12,48,757.500,220.833,24.971,754,216,7,9,0.967,9.849,756,216,113.962,7.000,1.272,0.786,0.906
13,48,661.396,241.250,26.385,656,238,10,7,0.866,10.198,656,241,168.690,7.000,1.459,0.686,0.873
14,44,647.614,242.227,23.799,643,239,9,7,0.976,9.487,643,241,161.565,7.000,1.413,0.708,0.871
15,33,959.318,250.227,31.213,955,244,8,12,0.426,14.422,955,244,123.690,4.025,4.792,0.209,0.702
16,78,367.333,251.051,38.284,362,246,12,10,0.669,13.038,363,247,147.529,10.000,1.274,0.785,0.808
17,69,457.833,251.500,39.698,452,247,11,11,0.550,13.601,453,247,126.027,9.192,1.390,0.719,0.771
18,45,741.433,251.789,24.385,737,248,8,8,0.951,8.602,737,253,35.538,7.778,1.012,0.988,0.882
19,36,815.278,258.694,28.385,812,254,7,9,0.561,10.630,812,255,131.186,5.942,1.984,0.504,0.735
20,72,440.583,260.347,31.213,436,255,9,11,0.929,12.083,438,255,114.444,8.497,1.473,0.679,0.906
21,41,967.963,266.110,37.456,963,258,9,15,0.367,17.000,963,258,118.072,4.469,5.133,0.195,0.726
22,273,732.295,292.075,90.083,723,280,20,23,0.423,26.870,724,300,45.000,19.403,1.391,0.719,0.707
23,60,323.233,292.450,29.799,319,288,8,10,0.849,10.770,321,288,111.801,8.000,1.290,0.775,0.889
24,106,631.104,305.094,55.698,626,294,9,21,0.429,21.840,628,315,74.055,8.259,3.525,0.284,0.731
25,58,870.500,306.000,26.971,866,302,9,8,1.000,9.849,866,304,156.038,8.000,1.164,0.859,0.921
26,67,344.799,309.963,28.971,341,305,8,10,1.000,11.180,342,315,63.435,8.000,1.277,0.783,0.944
27,41,846.793,350.500,22.971,843,347,8,7,0.976,8.602,844,354,35.538,7.000,1.235,0.810,0.891
28,595,322.591,370.834,108.468,309,351,26,36,0.636,41.183,314,387,60.945,24.405,1.639,0.610,0.879
29,25,779.740,355.020,17.899,777,352,5,6,0.981,7.211,778,352,123.690,5.000,1.365,0.732,0.909
30,56,823.250,383.321,26.971,819,379,8,9,0.967,9.899,820,387,45.000,8.000,1.133,0.882,0.896
31,93,573.446,387.823,35.456,567,383,13,10,0.930,13.601,567,385,162.897,10.000,1.405,0.712,0.899
32,29,924.983,397.362,22.971,922,394,7,7,0.691,8.062,923,401,60.255,6.200,1.403,0.713,0.773
33,31,1001.887,406.565,20.728,998,404,8,5,0.907,8.944,998,409,26.565,5.000,1.833,0.545,0.899
34,31,316.081,413.500,35.314,314,406,4,16,0.312,16.125,315,406,97.125,3.483,5.950,0.168,0.681
35,56,696.804,418.839,31.799,691,414,10,10,0.696,12.806,691,423,38.660,8.050,1.686,0.593,0.783
36,27,453.944,421.722,20.971,451,418,6,7,0.772,7.616,453,418,113.199,5.336,1.552,0.644,0.794
37,64,540.344,422.250,28.971,536,418,9,9,0.958,10.817,536,425,33.690,9.000,1.239,0.807,0.908
38,57,794.921,427.430,28.385,791,423,9,9,0.889,10.630,792,423,131.186,8.485,1.321,0.757,0.884
39,178,688.281,434.287,73.841,680,424,15,21,0.410,22.136,684,445,71.565,14.841,1.703,0.587,0.706
40,143,493.269,433.017,45.456,487,425,12,16,0.870,16.763,491,441,72.646,11.884,1.464,0.683,0.911
41,65,981.223,432.469,29.799,977,427,8,11,0.920,11.402,980,438,74.745,8.000,1.421,0.704,0.903
42,53,287.726,435.179,28.385,284,431,8,9,0.827,10.817,285,440,56.310,8.000,1.392,0.719,0.876
43,37,959.230,439.041,22.385,955,435,8,7,0.928,8.602,957,435,125.538,6.934,1.182,0.846,0.841
44,80,645.225,441.250,43.456,638,436,14,10,0.532,15.652,638,445,26.565,8.798,2.206,0.453,0.762
45,59,313.805,449.059,28.385,310,445,8,9,0.920,10.817,312,454,56.310,8.000,1.193,0.838,0.922
46,41,548.256,450.500,22.142,545,447,7,7,1.000,8.062,546,447,119.745,7.000,1.009,0.991,0.932
47,40,921.525,460.525,23.556,918,457,7,7,0.906,8.602,918,463,35.538,7.000,1.084,0.922,0.889
48,42,436.667,481.500,22.971,433,478,8,7,1.000,9.434,433,478,147.995,7.000,1.361,0.735,0.903
49,34,715.088,489.853,20.971,712,486,6,8,0.972,8.246,714,486,104.036,6.000,1.242,0.805,0.872
50,36,815.139,489.611,21.556,812,486,7,7,0.974,8.062,812,487,150.255,7.000,1.074,0.931,0.867
51,33,442.652,491.924,22.142,440,488,6,7,0.846,8.602,441,488,125.538,6.000,1.280,0.781,0.904
52,30,537.400,528.700,32.385,533,525,7,11,0.359,12.530,534,525,118.610,6.996,2.435,0.411,0.588
53,31,689.403,528.565,20.142,686,526,7,6,0.960,7.616,686,530,23.199,6.000,1.232,0.811,0.873
54,60,435.333,536.583,27.213,431,532,9,9,1.000,10.000,431,539,36.870,8.485,1.139,0.878,0.902
55,36,824.722,544.556,22.142,822,540,5,9,0.923,9.220,824,540,102.529,5.000,1.741,0.574,0.911
56,29,751.534,545.259,20.971,748,542,7,6,0.829,8.062,748,543,150.255,6.000,1.468,0.681,0.817
57,56,305.375,555.375,26.971,302,550,7,10,0.967,10.817,302,551,123.690,7.000,1.439,0.695,0.918
58,47,368.521,556.138,27.799,365,552,8,9,0.764,9.487,367,561,71.565,8.000,1.142,0.876,0.817
59,35,727.586,558.557,21.556,724,555,7,7,0.947,8.602,725,555,125.538,6.641,1.228,0.814,0.854
60,38,349.842,563.184,22.385,346,560,8,7,0.953,8.246,346,562,165.964,6.934,1.199,0.834,0.864
61,54,894.870,568.278,26.385,890,564,9,8,0.975,10.296,890,570,29.055,8.000,1.274,0.785,0.900
62,51,312.461,574.225,25.556,308,570,8,8,0.981,9.434,308,576,32.005,8.000,1.129,0.886,0.919
63,48,950.625,577.938,25.556,947,574,8,8,0.924,9.220,947,575,139.399,8.000,1.085,0.922,0.889
64,69,319.601,585.746,39.113,314,580,10,13,0.567,13.601,319,580,107.103,10.000,1.401,0.714,0.750
65,294,496.048,595.279,110.711,484,584,29,23,0.301,29.833,484,589,166.430,20.482,1.787,0.560,0.686
66,57,740.254,591.044,29.799,737,585,7,11,0.807,11.705,738,585,109.983,7.000,1.675,0.597,0.851
67,40,967.550,598.550,34.627,963,592,8,14,0.419,15.652,963,606,63.435,4.472,4.190,0.239,0.762
68,47,697.947,603.372,24.385,694,599,8,8,0.993,9.434,694,601,147.995,7.603,1.253,0.798,0.887
69,114,386.132,614.570,44.284,380,607,12,16,0.730,17.493,381,608,120.964,9.839,2.099,0.477,0.844
70,63,798.738,615.373,28.385,794,611,9,9,0.983,10.817,796,620,56.310,8.485,1.241,0.806,0.920
71,55,731.118,624.209,27.556,726,621,10,7,0.910,10.440,726,625,16.699,7.000,1.423,0.703,0.902
72,47,374.798,641.479,25.799,371,637,8,9,0.887,10.000,371,638,143.130,7.766,1.277,0.783,0.839
73,27,700.352,657.167,22.385,697,654,7,6,0.677,7.280,697,657,164.055,6.000,1.181,0.847,0.771
74,35,758.700,659.814,22.971,755,656,8,7,0.834,8.602,757,656,125.538,6.668,1.400,0.714,0.824
75,58,727.603,665.052,28.385,723,661,10,8,0.905,10.817,723,668,33.690,8.000,1.328,0.753,0.872
76,31,507.984,669.016,24.385,505,666,7,7,0.655,7.616,506,666,113.199,7.000,1.120,0.893,0.775
77,70,883.986,681.443,36.042,880,675,8,14,0.677,15.232,881,675,113.199,8.000,2.088,0.479,0.819
78,47,832.989,687.840,24.385,829,684,8,8,0.993,8.944,831,692,63.435,7.778,1.113,0.899,0.895
79,66,878.212,689.182,29.213,874,684,8,11,0.972,11.705,876,684,109.983,8.000,1.342,0.745,0.910
80,48,535.229,692.604,29.213,531,689,9,8,0.707,9.487,531,691,161.565,8.000,1.106,0.904,0.814
81,45,858.100,693.033,24.385,854,689,8,8,0.951,8.944,856,689,116.565,7.603,1.238,0.808,0.874
82,198,848.051,713.813,73.154,837,706,23,17,0.465,24.698,837,717,21.371,13.864,2.001,0.500,0.766
83,58,521.966,743.000,27.213,518,738,8,10,0.984,10.440,520,738,106.699,8.000,1.304,0.767,0.892
84,296,754.611,751.733,83.154,743,741,23,23,0.538,27.203,743,743,143.973,20.102,1.441,0.694,0.779
85,35,498.071,761.214,27.799,494,756,8,9,0.569,10.817,495,765,56.310,6.641,2.078,0.481,0.700
86,26,521.538,762.962,20.971,518,760,7,6,0.743,7.810,519,760,129.806,5.692,1.613,0.620,0.754
87,72,635.181,788.819,30.627,630,784,10,10,0.965,11.402,632,784,127.875,9.192,1.262,0.792,0.894
