 ,Area,X,Y,Perim.,BX,BY,Width,Height,Circ.,Feret,FeretX,FeretY,FeretAngle,MinFeret,AR,Round,Solidity
1,29,14.776,4.224,22.142,10,1,8,6,0.743,8.544,10,3,159.444,6.000,1.586,0.631,0.784
2,41,930.598,32.890,29.799,925,30,12,5,0.580,12.369,925,31,165.964,5.000,2.643,0.378,0.788
3,30,1018.900,35.200,28.971,1013,32,11,6,0.449,11.705,1013,34,160.017,6.000,1.755,0.570,0.659
4,158,947.690,50.728,58.426,940,43,15,18,0.582,19.698,943,43,113.962,14.972,1.308,0.764,0.765
5,33,1059.379,51.167,32.042,1055,46,9,10,0.404,11.662,1056,46,120.964,7.298,1.790,0.559,0.550
6,35,1082.214,57.471,34.385,1075,55,14,5,0.372,14.560,1075,59,15.945,4.817,3.875,0.258,0.648
7,85,904.088,68.300,59.598,896,61,15,15,0.301,18.028,896,66,146.310,12.728,1.715,0.583,0.567
8,28,1073.393,66.929,22.385,1069,64,9,5,0.702,9.487,1069,66,161.565,5.000,2.293,0.436,0.789
9,26,1094.269,77.038,22.728,1092,74,5,8,0.633,8.944,1092,74,116.565,5.000,1.648,0.607,0.800
10,28,1098.821,86.893,21.556,1095,84,7,7,0.757,9.220,1096,84,130.601,5.400,1.885,0.531,0.812
11,34,1098.294,99.529,32.627,1091,96,13,7,0.401,13.928,1091,96,158.962,5.942,3.042,0.329,0.613
12,114,1151.632,114.316,68.083,1146,105,11,19,0.309,19.235,1152,124,81.027,11.000,1.659,0.603,0.669
13,30,1219.500,113.633,25.213,1216,109,7,8,0.593,10.630,1216,109,131.186,6.008,1.860,0.538,0.714
14,35,1123.786,124.700,31.213,1119,121,11,8,0.451,11.402,1119,122,164.745,7.140,1.416,0.706,0.631
15,25,676.140,130.940,22.142,672,129,8,5,0.641,8.246,672,129,165.964,5.000,1.318,0.759,0.794
16,65,1171.869,132.731,41.698,1163,129,16,8,0.470,16.492,1163,134,14.036,7.951,2.005,0.499,0.699
17,30,1090.133,133.767,32.042,1086,130,8,9,0.367,9.849,1089,139,66.038,7.000,1.738,0.575,0.583
18,38,1193.079,136.763,32.627,1188,131,9,9,0.449,10.817,1190,131,123.690,8.485,1.195,0.837,0.628
19,95,1206.637,143.300,47.941,1201,134,11,15,0.519,17.000,1202,134,118.072,11.000,1.391,0.719,0.731
20,39,679.705,138.936,37.213,672,135,16,7,0.354,16.763,672,141,17.354,4.121,5.417,0.185,0.661
21,25,1127.980,138.660,22.971,1124,135,7,7,0.595,8.602,1124,142,35.538,6.325,1.249,0.801,0.676
22,27,1261.759,147.352,26.728,1256,145,12,4,0.475,12.166,1256,149,9.462,4.000,3.303,0.303,0.783
23,33,1236.197,152.652,24.627,1232,149,9,8,0.684,10.817,1232,156,33.690,4.950,2.749,0.364,0.767
24,38,1257.211,154.395,30.042,1252,151,12,8,0.529,13.892,1252,158,30.256,5.200,3.340,0.299,0.724
25,26,1212.538,156.385,28.385,1207,153,10,6,0.406,10.817,1207,153,146.310,5.582,2.124,0.471,0.565
26,38,802.684,166.763,36.627,795,164,15,6,0.356,16.155,795,170,21.801,4.667,3.972,0.252,0.650
27,35,1240.729,170.814,25.799,1237,166,7,10,0.661,10.440,1240,166,106.699,5.824,1.977,0.506,0.737
28,26,1074.731,173.615,21.899,1073,169,4,9,0.681,9.487,1074,169,108.435,4.000,2.612,0.383,0.839
29,68,1170.059,179.912,50.527,1165,172,11,17,0.335,19.235,1167,189,62.103,8.222,2.805,0.357,0.571
30,42,1198.262,176.619,30.042,1194,172,8,9,0.585,9.849,1195,181,66.038,7.727,1.399,0.715,0.730
31,28,1184.500,176.714,26.971,1179,174,9,7,0.484,10.817,1179,175,146.310,6.202,2.191,0.456,0.609
32,30,1291.500,179.200,25.314,1289,176,7,8,0.588,10.000,1290,184,53.130,6.379,1.823,0.548,0.698
33,38,1193.632,187.684,23.799,1190,183,7,9,0.843,10.000,1190,184,126.870,5.657,1.865,0.536,0.844
34,26,1283.269,192.038,18.142,1280,189,6,6,0.993,7.211,1281,189,123.690,6.000,1.239,0.807,0.852
35,32,1311.906,192.781,24.971,1307,190,9,7,0.645,9.487,1307,193,18.435,6.641,1.451,0.689,0.771
36,77,1200.734,198.812,52.184,1194,192,13,13,0.355,13.416,1195,195,153.435,12.021,1.178,0.849,0.642
37,557816,851.629,622.870,4765.297,427,198,882,850,0.309,883.676,431,557,173.502,845.903,1.005,0.995,0.964
38,33,1058.773,200.470,26.971,1053,198,11,5,0.570,11.402,1053,199,164.745,4.932,2.758,0.363,0.750
39,31,1323.145,202.016,24.971,1320,198,6,8,0.625,9.434,1320,206,57.995,6.000,1.636,0.611,0.765
40,93,415.801,207.199,40.284,410,200,12,14,0.720,15.264,410,213,58.392,10.607,1.564,0.640,0.805
41,29,1166.293,202.466,26.142,1161,200,11,4,0.533,11.180,1161,201,169.695,4.000,3.412,0.293,0.784
42,30,1077.733,204.400,28.385,1071,201,12,6,0.468,13.416,1071,201,153.435,4.396,4.020,0.249,0.732
43,26,1138.769,207.808,26.728,1136,202,5,10,0.457,11.180,1136,212,63.435,4.707,3.134,0.319,0.675
44,61,1273.303,206.664,46.527,1267,202,13,9,0.354,13.928,1267,205,158.962,9.000,1.386,0.721,0.656
45,44,446.636,207.250,38.042,442,203,8,9,0.382,10.630,443,203,131.186,7.589,1.374,0.728,0.733
46,27,474.426,209.204,27.799,469,207,11,5,0.439,11.180,469,207,169.695,5.000,2.216,0.451,0.635
47,27,1170.389,209.981,31.213,1164,207,12,6,0.348,12.166,1164,211,170.538,5.672,2.238,0.447,0.519
48,125,690.284,219.116,57.113,685,209,11,21,0.482,21.840,690,230,74.055,10.102,2.700,0.370,0.704
49,52,719.385,216.635,40.042,712,213,16,7,0.408,16.492,712,219,14.036,7.000,3.040,0.329,0.684
50,35,1034.986,218.471,30.971,1030,214,11,7,0.459,13.038,1030,214,147.529,5.483,3.073,0.325,0.700
51,46,1343.087,220.522,40.284,1339,215,10,13,0.356,14.866,1339,227,47.726,7.603,2.511,0.398,0.520
52,43,1368.826,219.547,40.042,1364,216,9,8,0.337,10.817,1364,223,33.690,8.000,1.161,0.861,0.672
53,80,1005.075,222.863,47.698,999,217,14,11,0.442,15.811,1000,218,145.305,10.647,1.572,0.636,0.653
54,26,1351.462,221.962,22.142,1347,220,9,5,0.666,9.487,1347,223,18.435,4.851,2.551,0.392,0.765
55,110,1258.564,228.436,64.426,1248,222,21,12,0.333,21.587,1248,227,13.392,11.792,1.871,0.534,0.599
56,47,1266.819,239.968,43.113,1263,231,8,17,0.318,17.720,1265,248,73.610,5.322,4.703,0.213,0.573
57,44,1190.477,237.136,33.456,1185,232,10,11,0.494,12.806,1185,235,141.340,8.050,1.767,0.566,0.657
58,31,1144.113,234.726,29.556,1137,233,13,4,0.446,13.342,1137,233,167.005,4.000,4.019,0.249,0.775
59,25,1360.900,234.980,22.971,1356,233,9,4,0.595,9.220,1356,234,167.471,4.000,2.524,0.396,0.769
60,49,1380.480,237.337,26.142,1377,233,7,8,0.901,10.000,1378,233,126.870,7.000,1.134,0.882,0.925
61,28,1117.429,236.071,24.142,1112,234,10,5,0.604,10.440,1112,234,163.301,4.511,2.946,0.339,0.778
