 ,Area,X,Y,Perim.,BX,BY,Width,Height,Circ.,Feret,FeretX,FeretY,FeretAngle,MinFeret,AR,Round,Solidity
1,78,717.513,225.218,51.941,712,216,9,17,0.363,18.028,715,233,70.560,9.000,2.148,0.466,0.675
2,34,707.176,227.265,22.385,704,223,7,8,0.853,10.000,704,223,126.870,5.400,2.071,0.483,0.840
3,492,905.350,271.878,127.782,892,256,28,32,0.379,33.242,899,288,74.291,23.275,1.586,0.630,0.790
4,58,711.638,262.034,27.799,708,257,8,10,0.943,11.180,709,257,116.565,7.778,1.474,0.678,0.906
5,47,677.394,274.415,26.142,673,271,9,7,0.864,10.296,673,277,29.055,6.548,1.678,0.596,0.879
6,68,589.235,280.176,36.042,585,274,8,12,0.658,13.000,586,286,67.380,8.000,1.860,0.538,0.795
7,84,681.036,284.000,36.042,675,280,13,9,0.813,13.601,675,286,17.103,9.000,1.644,0.608,0.875
8,50,712.080,296.100,26.142,707,293,10,6,0.919,10.770,707,298,21.801,6.000,1.737,0.576,0.926
9,36,483.778,312.972,21.314,480,310,7,6,0.996,8.602,480,315,35.538,6.000,1.205,0.830,0.935
10,99,796.702,349.308,40.627,792,343,11,14,0.754,14.866,794,357,70.346,10.983,1.418,0.705,0.822
11,42,977.571,350.690,22.142,974,347,7,7,1.000,8.602,974,353,35.538,7.000,1.052,0.950,0.933
12,39,515.295,359.474,22.728,511,356,8,6,0.949,9.434,511,362,32.005,6.000,1.460,0.685,0.929
13,97,1046.933,365.933,46.284,1038,360,17,11,0.569,18.788,1038,362,154.799,8.895,2.685,0.372,0.758
14,32,571.000,367.000,19.314,568,364,6,6,1.000,7.211,569,364,123.690,6.000,1.000,1.000,0.941
15,26,736.654,374.769,18.142,734,372,6,6,0.993,7.211,734,372,123.690,5.657,1.270,0.787,0.881
16,29,667.293,379.086,22.142,663,377,9,5,0.743,9.220,663,379,12.529,5.000,1.446,0.691,0.841
17,84,664.976,388.762,50.284,660,380,10,18,0.417,19.698,660,380,113.962,9.648,2.359,0.424,0.644
18,74,648.365,385.365,42.284,642,381,15,8,0.520,15.811,642,382,161.565,8.000,2.318,0.431,0.759
19,97,521.727,390.160,35.456,516,384,11,12,0.970,13.416,519,384,116.565,10.607,1.273,0.785,0.911
20,45,1066.233,387.478,24.142,1062,384,8,7,0.970,9.220,1063,391,40.601,7.000,1.170,0.855,0.909
21,56,692.464,388.875,26.971,688,385,9,8,0.967,10.000,689,385,126.870,8.000,1.213,0.824,0.896
22,163,941.322,419.445,69.355,935,407,12,25,0.426,26.571,937,432,70.201,10.364,3.602,0.278,0.739
23,79,771.905,433.019,31.799,767,428,10,10,0.982,11.662,767,430,149.036,9.944,1.132,0.884,0.913
24,105,426.938,447.233,47.698,419,441,16,12,0.580,16.643,420,450,32.735,10.612,1.697,0.589,0.753
25,454,876.344,457.178,128.853,864,441,26,32,0.344,34.886,869,472,62.700,21.609,1.760,0.568,0.760
26,58,641.034,453.914,29.213,636,450,11,8,0.854,11.402,636,452,164.745,7.906,1.675,0.597,0.853
27,69,382.543,463.457,42.284,378,457,10,13,0.485,14.765,378,470,61.699,9.328,1.913,0.523,0.730
28,63,826.643,463.849,28.728,822,460,9,8,0.959,10.817,822,461,146.310,8.000,1.162,0.861,0.940
29,121,796.599,472.921,63.355,790,467,13,15,0.379,17.493,794,482,59.036,13.000,1.158,0.864,0.756
30,29,728.121,481.638,19.314,725,479,7,5,0.977,7.616,725,484,23.199,5.000,1.287,0.777,0.921
31,67,803.440,489.022,29.799,799,484,9,10,0.948,10.630,800,485,131.186,9.000,1.138,0.879,0.899
32,67,969.261,491.978,40.385,966,484,7,14,0.516,14.866,966,484,109.654,7.000,2.118,0.472,0.779
33,31,655.339,489.048,20.142,652,486,7,6,0.960,8.602,652,486,144.462,5.367,1.634,0.612,0.886
34,85,710.888,503.406,49.355,706,496,11,17,0.438,18.028,710,513,70.560,9.171,2.443,0.409,0.642
35,138,732.312,515.536,67.255,724,508,15,15,0.383,17.804,725,510,141.843,14.798,1.182,0.846,0.717
36,67,520.321,514.963,29.799,515,511,11,8,0.948,11.402,515,517,15.255,8.000,1.336,0.749,0.912
37,54,482.481,522.426,26.142,479,518,7,9,0.993,10.296,480,527,60.945,7.000,1.303,0.767,0.939
38,48,518.250,528.875,24.971,514,525,8,8,0.967,9.220,515,532,40.601,8.000,1.079,0.927,0.881
39,138,762.906,532.812,54.770,754,526,19,14,0.578,19.416,754,536,11.889,14.000,1.501,0.666,0.730
40,108,922.722,540.861,61.255,915,535,15,13,0.362,15.652,916,545,26.565,13.000,1.224,0.817,0.704
41,69,602.500,541.500,30.142,598,537,9,9,0.954,11.402,598,545,37.875,9.000,1.230,0.813,0.932
42,43,526.035,542.779,23.314,523,539,6,8,0.994,9.434,523,539,122.005,6.000,1.350,0.741,0.956
43,60,436.583,543.900,27.556,432,540,9,8,0.993,10.817,432,541,146.310,8.000,1.282,0.780,0.938
44,86,348.814,547.977,32.971,344,543,10,10,0.994,12.207,345,543,124.992,10.000,1.138,0.878,0.950
45,59,414.737,566.195,27.556,410,562,9,8,0.976,10.817,410,569,33.690,8.000,1.306,0.766,0.929
46,76,993.303,569.539,30.971,988,565,10,9,0.996,11.662,988,572,30.964,9.000,1.164,0.859,0.944
47,62,585.823,575.177,27.799,582,570,8,10,1.000,10.817,583,580,56.310,8.000,1.338,0.747,0.919
48,106,593.443,598.349,42.042,588,591,12,14,0.754,15.000,591,591,126.870,10.733,1.547,0.647,0.812
49,50,710.660,598.300,28.385,707,593,8,10,0.780,12.207,707,593,124.992,6.559,2.137,0.468,0.862
50,52,904.231,615.500,25.799,900,611,9,8,0.982,10.000,900,613,143.130,7.778,1.297,0.771,0.897
51,75,550.380,642.860,30.385,546,638,9,10,1.000,11.180,548,648,63.435,9.000,1.123,0.890,0.943
52,62,807.000,653.452,38.042,800,648,14,10,0.538,15.811,801,648,145.305,6.508,3.241,0.309,0.717
53,36,579.167,652.389,21.899,575,650,8,5,0.943,8.944,575,654,26.565,5.000,1.594,0.627,0.947
54,32,412.094,655.438,26.971,406,653,11,5,0.553,11.402,406,657,15.255,5.000,2.777,0.360,0.719
55,45,621.856,661.967,24.971,618,658,8,8,0.907,10.000,618,665,36.870,7.071,1.468,0.681,0.882
56,48,467.333,666.875,30.142,465,661,5,12,0.664,12.649,465,673,71.565,5.000,2.522,0.397,0.881
57,40,1106.800,671.575,26.971,1103,666,7,10,0.691,10.770,1105,676,68.199,6.576,1.859,0.538,0.762
58,39,452.167,675.372,25.213,447,672,10,7,0.771,11.180,447,673,153.435,5.657,2.066,0.484,0.839
59,34,578.559,686.618,20.728,575,684,7,6,0.994,8.062,575,688,29.745,6.000,1.248,0.801,0.919
60,42,657.857,689.095,22.728,654,686,8,6,1.000,8.944,654,687,153.435,6.000,1.324,0.755,0.944
61,88,1026.250,693.659,34.042,1021,688,11,11,0.954,12.530,1023,699,61.390,9.899,1.248,0.801,0.912
62,59,578.771,694.720,33.213,574,691,12,8,0.672,12.369,574,692,165.964,8.000,1.712,0.584,0.792
63,65,830.115,696.592,36.042,826,692,11,11,0.629,12.806,827,702,38.660,9.899,1.331,0.751,0.751
