 ,Area,X,Y,Perim.,BX,BY,Width,Height,Circ.,Feret,FeretX,FeretY,FeretAngle,MinFeret,AR,Round,Solidity
1,28,915.036,45.857,22.971,912,41,6,9,0.667,10.296,913,50,60.945,5.154,2.370,0.422,0.767
2,131,947.210,48.920,54.527,939,41,15,15,0.554,17.493,943,56,59.036,12.982,1.372,0.729,0.782
3,26,900.808,47.423,22.971,897,44,8,7,0.619,10.000,897,44,143.130,4.950,2.516,0.397,0.693
4,31,847.565,48.855,20.142,844,46,7,6,0.960,8.062,844,51,29.745,6.000,1.169,0.856,0.861
5,35,976.071,50.814,33.213,972,47,8,9,0.399,10.000,972,48,143.130,7.452,1.471,0.680,0.598
6,27,1073.019,65.278,28.142,1071,60,5,12,0.428,12.649,1071,72,71.565,4.096,4.348,0.230,0.692
7,44,925.773,68.727,33.799,920,65,12,7,0.484,12.369,920,68,165.964,7.000,1.899,0.527,0.693
8,49,1085.582,72.337,43.698,1079,67,12,13,0.322,16.401,1080,67,127.569,9.192,2.287,0.437,0.513
9,55,1027.391,81.373,41.456,1021,76,13,10,0.402,14.422,1021,76,146.310,8.630,2.071,0.483,0.598
10,32,962.375,84.031,24.142,960,80,5,8,0.690,8.944,960,80,116.565,5.000,1.879,0.532,0.831
11,31,969.694,83.984,20.971,966,80,6,8,0.886,8.246,969,80,104.036,6.000,1.412,0.708,0.838
12,25,844.380,82.820,23.556,840,81,9,4,0.566,9.487,840,84,18.435,4.000,2.558,0.391,0.735
13,31,952.887,83.339,21.899,949,81,8,5,0.812,9.434,949,86,32.005,4.851,2.073,0.482,0.886
14,39,991.756,92.551,35.698,988,86,8,12,0.385,13.038,988,87,122.471,6.548,2.556,0.391,0.614
15,26,954.962,89.885,21.314,951,88,9,4,0.719,9.487,951,92,18.435,4.000,2.580,0.388,0.839
16,36,961.667,97.389,24.971,957,94,10,6,0.726,11.180,957,94,153.435,5.571,2.277,0.439,0.828
17,105,1023.900,101.157,58.184,1015,95,18,11,0.390,18.682,1015,99,164.476,10.394,1.891,0.529,0.732
18,31,912.242,109.597,26.971,909,106,6,8,0.536,9.434,910,114,57.995,6.000,1.620,0.617,0.729
19,61,1105.221,112.910,44.284,1097,109,18,8,0.391,18.682,1097,117,15.524,6.821,2.768,0.361,0.659
20,33,690.227,115.197,31.456,684,111,12,8,0.419,13.000,684,111,157.380,6.008,2.848,0.351,0.617
21,27,972.537,113.759,23.314,967,111,9,5,0.624,9.849,967,115,23.962,4.919,2.119,0.472,0.806
22,48,1147.146,118.021,37.456,1142,112,8,12,0.430,12.649,1146,124,71.565,8.000,2.002,0.500,0.653
23,34,1048.735,119.559,36.627,1046,114,7,13,0.318,13.928,1047,127,68.962,6.397,2.849,0.351,0.548
24,27,1059.315,116.870,24.142,1054,115,10,4,0.582,10.770,1054,115,158.199,4.000,3.374,0.296,0.783
25,29,757.534,124.534,23.556,754,120,7,8,0.657,10.000,755,120,126.870,5.310,2.003,0.499,0.763
26,37,1176.851,126.797,31.698,1172,123,9,8,0.463,9.849,1172,128,23.962,8.000,1.146,0.873,0.667
27,39,1137.782,128.756,27.213,1133,125,11,7,0.662,11.705,1133,126,160.017,5.814,2.225,0.449,0.788
28,31,711.661,130.855,28.385,709,126,6,9,0.484,10.296,710,126,119.055,5.798,2.111,0.474,0.653
29,26,961.577,137.000,25.799,958,132,7,10,0.491,11.180,959,132,116.565,4.093,3.755,0.266,0.634
30,41,863.085,137.890,37.456,858,133,9,10,0.367,11.402,858,140,37.875,8.433,1.511,0.662,0.621
31,39,1094.654,139.423,31.556,1090,135,12,7,0.492,13.000,1090,136,157.380,5.814,2.774,0.360,0.709
32,34,1033.706,143.794,36.627,1032,137,5,14,0.318,14.318,1032,151,77.905,5.000,4.180,0.239,0.602
33,37,1209.797,141.473,34.042,1205,137,11,8,0.401,11.402,1205,141,164.745,7.845,1.406,0.711,0.607
34,76,1084.171,146.197,52.770,1079,138,11,17,0.343,18.788,1079,155,64.799,8.974,2.749,0.364,0.628
35,43,1025.407,147.942,32.627,1021,144,10,8,0.508,10.817,1022,144,146.310,8.000,1.606,0.623,0.667
36,28,1223.357,150.214,21.556,1220,146,7,7,0.757,7.616,1222,146,113.199,6.641,1.030,0.971,0.778
37,35,1151.957,152.586,24.971,1147,149,9,7,0.705,9.220,1147,152,12.529,6.731,1.494,0.670,0.769
38,37,977.149,153.419,26.385,972,150,9,7,0.668,10.817,972,151,146.310,6.800,1.549,0.646,0.771
39,101,1229.411,158.896,63.012,1219,153,20,11,0.320,21.541,1219,162,21.801,10.381,2.170,0.461,0.616
40,32,1251.875,159.219,30.627,1248,155,10,9,0.429,12.806,1248,164,38.660,6.183,2.686,0.372,0.561
41,34,1204.765,164.353,24.385,1201,160,7,9,0.719,10.296,1202,160,119.055,6.091,2.160,0.463,0.739
42,41,1241.744,165.402,30.971,1237,160,7,12,0.537,12.042,1242,160,94.764,7.000,1.797,0.557,0.707
43,33,868.258,166.379,23.556,864,164,9,5,0.747,9.849,864,169,23.962,5.000,2.160,0.463,0.835
44,64,1255.000,170.516,41.456,1249,167,12,9,0.468,13.601,1249,167,143.973,9.000,1.444,0.693,0.736
45,62,1181.032,179.952,48.527,1176,174,12,12,0.331,15.620,1177,174,129.806,8.963,2.181,0.459,0.602
46,53,1339.575,180.538,27.556,1335,177,9,8,0.877,9.899,1336,184,45.000,8.000,1.131,0.884,0.876
47,34,1078.735,182.647,29.213,1075,179,9,9,0.501,12.042,1075,188,48.366,5.966,2.368,0.422,0.648
48,60,1246.167,188.733,32.284,1242,184,9,10,0.723,11.180,1242,184,116.565,9.000,1.224,0.817,0.811
49,30,1269.933,186.067,30.385,1264,184,12,5,0.408,12.369,1264,184,165.964,5.000,3.373,0.296,0.612
