 ,Area,X,Y,Perim.,BX,BY,Width,Height,Circ.,Feret,FeretX,FeretY,FeretAngle,MinFeret,AR,Round,Solidity
1,52,680.173,296.827,35.456,674,293,13,8,0.520,14.318,674,293,155.225,6.303,2.918,0.343,0.732
2,273,726.046,308.324,67.941,718,298,17,22,0.743,24.187,721,320,60.255,16.064,1.428,0.700,0.882
3,51,851.343,340.010,26.385,848,335,7,10,0.921,10.440,850,335,106.699,7.000,1.502,0.666,0.895
4,54,590.241,356.519,26.385,586,352,8,9,0.975,10.000,588,352,126.870,8.000,1.245,0.803,0.893
5,44,981.932,362.909,24.385,978,359,9,7,0.930,10.296,978,360,150.945,6.715,1.639,0.610,0.880
6,93,702.156,485.694,42.042,697,478,10,15,0.661,16.155,700,493,68.199,9.021,2.144,0.466,0.816
7,43,606.640,503.849,23.556,603,500,7,8,0.974,9.434,604,500,122.005,6.708,1.441,0.694,0.905
8,66,977.485,545.833,28.971,973,541,9,9,0.988,10.817,974,550,56.310,9.000,1.136,0.881,0.930
9,39,527.192,565.115,23.556,524,561,7,8,0.883,9.434,525,561,122.005,6.261,1.614,0.620,0.857
10,55,585.755,698.409,29.314,583,693,6,11,0.804,12.083,583,693,114.444,6.000,2.069,0.483,0.917
11,31,541.306,739.758,20.971,538,736,7,7,0.886,9.220,539,736,130.601,4.950,1.922,0.520,0.873
12,39,672.679,784.295,23.314,670,780,5,9,0.902,9.487,671,780,108.435,5.000,1.760,0.568,0.940
13,46,914.000,790.804,24.142,911,786,6,9,0.992,9.487,913,786,108.435,6.000,1.435,0.697,0.939
14,37,943.743,795.743,27.213,940,791,8,10,0.628,12.806,940,791,128.660,4.950,3.297,0.303,0.813
15,50,462.140,816.480,25.213,458,812,8,9,0.988,9.849,460,812,113.962,7.778,1.288,0.776,0.877
16,47,412.713,819.457,25.213,409,815,8,9,0.929,9.434,409,822,32.005,7.071,1.310,0.763,0.870
17,33,852.530,821.106,20.728,850,817,5,8,0.965,8.544,851,825,69.444,5.000,1.593,0.628,0.917
18,61,1032.549,833.680,29.799,1028,829,9,10,0.863,12.207,1029,829,124.992,7.717,1.757,0.569,0.891
19,91,676.302,857.731,44.527,670,850,12,15,0.577,17.493,671,850,120.964,8.935,2.452,0.408,0.755
20,48,939.021,881.771,26.142,936,877,6,10,0.883,10.770,937,877,111.801,6.000,1.766,0.566,0.914
21,48,652.729,895.833,36.627,648,889,8,13,0.450,13.416,649,901,63.435,7.155,2.189,0.457,0.701
22,113,910.615,919.296,60.184,905,908,13,21,0.392,23.324,905,909,120.964,9.237,3.440,0.291,0.679
23,25,913.460,935.260,17.314,911,932,5,6,1.000,7.211,912,932,123.690,5.000,1.293,0.773,0.926
24,92,912.109,958.598,51.355,906,952,13,14,0.438,16.125,909,966,60.255,12.420,1.690,0.592,0.664
25,46,881.326,974.500,24.142,877,971,8,7,0.992,8.944,877,973,153.435,7.000,1.170,0.855,0.920
