 ,Area,X,Y,Perim.,BX,BY,Width,Height,Circ.,Feret,FeretX,FeretY,FeretAngle,MinFeret,AR,Round,Solidity
1,45,703.411,219.856,26.971,699,216,9,7,0.777,9.849,699,217,156.038,6.905,1.520,0.658,0.833
2,52,781.712,222.231,26.142,777,219,9,7,0.956,10.296,777,224,29.055,7.000,1.347,0.742,0.929
3,40,630.575,274.525,22.142,627,271,7,7,1.000,8.602,627,277,35.538,7.000,1.234,0.810,0.920
4,46,816.913,291.609,30.385,814,285,6,12,0.626,12.166,816,285,99.462,5.590,2.405,0.416,0.793
5,69,670.123,312.080,34.627,665,306,9,11,0.723,12.207,667,317,55.008,9.000,1.327,0.754,0.836
6,88,888.307,313.534,33.799,882,309,12,9,0.968,12.369,882,313,165.964,9.000,1.247,0.802,0.936
7,32,703.906,313.625,19.556,701,310,6,7,1.000,8.062,702,310,119.745,6.000,1.356,0.737,0.889
8,47,670.479,321.606,33.556,664,319,14,5,0.525,14.318,664,321,167.905,5.000,3.301,0.303,0.770
9,220,943.150,347.909,71.598,934,341,21,16,0.539,23.259,934,355,25.463,15.722,1.653,0.605,0.794
10,158,633.089,388.443,63.012,623,380,19,16,0.500,23.022,623,381,145.620,12.362,1.828,0.547,0.749
11,173,632.910,404.477,79.255,624,396,17,18,0.346,22.023,624,398,140.528,14.724,1.607,0.622,0.752
12,38,806.947,413.105,27.556,804,408,6,11,0.629,11.402,805,408,105.255,4.945,2.682,0.373,0.792
13,36,400.028,422.917,22.142,396,420,8,6,0.923,8.602,397,426,35.538,6.000,1.474,0.678,0.878
14,47,844.755,425.713,25.556,841,421,7,9,0.904,9.849,843,421,113.962,6.864,1.494,0.669,0.879
15,33,392.167,426.773,21.799,388,423,8,7,0.873,8.944,388,429,26.565,5.657,1.709,0.585,0.815
16,61,500.303,451.861,40.042,496,447,13,10,0.478,15.264,496,456,31.608,9.192,1.752,0.571,0.670
17,25,1035.140,491.700,19.314,1033,488,4,8,0.842,8.246,1034,488,104.036,4.000,1.925,0.519,0.893
18,136,1027.559,502.176,54.184,1022,494,13,16,0.582,16.763,1025,510,72.646,13.000,1.367,0.732,0.829
19,25,596.700,501.060,17.314,594,498,5,6,1.000,7.211,595,504,56.310,5.000,1.312,0.762,0.926
20,65,954.300,507.485,30.042,949,503,10,9,0.905,10.770,949,506,158.199,9.000,1.202,0.832,0.878
21,48,392.146,521.812,24.971,389,517,7,9,0.967,9.487,391,517,108.435,7.000,1.313,0.762,0.906
22,31,951.855,527.210,22.971,949,523,6,9,0.738,9.849,950,532,66.038,5.571,2.064,0.484,0.785
