 ,Area,X,Y,Perim.,BX,BY,Width,Height,Circ.,Feret,FeretX,FeretY,FeretAngle,MinFeret,AR,Round,Solidity
1,32,562.938,152.906,32.385,559,150,8,7,0.383,10.000,559,150,143.130,7.000,1.533,0.652,0.640
2,28,847.464,186.321,27.213,844,183,8,8,0.475,9.434,844,189,32.005,5.657,1.993,0.502,0.636
3,77,646.604,195.578,31.213,641,191,11,9,0.993,11.705,641,194,160.017,9.000,1.273,0.785,0.917
4,59,658.941,197.534,26.971,655,193,8,9,1.000,9.849,657,193,113.962,8.000,1.134,0.881,0.929
5,54,417.278,209.056,26.971,413,205,8,9,0.933,9.487,415,205,108.435,8.000,1.132,0.884,0.893
6,69,847.196,212.833,30.142,843,208,8,10,0.954,11.662,844,208,120.964,8.000,1.297,0.771,0.945
7,44,397.386,218.591,42.527,392,214,10,9,0.306,10.817,393,215,146.310,8.485,1.358,0.736,0.624
8,34,485.147,220.559,28.627,482,216,7,9,0.521,9.487,485,216,108.435,6.740,1.681,0.595,0.654
9,72,688.750,222.431,30.627,684,217,9,11,0.965,11.402,687,217,105.255,8.944,1.295,0.772,0.900
10,26,740.538,221.231,26.627,737,218,8,7,0.461,9.220,738,225,40.601,6.002,1.813,0.551,0.619
11,55,799.245,230.500,26.142,795,227,9,7,1.000,9.849,795,228,156.038,7.000,1.256,0.796,0.948
12,46,731.217,234.435,24.385,727,230,8,8,0.972,9.220,728,231,130.601,7.778,1.177,0.850,0.876
13,47,816.564,245.840,31.213,813,241,8,9,0.606,10.296,815,241,119.055,7.799,1.467,0.682,0.758
14,64,540.328,256.062,30.971,536,251,9,10,0.838,10.817,536,253,146.310,8.246,1.248,0.801,0.865
15,378,592.624,285.513,123.296,582,269,18,32,0.312,33.242,589,301,74.291,18.000,1.974,0.507,0.784
16,26,436.000,295.500,22.142,433,291,5,9,0.666,9.220,435,300,77.471,4.533,2.448,0.408,0.765
17,49,635.480,327.643,25.556,632,323,7,9,0.943,10.000,633,332,53.130,7.000,1.312,0.762,0.891
18,30,411.900,349.100,29.799,408,346,8,7,0.425,9.434,408,352,32.005,6.499,1.724,0.580,0.638
19,29,851.603,375.052,31.799,848,372,7,7,0.360,8.602,850,372,125.538,7.000,1.083,0.923,0.659
20,27,766.796,384.130,24.142,764,381,7,7,0.582,9.220,764,387,40.601,6.002,1.769,0.565,0.692
21,28,592.071,387.143,28.385,589,384,7,7,0.437,8.062,590,391,60.255,7.000,1.167,0.857,0.675
