 ,Area,X,Y,Perim.,BX,BY,Width,Height,Circ.,Feret,FeretX,FeretY,FeretAngle,MinFeret,AR,Round,Solidity
1,57,710.570,173.219,26.971,707,168,7,10,0.985,10.770,709,168,111.801,7.000,1.435,0.697,0.919
2,80,895.000,209.000,31.799,890,204,10,10,0.994,11.662,892,214,59.036,9.899,1.100,0.909,0.930
3,128,592.953,231.359,40.870,586,225,14,12,0.963,14.866,586,234,19.654,12.000,1.232,0.812,0.921
4,105,954.224,231.100,37.213,949,225,11,12,0.953,13.416,951,237,63.435,11.000,1.170,0.855,0.925
5,38,811.158,234.211,27.556,808,229,6,11,0.629,12.083,809,240,65.556,4.743,3.052,0.328,0.800
6,118,711.822,287.915,38.627,706,282,12,12,0.994,14.213,706,292,39.289,12.000,1.155,0.866,0.940
7,90,734.000,323.000,34.627,728,318,12,10,0.943,12.806,729,327,38.660,9.899,1.285,0.778,0.918
8,35,811.271,341.300,25.556,809,336,5,10,0.673,10.770,809,346,68.199,5.000,2.335,0.428,0.854
9,131,563.202,343.538,41.213,556,338,14,11,0.969,15.232,556,341,156.801,11.000,1.258,0.795,0.953
10,84,1069.429,347.333,33.799,1065,341,9,12,0.924,12.806,1065,352,51.340,9.000,1.344,0.744,0.908
11,86,1086.674,351.721,33.799,1081,347,11,10,0.946,12.207,1082,348,145.008,10.000,1.182,0.846,0.910
12,32,883.719,361.031,24.385,880,358,9,6,0.676,9.849,880,363,23.962,6.000,1.617,0.618,0.744
13,597,895.286,377.217,149.238,881,359,27,39,0.337,40.025,896,398,77.005,26.425,1.591,0.628,0.752
14,177,730.302,380.590,63.598,721,373,20,14,0.550,22.472,722,374,147.724,13.394,1.948,0.513,0.794
15,27,905.759,380.722,19.556,903,377,6,7,0.887,8.062,904,377,119.745,5.367,1.533,0.652,0.831
16,190,913.942,401.600,77.154,905,393,18,20,0.401,24.207,905,412,51.710,15.421,1.678,0.596,0.752
17,42,535.429,405.048,30.971,528,402,13,6,0.550,13.601,528,407,17.103,5.209,2.964,0.337,0.771
18,224,549.326,414.714,85.740,536,405,26,17,0.383,26.926,536,410,164.932,17.000,1.798,0.556,0.702
19,42,1104.595,411.643,22.728,1101,408,7,7,1.000,8.602,1102,408,125.538,7.000,1.036,0.965,0.923
20,45,524.011,413.900,24.385,520,410,8,8,0.951,9.220,521,417,40.601,7.519,1.226,0.816,0.865
21,32,1059.688,413.250,19.556,1057,410,6,7,1.000,7.810,1057,416,39.806,6.000,1.224,0.817,0.901
22,46,1064.130,418.283,27.556,1058,415,11,6,0.761,11.705,1058,420,19.983,6.000,1.898,0.527,0.868
23,88,628.102,440.830,33.799,623,435,10,11,0.968,13.038,624,446,57.529,9.899,1.309,0.764,0.936
24,50,774.620,438.640,26.971,771,435,8,9,0.864,10.000,773,444,53.130,8.000,1.207,0.829,0.862
25,113,970.066,442.164,38.627,964,436,12,12,0.952,13.892,967,436,120.256,12.000,1.107,0.904,0.919
26,58,812.259,448.655,27.799,808,444,9,9,0.943,10.296,810,453,60.945,8.485,1.147,0.871,0.892
27,125,952.404,451.692,41.213,947,445,11,14,0.925,15.264,948,458,58.392,11.000,1.288,0.777,0.933
28,172,938.762,458.971,82.225,930,450,17,20,0.320,22.825,933,450,118.811,15.254,1.394,0.717,0.721
