 ,Area,X,Y,Perim.,BX,BY,Width,Height,Circ.,Feret,FeretX,FeretY,FeretAngle,MinFeret,AR,Round,Solidity
1,44,594.864,108.614,28.385,592,103,6,10,0.686,10.770,593,113,68.199,6.000,1.801,0.555,0.807
2,33,741.167,116.167,24.971,738,111,6,9,0.665,9.487,741,111,108.435,5.883,1.829,0.547,0.786
3,55,507.936,119.300,28.385,504,114,8,10,0.858,11.662,505,114,120.964,7.766,1.686,0.593,0.866
4,51,545.853,124.265,31.213,542,119,8,10,0.658,11.180,544,119,116.565,7.589,1.676,0.597,0.779
5,45,569.722,146.322,27.799,566,141,7,10,0.732,10.770,569,141,111.801,6.576,1.812,0.552,0.818
6,46,603.978,145.630,25.556,601,141,6,9,0.885,9.849,602,150,66.038,6.000,1.554,0.644,0.911
7,33,658.652,153.833,25.556,656,149,6,9,0.635,10.296,657,149,119.055,5.376,2.255,0.443,0.742
8,43,451.616,163.756,28.042,448,159,7,9,0.687,9.849,450,168,66.038,7.000,1.516,0.660,0.789
9,191,431.060,182.348,72.326,421,175,20,17,0.459,21.401,425,175,127.405,15.205,1.474,0.679,0.759
10,36,555.028,181.667,28.971,552,178,6,8,0.539,8.944,553,178,116.565,6.000,1.450,0.690,0.809
11,39,695.833,183.500,24.142,693,180,7,8,0.841,9.434,694,188,57.995,7.000,1.530,0.654,0.830
12,77,649.331,191.539,32.142,644,187,10,9,0.937,11.402,645,188,142.125,9.000,1.089,0.918,0.933
13,66,553.939,193.439,35.213,550,188,8,11,0.669,12.207,550,198,55.008,8.000,1.530,0.654,0.863
14,91,562.951,199.940,40.527,558,192,11,15,0.696,15.133,561,192,97.595,10.388,1.535,0.652,0.809
15,279,759.715,210.073,105.054,745,200,26,20,0.318,27.203,745,207,162.897,19.410,1.522,0.657,0.705
16,36,601.056,207.778,27.799,598,203,6,9,0.585,9.849,600,212,66.038,6.000,1.640,0.610,0.758
17,59,787.178,211.144,34.042,783,206,9,10,0.640,11.662,785,206,120.964,8.713,1.457,0.686,0.766
18,38,532.763,214.000,26.971,530,210,6,8,0.656,8.944,531,210,116.565,6.000,1.441,0.694,0.826
19,61,894.025,216.893,49.941,887,212,13,9,0.307,14.765,887,213,151.699,8.629,2.079,0.481,0.598
20,40,831.975,223.225,24.142,829,219,6,9,0.862,9.849,831,228,66.038,5.883,1.739,0.575,0.879
21,58,388.931,229.103,29.799,385,224,8,10,0.821,11.180,387,224,116.565,8.000,1.429,0.700,0.872
22,30,711.267,228.533,24.971,708,225,8,8,0.605,10.000,708,232,36.870,5.890,2.137,0.468,0.706
23,37,556.284,230.986,26.627,553,226,7,9,0.656,9.487,556,226,108.435,6.740,1.656,0.604,0.733
24,60,839.267,233.417,40.284,835,228,9,13,0.465,13.601,837,228,107.103,9.000,1.674,0.598,0.670
25,47,848.117,234.777,27.213,844,230,8,9,0.798,10.296,846,239,60.945,7.452,1.506,0.664,0.832
26,55,593.864,240.082,27.799,590,236,8,9,0.894,10.000,590,243,36.870,8.000,1.188,0.842,0.887
27,33,547.015,248.288,22.971,544,244,6,8,0.786,8.944,545,244,116.565,6.000,1.523,0.657,0.815
