 ,Area,X,Y,Perim.,BX,BY,Width,Height,Circ.,Feret,FeretX,FeretY,FeretAngle,MinFeret,AR,Round,Solidity
1,64,725.641,239.609,34.870,721,235,9,11,0.661,12.083,722,235,114.444,9.000,1.442,0.694,0.790
2,64,783.766,241.734,28.627,779,237,10,9,0.981,10.198,779,240,168.690,9.000,1.081,0.925,0.889
3,41,732.915,245.622,23.556,729,242,8,7,0.928,10.000,729,242,143.130,6.934,1.590,0.629,0.891
4,33,815.348,273.803,22.142,812,270,6,8,0.846,9.434,813,270,122.005,5.367,1.909,0.524,0.868
5,42,684.500,291.643,27.314,679,289,11,5,0.707,12.083,679,294,24.444,4.932,2.748,0.364,0.884
6,43,676.012,302.174,25.556,673,297,6,10,0.827,10.440,675,307,73.301,6.000,1.779,0.562,0.869
7,47,630.521,315.968,26.971,627,311,7,10,0.812,10.817,627,320,56.310,6.791,1.796,0.557,0.839
8,49,675.582,315.480,25.556,672,311,7,9,0.943,10.000,672,319,53.130,7.000,1.390,0.719,0.907
9,48,779.333,321.729,25.556,776,317,7,9,0.924,9.849,777,326,66.038,7.000,1.438,0.695,0.889
10,55,978.427,337.045,26.971,974,333,9,8,0.950,10.630,974,340,41.186,7.778,1.359,0.736,0.909
11,61,590.287,360.861,28.627,586,356,9,10,0.935,10.630,586,364,41.186,8.485,1.268,0.789,0.871
12,53,648.104,366.613,26.142,644,363,8,8,0.975,9.434,645,363,122.005,8.000,1.079,0.927,0.922
13,34,550.529,437.029,23.556,547,434,8,7,0.770,10.000,547,440,36.870,5.935,1.996,0.501,0.800
14,32,563.281,437.688,23.799,559,435,8,6,0.710,8.944,559,435,153.435,6.000,1.385,0.722,0.790
15,61,612.205,444.123,28.385,607,440,10,8,0.951,10.817,608,441,146.310,8.000,1.287,0.777,0.910
16,32,533.656,452.062,20.142,530,449,7,6,0.991,8.062,530,450,150.255,6.000,1.234,0.811,0.889
17,38,540.789,455.237,25.799,536,452,9,7,0.717,10.296,536,458,29.055,6.576,1.756,0.569,0.784
18,57,1115.009,476.272,33.698,1109,471,12,11,0.631,14.213,1110,471,129.289,7.028,2.586,0.387,0.735
19,45,935.678,492.989,23.556,932,489,7,8,1.000,10.000,933,489,126.870,7.000,1.416,0.706,0.928
20,47,839.968,497.032,26.385,836,492,8,9,0.848,10.630,836,493,131.186,7.428,1.649,0.606,0.847
21,36,443.111,513.972,22.142,440,510,6,8,0.923,9.434,441,518,57.995,6.000,1.629,0.614,0.900
22,67,652.873,516.799,30.142,649,512,8,10,0.927,11.180,651,522,63.435,8.000,1.266,0.790,0.924
23,48,1120.958,519.250,27.799,1116,515,10,8,0.781,11.662,1116,522,30.964,6.261,2.176,0.460,0.842
24,54,965.000,525.500,25.799,961,521,8,9,1.000,9.849,963,530,66.038,7.778,1.217,0.821,0.915
25,48,722.188,546.333,27.799,719,541,7,11,0.781,12.083,720,552,65.556,6.261,2.210,0.453,0.865
26,37,515.230,555.932,21.556,511,553,8,6,1.000,8.544,511,555,159.444,6.000,1.365,0.732,0.892
27,48,1098.896,558.938,25.556,1095,555,8,8,0.924,10.000,1095,562,36.870,7.155,1.434,0.698,0.897
28,47,1081.309,561.947,26.385,1077,558,9,8,0.848,10.817,1077,565,33.690,7.000,1.851,0.540,0.825
29,39,723.936,603.090,22.728,721,599,6,8,0.949,9.434,721,607,57.995,6.000,1.558,0.642,0.918
