 ,Area,X,Y,Perim.,BX,BY,Width,Height,Circ.,Feret,FeretX,FeretY,FeretAngle,MinFeret,AR,Round,Solidity
1,39,980.244,271.192,23.556,977,267,7,8,0.883,9.434,978,267,122.005,6.800,1.596,0.627,0.848
2,48,926.625,273.312,37.698,922,269,9,9,0.424,9.849,922,272,156.038,8.489,1.127,0.888,0.750
3,86,976.186,279.233,52.426,970,274,14,12,0.393,14.866,970,276,160.346,11.628,1.343,0.744,0.685
4,53,622.142,284.425,26.971,619,279,7,10,0.916,10.770,620,279,111.801,7.000,1.442,0.693,0.906
5,35,540.214,289.329,29.556,536,284,10,8,0.503,12.207,536,284,145.008,6.119,2.538,0.394,0.648
6,45,529.478,299.922,23.556,526,296,7,8,1.000,9.220,526,303,40.601,7.000,1.133,0.882,0.909
7,70,661.786,307.400,30.971,657,303,10,9,0.917,11.402,658,312,37.875,9.000,1.117,0.895,0.892
8,42,514.048,330.857,34.142,512,323,5,14,0.453,14.560,513,323,105.945,5.000,3.794,0.264,0.706
9,75,639.953,332.487,32.971,635,328,10,9,0.867,12.207,635,335,34.992,9.000,1.076,0.929,0.915
10,30,475.700,331.667,21.556,471,329,9,5,0.811,9.055,471,331,173.660,5.000,1.657,0.604,0.857
11,66,582.197,352.333,29.456,578,347,9,11,0.956,11.705,580,347,109.983,8.485,1.318,0.758,0.886
12,78,1034.115,358.987,34.385,1028,355,12,8,0.829,12.649,1028,358,161.565,8.000,1.409,0.710,0.902
13,90,475.956,374.111,49.113,467,368,16,13,0.469,17.088,467,374,20.556,12.542,1.376,0.727,0.690
14,30,619.900,390.000,24.385,617,386,7,7,0.634,7.616,619,386,113.199,7.000,1.149,0.870,0.750
15,86,545.674,403.209,33.799,540,398,11,10,0.946,12.207,541,407,34.992,10.000,1.194,0.837,0.910
16,63,705.437,406.611,27.799,701,402,9,9,1.000,10.296,703,402,119.055,8.944,1.154,0.866,0.913
17,42,681.738,409.262,31.799,678,405,8,8,0.522,9.434,679,405,122.005,8.000,1.159,0.863,0.757
18,36,530.333,431.861,28.627,527,427,8,9,0.552,9.220,530,427,102.529,7.000,1.469,0.681,0.692
19,69,614.703,432.572,38.284,608,428,12,9,0.592,13.038,608,436,32.471,9.000,1.445,0.692,0.802
20,42,726.333,431.810,31.556,720,429,13,5,0.530,13.342,720,429,167.005,4.798,3.077,0.325,0.792
21,56,581.393,452.964,27.213,577,448,9,9,0.950,9.487,581,448,108.435,8.854,1.017,0.983,0.868
22,28,433.536,452.750,21.556,430,449,7,7,0.757,8.602,430,456,35.538,5.657,1.809,0.553,0.824
23,97,986.964,462.057,36.385,982,456,10,12,0.921,13.892,983,468,59.744,10.000,1.333,0.750,0.924
24,74,586.986,473.635,31.556,583,468,8,11,0.934,12.083,584,479,65.556,8.000,1.382,0.724,0.931
25,72,624.944,474.375,30.385,621,469,8,11,0.980,11.705,623,480,70.017,8.000,1.363,0.734,0.935
26,56,605.571,480.768,26.971,602,476,7,10,0.967,10.440,604,476,106.699,7.000,1.367,0.732,0.911
27,70,476.686,485.243,30.385,472,481,10,9,0.953,10.817,472,488,33.690,9.000,1.123,0.890,0.909
28,33,749.712,507.833,30.870,747,502,6,11,0.435,11.705,748,502,109.983,5.769,2.442,0.409,0.635
29,27,583.611,506.167,24.728,579,504,10,5,0.555,11.180,579,509,26.565,3.795,3.579,0.279,0.794
30,58,634.207,512.966,27.213,630,508,9,9,0.984,10.000,631,509,126.870,8.485,1.114,0.898,0.892
31,29,745.224,513.362,22.142,743,509,5,9,0.743,9.849,743,509,113.962,4.851,2.250,0.444,0.853
32,84,743.524,536.179,34.042,738,531,11,11,0.911,13.601,739,531,126.027,9.192,1.416,0.706,0.894
33,48,428.896,536.896,24.971,425,533,8,8,0.967,8.944,427,541,63.435,8.000,1.055,0.948,0.889
34,65,558.623,550.377,28.971,554,546,9,9,0.973,10.000,556,546,126.870,9.000,1.003,0.997,0.915
