 ,Area,X,Y,Perim.,BX,BY,Width,Height,Circ.,Feret,FeretX,FeretY,FeretAngle,MinFeret,AR,Round,Solidity
1,34,581.941,126.029,20.728,579,123,6,7,0.994,8.062,579,123,119.745,6.000,1.112,0.899,0.919
2,29,454.362,152.983,22.971,450,149,8,7,0.691,9.220,451,156,40.601,5.145,2.096,0.477,0.753
3,72,843.417,154.389,34.042,839,149,10,11,0.781,12.083,841,160,65.556,8.875,1.466,0.682,0.842
4,50,417.220,160.120,34.042,411,155,10,10,0.542,10.440,416,155,106.699,9.000,1.096,0.912,0.709
5,35,700.557,169.214,20.971,697,166,7,7,1.000,8.062,697,171,29.745,6.364,1.274,0.785,0.886
6,40,590.650,193.675,35.113,586,189,10,9,0.408,11.180,586,191,153.435,6.872,1.815,0.551,0.650
7,503,809.910,206.611,134.267,795,192,28,32,0.351,32.558,810,224,79.380,27.577,1.099,0.910,0.759
8,41,568.012,202.573,22.971,564,199,8,7,0.976,9.434,564,205,32.005,6.364,1.535,0.651,0.901
9,63,914.008,214.294,37.698,908,209,13,10,0.557,13.342,908,218,12.995,9.111,1.539,0.650,0.741
10,35,924.129,216.700,27.799,920,212,9,9,0.569,12.728,920,221,45.000,5.145,2.991,0.334,0.737
11,42,367.286,216.595,23.556,363,213,8,7,0.951,9.434,363,219,32.005,7.000,1.419,0.705,0.894
12,29,700.500,238.603,19.314,697,236,7,5,0.977,8.062,697,237,150.255,5.000,1.509,0.663,0.921
13,33,850.894,241.773,20.142,848,238,6,7,1.000,8.485,848,245,45.000,6.000,1.294,0.773,0.904
14,47,740.585,242.777,24.728,736,240,9,6,0.966,9.849,736,244,23.962,6.000,1.473,0.679,0.949
15,26,798.346,245.308,18.728,795,243,7,5,0.932,7.616,795,247,23.199,5.000,1.622,0.616,0.867
16,53,861.066,282.028,37.456,855,278,12,8,0.475,12.369,855,284,14.036,7.273,1.867,0.536,0.716
17,27,506.056,282.574,18.485,503,280,6,5,0.993,7.810,503,285,39.806,5.000,1.346,0.743,0.947
18,33,712.045,283.591,20.142,709,280,6,7,1.000,7.810,709,281,129.806,6.000,1.211,0.825,0.904
19,34,714.941,315.324,20.728,712,312,6,7,0.994,8.062,713,319,60.255,6.000,1.232,0.812,0.907
20,43,808.337,322.640,36.870,804,317,8,10,0.397,11.662,805,317,120.964,8.000,1.102,0.907,0.628
21,37,944.851,325.527,22.142,942,322,6,8,0.948,8.544,944,330,69.444,6.000,1.309,0.764,0.892
22,36,840.278,353.306,22.142,837,349,6,8,0.923,8.544,839,349,110.556,6.000,1.463,0.684,0.878
23,44,505.614,354.909,22.971,502,351,7,8,1.000,9.434,503,351,122.005,7.000,1.352,0.740,0.917
24,31,617.048,388.565,20.142,613,386,8,5,0.960,8.544,613,390,20.556,5.000,1.656,0.604,0.899
25,31,998.210,390.403,22.385,995,387,6,7,0.777,8.062,997,394,60.255,6.000,1.313,0.761,0.838
26,26,1001.808,406.538,19.556,998,404,8,5,0.854,8.544,998,408,20.556,4.743,1.989,0.503,0.825
27,34,885.912,409.000,20.385,882,406,8,6,1.000,8.246,882,408,165.964,6.000,1.335,0.749,0.872
28,35,520.729,416.329,21.556,518,412,6,8,0.947,8.246,520,412,104.036,6.000,1.309,0.764,0.875
29,27,1001.463,419.907,26.042,997,416,9,7,0.500,9.849,997,422,23.962,5.466,2.195,0.455,0.635
30,48,574.896,429.854,26.385,571,425,7,10,0.866,10.817,571,426,123.690,7.000,1.650,0.606,0.881
31,112,493.250,432.696,39.799,488,426,10,14,0.889,14.866,492,440,70.346,10.000,1.432,0.698,0.926
32,33,520.197,430.621,21.556,517,427,7,7,0.892,8.062,518,434,60.255,6.261,1.259,0.794,0.846
33,274,351.128,448.161,82.569,340,439,21,23,0.505,24.698,350,462,68.629,20.408,1.079,0.927,0.809
34,34,718.765,442.176,21.556,715,439,7,7,0.919,7.810,715,440,129.806,7.000,1.017,0.983,0.861
35,335,546.019,462.921,112.953,535,446,22,30,0.330,31.953,537,476,69.864,20.090,1.560,0.641,0.761
36,40,468.300,450.300,22.142,465,447,7,7,1.000,8.602,465,447,125.538,7.000,1.160,0.862,0.930
37,28,413.893,452.250,19.899,411,449,5,7,0.889,8.062,412,449,119.745,5.000,1.454,0.688,0.903
38,31,398.597,456.403,20.385,395,453,7,7,0.937,8.602,396,453,125.538,5.400,1.782,0.561,0.838
39,115,748.370,467.639,56.770,741,460,15,14,0.448,17.029,744,460,130.236,12.070,1.491,0.671,0.752
40,53,338.425,484.896,26.385,334,481,9,8,0.957,10.000,334,487,36.870,7.778,1.291,0.774,0.898
41,37,542.446,500.365,21.556,539,497,7,7,1.000,8.062,539,498,150.255,7.000,1.104,0.906,0.892
42,55,990.391,508.773,26.385,986,505,9,8,0.993,9.487,986,507,161.565,8.000,1.142,0.876,0.909
43,25,599.860,512.260,17.556,597,509,6,6,1.000,6.708,597,514,26.565,5.657,1.181,0.846,0.862
44,51,378.559,513.814,27.799,373,511,11,7,0.829,11.180,373,514,10.305,7.000,1.620,0.617,0.872
45,26,589.962,522.962,18.142,587,520,6,6,0.993,7.071,587,525,45.000,5.657,1.143,0.875,0.867
46,26,917.500,523.923,22.728,914,521,6,6,0.633,7.810,914,526,39.806,6.000,1.158,0.863,0.800
47,83,812.536,543.380,38.042,806,538,12,11,0.721,15.000,806,549,36.870,9.610,1.384,0.723,0.818
48,58,368.534,545.793,26.971,364,542,9,8,1.000,10.296,364,548,29.055,8.000,1.211,0.826,0.928
49,36,737.361,565.611,36.042,734,560,8,10,0.348,10.770,735,570,68.199,8.000,1.464,0.683,0.610
50,83,576.934,568.078,55.598,570,564,15,12,0.337,15.297,570,566,168.690,12.000,1.521,0.657,0.634
51,38,401.579,583.447,20.971,398,580,7,7,1.000,8.062,398,585,29.745,7.000,1.055,0.948,0.905
52,38,683.053,588.711,21.799,679,585,8,7,1.000,8.944,679,587,153.435,6.364,1.432,0.698,0.874
53,84,819.821,609.024,56.669,810,605,20,8,0.329,20.396,810,609,168.690,8.000,2.848,0.351,0.694
54,30,530.000,618.700,19.314,527,616,6,6,1.000,7.810,527,616,140.194,6.000,1.153,0.867,0.923
55,26,592.000,642.115,18.142,589,639,6,6,0.993,6.708,589,641,153.435,6.000,1.077,0.929,0.867
56,119,642.046,651.979,38.627,636,646,12,12,1.000,13.416,639,646,116.565,12.000,1.016,0.984,0.948
57,58,438.276,657.362,28.385,434,652,8,10,0.905,10.817,434,661,56.310,8.000,1.373,0.729,0.892
58,54,864.167,673.537,40.042,857,669,15,8,0.423,16.553,857,670,154.983,6.828,3.341,0.299,0.679
59,68,489.250,694.426,30.627,485,689,9,11,0.911,12.083,487,700,65.556,8.321,1.549,0.646,0.895
60,38,781.579,706.526,22.142,778,703,7,7,0.974,8.602,778,709,35.538,6.708,1.323,0.756,0.894
61,35,762.700,715.843,25.556,759,713,8,6,0.673,9.434,759,718,32.005,6.000,1.455,0.687,0.843
62,35,789.357,728.757,24.971,786,725,7,7,0.705,8.602,787,725,125.538,6.957,1.267,0.789,0.824
63,49,746.276,745.888,25.799,742,742,9,8,0.925,9.487,742,748,18.435,7.906,1.200,0.833,0.867
64,59,748.534,764.686,27.799,744,760,9,9,0.959,9.849,746,769,66.038,8.944,1.064,0.940,0.894
65,55,644.900,766.845,26.385,641,762,8,9,0.993,10.296,643,762,119.055,7.906,1.300,0.769,0.902
66,35,595.414,772.186,20.728,592,769,7,6,1.000,8.062,592,770,150.255,6.000,1.189,0.841,0.921
67,127,604.642,783.776,69.841,597,774,14,18,0.327,21.095,597,792,58.570,12.522,1.488,0.672,0.724
68,36,615.500,781.583,30.042,611,776,9,11,0.501,14.213,611,776,129.289,4.373,4.235,0.236,0.750
69,32,575.688,784.438,23.556,572,781,8,6,0.725,8.544,572,783,159.444,6.000,1.374,0.728,0.800
