 ,Area,X,Y,Perim.,BX,BY,Width,Height,Circ.,Feret,FeretX,FeretY,FeretAngle,MinFeret,AR,Round,Solidity
1,46,853.804,200.652,29.213,849,197,10,7,0.677,10.440,849,198,163.301,6.930,1.649,0.606,0.786
2,73,796.911,202.842,30.971,792,198,9,10,0.956,11.180,795,208,63.435,9.000,1.158,0.863,0.924
3,81,703.648,214.204,32.385,699,209,9,11,0.971,11.705,701,209,109.983,9.000,1.195,0.837,0.931
4,96,660.740,221.625,41.213,654,216,14,11,0.710,15.811,655,227,34.695,9.597,2.029,0.493,0.810
5,74,622.311,227.014,47.941,617,221,11,14,0.405,14.142,622,221,98.130,10.752,1.445,0.692,0.695
6,190,620.916,241.347,79.983,610,233,23,15,0.373,25.495,610,233,154.440,14.230,2.093,0.478,0.728
7,90,791.911,272.611,34.627,786,267,11,11,0.943,12.530,789,278,61.390,10.286,1.187,0.842,0.914
8,198,743.470,280.414,78.912,735,268,15,25,0.400,25.495,740,268,101.310,13.914,2.258,0.443,0.715
9,45,979.544,275.567,23.556,976,272,8,7,1.000,8.602,977,272,125.538,7.000,1.076,0.929,0.909
10,80,681.575,285.887,40.042,677,277,10,15,0.627,16.553,679,277,115.017,7.889,2.323,0.431,0.816
11,69,672.964,285.355,38.385,668,280,9,13,0.588,15.000,668,281,126.870,8.713,1.771,0.564,0.802
12,50,667.340,292.280,29.799,664,288,8,9,0.708,10.000,664,288,126.870,8.000,1.076,0.930,0.855
13,64,632.344,297.500,29.556,628,293,9,9,0.921,12.042,628,302,41.634,8.321,1.477,0.677,0.921
14,66,680.727,298.303,29.799,677,293,8,11,0.934,11.705,678,304,70.017,8.000,1.391,0.719,0.904
15,26,509.846,308.154,17.556,507,305,6,6,1.000,6.708,507,310,26.565,5.657,1.131,0.884,0.881
16,30,450.000,315.467,28.627,445,311,11,8,0.460,12.530,445,312,151.390,5.200,3.479,0.287,0.625
17,46,469.174,317.522,32.527,464,314,11,8,0.546,11.402,464,319,15.255,7.778,1.647,0.607,0.713
18,52,521.096,319.788,26.385,517,315,8,9,0.939,10.000,517,323,36.870,7.906,1.241,0.806,0.874
19,76,763.724,320.355,31.799,758,316,12,8,0.944,12.369,758,323,14.036,8.000,1.441,0.694,0.921
20,89,565.478,332.388,34.627,560,327,11,11,0.933,12.806,562,327,128.660,9.899,1.265,0.791,0.908
21,74,832.757,345.243,33.456,828,340,10,11,0.831,11.705,829,340,109.983,9.758,1.222,0.818,0.851
22,57,522.395,348.833,26.971,518,345,9,8,0.985,9.849,518,347,156.038,8.000,1.180,0.848,0.919
23,54,777.815,353.222,26.385,774,349,8,9,0.975,9.487,777,358,71.565,8.000,1.084,0.922,0.900
24,37,472.959,355.230,22.971,468,352,9,6,0.881,9.487,468,356,18.435,6.000,1.560,0.641,0.851
25,30,945.267,356.200,27.556,941,353,10,6,0.496,10.440,941,355,163.301,5.883,1.855,0.539,0.667
26,84,405.774,360.917,34.627,400,356,12,10,0.880,12.649,400,364,18.435,9.839,1.284,0.779,0.884
27,112,1014.571,370.741,37.456,1009,364,11,13,1.000,13.601,1012,377,72.897,11.000,1.152,0.868,0.933
28,35,464.557,389.557,20.385,461,386,7,7,1.000,7.616,463,386,113.199,7.000,1.060,0.943,0.875
29,129,703.205,399.802,54.184,696,392,15,17,0.552,19.416,697,393,124.509,11.571,2.022,0.495,0.746
30,33,384.106,409.227,35.899,375,408,17,3,0.322,17.117,375,408,173.290,3.000,6.215,0.161,0.815
31,59,493.686,416.686,27.799,489,413,10,8,0.959,10.770,489,419,21.801,8.000,1.342,0.745,0.894
32,60,369.917,426.283,27.556,366,422,8,9,0.993,10.630,366,430,41.186,8.000,1.224,0.817,0.938
33,38,871.526,430.421,22.142,868,427,7,7,0.974,8.602,868,428,144.462,7.000,1.161,0.862,0.894
34,99,459.298,462.207,53.355,452,455,14,12,0.437,15.000,455,455,126.870,11.142,1.406,0.711,0.773
35,48,850.688,460.292,25.799,846,456,9,8,0.906,10.000,848,456,126.870,7.071,1.412,0.708,0.873
36,90,373.500,465.289,34.042,368,460,12,10,0.976,13.038,368,462,147.529,9.899,1.327,0.754,0.923
37,44,527.591,465.295,25.556,524,461,7,9,0.847,10.296,525,470,60.945,7.000,1.491,0.671,0.863
38,339,415.966,473.282,110.711,400,464,30,20,0.348,31.321,400,479,16.699,20.000,1.547,0.646,0.743
39,73,452.034,471.158,34.870,447,465,11,12,0.754,13.601,447,466,143.973,7.965,1.867,0.535,0.811
40,616,972.914,504.370,156.995,958,488,28,37,0.314,40.497,959,491,122.905,27.164,1.522,0.657,0.808
41,32,461.000,506.000,19.314,458,503,6,6,1.000,7.211,459,503,123.690,6.000,1.000,1.000,0.941
42,88,613.591,507.409,33.799,608,503,12,9,0.968,13.000,608,504,157.380,9.000,1.310,0.763,0.931
43,70,1110.929,513.014,29.556,1107,508,8,10,1.000,11.662,1108,508,120.964,8.000,1.257,0.796,0.946
44,25,364.260,514.780,23.799,361,511,6,7,0.555,9.220,361,511,130.601,5.883,1.610,0.621,0.685
45,65,1086.731,527.869,28.971,1083,523,8,10,0.973,11.180,1084,533,63.435,8.000,1.302,0.768,0.929
46,57,688.079,529.096,39.698,681,525,14,9,0.455,14.318,681,533,12.095,8.782,1.694,0.590,0.616
47,40,699.900,530.000,23.799,696,526,8,8,0.887,8.602,698,526,125.538,7.589,1.126,0.888,0.816
48,42,689.595,538.881,22.971,686,535,7,8,1.000,8.544,688,535,110.556,7.000,1.128,0.886,0.894
49,37,907.230,565.257,30.627,903,560,8,11,0.496,13.038,904,560,122.471,5.333,3.428,0.292,0.667
50,46,463.761,596.391,24.971,460,592,8,8,0.927,9.434,461,592,122.005,8.000,1.124,0.889,0.868
51,60,528.250,598.150,27.799,524,594,9,9,0.976,10.296,524,601,29.055,8.485,1.219,0.820,0.909
52,31,586.468,606.468,22.142,584,602,5,9,0.795,9.487,585,611,71.565,5.000,2.058,0.486,0.838
53,53,1078.217,615.387,26.142,1074,612,9,7,0.975,10.296,1074,618,29.055,7.000,1.225,0.816,0.922
54,62,511.581,627.161,28.385,507,623,10,8,0.967,10.817,507,630,33.690,8.000,1.272,0.786,0.905
55,147,917.772,630.459,71.255,907,623,20,15,0.364,21.541,907,625,158.199,13.598,1.793,0.558,0.700
56,67,955.739,627.396,29.799,951,623,10,9,0.948,10.440,951,625,163.301,9.000,1.101,0.908,0.899
57,157,615.850,642.309,60.426,606,634,17,16,0.540,18.868,606,640,147.995,15.294,1.138,0.879,0.775
58,54,628.037,647.963,29.213,624,643,8,10,0.795,10.770,625,643,111.801,8.000,1.098,0.911,0.844
59,74,803.595,661.554,36.627,797,657,13,9,0.693,13.928,797,664,21.038,8.222,2.043,0.489,0.809
60,33,406.833,676.742,20.142,403,674,7,6,1.000,8.062,403,675,150.255,6.000,1.283,0.779,0.917
61,40,348.350,683.200,26.971,343,681,11,5,0.691,11.402,343,685,15.255,5.000,2.518,0.397,0.842
62,72,351.181,690.292,35.799,344,686,13,8,0.706,13.928,344,693,21.038,8.000,1.920,0.521,0.837
63,66,886.348,690.561,28.971,882,686,9,9,0.988,10.817,882,694,33.690,9.000,1.200,0.833,0.930
64,95,652.153,692.647,35.799,646,688,12,10,0.932,12.649,646,691,161.565,10.000,1.237,0.808,0.918
65,45,678.656,699.322,24.142,675,695,7,8,0.970,8.944,676,703,63.435,7.000,1.132,0.883,0.909
66,130,784.292,723.700,46.527,778,716,14,14,0.755,16.401,781,716,127.569,12.582,1.267,0.789,0.855
67,75,1024.353,722.047,33.799,1020,717,9,11,0.825,12.083,1021,717,114.444,9.000,1.194,0.837,0.877
68,78,488.936,731.423,54.426,481,726,16,10,0.331,17.464,481,728,156.371,9.475,1.974,0.507,0.647
69,428,764.463,756.991,113.054,746,747,35,19,0.421,35.693,746,760,11.310,18.190,2.332,0.429,0.816
70,75,591.287,762.020,30.971,587,757,9,10,0.983,11.662,588,757,120.964,9.000,1.231,0.812,0.938
71,46,461.217,761.717,24.385,457,758,8,8,0.972,8.602,459,758,125.538,7.778,1.077,0.929,0.885
72,54,505.833,773.611,26.385,501,770,10,7,0.975,10.198,501,772,168.690,7.000,1.342,0.745,0.900
73,48,820.375,774.146,24.728,817,770,7,8,0.986,9.220,817,771,130.601,7.000,1.130,0.885,0.932
74,97,817.356,791.964,36.042,812,786,11,12,0.938,12.369,816,786,104.036,11.000,1.116,0.896,0.898
75,86,645.919,809.221,36.284,640,803,12,12,0.821,13.892,643,803,120.256,9.192,1.759,0.569,0.827
76,33,635.348,812.955,26.971,630,811,11,4,0.570,11.402,630,811,164.745,4.000,3.054,0.327,0.795
77,102,1046.520,818.382,37.456,1040,813,13,11,0.914,13.342,1040,817,167.005,11.000,1.249,0.801,0.895
78,30,893.633,823.800,26.627,890,820,7,7,0.532,8.062,891,820,119.745,7.000,1.178,0.849,0.732
79,46,550.130,827.717,24.385,546,824,8,8,0.972,8.602,548,824,125.538,7.778,1.064,0.940,0.885
80,50,1047.760,832.020,24.971,1044,828,8,8,1.000,9.220,1044,829,130.601,8.000,1.075,0.930,0.901
81,181,815.710,842.362,80.326,807,831,16,22,0.353,23.854,807,852,56.976,14.937,1.842,0.543,0.663
82,58,1031.172,840.948,29.799,1027,836,8,10,0.821,10.198,1030,836,101.310,8.000,1.124,0.890,0.866
83,28,432.357,852.143,22.142,429,849,6,7,0.718,7.810,430,849,129.806,5.814,1.454,0.688,0.789
84,60,821.250,856.433,39.456,816,850,10,11,0.484,12.530,818,850,118.610,8.485,1.507,0.663,0.750
85,75,812.260,863.873,31.799,808,858,9,11,0.932,12.083,809,869,65.556,9.000,1.241,0.806,0.915
86,37,685.959,865.284,30.385,682,862,8,7,0.504,9.220,682,868,40.601,7.000,1.325,0.755,0.755
87,45,667.944,872.433,23.556,664,869,8,7,1.000,8.602,665,869,125.538,7.000,1.114,0.898,0.918
88,34,634.235,877.500,20.142,631,874,6,7,1.000,7.616,633,874,113.199,6.000,1.156,0.865,0.919
89,64,1001.797,891.438,41.698,996,886,12,11,0.463,14.422,996,897,33.690,9.192,1.612,0.620,0.715
90,87,846.339,898.914,51.012,841,891,12,15,0.420,16.553,843,891,115.017,9.300,2.085,0.480,0.734
91,85,488.265,901.053,33.799,483,896,10,11,0.935,12.207,485,906,55.008,10.000,1.161,0.862,0.914
92,61,893.516,909.861,48.770,888,906,14,9,0.322,15.652,888,913,26.565,8.321,2.026,0.494,0.689
93,79,553.259,945.690,32.627,548,940,10,11,0.933,11.705,552,940,109.983,10.000,1.111,0.900,0.883
94,76,653.632,967.053,31.556,648,963,11,8,0.959,11.705,648,966,160.017,8.000,1.334,0.750,0.944
