 ,Area,X,Y,Perim.,BX,BY,Width,Height,Circ.,Feret,FeretX,FeretY,FeretAngle,MinFeret,AR,Round,Solidity
1,48,631.854,125.125,41.113,627,120,9,10,0.357,10.296,627,127,29.055,8.321,1.301,0.769,0.701
2,81,559.574,163.154,32.627,555,157,9,12,0.956,12.166,558,169,80.538,9.000,1.212,0.825,0.905
3,55,726.282,165.173,32.627,722,161,9,9,0.649,10.817,722,168,33.690,8.485,1.281,0.780,0.827
4,58,759.293,209.259,30.042,755,205,9,9,0.808,10.296,757,205,119.055,8.944,1.088,0.919,0.853
5,36,493.972,213.750,36.627,489,211,11,7,0.337,11.180,489,211,169.695,7.000,1.406,0.711,0.621
6,42,441.690,225.738,29.213,438,222,8,8,0.618,9.434,438,228,32.005,7.845,1.099,0.910,0.792
7,34,935.324,230.324,24.142,932,227,6,8,0.733,8.944,933,227,116.565,6.000,1.391,0.719,0.840
8,249,452.773,238.596,77.598,437,230,28,16,0.520,28.460,437,242,18.435,15.651,1.989,0.503,0.785
9,53,557.821,234.896,26.385,554,230,8,9,0.957,10.296,556,230,119.055,7.778,1.310,0.763,0.906
10,808,905.588,256.449,179.380,881,238,48,33,0.316,48.042,881,257,177.614,26.061,1.962,0.510,0.771
11,43,488.174,245.709,23.556,485,242,7,8,0.974,8.944,486,250,63.435,7.000,1.156,0.865,0.896
12,202,649.144,254.767,78.326,640,246,22,16,0.414,24.166,640,261,24.444,16.000,1.334,0.750,0.735
13,62,463.516,258.194,27.556,459,254,9,8,1.000,10.296,459,256,150.945,8.000,1.163,0.860,0.939
14,54,477.111,264.537,26.042,473,260,9,9,1.000,9.849,475,260,113.962,7.778,1.181,0.847,0.878
15,46,852.500,275.696,24.385,849,271,7,9,0.972,9.487,851,271,108.435,7.000,1.298,0.770,0.893
16,49,727.949,281.990,42.284,722,274,10,17,0.344,19.723,722,274,120.466,4.824,5.327,0.188,0.645
17,43,744.593,284.174,26.971,741,280,8,9,0.743,11.402,741,280,127.875,6.708,1.998,0.501,0.804
18,65,372.054,294.300,28.385,368,289,8,10,1.000,10.817,369,299,56.310,8.000,1.223,0.818,0.929
19,25,834.140,305.980,20.728,832,303,5,6,0.731,7.211,832,303,123.690,5.000,1.351,0.740,0.862
20,78,928.038,310.038,32.627,923,305,10,10,0.921,12.207,923,307,145.008,9.803,1.203,0.831,0.907
21,132,519.886,332.311,51.113,512,326,16,13,0.635,17.464,512,335,23.629,11.813,1.501,0.666,0.846
22,27,723.167,356.685,22.142,720,354,6,6,0.692,7.211,721,354,123.690,6.000,1.190,0.841,0.818
23,40,880.850,359.025,31.456,877,355,7,9,0.508,9.487,881,364,71.565,7.000,1.213,0.824,0.784
24,54,309.370,367.741,35.213,306,361,7,12,0.547,12.369,308,361,104.036,7.000,1.872,0.534,0.777
25,175,462.837,379.254,65.012,456,369,16,21,0.520,22.672,457,390,48.576,13.435,1.802,0.555,0.763
26,32,751.344,377.750,22.971,749,374,6,8,0.762,8.544,750,374,110.556,6.000,1.639,0.610,0.800
