 ,Area,X,Y,Perim.,BX,BY,Width,Height,Circ.,Feret,FeretX,FeretY,FeretAngle,MinFeret,AR,Round,Solidity
1,42,856.929,355.643,23.556,853,352,8,7,0.951,10.000,853,359,36.870,6.364,1.607,0.622,0.913
2,44,623.136,368.841,24.142,620,364,6,9,0.949,9.849,622,364,113.962,6.000,1.424,0.702,0.926
3,99,894.975,434.096,42.627,890,426,9,16,0.685,17.088,891,426,110.556,8.713,2.171,0.461,0.832
4,28,752.786,446.714,19.556,750,443,6,7,0.920,8.062,751,443,119.745,5.657,1.513,0.661,0.848
5,210,538.886,488.314,90.569,528,477,19,25,0.322,28.302,532,477,122.005,15.209,2.139,0.468,0.665
6,35,935.186,491.129,21.556,931,488,8,6,0.947,8.944,931,493,26.565,5.814,1.622,0.617,0.886
7,56,987.839,512.679,27.213,984,508,8,10,0.950,10.198,986,508,101.310,8.000,1.234,0.810,0.875
8,51,588.461,524.814,25.556,584,521,9,7,0.981,9.849,584,523,156.038,7.000,1.387,0.721,0.911
9,39,870.038,531.936,22.142,866,529,8,6,1.000,8.944,866,530,153.435,6.000,1.430,0.699,0.918
10,35,459.729,576.929,20.728,456,574,7,6,1.000,7.810,457,574,129.806,6.000,1.129,0.885,0.921
11,48,1252.250,581.625,35.799,1248,574,7,14,0.471,14.142,1251,588,81.870,7.000,2.414,0.414,0.686
12,36,1010.639,588.111,20.728,1007,585,7,6,1.000,8.062,1007,590,29.745,6.000,1.186,0.843,0.935
13,48,796.938,594.479,24.971,793,590,8,8,0.967,9.434,795,590,122.005,7.603,1.262,0.792,0.906
14,35,657.643,613.300,21.556,654,610,7,7,0.947,8.062,654,611,150.255,7.000,1.071,0.934,0.854
15,33,835.167,628.318,20.971,831,625,8,6,0.943,8.544,831,630,20.556,6.000,1.397,0.716,0.868
16,39,898.090,663.269,22.142,895,659,6,8,1.000,9.220,895,660,130.601,6.000,1.340,0.746,0.918
17,37,1099.959,663.095,21.556,1097,659,6,8,1.000,8.602,1098,667,54.462,6.000,1.270,0.787,0.892
18,95,1016.584,672.932,44.042,1011,666,13,13,0.615,17.029,1011,678,40.236,10.286,1.874,0.534,0.782
19,64,871.312,673.406,28.971,867,669,9,9,0.958,12.042,867,669,131.634,8.485,1.397,0.716,0.921
20,83,1007.367,684.596,45.113,1002,677,11,15,0.512,15.133,1006,692,82.405,10.505,1.708,0.585,0.700
21,30,964.400,713.367,20.728,960,711,8,5,0.877,8.602,961,711,144.462,5.000,1.788,0.559,0.870
22,37,1025.203,718.851,22.385,1021,715,8,7,0.928,9.434,1021,717,147.995,6.364,1.583,0.632,0.860
23,253,959.374,726.425,97.154,948,718,23,19,0.337,26.907,949,736,41.987,16.100,1.894,0.528,0.738
24,34,977.647,748.647,21.556,973,746,9,5,0.919,9.220,973,748,167.471,5.000,1.704,0.587,0.895
25,25,1057.900,782.540,17.314,1055,780,6,5,1.000,6.708,1055,781,153.435,5.000,1.147,0.872,0.909
26,49,642.724,808.296,25.799,638,804,9,8,0.925,10.000,639,812,36.870,7.071,1.417,0.706,0.883
27,108,598.481,837.870,49.941,590,832,17,11,0.544,17.464,590,837,166.759,10.864,1.753,0.570,0.745
28,34,934.676,840.676,20.971,931,837,7,7,0.972,9.220,932,837,130.601,5.657,1.691,0.591,0.883
29,30,598.733,848.100,24.971,595,843,7,9,0.605,9.849,596,852,66.038,5.367,2.396,0.417,0.714
30,61,969.484,849.369,27.799,965,845,9,9,0.992,10.296,965,847,150.945,8.485,1.172,0.853,0.910
31,56,1038.768,848.696,28.385,1034,845,10,8,0.873,11.180,1034,852,26.565,7.589,1.518,0.659,0.882
32,43,854.663,892.733,23.556,851,889,7,8,0.974,9.220,852,889,130.601,7.000,1.324,0.755,0.905
33,43,1084.291,897.174,24.627,1080,893,9,8,0.891,10.817,1080,894,146.310,5.657,2.051,0.488,0.869
34,585,929.881,925.098,153.924,915,906,27,36,0.310,40.249,919,906,116.565,27.000,1.373,0.728,0.734
35,57,947.044,916.325,30.385,943,911,8,11,0.776,12.530,943,911,118.610,7.562,1.700,0.588,0.844
36,264,635.508,932.223,102.711,625,922,22,26,0.314,26.926,625,923,111.801,19.021,1.392,0.719,0.647
37,26,951.000,925.500,17.314,948,923,6,5,1.000,6.708,948,924,153.435,5.000,1.184,0.845,0.929
38,215,948.695,938.821,92.468,938,928,24,24,0.316,31.890,940,952,48.814,15.133,2.578,0.388,0.658
39,30,860.967,934.333,19.556,858,931,6,7,0.986,8.602,858,931,125.538,5.657,1.648,0.607,0.882
40,80,925.675,948.337,34.627,921,942,11,11,0.838,14.866,921,942,132.274,8.485,1.733,0.577,0.909
41,27,750.759,965.241,18.142,748,962,6,6,1.000,7.211,748,968,33.690,5.657,1.223,0.818,0.900
42,45,1016.367,967.056,24.142,1013,963,7,8,0.970,10.000,1013,963,126.870,7.000,1.450,0.690,0.928
43,35,907.414,976.186,20.728,904,973,7,6,1.000,8.062,904,974,150.255,6.000,1.189,0.841,0.921
