 ,Area,X,Y,Perim.,BX,BY,Width,Height,Circ.,Feret,FeretX,FeretY,FeretAngle,MinFeret,AR,Round,Solidity
1,117,590.209,104.483,48.527,584,96,13,16,0.624,18.868,587,96,122.005,10.505,1.836,0.545,0.815
2,39,618.808,112.346,27.556,615,109,7,7,0.645,9.899,615,109,135.000,7.000,1.267,0.789,0.839
3,49,729.520,115.459,25.556,726,111,7,9,0.943,9.849,727,111,113.962,7.000,1.361,0.735,0.899
4,45,763.344,133.500,24.971,760,129,7,9,0.907,10.000,760,130,126.870,7.000,1.455,0.687,0.882
5,95,643.742,139.479,53.355,637,132,13,15,0.419,17.205,639,146,54.462,9.899,2.071,0.483,0.712
6,51,539.833,141.422,35.698,535,137,9,10,0.503,10.198,538,137,101.310,9.000,1.119,0.894,0.745
7,68,817.662,147.324,30.627,812,143,11,9,0.911,12.083,812,145,155.556,8.944,1.367,0.732,0.872
8,48,488.417,153.083,33.213,484,149,8,9,0.547,10.296,485,149,119.055,8.000,1.372,0.729,0.780
9,46,652.891,152.391,26.971,648,149,9,7,0.795,10.296,648,150,150.945,7.000,1.477,0.677,0.844
10,43,626.779,163.244,31.213,623,159,7,10,0.555,10.440,625,169,73.301,7.000,1.469,0.681,0.748
11,154,570.448,171.916,72.426,563,160,13,24,0.369,24.515,566,184,78.232,11.571,2.573,0.389,0.684
12,52,673.000,166.731,32.385,668,163,9,8,0.623,10.817,668,164,146.310,8.000,1.292,0.774,0.839
13,39,705.833,175.064,28.627,702,171,7,9,0.598,9.487,704,180,71.565,7.000,1.283,0.779,0.765
14,64,624.938,178.859,32.627,620,173,9,11,0.755,11.705,622,184,70.017,8.944,1.351,0.740,0.837
15,241,841.172,192.118,93.296,828,180,25,20,0.348,25.179,828,194,6.843,17.734,1.495,0.669,0.710
16,54,782.019,194.852,26.728,778,191,8,8,0.950,10.000,779,199,53.130,8.000,1.077,0.928,0.923
17,54,696.889,198.426,26.971,693,194,8,9,0.933,9.849,695,194,113.962,8.000,1.247,0.802,0.893
18,35,764.814,197.329,24.971,761,194,7,7,0.705,8.602,762,194,125.538,6.708,1.393,0.718,0.833
19,56,616.071,199.375,27.799,611,195,9,9,0.911,9.849,614,204,66.038,8.944,1.051,0.951,0.862
20,41,394.793,207.720,25.799,392,203,6,9,0.774,9.487,393,203,108.435,6.000,1.525,0.656,0.872
21,33,796.136,210.712,27.213,793,206,6,10,0.560,10.817,793,207,123.690,5.261,2.370,0.422,0.742
22,36,765.111,220.000,27.213,761,216,7,9,0.611,9.849,763,216,113.962,6.708,1.603,0.624,0.742
23,177,638.958,232.285,64.770,631,221,18,19,0.530,21.260,634,221,131.186,15.657,1.549,0.645,0.725
24,268,861.683,227.836,70.426,850,221,25,15,0.679,26.571,850,232,19.799,15.000,1.768,0.566,0.874
25,110,527.300,229.600,41.355,520,223,14,14,0.808,16.125,520,233,29.745,9.545,1.772,0.564,0.840
26,33,904.379,226.712,22.971,901,223,7,7,0.786,8.602,903,223,125.538,6.548,1.376,0.727,0.805
27,53,515.311,227.802,26.385,511,224,9,8,0.957,9.434,513,232,57.995,8.000,1.027,0.974,0.891
28,57,892.272,229.535,27.799,888,225,9,9,0.927,10.817,888,226,146.310,7.778,1.401,0.714,0.891
29,225,882.211,237.496,75.740,872,227,22,18,0.493,24.759,876,227,133.363,16.878,1.584,0.631,0.754
30,152,815.612,237.316,69.255,806,228,18,19,0.398,26.173,806,247,46.548,10.353,2.847,0.351,0.766
31,35,597.529,237.500,22.385,593,234,8,7,0.878,10.000,593,235,143.130,5.657,1.926,0.519,0.854
32,266,552.722,248.726,95.640,541,239,24,20,0.365,25.495,542,242,154.440,17.278,1.768,0.566,0.789
33,57,388.272,244.114,28.971,384,240,8,9,0.853,10.000,384,241,143.130,8.000,1.141,0.876,0.891
34,38,592.579,244.263,24.385,589,240,7,9,0.803,9.220,591,240,102.529,6.641,1.564,0.639,0.776
35,38,764.368,242.658,24.971,760,240,9,6,0.766,9.849,760,241,156.038,6.000,1.683,0.594,0.826
36,57,776.061,244.325,26.971,772,240,8,9,0.985,10.296,774,249,60.945,8.000,1.252,0.799,0.919
37,43,933.709,246.081,24.142,930,242,7,8,0.927,9.434,931,242,122.005,6.957,1.366,0.732,0.887
38,55,744.209,254.609,40.870,738,249,12,12,0.414,15.620,739,249,129.806,6.364,3.225,0.310,0.659
39,42,930.929,256.786,25.799,927,253,8,8,0.793,9.434,927,254,147.995,7.488,1.383,0.723,0.808
40,43,788.360,259.151,32.042,783,254,10,11,0.526,14.213,783,254,129.289,5.080,3.674,0.272,0.705
41,187,486.045,267.131,78.569,478,256,15,26,0.381,28.231,480,256,112.932,13.252,2.559,0.391,0.694
42,46,568.413,261.500,24.627,564,257,8,9,0.953,9.487,567,266,71.565,7.071,1.252,0.799,0.876
43,194,940.180,267.412,85.497,933,257,18,19,0.334,21.471,937,257,117.759,17.385,1.407,0.711,0.702
44,37,912.041,261.419,21.314,909,258,6,7,1.000,8.062,910,258,119.745,6.000,1.139,0.878,0.937
45,39,826.269,266.115,22.971,822,263,8,7,0.929,8.944,822,264,153.435,7.000,1.351,0.740,0.857
46,56,876.607,268.232,26.971,872,264,9,8,0.967,10.000,873,272,53.130,8.000,1.127,0.887,0.911
47,56,696.107,269.571,26.971,692,265,8,9,0.967,9.849,694,265,113.962,8.000,1.216,0.822,0.911
48,29,802.431,268.776,22.385,799,265,6,8,0.727,8.246,801,265,104.036,5.942,1.561,0.641,0.784
49,29,422.948,268.741,23.556,419,266,7,7,0.657,8.062,420,266,119.745,6.800,1.280,0.781,0.734
50,37,812.932,269.203,26.971,809,266,8,7,0.639,8.485,809,267,135.000,7.000,1.088,0.919,0.804
51,78,373.038,275.987,32.627,368,271,10,11,0.921,11.705,372,282,70.017,9.899,1.129,0.885,0.897
52,28,952.536,278.286,23.556,950,274,6,8,0.634,8.544,951,274,110.556,5.821,1.755,0.570,0.757
53,52,786.462,283.327,25.556,783,279,7,9,1.000,9.849,784,279,113.962,7.000,1.302,0.768,0.929
54,33,604.742,289.136,23.556,601,286,7,7,0.747,8.602,602,286,125.538,6.364,1.421,0.704,0.805
55,44,642.000,289.500,22.971,638,286,8,7,1.000,8.544,638,288,159.444,7.000,1.118,0.894,0.917
56,340,393.009,300.053,115.196,381,287,24,30,0.322,34.409,382,287,125.538,21.198,1.643,0.609,0.666
57,31,736.113,291.694,22.728,733,288,6,8,0.754,9.434,733,288,122.005,5.376,1.963,0.509,0.795
58,45,722.389,296.967,24.971,719,293,7,9,0.907,9.487,720,293,108.435,7.000,1.300,0.769,0.891
59,38,837.895,298.026,22.142,835,294,6,8,0.974,8.544,836,302,69.444,6.000,1.278,0.782,0.905
60,32,893.969,297.188,29.556,890,294,7,7,0.460,8.062,892,294,119.745,7.000,1.173,0.853,0.771
61,79,858.234,306.285,41.698,852,300,12,12,0.571,14.213,853,311,39.289,8.707,1.864,0.536,0.763
62,27,666.389,304.167,22.728,663,301,6,8,0.657,9.434,663,301,122.005,5.400,1.922,0.520,0.761
63,47,445.798,306.628,33.456,440,302,11,9,0.528,11.705,440,307,19.983,8.489,1.644,0.608,0.648
64,34,413.265,306.000,22.385,409,303,8,7,0.853,9.220,410,303,130.601,6.000,1.732,0.577,0.810
65,46,493.087,314.913,33.456,488,311,9,8,0.516,9.487,488,316,18.435,8.000,1.077,0.929,0.793
66,453,672.866,329.994,119.782,659,311,27,34,0.397,35.171,669,345,75.174,24.407,1.545,0.647,0.742
67,31,742.145,315.306,19.556,739,312,6,7,1.000,8.062,740,312,119.745,5.657,1.429,0.700,0.899
68,60,482.250,319.017,28.142,478,315,9,8,0.952,10.000,478,316,143.130,8.000,1.064,0.940,0.923
69,52,842.000,318.923,25.556,838,315,8,8,1.000,9.434,838,316,147.995,8.000,1.067,0.938,0.920
70,44,551.886,323.091,26.385,548,319,7,9,0.794,9.487,550,319,108.435,7.000,1.257,0.795,0.830
71,37,865.716,327.230,22.142,862,324,7,7,0.948,9.220,862,324,130.601,6.364,1.503,0.665,0.902
72,27,418.093,328.685,20.385,414,326,8,6,0.817,8.944,414,327,153.435,4.472,2.214,0.452,0.818
73,53,468.142,331.179,25.556,464,327,8,8,1.000,9.434,464,329,147.995,8.000,1.055,0.948,0.930
74,41,933.159,337.646,24.971,930,333,6,9,0.826,9.487,931,342,71.565,6.000,1.476,0.677,0.863
75,178,334.792,348.747,71.497,324,340,20,16,0.438,20.616,324,350,165.964,15.674,1.509,0.662,0.751
76,46,518.152,343.043,28.971,513,340,9,7,0.689,10.000,514,340,143.130,7.000,1.420,0.704,0.876
77,33,927.076,344.985,21.314,924,342,7,6,0.913,8.062,924,343,150.255,6.000,1.191,0.839,0.892
78,52,498.481,347.731,30.042,494,343,10,9,0.724,11.662,494,345,149.036,8.384,1.583,0.632,0.776
79,53,656.538,347.613,26.385,652,344,9,8,0.957,9.487,652,349,18.435,8.000,1.067,0.937,0.891
80,41,739.329,348.207,25.213,736,344,7,9,0.810,9.487,737,344,108.435,6.791,1.505,0.664,0.828
81,57,601.061,350.272,26.385,597,346,8,9,1.000,10.296,598,346,119.055,8.000,1.244,0.804,0.919
82,62,962.500,351.742,28.142,959,347,7,10,0.984,10.770,960,347,111.801,7.000,1.392,0.718,0.954
83,30,792.367,351.267,20.971,789,348,6,7,0.857,8.062,790,348,119.745,6.000,1.440,0.694,0.833
84,97,357.572,357.500,40.870,351,351,11,13,0.730,14.213,351,353,129.289,11.000,1.266,0.790,0.843
85,93,665.403,369.575,47.355,659,363,12,15,0.521,17.804,660,364,128.157,10.118,2.152,0.465,0.741
86,35,554.014,371.671,22.385,550,368,7,8,0.878,8.944,552,368,116.565,6.261,1.574,0.635,0.824
87,34,707.088,373.059,23.556,703,370,7,7,0.770,8.602,705,377,54.462,7.000,1.113,0.899,0.829
88,37,609.068,374.473,25.213,605,371,8,7,0.731,8.544,605,373,159.444,6.957,1.393,0.718,0.813
89,34,544.647,386.647,23.799,540,383,8,8,0.754,9.434,542,383,122.005,5.657,1.898,0.527,0.773
90,26,848.038,386.731,19.556,845,383,6,7,0.854,7.810,845,384,129.806,4.919,1.660,0.602,0.825
91,46,891.522,385.674,42.485,881,384,20,3,0.320,20.224,881,387,8.531,3.000,7.744,0.129,0.868
92,55,796.555,390.391,26.385,793,386,8,9,0.993,9.849,794,386,113.962,8.000,1.185,0.844,0.917
93,45,533.656,394.389,32.042,529,390,9,8,0.551,10.296,529,392,150.945,7.778,1.450,0.689,0.789
94,50,467.640,396.820,29.213,462,392,10,9,0.736,10.817,465,392,123.690,7.155,1.584,0.632,0.781
95,59,433.975,397.653,28.385,430,393,8,10,0.920,10.440,433,403,73.301,8.000,1.199,0.834,0.887
96,30,838.333,399.033,22.971,835,396,6,7,0.714,8.062,836,396,119.745,6.000,1.381,0.724,0.811
97,39,770.064,418.962,24.385,766,415,7,8,0.824,10.000,767,415,126.870,6.499,1.642,0.609,0.857
98,44,860.773,418.955,23.556,857,415,7,8,0.996,8.602,859,415,125.538,7.000,1.170,0.855,0.898
99,47,983.798,420.883,28.385,978,417,10,8,0.733,11.662,978,417,149.036,7.727,1.525,0.656,0.797
100,53,975.198,424.425,27.213,971,420,8,9,0.899,9.849,973,420,113.962,8.000,1.241,0.806,0.862
101,52,958.962,427.308,26.971,955,423,8,9,0.898,10.296,956,423,119.055,8.000,1.289,0.776,0.860
102,42,607.667,430.262,34.042,603,426,10,9,0.455,10.817,603,427,146.310,8.485,1.535,0.652,0.641
103,44,901.500,430.864,24.728,898,427,7,8,0.904,10.000,898,427,126.870,6.791,1.425,0.702,0.898
104,224,309.799,447.112,94.225,296,435,23,21,0.317,25.060,296,452,28.610,17.302,1.566,0.639,0.697
105,112,368.089,444.232,67.255,362,435,11,21,0.311,21.587,366,435,103.392,11.000,2.689,0.372,0.622
106,106,552.745,444.594,45.355,546,437,13,15,0.648,15.811,549,451,55.305,10.536,1.808,0.553,0.806
107,34,694.853,444.059,24.385,692,440,6,8,0.719,8.944,692,448,63.435,6.000,1.570,0.637,0.800
108,44,577.364,448.341,28.870,573,444,8,9,0.663,9.487,575,453,71.565,7.778,1.090,0.918,0.786
109,64,448.547,453.062,29.213,444,448,9,10,0.942,10.440,447,458,73.301,9.000,1.091,0.916,0.883
110,57,953.167,452.202,27.213,948,448,10,8,0.967,10.440,948,451,163.301,8.000,1.285,0.778,0.884
111,132,490.727,460.568,48.870,485,451,10,20,0.695,20.224,491,451,98.531,10.000,1.798,0.556,0.883
112,49,572.071,460.031,24.971,568,456,8,8,0.988,8.944,570,456,116.565,8.000,1.085,0.921,0.899
113,32,733.125,460.094,20.142,730,457,6,7,0.991,7.616,731,457,113.199,6.000,1.179,0.848,0.889
114,46,526.283,462.196,25.213,522,458,8,9,0.909,9.220,525,458,102.529,7.778,1.135,0.881,0.852
115,36,401.056,464.694,26.385,397,461,7,8,0.650,10.000,397,461,126.870,6.641,1.659,0.603,0.758
116,46,926.043,467.935,25.799,922,464,8,8,0.868,9.434,923,464,122.005,7.589,1.328,0.753,0.876
117,45,752.211,471.433,24.142,748,468,8,7,0.970,9.434,748,469,147.995,7.000,1.265,0.790,0.918
118,26,461.000,472.269,19.314,457,470,8,4,0.876,8.246,457,472,165.964,4.000,2.019,0.495,0.929
119,40,915.375,474.375,24.627,912,470,7,9,0.829,9.220,914,470,102.529,6.957,1.387,0.721,0.825
120,77,290.565,481.955,41.456,284,476,12,13,0.563,15.264,285,476,121.608,8.321,2.210,0.452,0.716
121,59,993.720,481.144,28.971,989,477,9,8,0.883,10.817,989,478,146.310,8.000,1.128,0.886,0.901
122,26,926.423,485.962,21.556,923,482,6,8,0.703,8.544,925,482,110.556,5.400,1.827,0.547,0.743
123,40,939.850,487.375,22.971,937,483,6,9,0.953,9.055,939,483,96.340,6.000,1.308,0.765,0.879
124,58,408.655,490.655,35.456,404,486,9,10,0.580,10.817,405,487,123.690,9.000,1.219,0.821,0.789
125,31,764.984,492.887,26.385,761,489,7,8,0.560,8.602,763,489,125.538,6.800,1.529,0.654,0.705
126,33,906.076,493.621,25.799,902,490,7,8,0.623,9.220,902,491,130.601,6.517,1.634,0.612,0.742
127,28,323.214,493.821,21.556,319,491,8,6,0.757,8.944,319,493,153.435,5.376,1.903,0.526,0.789
128,59,492.992,498.263,29.213,488,493,9,10,0.869,10.770,491,503,68.199,8.944,1.145,0.873,0.868
129,66,357.470,499.394,29.213,353,494,9,10,0.972,10.440,357,494,106.699,9.000,1.071,0.934,0.892
130,40,588.875,498.450,26.385,585,495,7,8,0.722,8.944,586,495,116.565,7.000,1.276,0.784,0.842
131,58,468.897,499.586,30.385,464,496,10,8,0.789,10.630,466,504,48.814,8.000,1.173,0.852,0.859
132,61,342.959,503.189,27.799,339,498,8,10,0.992,10.440,342,498,106.699,8.000,1.180,0.848,0.904
133,38,459.474,504.447,26.627,454,501,10,8,0.673,10.817,454,503,146.310,5.824,2.254,0.444,0.731
134,60,374.850,507.600,35.456,370,503,9,10,0.600,10.770,373,513,68.199,9.000,1.161,0.861,0.822
135,453,552.171,517.266,122.368,537,506,31,23,0.380,33.615,537,520,22.751,22.269,1.378,0.725,0.810
136,61,302.303,512.254,38.284,297,508,10,9,0.523,10.817,299,508,123.690,9.000,1.246,0.803,0.819
