 ,Area,X,Y,Perim.,BX,BY,Width,Height,Circ.,Feret,FeretX,FeretY,FeretAngle,MinFeret,AR,Round,Solidity
1,54,698.574,108.778,26.627,694,104,9,9,0.957,9.849,694,111,23.962,7.778,1.231,0.812,0.885
2,43,774.081,142.523,22.971,770,139,8,7,1.000,8.544,770,144,20.556,7.000,1.085,0.921,0.905
3,49,875.684,182.214,25.799,871,178,9,8,0.925,9.220,871,182,167.471,8.000,1.117,0.896,0.867
4,116,689.802,198.603,50.770,682,190,15,16,0.566,19.209,682,203,38.660,9.899,2.023,0.494,0.781
5,57,856.149,207.412,27.799,852,202,8,10,0.927,10.440,855,202,106.699,8.000,1.229,0.814,0.884
6,53,581.387,219.198,25.799,577,215,9,8,1.000,10.000,578,223,36.870,7.778,1.244,0.804,0.898
7,36,736.222,232.250,21.556,733,229,7,7,0.974,8.062,734,229,119.745,7.000,1.105,0.905,0.878
8,400,403.850,244.980,123.196,390,231,26,25,0.331,30.806,396,256,54.246,22.870,1.166,0.858,0.771
9,42,450.833,237.095,25.556,447,234,8,7,0.808,8.944,447,235,153.435,7.000,1.137,0.880,0.857
10,53,873.274,242.783,35.213,869,238,10,10,0.537,10.770,871,238,111.801,9.604,1.174,0.851,0.693
11,50,670.680,245.140,26.142,666,242,9,7,0.919,9.487,666,244,161.565,7.000,1.311,0.763,0.901
12,29,429.845,250.534,21.556,427,247,6,8,0.784,8.246,430,255,75.964,5.942,1.484,0.674,0.784
13,45,596.744,251.278,24.385,593,247,8,8,0.951,9.434,593,254,32.005,7.071,1.292,0.774,0.882
14,26,670.731,253.000,17.556,668,250,6,6,1.000,6.708,669,250,116.565,5.814,1.121,0.892,0.867
15,28,470.857,257.071,20.142,468,254,6,7,0.867,7.616,470,261,66.801,6.000,1.303,0.768,0.824
16,42,905.405,257.976,23.556,902,254,7,8,0.951,8.944,903,254,116.565,7.000,1.267,0.789,0.884
17,267,622.773,268.665,94.468,609,258,24,20,0.376,27.803,611,276,37.694,18.700,1.460,0.685,0.746
18,231,424.496,273.846,68.426,416,264,17,20,0.620,22.627,416,265,135.000,15.890,1.156,0.865,0.835
19,26,644.000,266.500,17.314,641,264,6,5,1.000,6.708,641,265,153.435,5.000,1.184,0.845,0.929
20,51,848.853,268.186,24.971,845,264,8,8,1.000,9.434,845,271,32.005,8.000,1.132,0.883,0.911
21,107,575.379,277.874,52.527,570,271,10,15,0.487,17.000,572,286,61.928,10.000,1.644,0.608,0.781
22,43,764.686,284.105,22.971,761,280,7,8,1.000,8.944,763,280,116.565,7.000,1.206,0.829,0.896
23,26,776.962,284.115,21.556,774,280,6,7,0.703,8.602,774,287,54.462,6.000,1.402,0.713,0.776
24,50,684.400,291.880,24.728,681,288,7,8,1.000,9.434,682,296,57.995,7.000,1.158,0.864,0.952
25,44,472.068,296.000,24.385,468,292,8,8,0.930,9.434,468,294,147.995,7.589,1.274,0.785,0.854
26,28,729.643,299.000,18.485,727,296,5,6,1.000,7.211,728,296,123.690,5.000,1.199,0.834,0.966
27,75,625.487,311.180,40.527,618,306,13,11,0.574,13.601,618,310,162.897,9.303,1.630,0.614,0.765
28,51,422.088,311.382,26.385,418,307,8,9,0.921,10.000,418,308,126.870,7.766,1.307,0.765,0.879
29,26,443.423,318.577,18.728,440,315,6,6,0.932,7.211,440,320,33.690,6.000,1.252,0.799,0.881
30,93,367.565,322.801,40.284,361,318,13,11,0.720,14.318,361,318,155.225,11.000,1.317,0.759,0.845
31,45,685.322,325.522,24.142,681,322,8,7,0.970,8.944,681,327,26.565,7.000,1.166,0.858,0.909
32,150,786.427,329.360,63.012,776,322,22,14,0.475,24.597,776,336,26.565,9.544,3.037,0.329,0.781
33,47,648.053,329.053,25.213,644,325,9,8,0.929,9.220,644,328,167.471,7.778,1.152,0.868,0.870
34,40,408.475,329.725,22.142,405,326,7,7,1.000,8.602,405,332,35.538,7.000,1.080,0.926,0.909
35,38,433.395,331.316,25.556,430,328,7,7,0.731,9.220,430,328,130.601,7.000,1.134,0.882,0.864
36,175,703.077,354.346,62.426,692,348,20,13,0.564,21.541,692,350,158.199,13.000,1.765,0.567,0.827
37,53,565.085,358.594,26.385,561,354,8,9,0.957,10.296,562,363,60.945,7.778,1.337,0.748,0.898
38,62,360.242,368.629,29.213,355,364,10,9,0.913,10.770,355,370,21.801,9.000,1.094,0.914,0.867
39,76,375.605,368.921,33.799,371,364,9,12,0.836,12.649,372,364,108.435,9.000,1.350,0.740,0.869
40,207,815.944,386.123,72.083,807,374,17,23,0.501,23.601,807,394,53.616,16.641,1.549,0.645,0.743
41,25,999.260,382.820,20.728,995,381,9,4,0.731,9.487,995,384,18.435,4.000,2.273,0.440,0.877
42,46,990.457,387.348,25.556,987,383,7,9,0.885,9.849,989,392,66.038,7.000,1.393,0.718,0.868
43,38,593.000,387.000,22.142,589,384,8,6,0.974,8.944,589,385,153.435,6.000,1.334,0.749,0.905
44,38,423.000,388.632,21.899,420,385,6,7,0.996,8.602,421,385,125.538,6.000,1.215,0.823,0.950
45,66,843.091,394.636,32.627,838,390,11,10,0.779,12.207,840,400,55.008,8.043,1.424,0.702,0.835
46,54,483.500,396.148,26.971,479,392,9,8,0.933,10.000,481,392,126.870,8.000,1.187,0.843,0.893
47,51,340.735,400.598,25.799,337,396,8,9,0.963,9.849,339,396,113.962,8.000,1.231,0.813,0.872
48,442,490.400,421.941,118.267,472,408,34,32,0.397,39.825,477,408,128.884,19.068,2.530,0.395,0.719
49,66,686.561,413.212,30.385,681,409,11,8,0.898,11.705,681,416,19.983,8.000,1.467,0.682,0.898
50,26,833.346,412.462,18.971,830,409,6,7,0.908,7.280,832,409,105.945,5.657,1.293,0.774,0.825
51,26,631.462,422.308,18.728,629,419,5,7,0.932,7.616,630,419,113.199,5.000,1.454,0.688,0.867
52,50,944.960,433.980,44.284,940,429,10,10,0.320,12.806,940,429,141.340,8.516,1.532,0.653,0.633
53,31,561.726,436.177,22.385,558,433,8,6,0.777,8.544,558,434,159.444,5.692,1.653,0.605,0.805
54,36,886.417,446.222,21.556,883,442,6,8,0.974,8.544,885,450,69.444,6.000,1.391,0.719,0.900
55,59,920.364,448.822,27.556,917,444,7,10,0.976,10.770,918,444,111.801,7.000,1.410,0.709,0.937
56,45,938.656,458.056,24.142,935,454,7,8,0.970,9.434,936,462,57.995,7.000,1.254,0.797,0.909
57,53,317.292,462.670,26.142,314,458,7,9,0.975,10.296,314,467,60.945,7.000,1.337,0.748,0.938
58,145,499.555,466.459,44.042,494,459,11,16,0.939,16.492,497,459,104.036,11.000,1.387,0.721,0.951
59,35,490.071,474.014,22.971,487,470,7,8,0.834,8.544,488,470,110.556,7.000,1.274,0.785,0.805
60,44,445.864,479.932,24.142,443,475,6,9,0.949,9.849,444,475,113.962,6.000,1.462,0.684,0.926
61,42,745.881,483.405,22.971,742,480,8,7,1.000,8.544,742,485,20.556,7.000,1.128,0.886,0.894
62,54,387.370,490.370,26.971,383,486,8,9,0.933,10.296,385,486,119.055,7.603,1.360,0.735,0.900
63,40,857.325,496.950,22.728,853,494,8,6,0.973,8.602,854,494,144.462,6.000,1.223,0.818,0.920
64,32,692.062,502.219,20.142,689,499,7,6,0.991,7.810,690,499,129.806,6.000,1.215,0.823,0.901
65,37,535.500,505.500,20.971,532,502,7,7,1.000,7.616,534,502,113.199,7.000,1.000,1.000,0.902
66,33,764.470,519.924,20.142,761,517,7,6,1.000,8.062,761,522,29.745,6.000,1.344,0.744,0.904
67,32,755.156,527.156,19.556,752,524,7,6,1.000,7.616,752,525,156.801,6.000,1.227,0.815,0.889
68,35,519.443,536.157,21.314,516,533,7,6,0.968,8.602,516,534,144.462,6.000,1.278,0.782,0.921
69,42,866.214,545.857,22.971,862,542,8,7,1.000,8.602,863,543,144.462,7.000,1.222,0.818,0.884
70,32,341.469,551.719,26.385,337,548,8,8,0.578,10.000,338,556,53.130,6.708,1.549,0.645,0.688
71,51,375.598,566.755,25.556,372,562,7,9,0.981,10.296,374,562,119.055,7.000,1.315,0.760,0.919
72,41,732.695,582.256,22.971,729,578,7,8,0.976,8.602,730,579,125.538,7.000,1.134,0.882,0.872
73,25,946.540,585.180,22.485,945,580,3,10,0.621,10.198,946,580,101.310,3.000,3.188,0.314,0.909
74,51,918.775,587.069,26.385,915,583,8,9,0.921,9.849,916,583,113.962,8.000,1.152,0.868,0.879
75,107,936.182,591.799,52.184,930,586,14,12,0.494,14.866,930,595,19.654,11.837,1.295,0.772,0.796
76,43,774.477,598.988,24.385,771,594,7,9,0.909,9.220,774,594,102.529,7.000,1.213,0.824,0.869
77,35,790.186,598.671,20.728,787,595,6,7,1.000,8.062,788,602,60.255,6.000,1.245,0.803,0.921
78,25,976.860,604.500,31.799,973,598,7,13,0.311,14.765,973,611,61.699,3.858,4.561,0.219,0.610
79,140,396.343,609.193,58.770,386,600,19,16,0.509,24.207,386,615,38.290,10.607,2.618,0.382,0.782
80,32,755.594,611.156,20.728,753,608,6,7,0.936,8.602,753,615,54.462,6.000,1.411,0.709,0.901
81,34,481.500,616.824,24.385,477,614,8,6,0.719,8.944,477,615,153.435,6.000,1.437,0.696,0.829
82,125,946.364,629.652,49.012,940,621,14,16,0.654,18.028,941,622,123.690,11.314,1.766,0.566,0.806
83,56,427.536,629.679,26.728,424,625,7,9,0.985,10.296,425,634,60.945,7.000,1.282,0.780,0.949
84,31,852.274,632.597,20.728,849,630,7,6,0.907,8.062,849,634,29.745,6.000,1.193,0.838,0.873
85,40,646.100,637.375,22.385,642,634,8,7,1.000,8.544,642,636,159.444,7.000,1.156,0.865,0.889
86,31,532.339,637.500,19.314,529,635,7,5,1.000,8.062,529,635,150.255,5.000,1.433,0.698,0.939
87,48,372.625,651.000,25.556,369,646,7,9,0.924,9.849,370,655,66.038,7.000,1.333,0.750,0.897
88,38,667.816,656.026,22.142,664,653,8,6,0.974,8.602,664,658,35.538,6.000,1.283,0.779,0.905
89,34,638.971,660.882,20.971,635,658,8,6,0.972,8.246,635,660,165.964,6.000,1.283,0.779,0.861
90,30,559.000,678.433,19.314,556,675,6,6,1.000,7.211,558,675,123.690,6.000,1.038,0.963,0.938
91,47,815.606,682.394,23.799,812,678,7,9,1.000,9.487,814,678,108.435,7.000,1.228,0.814,0.904
92,31,569.113,684.823,20.971,566,681,6,8,0.886,8.944,567,681,116.565,5.547,1.767,0.566,0.849
93,80,856.125,695.150,42.870,851,690,12,12,0.547,14.866,852,690,137.726,9.947,1.276,0.784,0.727
94,33,759.985,698.409,20.142,757,695,6,7,1.000,8.062,758,702,60.255,6.000,1.281,0.781,0.904
95,35,571.929,700.357,24.971,569,696,6,8,0.705,8.944,569,704,63.435,6.000,1.209,0.827,0.833
96,122,495.205,706.213,63.255,487,699,16,14,0.383,17.464,487,705,156.371,13.453,1.476,0.677,0.680
97,51,612.598,706.186,39.213,608,702,9,10,0.417,10.817,610,702,123.690,8.050,1.261,0.793,0.713
98,36,451.722,718.361,21.556,448,715,8,6,0.974,8.544,448,717,159.444,6.000,1.306,0.766,0.889
99,57,523.605,729.675,29.799,520,725,8,10,0.807,11.180,521,725,116.565,8.000,1.211,0.826,0.851
