 ,Area,X,Y,Perim.,BX,BY,Width,Height,Circ.,Feret,FeretX,FeretY,FeretAngle,MinFeret,AR,Round,Solidity
1,70,682.914,260.757,30.385,678,256,10,9,0.953,12.207,678,257,145.008,8.485,1.368,0.731,0.927
2,82,826.000,315.000,31.799,821,310,10,10,1.000,11.662,821,318,30.964,9.899,1.137,0.879,0.943
3,59,967.212,339.161,27.799,963,334,8,10,0.959,10.440,965,344,73.301,8.000,1.221,0.819,0.894
4,77,720.214,340.058,31.213,715,335,10,10,0.993,11.180,718,335,116.565,9.899,1.104,0.906,0.922
5,256,714.379,359.504,69.012,703,349,21,21,0.675,26.401,703,349,127.304,16.647,1.618,0.618,0.866
6,79,953.222,357.386,34.870,948,352,12,10,0.816,13.892,948,354,149.744,9.192,1.437,0.696,0.859
7,92,618.587,403.207,34.627,613,398,11,11,0.964,12.530,615,398,118.610,10.607,1.155,0.866,0.920
8,72,798.792,437.597,30.385,794,433,10,9,0.980,10.817,794,435,146.310,9.000,1.109,0.902,0.923
9,81,743.475,441.426,32.971,738,437,11,9,0.936,11.705,738,439,160.017,9.000,1.194,0.837,0.920
10,82,684.829,449.500,33.799,679,445,11,10,0.902,12.207,680,453,34.992,10.000,1.206,0.829,0.901
11,47,827.840,461.798,24.385,824,458,8,8,0.993,8.944,826,466,63.435,7.778,1.106,0.904,0.895
12,62,539.419,470.355,37.213,535,466,10,10,0.563,12.042,535,475,41.634,9.191,1.398,0.715,0.785
13,88,824.852,475.545,42.042,821,467,8,16,0.626,16.763,823,467,107.354,7.399,2.476,0.404,0.822
14,28,459.929,559.679,19.556,457,556,6,7,0.920,8.062,458,556,119.745,5.367,1.655,0.604,0.848
15,37,476.446,581.905,21.899,474,578,5,8,0.969,8.944,474,578,116.565,5.000,1.582,0.632,0.961
16,66,440.258,615.000,28.971,436,610,8,10,0.988,11.180,438,620,63.435,8.000,1.282,0.780,0.936
17,62,806.565,636.468,28.385,802,632,9,9,0.967,10.000,803,640,36.870,9.000,1.032,0.969,0.892
18,65,492.592,672.131,29.213,487,668,11,8,0.957,11.402,487,671,164.745,8.000,1.310,0.763,0.897
19,54,1003.667,681.056,27.213,999,677,10,8,0.916,11.180,999,684,26.565,7.488,1.592,0.628,0.871
20,62,348.371,691.145,33.799,343,686,10,11,0.682,13.038,343,686,122.471,8.497,1.649,0.606,0.770
21,127,496.319,727.201,44.284,489,721,15,12,0.814,15.524,489,725,165.069,11.287,1.496,0.669,0.873
22,58,467.138,752.379,27.556,462,749,10,7,0.960,10.440,462,753,16.699,7.000,1.334,0.750,0.928
23,59,824.585,762.534,27.799,820,758,9,9,0.959,10.296,822,767,60.945,8.485,1.218,0.821,0.894
24,38,964.289,768.658,21.556,961,765,7,7,1.000,8.062,962,772,60.255,7.000,1.078,0.927,0.905
25,72,653.125,795.667,31.213,648,791,10,10,0.929,11.402,650,791,127.875,9.153,1.260,0.793,0.894
26,87,550.017,839.293,34.627,545,833,10,12,0.912,13.000,547,845,67.380,9.803,1.350,0.741,0.897
27,88,607.932,855.545,34.870,602,850,12,11,0.909,13.416,602,859,26.565,9.707,1.427,0.701,0.884
28,65,594.177,963.977,39.698,588,960,12,9,0.518,12.649,588,967,18.435,9.000,1.536,0.651,0.722
29,51,702.892,967.912,25.556,699,964,8,8,0.981,9.434,699,965,147.995,8.000,1.094,0.914,0.911
30,46,703.326,980.000,24.728,699,977,9,6,0.945,9.487,699,978,161.565,6.000,1.458,0.686,0.929
